date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,11.91,12.22,11.88,12.20,2345100,12.20
2015-06-29,12.16,12.16,11.88,11.98,1951800,11.98
2015-06-26,12.25,12.40,12.06,12.33,2722000,12.33
2015-06-25,12.60,12.65,12.37,12.38,1670900,12.38
2015-06-24,12.75,12.75,12.53,12.61,1299400,12.61
2015-06-23,12.91,12.95,12.70,12.77,1360200,12.77
2015-06-22,12.88,12.88,12.66,12.78,1412100,12.78
2015-06-19,12.94,13.03,12.845,12.89,1836300,12.89
2015-06-18,12.79,12.87,12.69,12.71,2424200,12.71
2015-06-17,12.89,12.91,12.72,12.79,1225500,12.79
2015-06-16,12.90,13.04,12.78,12.82,2984600,12.82
2015-06-15,12.90,12.94,12.86,12.93,959700,12.93
2015-06-12,12.80,13.00,12.76,12.93,1088800,12.93
2015-06-11,12.86,12.99,12.79,12.95,938200,12.95
2015-06-10,12.69,12.74,12.635,12.70,1711300,12.70
2015-06-09,12.99,12.99,12.73,12.78,2507800,12.78
2015-06-08,13.02,13.02,13.02,13.02,000,13.02
2015-06-05,12.90,13.21,12.84,13.02,2716700,13.02
2015-06-04,12.72,12.87,12.64,12.80,1842400,12.80
2015-06-03,12.74,12.80,12.56,12.76,2026400,12.76
2015-06-02,12.94,12.94,12.66,12.72,1713100,12.72
2015-06-01,12.97,13.00,12.71,12.94,1771000,12.94
2015-05-29,13.00,13.21,12.97,13.09,2803100,13.09
2015-05-28,12.55,13.01,12.55,12.92,2371900,12.92
2015-05-27,12.57,12.77,12.48,12.58,1524400,12.58
2015-05-26,12.46,12.74,12.46,12.66,1130300,12.66
2015-05-25,12.23,12.51,12.23,12.40,1589700,12.40
2015-05-22,12.69,12.70,12.22,12.31,2173500,12.31
2015-05-21,12.70,12.77,12.50,12.53,1954700,12.53
2015-05-20,12.60,12.63,12.35,12.61,1709100,12.61
2015-05-19,12.82,12.89,12.60,12.62,2345000,12.62
2015-05-18,13.08,13.14,12.815,12.88,1033900,12.88
2015-05-15,13.02,13.21,12.965,13.17,1885700,13.17
2015-05-14,12.73,12.91,12.72,12.89,1416700,12.89
2015-05-13,12.80,12.94,12.75,12.90,1185700,12.90
2015-05-12,12.66,12.99,12.62,12.94,1836400,12.94
2015-05-11,12.97,13.06,12.68,12.77,1120400,12.77
2015-05-08,12.95,12.97,12.77,12.83,1347400,12.83
2015-05-07,12.89,12.91,12.75,12.82,1858200,12.82
2015-05-06,13.15,13.29,13.00,13.01,1158800,13.01
2015-05-05,13.60,13.69,13.28,13.38,2179200,13.38
2015-05-04,13.06,13.41,13.06,13.33,1674800,13.33
2015-05-01,13.03,13.16,12.93,12.98,1895700,12.98
2015-04-30,13.20,13.30,12.965,13.01,2676200,13.01
2015-04-29,13.30,13.42,13.14,13.27,2235300,13.27
2015-04-28,13.85,13.87,13.64,13.69,1774900,13.69
2015-04-27,13.80,13.90,13.74,13.85,1636400,13.85
2015-04-24,13.36,13.80,13.36,13.74,2215100,13.74
2015-04-23,13.52,13.52,13.15,13.33,1355500,13.33
2015-04-22,13.50,13.58,13.41,13.48,1285900,13.48
2015-04-21,13.42,13.59,13.32,13.46,1630200,13.46
2015-04-20,13.17,13.33,13.07,13.25,1398200,13.25
2015-04-17,13.50,13.56,13.215,13.24,1635400,13.24
2015-04-16,13.39,13.56,13.34,13.45,1405800,13.45
2015-04-15,13.76,13.78,13.27,13.29,2881800,13.29
2015-04-14,13.83,13.91,13.77,13.84,3024400,13.84
2015-04-13,14.09,14.11,13.81,13.89,2085700,13.89
2015-04-10,14.16,14.25,13.97,14.13,1877200,14.13
2015-04-09,13.85,14.16,13.66,14.13,2356000,14.13
2015-04-08,13.59,13.75,13.45,13.73,1180300,13.73
2015-04-07,13.38,13.72,13.36,13.54,1849200,13.54
2015-04-06,13.34,13.34,13.34,13.34,000,13.34
2015-04-03,13.34,13.34,13.34,13.34,000,13.34
2015-04-02,13.26,13.37,13.15,13.34,1493600,13.34
2015-04-01,13.30,13.33,13.16,13.27,2043400,13.27
2015-03-31,13.32,13.41,13.26,13.37,1747900,13.37
2015-03-30,13.27,13.30,13.17,13.28,1959300,13.28
2015-03-27,12.95,13.32,12.95,13.27,2849000,13.27
2015-03-26,13.01,13.07,12.86,12.94,1475300,12.94
2015-03-25,13.02,13.13,12.94,13.07,1628700,13.07
2015-03-24,13.45,13.46,13.00,13.13,2480000,12.911
2015-03-23,13.35,13.40,13.23,13.37,1748800,13.147
2015-03-20,13.44,13.44,13.23,13.34,2325000,13.118
2015-03-19,13.23,13.37,13.09,13.16,2907900,12.941
2015-03-18,13.44,13.44,12.96,13.01,3884100,12.793
2015-03-17,13.60,13.67,13.46,13.50,1626000,13.275
2015-03-16,13.70,13.70,13.44,13.47,1440200,13.246
2015-03-13,14.00,14.05,13.62,13.69,2632400,13.462
2015-03-12,14.10,14.18,13.835,13.90,3696400,13.669
2015-03-11,14.25,14.39,14.02,14.18,3816200,13.944
2015-03-10,15.08,15.19,14.35,14.72,3156100,14.475
2015-03-09,15.20,15.37,15.05,15.25,963500,14.996
