date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.165,1.165,1.142,1.16,403300,1.16
2015-06-29,1.21,1.21,1.155,1.165,256900,1.165
2015-06-26,1.257,1.257,1.21,1.21,243100,1.21
2015-06-25,1.265,1.30,1.255,1.27,607800,1.27
2015-06-24,1.285,1.30,1.25,1.30,351900,1.30
2015-06-23,1.28,1.31,1.26,1.285,172500,1.285
2015-06-22,1.25,1.285,1.23,1.24,276600,1.24
2015-06-19,1.30,1.30,1.23,1.28,214200,1.28
2015-06-18,1.31,1.32,1.25,1.28,311100,1.28
2015-06-17,1.31,1.325,1.31,1.325,52000,1.325
2015-06-16,1.30,1.325,1.295,1.31,171800,1.31
2015-06-15,1.30,1.33,1.29,1.30,184900,1.30
2015-06-12,1.24,1.30,1.22,1.295,334600,1.295
2015-06-11,1.23,1.255,1.22,1.255,167400,1.255
2015-06-10,1.20,1.23,1.195,1.23,468000,1.23
2015-06-09,1.18,1.22,1.175,1.215,233000,1.215
2015-06-08,1.175,1.175,1.175,1.175,000,1.175
2015-06-05,1.17,1.19,1.155,1.175,931200,1.175
2015-06-04,1.14,1.18,1.14,1.17,451300,1.17
2015-06-03,1.12,1.16,1.12,1.135,2031300,1.135
2015-06-02,1.11,1.12,1.095,1.10,690000,1.10
2015-06-01,1.095,1.115,1.07,1.09,278600,1.09
2015-05-29,1.16,1.16,1.05,1.06,4078400,1.06
2015-05-28,1.14,1.16,1.115,1.115,438700,1.115
2015-05-27,1.14,1.18,1.13,1.13,210200,1.13
2015-05-26,1.14,1.165,1.135,1.14,305400,1.14
2015-05-25,1.14,1.152,1.12,1.135,248800,1.135
2015-05-22,1.08,1.16,1.08,1.15,241400,1.15
2015-05-21,1.08,1.085,1.04,1.07,334900,1.07
2015-05-20,1.13,1.14,1.01,1.05,560700,1.05
2015-05-19,1.15,1.15,1.12,1.12,151200,1.12
2015-05-18,1.13,1.145,1.12,1.145,134000,1.145
2015-05-15,1.14,1.165,1.12,1.13,249600,1.13
2015-05-14,1.20,1.205,1.14,1.14,829300,1.14
2015-05-13,1.18,1.20,1.17,1.17,120800,1.17
2015-05-12,1.20,1.22,1.175,1.175,196800,1.175
2015-05-11,1.20,1.23,1.185,1.20,153000,1.20
2015-05-08,1.21,1.21,1.19,1.19,42600,1.19
