date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.05,1.055,1.03,1.035,1873300,1.035
2015-06-29,1.095,1.10,1.067,1.07,1367400,1.07
2015-06-26,1.085,1.12,1.075,1.105,1076200,1.105
2015-06-25,1.155,1.155,1.115,1.115,396200,1.115
2015-06-24,1.16,1.1625,1.14,1.14,713900,1.14
2015-06-23,1.185,1.185,1.155,1.16,1204000,1.16
2015-06-22,1.16,1.17,1.137,1.17,1321600,1.17
2015-06-19,1.16,1.165,1.12,1.16,2159300,1.16
2015-06-18,1.13,1.155,1.112,1.15,2700300,1.15
2015-06-17,1.095,1.11,1.065,1.11,1314300,1.11
2015-06-16,1.08,1.085,1.06,1.065,941400,1.065
2015-06-15,1.055,1.065,1.04,1.05,1054800,1.05
2015-06-12,1.06,1.075,1.052,1.06,596900,1.06
2015-06-11,1.07,1.095,1.07,1.09,764400,1.09
2015-06-10,1.075,1.08,1.06,1.065,663700,1.065
2015-06-09,1.07,1.08,1.05,1.055,801900,1.055
2015-06-08,1.08,1.08,1.08,1.08,000,1.08
2015-06-05,1.075,1.08,1.06,1.08,1265200,1.08
2015-06-04,1.085,1.095,1.07,1.085,1534500,1.085
2015-06-03,1.115,1.127,1.075,1.075,1606000,1.075
2015-06-02,1.185,1.185,1.11,1.11,1634800,1.11
2015-06-01,1.215,1.22,1.15,1.155,806500,1.155
2015-05-29,1.205,1.24,1.205,1.23,1451400,1.23
2015-05-28,1.19,1.215,1.19,1.195,1321200,1.195
2015-05-27,1.125,1.185,1.11,1.18,1427900,1.18
2015-05-26,1.14,1.16,1.13,1.16,964700,1.16
2015-05-25,1.13,1.142,1.11,1.13,753900,1.13
2015-05-22,1.13,1.14,1.12,1.12,461600,1.12
2015-05-21,1.085,1.125,1.065,1.12,1352000,1.12
2015-05-20,1.10,1.102,1.055,1.06,1829000,1.06
2015-05-19,1.17,1.175,1.09,1.095,2087500,1.095
2015-05-18,1.13,1.18,1.13,1.16,1615400,1.16
2015-05-15,1.18,1.18,1.105,1.125,2994200,1.125
2015-05-14,1.195,1.20,1.165,1.17,1613600,1.17
2015-05-13,1.20,1.25,1.19,1.21,2387800,1.21
2015-05-12,1.185,1.195,1.17,1.195,1116800,1.195
2015-05-11,1.20,1.215,1.19,1.19,939200,1.19
2015-05-08,1.18,1.195,1.17,1.18,1123000,1.18
2015-05-07,1.175,1.195,1.16,1.18,1729600,1.18
2015-05-06,1.20,1.21,1.175,1.18,1555100,1.18
2015-05-05,1.24,1.245,1.185,1.195,2056000,1.195
2015-05-04,1.245,1.245,1.22,1.23,1542200,1.23
2015-05-01,1.23,1.245,1.197,1.245,1735700,1.245
2015-04-30,1.22,1.25,1.21,1.215,1377200,1.215
2015-04-29,1.27,1.30,1.225,1.23,1381300,1.23
2015-04-28,1.26,1.28,1.26,1.28,1087800,1.28
2015-04-27,1.27,1.30,1.265,1.28,2545200,1.28
2015-04-24,1.22,1.255,1.21,1.255,2006000,1.255
2015-04-23,1.17,1.21,1.165,1.21,2352900,1.21
2015-04-22,1.175,1.175,1.15,1.175,1706700,1.175
2015-04-21,1.20,1.20,1.165,1.19,2510000,1.19
2015-04-20,1.19,1.20,1.182,1.195,1283900,1.195
2015-04-17,1.20,1.21,1.18,1.19,2113300,1.19
2015-04-16,1.17,1.21,1.165,1.19,3674200,1.19
2015-04-15,1.13,1.15,1.115,1.135,2389700,1.135
2015-04-14,1.13,1.1325,1.085,1.10,1499400,1.10
2015-04-13,1.18,1.18,1.13,1.14,1436300,1.14
2015-04-10,1.155,1.18,1.15,1.175,1966800,1.175
2015-04-09,1.115,1.16,1.095,1.155,1906800,1.155
2015-04-08,1.12,1.14,1.102,1.12,3062400,1.12
2015-04-07,1.10,1.125,1.085,1.11,1342800,1.11
2015-04-06,1.09,1.09,1.09,1.09,000,1.09
2015-04-03,1.09,1.09,1.09,1.09,000,1.09
2015-04-02,1.115,1.125,1.09,1.09,1787900,1.09
2015-04-01,1.08,1.115,1.08,1.10,2787500,1.10
2015-03-31,1.07,1.09,1.065,1.09,2135500,1.09
2015-03-30,1.085,1.0975,1.055,1.07,1949500,1.07
2015-03-27,1.15,1.155,1.12,1.13,2489200,1.13
2015-03-26,1.10,1.14,1.10,1.13,2411700,1.13
2015-03-25,1.13,1.145,1.08,1.11,3722800,1.11
2015-03-24,1.04,1.115,1.025,1.105,19565800,1.105
2015-03-23,1.02,1.04,1.02,1.03,2557300,1.03
2015-03-20,1.05,1.06,1.005,1.015,4253600,1.015
2015-03-19,1.03,1.05,1.025,1.04,2917600,1.04
2015-03-18,1.00,1.03,0.985,1.01,2378900,1.01
2015-03-17,1.04,1.055,1.00,1.015,1304700,1.015
2015-03-16,0.99,1.065,0.975,1.05,1536200,1.05
2015-03-13,1.04,1.04,1.01,1.02,1164700,1.02
2015-03-12,1.085,1.09,1.025,1.045,1518800,1.045
2015-03-11,0.985,1.09,0.98,1.085,3063500,1.085
2015-03-10,1.005,1.015,0.99,1.00,1739900,1.00
2015-03-09,0.985,1.005,0.965,1.00,2208000,1.00
2015-03-06,1.01,1.01,0.965,0.99,3847600,0.99
2015-03-05,0.99,1.02,0.99,1.015,1500500,1.015
2015-03-04,0.985,0.995,0.965,0.99,940800,0.99
2015-03-03,0.99,0.99,0.952,0.98,1456700,0.98
2015-03-02,0.985,0.99,0.97,0.98,932000,0.98
2015-02-27,1.00,1.00,0.96,0.98,2190200,0.98
2015-02-26,1.005,1.025,0.99,0.995,1514800,0.995
2015-02-25,0.985,1.015,0.98,1.005,2451200,1.005
2015-02-24,0.975,0.99,0.96,0.985,1098000,0.985
2015-02-23,0.995,1.005,0.97,0.98,1999000,0.98
2015-02-20,0.98,0.995,0.96,0.99,2101800,0.99
2015-02-19,0.98,1.00,0.955,0.97,2382300,0.97
2015-02-18,0.99,1.03,0.98,1.03,1847500,1.03
2015-02-17,1.005,1.005,0.97,0.98,837600,0.98
2015-02-16,0.98,1.005,0.977,1.005,2337100,1.005
2015-02-13,0.96,0.98,0.96,0.975,1211700,0.975
2015-02-12,0.925,0.945,0.925,0.93,1076800,0.93
2015-02-11,0.97,0.97,0.925,0.93,634800,0.93
2015-02-10,0.945,0.98,0.94,0.97,1170400,0.97
2015-02-09,0.96,0.97,0.93,0.94,2446500,0.94
2015-02-06,0.99,1.01,0.952,0.96,3810600,0.96
2015-02-05,0.93,0.965,0.915,0.96,5974800,0.96
2015-02-04,0.955,1.00,0.947,0.975,9890800,0.975
2015-02-03,0.86,0.92,0.86,0.90,6136200,0.90
2015-02-02,0.80,0.84,0.795,0.825,2918900,0.825
2015-01-30,0.79,0.80,0.775,0.78,1107500,0.78
2015-01-29,0.76,0.785,0.75,0.775,2474500,0.775
2015-01-28,0.755,0.7875,0.755,0.775,2102900,0.775
2015-01-27,0.775,0.78,0.75,0.755,2969200,0.755
2015-01-26,0.77,0.77,0.77,0.77,000,0.77
2015-01-23,0.75,0.775,0.74,0.77,1566600,0.77
2015-01-22,0.75,0.765,0.735,0.745,2275100,0.745
2015-01-21,0.73,0.735,0.717,0.735,1704200,0.735
2015-01-20,0.74,0.745,0.727,0.735,2880600,0.735
2015-01-19,0.755,0.7675,0.745,0.75,1508400,0.75
2015-01-16,0.735,0.74,0.715,0.73,2033600,0.73
2015-01-15,0.73,0.75,0.725,0.75,2495100,0.75
2015-01-14,0.705,0.735,0.705,0.715,1349900,0.715
2015-01-13,0.70,0.71,0.685,0.70,2692400,0.70
2015-01-12,0.725,0.735,0.72,0.725,2290700,0.725
2015-01-09,0.75,0.75,0.73,0.735,4215600,0.735
2015-01-08,0.755,0.755,0.71,0.715,3654500,0.715
2015-01-07,0.765,0.765,0.735,0.745,3866400,0.745
2015-01-06,0.825,0.8325,0.775,0.78,5540800,0.78
2015-01-05,0.82,0.865,0.815,0.85,1933600,0.85
2015-01-02,0.82,0.83,0.815,0.82,620800,0.82
2015-01-01,0.81,0.81,0.81,0.81,000,0.81
2014-12-31,0.81,0.83,0.805,0.81,480700,0.81
2014-12-30,0.815,0.835,0.805,0.805,1405700,0.805
2014-12-29,0.815,0.8325,0.815,0.82,1065200,0.82
2014-12-26,0.815,0.815,0.815,0.815,000,0.815
2014-12-25,0.815,0.815,0.815,0.815,000,0.815
2014-12-24,0.825,0.83,0.80,0.815,1126200,0.815
2014-12-23,0.84,0.845,0.81,0.81,1666000,0.81
2014-12-22,0.795,0.875,0.795,0.87,2576700,0.87
2014-12-19,0.79,0.80,0.765,0.765,4288500,0.765
2014-12-18,0.735,0.78,0.735,0.775,3701400,0.775
2014-12-17,0.70,0.725,0.685,0.715,4311500,0.715
2014-12-16,0.665,0.72,0.66,0.69,1964900,0.69
2014-12-15,0.65,0.73,0.65,0.72,6143500,0.72
2014-12-12,0.74,0.7675,0.685,0.695,4754000,0.695
2014-12-11,0.73,0.785,0.72,0.745,4234500,0.745
2014-12-10,0.795,0.80,0.76,0.775,2246400,0.775
2014-12-09,0.84,0.84,0.77,0.775,5095300,0.775
2014-12-08,0.87,0.8825,0.855,0.865,929000,0.865
2014-12-05,0.865,0.885,0.845,0.885,2028200,0.885
2014-12-04,0.87,0.905,0.86,0.885,2731600,0.885
2014-12-03,0.81,0.875,0.81,0.86,3571600,0.86
2014-12-02,0.86,0.87,0.825,0.83,3290700,0.83
2014-12-01,0.89,0.892,0.795,0.815,4659400,0.815
2014-11-28,1.00,1.00,0.91,0.91,6896600,0.91
2014-11-27,1.10,1.11,1.03,1.05,2444600,1.05
2014-11-26,1.095,1.095,1.06,1.095,1667800,1.095
2014-11-25,1.105,1.105,1.05,1.10,1614500,1.10
2014-11-24,1.105,1.135,1.105,1.115,2058100,1.115
2014-11-21,1.04,1.12,1.03,1.09,2616600,1.09
2014-11-20,1.015,1.035,0.98,1.025,1488100,1.025
2014-11-19,1.045,1.06,1.02,1.025,1344900,1.025
2014-11-18,1.08,1.0825,1.045,1.045,1674800,1.045
2014-11-17,1.105,1.135,1.075,1.085,895000,1.085
2014-11-14,1.11,1.115,1.07,1.085,1655500,1.085
2014-11-13,1.125,1.14,1.115,1.13,3067800,1.13
2014-11-12,1.14,1.16,1.115,1.13,1288300,1.13
2014-11-11,1.16,1.162,1.125,1.13,959800,1.13
2014-11-10,1.155,1.175,1.135,1.155,989700,1.155
2014-11-07,1.105,1.15,1.10,1.15,1892000,1.15
2014-11-06,1.08,1.12,1.065,1.09,1893800,1.09
2014-11-05,1.10,1.11,1.055,1.06,2094600,1.06
2014-11-04,1.145,1.147,1.105,1.105,2282500,1.105
2014-11-03,1.185,1.195,1.135,1.15,1211500,1.15
2014-10-31,1.19,1.195,1.165,1.175,724700,1.175
2014-10-30,1.185,1.215,1.16,1.175,1669000,1.175
2014-10-29,1.15,1.1925,1.13,1.175,1991900,1.175
2014-10-28,1.18,1.18,1.115,1.165,2648000,1.165
2014-10-27,1.18,1.22,1.18,1.19,826800,1.19
2014-10-24,1.16,1.205,1.16,1.175,1690100,1.175
2014-10-23,1.15,1.175,1.14,1.145,1236500,1.145
2014-10-22,1.16,1.18,1.135,1.17,1626300,1.17
2014-10-21,1.125,1.135,1.09,1.11,1919900,1.11
2014-10-20,1.19,1.212,1.105,1.105,2073300,1.105
2014-10-17,1.13,1.19,1.12,1.17,3160100,1.17
2014-10-16,1.035,1.115,1.03,1.105,2192900,1.105
2014-10-15,1.14,1.14,1.065,1.075,3237500,1.075
2014-10-14,1.13,1.1775,1.12,1.155,3065700,1.155
2014-10-13,1.125,1.18,1.115,1.15,1774200,1.15
2014-10-10,1.175,1.18,1.132,1.14,4546000,1.14
2014-10-09,1.21,1.21,1.20,1.20,1124300,1.20
2014-10-08,1.18,1.21,1.165,1.195,1433600,1.195
2014-10-07,1.225,1.24,1.20,1.20,2123700,1.20
2014-10-06,1.24,1.245,1.21,1.23,641400,1.23
2014-10-03,1.23,1.25,1.22,1.24,1106500,1.24
2014-10-02,1.25,1.262,1.222,1.245,1443200,1.245
2014-10-01,1.275,1.28,1.255,1.27,1253400,1.27
2014-09-30,1.275,1.305,1.275,1.29,1010100,1.29
2014-09-29,1.285,1.2975,1.275,1.275,1134500,1.275
2014-09-26,1.30,1.302,1.28,1.29,879900,1.29
2014-09-25,1.31,1.32,1.295,1.31,2428100,1.31
2014-09-24,1.31,1.315,1.295,1.30,663000,1.30
2014-09-23,1.315,1.35,1.307,1.32,753500,1.32
2014-09-22,1.36,1.37,1.30,1.31,1185200,1.31
2014-09-19,1.36,1.36,1.32,1.35,1870700,1.35
2014-09-18,1.28,1.355,1.28,1.35,2509700,1.35
2014-09-17,1.29,1.302,1.277,1.28,1707500,1.28
2014-09-16,1.32,1.335,1.285,1.29,2590100,1.29
2014-09-15,1.335,1.335,1.31,1.315,1477000,1.315
2014-09-12,1.33,1.355,1.33,1.35,1852800,1.35
2014-09-11,1.35,1.355,1.31,1.325,2061400,1.325
2014-09-10,1.365,1.37,1.335,1.34,2596100,1.34
2014-09-09,1.36,1.39,1.352,1.37,1723800,1.37
2014-09-08,1.445,1.45,1.335,1.35,4055500,1.35
2014-09-05,1.465,1.485,1.45,1.46,1530000,1.46
2014-09-04,1.47,1.48,1.45,1.45,759300,1.45
2014-09-03,1.43,1.49,1.43,1.49,2155600,1.49
2014-09-02,1.42,1.45,1.412,1.43,1362800,1.43
2014-09-01,1.45,1.467,1.43,1.43,2307500,1.43
2014-08-29,1.45,1.465,1.44,1.455,4380200,1.455
2014-08-28,1.485,1.49,1.435,1.44,6457100,1.44
2014-08-27,1.54,1.55,1.49,1.495,2742100,1.495
2014-08-26,1.545,1.545,1.51,1.53,1060700,1.53
2014-08-25,1.535,1.545,1.53,1.545,623100,1.545
2014-08-22,1.51,1.55,1.50,1.545,1260900,1.545
2014-08-21,1.54,1.545,1.505,1.515,1032800,1.515
2014-08-20,1.52,1.53,1.50,1.525,1535800,1.525
2014-08-19,1.48,1.515,1.47,1.515,971600,1.515
2014-08-18,1.47,1.49,1.47,1.475,926700,1.475
2014-08-15,1.48,1.49,1.46,1.47,1440400,1.47
2014-08-14,1.505,1.51,1.48,1.495,1697700,1.495
2014-08-13,1.54,1.55,1.495,1.495,2391400,1.495
2014-08-12,1.495,1.55,1.485,1.55,1361600,1.55
2014-08-11,1.49,1.50,1.485,1.485,600100,1.485
2014-08-08,1.515,1.52,1.47,1.475,2327000,1.475
2014-08-07,1.555,1.555,1.50,1.51,2053500,1.51
2014-08-06,1.56,1.57,1.54,1.55,2073100,1.55
2014-08-05,1.57,1.60,1.56,1.57,1612700,1.57
2014-08-04,1.59,1.59,1.56,1.565,1060100,1.565
2014-08-01,1.63,1.63,1.585,1.59,1708100,1.59
2014-07-31,1.64,1.65,1.63,1.645,1682500,1.645
2014-07-30,1.61,1.645,1.61,1.64,3223600,1.64
2014-07-29,1.57,1.62,1.565,1.61,2771000,1.61
2014-07-28,1.565,1.585,1.54,1.575,1435900,1.575
2014-07-25,1.57,1.58,1.555,1.56,1061200,1.56
2014-07-24,1.56,1.56,1.535,1.55,1256300,1.55
2014-07-23,1.555,1.5575,1.535,1.545,1514900,1.545
2014-07-22,1.52,1.565,1.52,1.555,2248000,1.555
2014-07-21,1.47,1.53,1.465,1.525,1875500,1.525
2014-07-18,1.455,1.47,1.44,1.465,1303500,1.465
2014-07-17,1.475,1.495,1.465,1.47,1412300,1.47
