date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,5.68,5.74,5.65,5.72,1661200,5.72
2015-06-29,5.78,5.81,5.71,5.72,1580300,5.72
2015-06-26,5.84,5.85,5.80,5.82,1536100,5.82
2015-06-25,5.89,5.89,5.82,5.83,1447800,5.83
2015-06-24,5.92,5.92,5.87,5.89,1358700,5.89
2015-06-23,5.83,5.91,5.81,5.91,1180900,5.91
2015-06-22,5.80,5.82,5.78,5.81,982900,5.81
2015-06-19,5.86,5.90,5.79,5.80,1705500,5.80
2015-06-18,5.82,5.855,5.80,5.81,2948400,5.81
2015-06-17,5.87,5.88,5.80,5.86,1004000,5.86
2015-06-16,5.85,5.86,5.80,5.82,1602200,5.82
2015-06-15,5.85,5.86,5.81,5.84,1028300,5.84
2015-06-12,5.83,5.85,5.80,5.82,1244900,5.82
2015-06-11,5.78,5.85,5.76,5.83,1828600,5.83
2015-06-10,5.82,5.82,5.68,5.76,1576300,5.76
2015-06-09,5.75,5.78,5.70,5.71,1725900,5.71
2015-06-08,5.74,5.74,5.74,5.74,000,5.74
2015-06-05,5.79,5.79,5.715,5.74,1819600,5.74
2015-06-04,5.75,5.79,5.69,5.75,2221000,5.75
2015-06-03,5.75,5.77,5.70,5.73,2151200,5.73
2015-06-02,5.85,5.86,5.75,5.79,1604400,5.79
2015-06-01,5.89,5.89,5.75,5.86,2230700,5.86
2015-05-29,5.79,5.89,5.79,5.87,1932700,5.87
2015-05-28,5.85,5.85,5.74,5.75,2139900,5.75
2015-05-27,5.75,5.85,5.71,5.81,1583800,5.81
2015-05-26,5.95,5.97,5.86,5.86,1483400,5.703
2015-05-25,5.86,5.97,5.85,5.94,1162800,5.781
2015-05-22,5.89,5.91,5.86,5.86,1009900,5.703
2015-05-21,5.88,5.93,5.84,5.85,3294700,5.693
2015-05-20,5.92,5.97,5.87,5.92,4621000,5.761
2015-05-19,6.18,6.20,5.90,5.94,4682300,5.781
2015-05-18,6.40,6.44,6.16,6.19,2028300,6.024
2015-05-15,6.45,6.55,6.45,6.55,1387000,6.374
