date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,35.11,35.75,34.61,35.69,264400,35.69
2015-06-29,35.65,35.71,34.65,35.00,220400,35.00
2015-06-26,36.60,36.71,35.75,36.16,211600,36.16
2015-06-25,37.24,37.24,36.62,36.94,97300,36.94
2015-06-24,37.88,38.49,36.94,37.00,294600,37.00
2015-06-23,36.76,37.88,36.76,37.78,218100,37.78
2015-06-22,36.49,37.31,36.25,36.90,184000,36.90
2015-06-19,37.27,38.03,35.54,36.44,1347000,36.44
2015-06-18,37.23,37.70,36.79,37.00,359000,37.00
2015-06-17,37.00,38.10,36.91,37.33,307800,37.33
2015-06-16,36.40,36.97,36.33,36.61,232600,36.61
2015-06-15,36.00,36.45,35.845,36.38,230900,36.38
2015-06-12,36.10,36.61,35.87,35.98,302700,35.98
2015-06-11,35.64,36.89,35.63,36.49,307200,36.49
2015-06-10,35.20,35.73,34.87,35.45,226300,35.45
2015-06-09,34.63,35.84,34.60,34.94,230100,34.94
2015-06-08,34.65,34.65,34.65,34.65,000,34.65
2015-06-05,34.12,35.03,33.80,34.65,332800,34.65
2015-06-04,36.47,36.47,34.37,34.58,413200,34.58
2015-06-03,37.00,37.71,36.25,36.29,274400,36.29
2015-06-02,38.86,39.00,37.13,37.17,220300,37.17
2015-06-01,38.61,39.16,38.07,38.86,220700,38.86
2015-05-29,38.39,39.20,38.39,38.71,173200,38.71
2015-05-28,38.44,38.75,37.89,38.35,119900,38.35
2015-05-27,38.47,38.94,38.21,38.25,126400,38.25
2015-05-26,39.16,39.44,38.585,38.75,101100,38.75
2015-05-25,39.13,39.52,38.59,39.09,191900,39.09
2015-05-22,39.06,39.64,38.78,38.94,183700,38.94
2015-05-21,37.46,39.11,37.46,38.88,230100,38.88
2015-05-20,36.64,37.60,36.50,37.41,125900,37.41
2015-05-19,36.40,37.43,35.86,36.91,242800,36.91
2015-05-18,37.80,37.91,36.46,36.46,269800,36.46
2015-05-15,39.00,39.01,37.55,37.83,273100,37.83
2015-05-14,39.34,39.48,38.42,38.69,333700,38.69
2015-05-13,40.00,40.00,39.20,39.62,184700,39.62
2015-05-12,39.64,40.50,39.64,40.02,337000,40.02
2015-05-11,40.00,40.98,39.00,39.57,210800,39.57
2015-05-08,37.99,39.57,37.99,38.61,185200,38.61
2015-05-07,38.50,39.11,36.85,37.99,429800,37.99
2015-05-06,40.50,40.50,38.37,39.96,349100,39.96
2015-05-05,38.50,41.64,38.50,41.26,461100,41.26
2015-05-04,36.79,38.05,36.79,37.95,256300,37.95
2015-05-01,36.40,36.90,36.05,36.75,152800,36.75
2015-04-30,37.00,37.99,36.47,36.63,256800,36.63
2015-04-29,38.09,38.57,37.50,37.58,132200,37.58
2015-04-28,37.86,38.22,37.70,37.98,127100,37.98
2015-04-27,37.10,38.09,37.10,37.75,225100,37.75
2015-04-24,36.34,37.13,36.34,36.94,144800,36.94
2015-04-23,35.96,36.22,35.50,36.02,127700,36.02
2015-04-22,35.90,36.60,35.80,35.94,140700,35.94
2015-04-21,35.30,35.92,35.30,35.91,111100,35.91
