date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.61,4.84,4.61,4.78,3938200,4.78
2015-06-29,4.61,4.69,4.555,4.68,3401500,4.68
2015-06-26,4.80,4.83,4.67,4.69,5124500,4.69
2015-06-25,5.00,5.00,4.83,4.85,4452100,4.85
2015-06-24,5.02,5.07,4.97,5.01,3039900,5.01
2015-06-23,5.07,5.08,5.03,5.04,2719800,5.04
2015-06-22,4.99,5.01,4.90,4.99,1895700,4.99
2015-06-19,4.93,5.01,4.90,4.97,2711200,4.97
2015-06-18,4.92,4.995,4.87,4.87,2984300,4.87
2015-06-17,5.00,5.04,4.96,4.99,2746300,4.99
2015-06-16,5.13,5.13,4.93,4.96,4905700,4.96
2015-06-15,5.12,5.12,5.05,5.07,2075800,5.07
2015-06-12,5.02,5.125,4.99,5.06,1668100,5.06
2015-06-11,5.05,5.14,5.03,5.06,2978600,5.06
2015-06-10,5.06,5.09,4.99,5.06,1508700,5.06
2015-06-09,5.00,5.11,5.00,5.03,3063300,5.03
2015-06-08,5.00,5.00,5.00,5.00,000,5.00
2015-06-05,4.94,5.01,4.88,5.00,1424400,5.00
2015-06-04,4.99,5.01,4.92,4.96,1817000,4.96
2015-06-03,4.86,4.96,4.85,4.94,2122300,4.94
2015-06-02,5.20,5.22,4.91,4.95,2873100,4.95
2015-06-01,5.14,5.20,5.115,5.19,1883100,5.19
2015-05-29,5.15,5.22,5.14,5.15,2371800,5.15
2015-05-28,5.20,5.21,5.11,5.16,3495800,5.16
2015-05-27,5.12,5.20,5.06,5.17,1428800,5.17
2015-05-26,5.05,5.15,5.05,5.14,1485900,5.14
2015-05-25,4.95,5.07,4.95,5.07,2014800,5.07
2015-05-22,4.88,4.99,4.88,4.96,2515900,4.96
2015-05-21,4.82,4.95,4.82,4.92,2586700,4.92
2015-05-20,4.78,4.82,4.69,4.81,1967600,4.81
2015-05-19,4.92,4.92,4.74,4.77,2830000,4.77
2015-05-18,4.94,4.99,4.93,4.94,1341900,4.94
2015-05-15,4.96,4.98,4.875,4.92,2091100,4.92
2015-05-14,4.91,4.95,4.88,4.91,2278500,4.91
2015-05-13,4.92,5.00,4.89,4.93,2563400,4.93
2015-05-12,4.79,4.95,4.73,4.94,3102100,4.94
2015-05-11,4.85,4.93,4.84,4.89,2606500,4.89
2015-05-08,4.80,4.86,4.765,4.81,1844700,4.81
2015-05-07,4.67,4.84,4.67,4.80,1503200,4.80
2015-05-06,4.56,4.86,4.55,4.83,2108100,4.83
2015-05-05,4.68,4.74,4.65,4.70,4419700,4.70
2015-05-04,4.56,4.67,4.54,4.63,1960600,4.63
2015-05-01,4.35,4.60,4.35,4.56,1265100,4.56
2015-04-30,4.40,4.49,4.40,4.43,2294700,4.43
2015-04-29,4.52,4.56,4.50,4.52,1741900,4.52
2015-04-28,4.50,4.56,4.46,4.54,1379500,4.54
2015-04-27,4.40,4.51,4.40,4.50,1331700,4.50
2015-04-24,4.34,4.42,4.325,4.37,1643000,4.37
2015-04-23,4.35,4.40,4.28,4.31,1244900,4.31
2015-04-22,4.32,4.37,4.25,4.34,2229800,4.34
2015-04-21,4.32,4.33,4.29,4.31,1279600,4.31
2015-04-20,4.33,4.33,4.22,4.25,1416900,4.25
2015-04-17,4.38,4.40,4.34,4.36,1683000,4.36
2015-04-16,4.55,4.55,4.37,4.38,1402600,4.38
2015-04-15,4.38,4.43,4.35,4.38,2182000,4.38
2015-04-14,4.35,4.43,4.28,4.39,2141700,4.39
2015-04-13,4.47,4.50,4.33,4.35,844000,4.35
2015-04-10,4.48,4.48,4.39,4.45,512000,4.45
2015-04-09,4.62,4.62,4.45,4.48,985800,4.48
2015-04-08,4.54,4.64,4.50,4.63,1176700,4.63
2015-04-07,4.51,4.54,4.46,4.50,1300600,4.50
2015-04-06,4.51,4.51,4.51,4.51,000,4.51
2015-04-03,4.51,4.51,4.51,4.51,000,4.51
2015-04-02,4.46,4.53,4.42,4.51,1009400,4.51
2015-04-01,4.52,4.52,4.42,4.45,1430300,4.45
2015-03-31,4.55,4.60,4.45,4.47,1240400,4.47
2015-03-30,4.46,4.52,4.42,4.49,1184400,4.49
2015-03-27,4.48,4.58,4.48,4.55,931300,4.55
2015-03-26,4.52,4.565,4.44,4.50,1194300,4.50
2015-03-25,4.60,4.60,4.52,4.58,1245600,4.58
2015-03-24,4.54,4.59,4.47,4.56,1292200,4.56
2015-03-23,4.75,4.75,4.56,4.61,1423800,4.61
2015-03-20,4.55,4.73,4.52,4.71,2134000,4.71
2015-03-19,4.46,4.58,4.45,4.54,2195200,4.54
2015-03-18,4.34,4.38,4.28,4.38,1200600,4.38
2015-03-17,4.41,4.45,4.31,4.35,1326100,4.35
2015-03-16,4.44,4.44,4.33,4.38,1192800,4.38
2015-03-13,4.35,4.44,4.35,4.44,1275600,4.44
2015-03-12,4.32,4.41,4.32,4.35,1187100,4.35
2015-03-11,4.32,4.425,4.29,4.30,2117100,4.30
2015-03-10,4.49,4.49,4.34,4.34,1984500,4.34
2015-03-09,4.42,4.45,4.37,4.40,1507300,4.40
2015-03-06,4.50,4.505,4.365,4.44,1837500,4.44
2015-03-05,4.42,4.51,4.42,4.49,1282900,4.49
2015-03-04,4.50,4.58,4.42,4.42,2070900,4.42
2015-03-03,4.41,4.49,4.41,4.43,2029700,4.43
2015-03-02,4.45,4.45,4.38,4.39,1541100,4.39
2015-02-27,4.44,4.46,4.40,4.42,2491200,4.42
2015-02-26,4.40,4.435,4.35,4.41,2179100,4.41
2015-02-25,4.40,4.50,4.39,4.50,1587200,4.50
2015-02-24,4.37,4.46,4.345,4.40,1540600,4.40
2015-02-23,4.32,4.37,4.295,4.35,2093300,4.35
2015-02-20,4.34,4.34,4.21,4.28,1681400,4.28
2015-02-19,4.40,4.40,4.29,4.30,1331700,4.30
2015-02-18,4.20,4.40,4.175,4.33,2301100,4.33
2015-02-17,4.21,4.26,4.14,4.17,1904600,4.17
2015-02-16,4.39,4.41,4.32,4.34,1342800,4.16857
2015-02-13,4.25,4.41,4.23,4.36,2159300,4.18778
2015-02-12,4.22,4.22,4.14,4.20,2507700,4.0341
2015-02-11,4.27,4.28,4.15,4.17,2629700,4.00529
2015-02-10,4.22,4.285,4.19,4.21,2561500,4.04371
2015-02-09,4.20,4.265,4.15,4.26,2094400,4.09173
2015-02-06,4.40,4.44,4.16,4.22,3354800,4.05331
2015-02-05,4.30,4.45,4.21,4.45,5499400,4.27423
2015-02-04,4.47,4.555,4.43,4.49,2374800,4.31265
2015-02-03,4.15,4.315,4.15,4.27,2855800,4.10134
2015-02-02,4.18,4.20,4.08,4.13,1450900,3.96687
2015-01-30,4.31,4.32,4.21,4.21,1156300,4.04371
2015-01-29,4.18,4.23,4.16,4.23,1259300,4.06292
2015-01-28,4.22,4.31,4.20,4.22,1607000,4.05331
2015-01-27,4.36,4.385,4.21,4.26,1574200,4.09173
2015-01-26,4.35,4.35,4.35,4.35,000,4.17818
2015-01-23,4.28,4.36,4.21,4.35,1832600,4.17818
2015-01-22,4.23,4.28,4.14,4.15,2322500,3.98608
2015-01-21,4.25,4.29,4.18,4.21,1785500,4.04371
2015-01-20,4.25,4.28,4.10,4.23,2667600,4.06292
2015-01-19,4.27,4.38,4.25,4.28,1959600,4.11094
2015-01-16,4.34,4.42,4.28,4.34,1056400,4.16857
2015-01-15,4.49,4.51,4.39,4.41,1657000,4.23581
2015-01-14,4.58,4.64,4.45,4.48,1334300,4.30304
2015-01-13,4.55,4.61,4.51,4.56,951800,4.37988
2015-01-12,4.51,4.64,4.51,4.55,1054100,4.37028
2015-01-09,4.55,4.62,4.51,4.60,930600,4.4183
2015-01-08,4.51,4.56,4.43,4.49,1299600,4.31265
2015-01-07,4.59,4.595,4.43,4.47,1225800,4.29344
2015-01-06,4.67,4.69,4.56,4.60,2049400,4.4183
2015-01-05,4.64,4.79,4.64,4.74,940700,4.55277
2015-01-02,4.73,4.73,4.64,4.70,706600,4.51435
2015-01-01,4.72,4.72,4.72,4.72,000,4.53356
2014-12-31,4.66,4.76,4.65,4.72,547700,4.53356
2014-12-30,4.79,4.79,4.63,4.65,1349800,4.46633
2014-12-29,4.71,4.83,4.64,4.80,829000,4.6104
2014-12-26,4.70,4.70,4.70,4.70,000,4.51435
2014-12-25,4.70,4.70,4.70,4.70,000,4.51435
2014-12-24,4.61,4.70,4.545,4.70,900300,4.51435
2014-12-23,4.71,4.80,4.48,4.58,2200200,4.39909
2014-12-22,4.57,4.715,4.55,4.69,1488000,4.50475
2014-12-19,4.30,4.54,4.29,4.54,2247800,4.36067
2014-12-18,4.20,4.32,4.19,4.24,1578900,4.07252
2014-12-17,3.98,4.09,3.98,4.08,1141800,3.91884
2014-12-16,4.15,4.15,4.04,4.07,1422100,3.90924
2014-12-15,3.97,4.16,3.95,4.14,1378900,3.97647
2014-12-12,4.00,4.07,3.975,4.04,2470400,3.88042
2014-12-11,4.06,4.15,4.02,4.07,1668100,3.90924
2014-12-10,4.05,4.19,4.05,4.14,1521000,3.97647
2014-12-09,4.37,4.41,4.15,4.15,2586600,3.98608
2014-12-08,4.30,4.43,4.29,4.42,1174100,4.24541
2014-12-05,4.40,4.40,4.22,4.31,1463100,4.13976
2014-12-04,4.25,4.32,4.235,4.32,1868400,4.14936
2014-12-03,4.21,4.31,4.21,4.25,1931400,4.08213
2014-12-02,4.20,4.23,4.13,4.21,2245300,4.04371
2014-12-01,4.20,4.24,4.08,4.11,2720600,3.94766
2014-11-28,4.31,4.32,4.25,4.30,1739400,4.13015
2014-11-27,4.38,4.38,4.30,4.31,1134700,4.13976
2014-11-26,4.34,4.40,4.32,4.37,907400,4.19739
2014-11-25,4.31,4.35,4.19,4.34,2508300,4.16857
2014-11-24,4.37,4.42,4.33,4.40,1039100,4.2262
2014-11-21,4.40,4.40,4.28,4.29,1070700,4.12055
2014-11-20,4.28,4.39,4.28,4.34,1660400,4.16857
2014-11-19,4.46,4.46,4.31,4.32,944000,4.14936
2014-11-18,4.46,4.46,4.36,4.41,1242900,4.23581
2014-11-17,4.50,4.52,4.43,4.46,1527000,4.28383
2014-11-14,4.46,4.51,4.37,4.48,964100,4.30304
2014-11-13,4.50,4.52,4.41,4.43,3069400,4.25502
2014-11-12,4.75,4.76,4.53,4.53,1882400,4.35107
2014-11-11,4.69,4.71,4.61,4.70,2490000,4.51435
2014-11-10,4.66,4.68,4.61,4.63,1444000,4.44712
2014-11-07,4.65,4.665,4.59,4.64,2013900,4.45672
2014-11-06,4.76,4.80,4.59,4.62,1121100,4.43751
2014-11-05,4.67,4.85,4.65,4.71,3050700,4.52396
2014-11-04,4.67,4.70,4.60,4.66,2222500,4.47593
2014-11-03,4.76,4.795,4.645,4.66,1711100,4.47593
2014-10-31,4.65,4.76,4.65,4.74,2872600,4.55277
2014-10-30,4.79,4.79,4.55,4.59,3204200,4.4087
2014-10-29,4.66,4.81,4.66,4.76,2247800,4.57198
2014-10-28,4.73,4.76,4.65,4.67,2386100,4.48554
2014-10-27,4.72,4.80,4.69,4.74,2166400,4.55277
2014-10-24,4.62,4.78,4.61,4.70,3065200,4.51435
2014-10-23,4.49,4.69,4.48,4.54,2455100,4.36067
2014-10-22,4.55,4.65,4.47,4.51,2861600,4.33186
2014-10-21,4.29,4.46,4.28,4.45,4038300,4.27423
2014-10-20,4.17,4.33,4.155,4.19,2857400,4.0245
2014-10-17,4.02,4.10,4.015,4.05,4555500,3.89003
2014-10-16,4.01,4.03,3.93,4.02,1833700,3.86121
2014-10-15,4.03,4.06,4.00,4.01,1540500,3.85161
2014-10-14,4.00,4.14,3.94,4.05,2405100,3.89003
2014-10-13,3.99,4.06,3.97,3.98,1479600,3.82279
2014-10-10,4.17,4.19,4.06,4.06,1876600,3.89963
2014-10-09,4.32,4.35,4.27,4.29,1790000,4.12055
2014-10-08,4.23,4.33,4.21,4.29,1378900,4.12055
2014-10-07,4.32,4.33,4.24,4.26,1925600,4.09173
2014-10-06,4.28,4.32,4.24,4.31,752100,4.13976
2014-10-03,4.31,4.335,4.21,4.31,1548500,4.13976
2014-10-02,4.35,4.42,4.34,4.35,1410000,4.17818
2014-10-01,4.34,4.44,4.34,4.41,756500,4.23581
2014-09-30,4.34,4.415,4.32,4.41,2166900,4.23581
2014-09-29,4.36,4.42,4.34,4.35,1005400,4.17818
2014-09-26,4.36,4.44,4.355,4.39,576000,4.2166
2014-09-25,4.50,4.52,4.41,4.43,1682000,4.25502
2014-09-24,4.44,4.49,4.43,4.49,2328900,4.31265
2014-09-23,4.40,4.52,4.40,4.48,1197200,4.30304
2014-09-22,4.59,4.59,4.41,4.43,2140800,4.25502
2014-09-19,4.58,4.64,4.52,4.61,748500,4.42791
2014-09-18,4.64,4.64,4.55,4.58,959400,4.39909
2014-09-17,4.60,4.62,4.555,4.61,797300,4.42791
2014-09-16,4.59,4.63,4.55,4.59,1203100,4.4087
2014-09-15,4.62,4.65,4.59,4.62,846600,4.43751
2014-09-12,4.70,4.73,4.66,4.68,1205500,4.49514
2014-09-11,4.79,4.80,4.68,4.70,1587100,4.51435
2014-09-10,4.76,4.79,4.725,4.77,1906600,4.58159
2014-09-09,4.77,4.81,4.73,4.79,693400,4.6008
2014-09-08,4.76,4.80,4.75,4.77,750900,4.58159
2014-09-05,4.82,4.87,4.75,4.77,2567800,4.58159
2014-09-04,4.87,4.93,4.83,4.86,980600,4.66803
2014-09-03,4.87,4.91,4.81,4.85,811600,4.65843
2014-09-02,4.75,4.90,4.75,4.84,1517200,4.64882
2014-09-01,4.89,4.89,4.80,4.81,1519300,4.62001
2014-08-29,4.84,4.87,4.80,4.87,1467100,4.67764
2014-08-28,4.87,4.89,4.84,4.84,871900,4.64882
2014-08-27,4.89,4.90,4.85,4.90,919300,4.70645
2014-08-26,4.92,4.92,4.84,4.89,1029200,4.69685
2014-08-25,4.87,4.93,4.87,4.89,674300,4.69685
2014-08-22,4.86,4.93,4.83,4.91,1477400,4.71606
2014-08-21,4.94,4.97,4.835,4.88,1456200,4.68724
2014-08-20,4.92,4.95,4.85,4.95,1476200,4.75448
2014-08-19,4.81,4.91,4.78,4.91,2138500,4.71606
2014-08-18,4.80,4.84,4.73,4.75,1553200,4.56238
2014-08-15,4.76,4.805,4.72,4.80,1007300,4.6104
2014-08-14,4.83,4.88,4.82,4.87,3049400,4.51298
2014-08-13,4.83,4.88,4.82,4.84,2479200,4.48518
2014-08-12,4.83,4.87,4.79,4.85,2661100,4.49444
2014-08-11,4.88,4.89,4.82,4.86,2508800,4.50371
2014-08-08,4.88,4.94,4.815,4.84,3532100,4.48518
2014-08-07,4.72,4.93,4.70,4.91,10782200,4.55005
2014-08-06,4.56,4.69,4.52,4.69,7747700,4.34617
2014-08-05,4.80,4.83,4.55,4.58,4231800,4.24424
2014-08-04,4.77,4.79,4.73,4.78,1326900,4.42958
2014-08-01,4.82,4.82,4.70,4.72,1379000,4.37397
2014-07-31,4.85,4.90,4.83,4.87,1048400,4.51298
2014-07-30,4.73,4.87,4.715,4.85,1557300,4.49444
2014-07-29,4.70,4.73,4.66,4.70,954200,4.35544
2014-07-28,4.70,4.72,4.65,4.69,1108200,4.34617
2014-07-25,4.70,4.72,4.64,4.69,1621600,4.34617
2014-07-24,4.77,4.77,4.70,4.72,1764300,4.37397
2014-07-23,4.60,4.75,4.585,4.72,2404000,4.37397
2014-07-22,4.60,4.66,4.565,4.65,1420400,4.30911
2014-07-21,4.56,4.755,4.55,4.63,2385100,4.29057
2014-07-18,4.48,4.56,4.48,4.55,546500,4.21644
2014-07-17,4.56,4.59,4.495,4.52,1381400,4.18864
2014-07-16,4.45,4.535,4.43,4.52,1354600,4.18864
