date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.01,2.09,1.99,2.08,907700,2.08
2015-06-29,2.05,2.06,2.01,2.03,685600,2.03
2015-06-26,2.08,2.09,2.04,2.06,606900,2.06
2015-06-25,2.16,2.17,2.09,2.09,502800,2.09
2015-06-24,2.20,2.20,2.15,2.15,598800,2.15
2015-06-23,2.19,2.20,2.165,2.18,621900,2.18
2015-06-22,2.20,2.20,2.155,2.17,437400,2.17
2015-06-19,2.16,2.22,2.16,2.22,1302300,2.22
2015-06-18,2.15,2.16,2.12,2.14,833800,2.14
2015-06-17,2.21,2.21,2.15,2.17,624100,2.17
2015-06-16,2.15,2.22,2.15,2.20,623400,2.20
2015-06-15,2.21,2.21,2.17,2.19,401600,2.19
2015-06-12,2.20,2.22,2.18,2.20,687600,2.20
2015-06-11,2.17,2.21,2.14,2.20,706400,2.20
2015-06-10,2.12,2.14,2.12,2.13,282600,2.13
2015-06-09,2.15,2.16,2.12,2.12,725900,2.12
2015-06-08,2.15,2.15,2.15,2.15,000,2.15
2015-06-05,2.15,2.17,2.14,2.15,537000,2.15
2015-06-04,2.20,2.21,2.15,2.15,1451500,2.15
2015-06-03,2.20,2.22,2.20,2.21,833600,2.21
2015-06-02,2.22,2.23,2.20,2.21,995900,2.21
2015-06-01,2.20,2.23,2.20,2.21,654200,2.21
2015-05-29,2.21,2.22,2.19,2.20,748100,2.20
2015-05-28,2.21,2.22,2.20,2.21,274400,2.21
2015-05-27,2.23,2.25,2.18,2.21,562400,2.21
2015-05-26,2.22,2.25,2.22,2.23,715900,2.23
2015-05-25,2.19,2.23,2.18,2.22,606500,2.22
2015-05-22,2.23,2.24,2.16,2.16,1055400,2.16
2015-05-21,2.20,2.24,2.18,2.23,832500,2.23
2015-05-20,2.19,2.20,2.18,2.18,592600,2.18
2015-05-19,2.18,2.20,2.17,2.19,788900,2.19
2015-05-18,2.23,2.24,2.17,2.17,583000,2.17
2015-05-15,2.25,2.26,2.22,2.23,1163900,2.23
2015-05-14,2.22,2.26,2.20,2.26,1983400,2.26
2015-05-13,2.17,2.24,2.17,2.21,1729900,2.21
2015-05-12,2.14,2.16,2.12,2.14,1346700,2.14
2015-05-11,2.12,2.16,2.11,2.14,725200,2.14
