date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.30,2.33,2.29,2.31,7164600,2.31
2015-06-29,2.31,2.33,2.29,2.32,9829900,2.32
2015-06-26,2.39,2.40,2.34,2.36,12502000,2.36
2015-06-25,2.52,2.52,2.50,2.50,3509500,2.4125
2015-06-24,2.53,2.53,2.495,2.52,3691900,2.4318
2015-06-23,2.50,2.53,2.50,2.52,5492400,2.4318
2015-06-22,2.47,2.50,2.47,2.50,5704200,2.4125
2015-06-19,2.47,2.48,2.45,2.47,7818300,2.38355
2015-06-18,2.45,2.48,2.44,2.45,12458600,2.36425
2015-06-17,2.47,2.49,2.47,2.48,4166600,2.3932
2015-06-16,2.48,2.49,2.47,2.48,5547600,2.3932
2015-06-15,2.48,2.50,2.48,2.49,3901700,2.40285
2015-06-12,2.51,2.52,2.48,2.51,24355900,2.42215
2015-06-11,2.48,2.51,2.47,2.50,3894100,2.4125
2015-06-10,2.47,2.49,2.45,2.49,2981400,2.40285
2015-06-09,2.46,2.50,2.45,2.49,5524600,2.40285
2015-06-08,2.49,2.49,2.49,2.49,000,2.40285
2015-06-05,2.48,2.495,2.46,2.49,2694700,2.40285
2015-06-04,2.51,2.52,2.47,2.49,5419000,2.40285
2015-06-03,2.52,2.53,2.495,2.52,6285000,2.4318
2015-06-02,2.55,2.555,2.53,2.54,5135700,2.4511
2015-06-01,2.55,2.55,2.53,2.55,5727000,2.46075
2015-05-29,2.52,2.55,2.51,2.55,6489200,2.46075
2015-05-28,2.52,2.53,2.51,2.51,8009200,2.42215
2015-05-27,2.51,2.535,2.485,2.52,6153000,2.4318
2015-05-26,2.52,2.56,2.52,2.53,3082500,2.44145
2015-05-25,2.52,2.56,2.51,2.52,5031300,2.4318
2015-05-22,2.52,2.52,2.51,2.52,1851300,2.4318
2015-05-21,2.47,2.51,2.47,2.51,7233100,2.42215
2015-05-20,2.48,2.50,2.47,2.49,8375400,2.40285
2015-05-19,2.48,2.505,2.47,2.49,4524700,2.40285
2015-05-18,2.49,2.51,2.48,2.49,3138700,2.40285
2015-05-15,2.51,2.52,2.49,2.50,3320900,2.4125
2015-05-14,2.49,2.51,2.46,2.50,3236800,2.4125
2015-05-13,2.52,2.52,2.49,2.50,5597100,2.4125
2015-05-12,2.48,2.51,2.47,2.51,3890300,2.42215
2015-05-11,2.51,2.51,2.485,2.49,2255000,2.40285
2015-05-08,2.47,2.51,2.47,2.49,4251000,2.40285
2015-05-07,2.48,2.52,2.47,2.48,8154400,2.3932
2015-05-06,2.51,2.51,2.47,2.50,11670400,2.4125
2015-05-05,2.53,2.54,2.51,2.52,7348600,2.4318
2015-05-04,2.51,2.55,2.51,2.52,5493300,2.4318
2015-05-01,2.54,2.54,2.45,2.52,7225600,2.4318
