date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,7.12,7.33,7.10,7.30,5249200,7.30
2015-06-29,7.24,7.37,7.17,7.21,3148300,7.21
2015-06-26,7.34,7.34,7.22,7.34,4906700,7.34
2015-06-25,7.60,7.72,7.55,7.59,2603800,7.3764
2015-06-24,7.75,7.75,7.61,7.70,2838500,7.4833
2015-06-23,7.78,7.80,7.66,7.80,2767500,7.58049
2015-06-22,7.57,7.76,7.56,7.74,2889900,7.52218
2015-06-19,7.44,7.625,7.41,7.53,5939200,7.31809
2015-06-18,7.43,7.50,7.28,7.37,4667100,7.16259
2015-06-17,7.51,7.52,7.44,7.48,6032700,7.2695
2015-06-16,7.50,7.52,7.40,7.40,5681800,7.19175
2015-06-15,7.43,7.49,7.39,7.49,3260300,7.27921
2015-06-12,7.50,7.55,7.42,7.49,1882900,7.27921
2015-06-11,7.52,7.53,7.455,7.48,2119300,7.2695
2015-06-10,7.46,7.54,7.39,7.53,2566600,7.31809
2015-06-09,7.56,7.59,7.45,7.48,2540500,7.2695
2015-06-08,7.50,7.50,7.50,7.50,000,7.28893
2015-06-05,7.53,7.63,7.445,7.50,2804200,7.28893
2015-06-04,7.75,7.75,7.53,7.56,2392700,7.34724
2015-06-03,7.66,7.75,7.61,7.75,3552200,7.5319
2015-06-02,7.91,7.92,7.71,7.72,3626500,7.50274
2015-06-01,7.90,7.99,7.77,7.98,2834200,7.75542
2015-05-29,7.80,8.01,7.795,8.01,7339800,7.78458
2015-05-28,7.90,7.90,7.71,7.82,2317900,7.59993
2015-05-27,7.73,7.83,7.655,7.81,3578300,7.59021
2015-05-26,7.58,7.81,7.56,7.81,4182900,7.59021
2015-05-25,7.70,7.70,7.55,7.57,1928100,7.35696
2015-05-22,7.53,7.64,7.505,7.62,2481600,7.40556
2015-05-21,7.48,7.53,7.43,7.46,1957800,7.25006
2015-05-20,7.40,7.51,7.39,7.50,2072800,7.28893
2015-05-19,7.47,7.475,7.36,7.42,1923000,7.21118
2015-05-18,7.40,7.54,7.40,7.45,2798200,7.24034
2015-05-15,7.56,7.56,7.40,7.50,1826100,7.28893
2015-05-14,7.36,7.47,7.32,7.47,1902800,7.25978
2015-05-13,7.41,7.48,7.34,7.40,2525600,7.19175
2015-05-12,7.35,7.44,7.26,7.43,3221100,7.2209
2015-05-11,7.39,7.44,7.32,7.35,1894600,7.14315
2015-05-08,7.29,7.42,7.29,7.34,2682300,7.13344
2015-05-07,7.30,7.37,7.275,7.32,4210500,7.114
2015-05-06,7.59,7.61,7.37,7.39,4004800,7.18203
2015-05-05,7.60,7.70,7.555,7.61,5790400,7.39584
2015-05-04,7.47,7.58,7.40,7.53,2719500,7.31809
2015-05-01,7.30,7.48,7.27,7.44,5986800,7.23062
2015-04-30,7.33,7.39,7.23,7.38,4201900,7.17231
2015-04-29,7.34,7.445,7.34,7.37,2918500,7.16259
2015-04-28,7.42,7.48,7.37,7.39,2686400,7.18203
2015-04-27,7.44,7.49,7.415,7.47,1179200,7.25978
2015-04-24,7.46,7.48,7.385,7.44,2020900,7.23062
2015-04-23,7.35,7.40,7.33,7.38,2759200,7.17231
2015-04-22,7.35,7.415,7.30,7.37,5049500,7.16259
2015-04-21,7.67,7.69,7.49,7.55,2586700,7.33753
2015-04-20,7.50,7.605,7.43,7.58,2759700,7.36668
2015-04-17,7.62,7.69,7.52,7.55,1749300,7.33753
2015-04-16,7.57,7.70,7.51,7.68,2945300,7.46387
2015-04-15,7.72,7.72,7.50,7.56,3062500,7.34724
2015-04-14,7.85,7.85,7.64,7.67,2663900,7.45415
2015-04-13,7.76,7.84,7.71,7.83,2372200,7.60965
2015-04-10,7.76,7.78,7.68,7.76,1075400,7.54162
2015-04-09,7.78,7.78,7.70,7.74,1991300,7.52218
2015-04-08,7.66,7.78,7.62,7.78,7044800,7.56105
2015-04-07,7.68,7.72,7.57,7.62,2353800,7.40556
2015-04-06,7.60,7.60,7.60,7.60,000,7.38612
2015-04-03,7.60,7.60,7.60,7.60,000,7.38612
2015-04-02,7.61,7.66,7.55,7.60,3178800,7.38612
2015-04-01,7.54,7.68,7.48,7.57,3543100,7.35696
2015-03-31,7.76,7.83,7.58,7.58,4255500,7.36668
2015-03-30,7.71,7.71,7.63,7.67,2300400,7.45415
2015-03-27,7.58,7.72,7.58,7.71,2444200,7.49302
2015-03-26,7.72,7.74,7.56,7.57,5446700,7.35696
2015-03-25,7.88,7.89,7.68,7.72,5289400,7.50274
2015-03-24,7.66,7.78,7.65,7.73,1501200,7.51246
2015-03-23,7.70,7.79,7.65,7.71,1377500,7.49302
2015-03-20,7.63,7.77,7.55,7.73,3452700,7.51246
2015-03-19,7.70,7.75,7.63,7.74,5012200,7.52218
2015-03-18,7.54,7.58,7.37,7.48,2628900,7.2695
2015-03-17,7.72,7.79,7.54,7.54,2374800,7.32781
