date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.31,4.36,4.27,4.36,3331000,4.36
2015-06-29,4.36,4.39,4.29,4.33,3195200,4.33
2015-06-26,4.41,4.43,4.36,4.40,3155900,4.40
2015-06-25,4.46,4.48,4.39,4.48,5227700,4.48
2015-06-24,4.47,4.47,4.40,4.45,1240500,4.45
2015-06-23,4.40,4.47,4.39,4.46,3098800,4.46
2015-06-22,4.39,4.41,4.34,4.37,3573100,4.37
2015-06-19,4.39,4.47,4.37,4.38,2405200,4.38
2015-06-18,4.35,4.405,4.34,4.37,3079800,4.37
2015-06-17,4.36,4.45,4.34,4.40,1729400,4.40
2015-06-16,4.41,4.44,4.345,4.35,770500,4.35
2015-06-15,4.36,4.43,4.35,4.36,1972500,4.36
2015-06-12,4.36,4.43,4.36,4.38,1447400,4.38
2015-06-11,4.40,4.47,4.37,4.41,1810400,4.41
2015-06-10,4.38,4.45,4.36,4.41,904400,4.41
2015-06-09,4.41,4.50,4.40,4.43,2862800,4.43
2015-06-08,4.46,4.46,4.46,4.46,000,4.46
2015-06-05,4.43,4.50,4.41,4.46,1361500,4.46
2015-06-04,4.52,4.55,4.40,4.42,2202200,4.42
2015-06-03,4.50,4.54,4.41,4.47,6689400,4.47
2015-06-02,4.64,4.67,4.52,4.54,2116900,4.54
2015-06-01,4.60,4.68,4.55,4.67,2476700,4.67
2015-05-29,4.58,4.74,4.58,4.68,3313500,4.68
2015-05-28,4.58,4.61,4.47,4.60,2492100,4.60
2015-05-27,4.58,4.62,4.42,4.47,6902600,4.47
2015-05-26,4.47,4.57,4.47,4.54,2243000,4.54
2015-05-25,4.38,4.50,4.36,4.49,2830600,4.49
2015-05-22,4.42,4.43,4.325,4.40,3100900,4.40
2015-05-21,4.41,4.43,4.37,4.40,2545500,4.40
2015-05-20,4.32,4.38,4.31,4.34,2907100,4.34
2015-05-19,4.35,4.40,4.27,4.36,3145800,4.36
2015-05-18,4.53,4.545,4.36,4.38,2008000,4.38
2015-05-15,4.52,4.55,4.48,4.51,973700,4.51
2015-05-14,4.36,4.50,4.36,4.49,1705400,4.49
2015-05-13,4.40,4.46,4.37,4.43,3565100,4.43
2015-05-12,4.33,4.43,4.33,4.40,4636500,4.40
2015-05-11,4.42,4.46,4.37,4.39,1787600,4.39
2015-05-08,4.33,4.44,4.33,4.41,1865600,4.41
2015-05-07,4.41,4.49,4.32,4.41,3232000,4.41
2015-05-06,4.51,4.61,4.48,4.50,2328900,4.50
