date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.071,0.085,0.069,0.081,3116500,0.081
2015-06-29,0.074,0.074,0.071,0.072,1581200,0.072
2015-06-26,0.071,0.0745,0.07,0.074,509700,0.074
2015-06-25,0.074,0.074,0.071,0.071,2157700,0.071
2015-06-24,0.078,0.078,0.071,0.073,3754600,0.073
2015-06-23,0.079,0.079,0.074,0.076,297600,0.076
2015-06-22,0.079,0.08,0.075,0.077,955100,0.077
2015-06-19,0.083,0.084,0.075,0.076,793200,0.076
2015-06-18,0.089,0.089,0.082,0.082,1751600,0.082
2015-06-17,0.092,0.094,0.089,0.089,1123700,0.089
2015-06-16,0.095,0.095,0.092,0.092,491900,0.092
2015-06-15,0.096,0.097,0.096,0.096,302200,0.096
2015-06-12,0.098,0.099,0.096,0.096,261900,0.096
2015-06-11,0.10,0.10,0.097,0.099,122000,0.099
2015-06-10,0.10,0.10,0.096,0.10,291300,0.10
2015-06-09,0.098,0.10,0.096,0.10,627300,0.10
2015-06-08,0.098,0.098,0.098,0.098,000,0.098
2015-06-05,0.10,0.10,0.095,0.098,992200,0.098
2015-06-04,0.10,0.105,0.10,0.105,84800,0.105
2015-06-03,0.099,0.105,0.099,0.105,324800,0.105
2015-06-02,0.098,0.098,0.097,0.098,186400,0.098
2015-06-01,0.105,0.105,0.098,0.098,495800,0.098
2015-05-29,0.105,0.105,0.099,0.099,2032400,0.099
2015-05-28,0.10,0.105,0.10,0.105,197500,0.105
2015-05-27,0.105,0.105,0.10,0.10,305400,0.10
2015-05-26,0.102,0.105,0.102,0.105,59400,0.105
2015-05-25,0.105,0.105,0.10,0.10,903400,0.10
2015-05-22,0.10,0.11,0.10,0.10,42000,0.10
2015-05-21,0.105,0.105,0.10,0.10,902600,0.10
2015-05-20,0.105,0.105,0.10,0.10,162600,0.10
2015-05-19,0.105,0.105,0.10,0.10,421500,0.10
2015-05-18,0.105,0.105,0.10,0.105,46400,0.105
2015-05-15,0.105,0.105,0.10,0.105,218700,0.105
2015-05-14,0.105,0.105,0.10,0.10,45100,0.10
2015-05-13,0.105,0.105,0.099,0.10,3774200,0.10
2015-05-12,0.10,0.105,0.10,0.10,1709400,0.10
2015-05-11,0.105,0.105,0.10,0.105,297900,0.105
2015-05-08,0.099,0.105,0.099,0.099,1490500,0.099
2015-05-07,0.10,0.10,0.098,0.099,135400,0.099
2015-05-06,0.10,0.105,0.099,0.099,1379100,0.099
2015-05-05,0.105,0.105,0.097,0.098,2660600,0.098
2015-05-04,0.11,0.11,0.10,0.10,2770800,0.10
2015-05-01,0.102,0.105,0.10,0.10,735200,0.10
2015-04-30,0.105,0.11,0.10,0.10,2092700,0.10
