date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.29,2.32,2.25,2.32,186300,2.32
2015-06-29,2.28,2.31,2.22,2.31,318500,2.31
2015-06-26,2.40,2.40,2.30,2.32,140300,2.32
2015-06-25,2.38,2.38,2.33,2.38,196000,2.38
2015-06-24,2.40,2.40,2.36,2.38,164500,2.38
2015-06-23,2.38,2.44,2.36,2.39,643500,2.39
2015-06-22,2.39,2.39,2.35,2.35,387000,2.35
2015-06-19,2.40,2.40,2.34,2.39,777500,2.39
2015-06-18,2.38,2.39,2.36,2.38,355300,2.38
2015-06-17,2.38,2.40,2.36,2.38,153900,2.38
2015-06-16,2.35,2.40,2.35,2.38,267600,2.38
2015-06-15,2.43,2.44,2.37,2.37,252700,2.37
2015-06-12,2.41,2.46,2.41,2.44,300100,2.44
2015-06-11,2.50,2.50,2.41,2.42,206600,2.42
2015-06-10,2.49,2.49,2.43,2.47,353100,2.47
2015-06-09,2.50,2.50,2.42,2.45,831300,2.45
2015-06-08,2.44,2.44,2.44,2.44,000,2.44
2015-06-05,2.40,2.45,2.40,2.44,879000,2.44
2015-06-04,2.53,2.53,2.41,2.45,499200,2.45
2015-06-03,2.53,2.55,2.47,2.50,755500,2.50
2015-06-02,2.58,2.60,2.51,2.52,465700,2.52
2015-06-01,2.59,2.61,2.56,2.58,336400,2.58
2015-05-29,2.55,2.60,2.53,2.58,848300,2.58
2015-05-28,2.55,2.55,2.53,2.55,444800,2.55
2015-05-27,2.50,2.55,2.49,2.55,364800,2.55
2015-05-26,2.49,2.50,2.48,2.50,316100,2.50
2015-05-25,2.41,2.50,2.41,2.50,434800,2.50
2015-05-22,2.46,2.46,2.40,2.42,234300,2.42
2015-05-21,2.42,2.49,2.42,2.46,366200,2.46
2015-05-20,2.43,2.46,2.41,2.45,145200,2.45
2015-05-19,2.47,2.48,2.41,2.41,153000,2.41
2015-05-18,2.48,2.50,2.46,2.47,153800,2.47
2015-05-15,2.48,2.49,2.45,2.49,111000,2.49
2015-05-14,2.46,2.46,2.44,2.45,374800,2.45
2015-05-13,2.45,2.48,2.44,2.45,332800,2.45
2015-05-12,2.44,2.48,2.44,2.45,384200,2.45
2015-05-11,2.50,2.54,2.44,2.44,251400,2.44
2015-05-08,2.45,2.55,2.44,2.49,183100,2.49
2015-05-07,2.51,2.52,2.44,2.44,294800,2.44
2015-05-06,2.59,2.59,2.50,2.50,467200,2.50
2015-05-05,2.58,2.59,2.54,2.56,419500,2.56
2015-05-04,2.54,2.59,2.53,2.57,569600,2.57
