date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.38,0.395,0.36,0.39,2706800,0.39
2015-06-29,0.38,0.39,0.365,0.375,2611000,0.375
2015-06-26,0.385,0.385,0.37,0.38,806100,0.38
2015-06-25,0.375,0.39,0.37,0.385,924200,0.385
2015-06-24,0.375,0.385,0.37,0.38,1384900,0.38
2015-06-23,0.365,0.39,0.36,0.375,2247200,0.375
2015-06-22,0.335,0.375,0.335,0.37,2586100,0.37
2015-06-19,0.375,0.38,0.335,0.335,3904000,0.335
2015-06-18,0.41,0.42,0.342,0.355,6854200,0.355
2015-06-17,0.395,0.45,0.365,0.39,6997000,0.39
2015-06-16,0.47,0.48,0.40,0.40,8734000,0.40
2015-06-15,0.57,0.595,0.482,0.50,10098600,0.50
2015-06-12,0.93,0.93,0.62,0.67,8782100,0.67
2015-06-11,1.29,1.295,1.26,1.295,91000,1.295
2015-06-10,1.265,1.29,1.25,1.29,137300,1.29
2015-06-09,1.29,1.295,1.27,1.29,173500,1.29
2015-06-08,1.295,1.295,1.295,1.295,000,1.295
2015-06-05,1.28,1.295,1.27,1.295,103600,1.295
2015-06-04,1.28,1.295,1.26,1.295,97100,1.295
2015-06-03,1.27,1.30,1.27,1.28,301600,1.28
2015-06-02,1.33,1.33,1.285,1.30,267100,1.30
2015-06-01,1.345,1.35,1.305,1.33,235900,1.33
2015-05-29,1.35,1.35,1.30,1.345,444500,1.345
2015-05-28,1.34,1.345,1.32,1.34,95600,1.34
2015-05-27,1.33,1.345,1.32,1.345,124800,1.345
2015-05-26,1.325,1.34,1.315,1.34,73200,1.34
2015-05-25,1.345,1.345,1.325,1.34,93700,1.34
2015-05-22,1.32,1.35,1.315,1.345,123100,1.345
2015-05-21,1.34,1.35,1.32,1.34,236300,1.34
2015-05-20,1.36,1.365,1.33,1.35,217500,1.35
2015-05-19,1.36,1.37,1.34,1.35,206600,1.35
2015-05-18,1.38,1.38,1.345,1.36,249900,1.36
2015-05-15,1.35,1.38,1.345,1.38,491700,1.38
