date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.21,1.225,1.135,1.15,9357200,1.15
2015-06-29,1.155,1.225,1.15,1.205,13993900,1.205
2015-06-26,1.17,1.175,1.145,1.16,8676900,1.16
2015-06-25,1.18,1.185,1.145,1.17,9478400,1.17
2015-06-24,1.24,1.245,1.18,1.185,7157400,1.185
2015-06-23,1.24,1.27,1.23,1.24,13205700,1.24
2015-06-22,1.235,1.262,1.215,1.24,16159300,1.24
2015-06-19,1.26,1.29,1.225,1.245,87151800,1.245
2015-06-18,1.265,1.305,1.26,1.265,12768900,1.265
2015-06-17,1.255,1.28,1.255,1.265,11165900,1.265
2015-06-16,1.255,1.275,1.255,1.265,12155400,1.265
2015-06-15,1.27,1.29,1.25,1.26,15073800,1.26
2015-06-12,1.20,1.23,1.175,1.21,5380700,1.21
2015-06-11,1.18,1.235,1.175,1.21,8080500,1.21
2015-06-10,1.16,1.175,1.15,1.155,6990000,1.155
2015-06-09,1.145,1.1675,1.125,1.135,6475900,1.135
2015-06-08,1.115,1.115,1.115,1.115,000,1.115
2015-06-05,1.10,1.13,1.09,1.115,7244400,1.115
2015-06-04,1.14,1.145,1.105,1.105,4423800,1.105
2015-06-03,1.15,1.17,1.132,1.14,3622400,1.14
2015-06-02,1.125,1.1425,1.11,1.14,9771700,1.14
2015-06-01,1.14,1.155,1.11,1.13,8728300,1.13
2015-05-29,1.05,1.205,1.05,1.175,18707700,1.175
2015-05-28,1.175,1.175,1.175,1.175,000,1.175
2015-05-27,1.175,1.175,1.175,1.175,000,1.175
2015-05-26,1.175,1.175,1.175,1.175,000,1.175
2015-05-25,1.175,1.175,1.175,1.175,000,1.175
2015-05-22,1.135,1.185,1.13,1.175,2536900,1.175
2015-05-21,1.12,1.155,1.115,1.125,3043200,1.125
2015-05-20,1.16,1.165,1.11,1.12,2963500,1.12
2015-05-19,1.22,1.225,1.17,1.18,3485100,1.18
2015-05-18,1.18,1.215,1.175,1.20,3300500,1.20
2015-05-15,1.23,1.24,1.155,1.165,3692300,1.165
2015-05-14,1.225,1.25,1.21,1.225,4834200,1.225
2015-05-13,1.14,1.19,1.135,1.175,3146600,1.175
2015-05-12,1.16,1.16,1.13,1.14,3607100,1.14
2015-05-11,1.14,1.20,1.135,1.16,3063700,1.16
2015-05-08,1.115,1.145,1.107,1.13,3742600,1.13
2015-05-07,1.09,1.145,1.085,1.11,4759200,1.11
2015-05-06,1.04,1.13,1.035,1.105,5793100,1.105
2015-05-05,1.03,1.05,1.02,1.035,2785200,1.035
2015-05-04,0.97,1.035,0.97,1.025,2114700,1.025
2015-05-01,0.965,0.995,0.96,0.985,1693700,0.985
2015-04-30,1.05,1.06,1.00,1.00,3372900,1.00
2015-04-29,1.045,1.06,1.02,1.025,2505600,1.025
2015-04-28,1.01,1.04,1.005,1.03,3467500,1.03
2015-04-27,0.98,0.995,0.97,0.98,2185500,0.98
2015-04-24,0.97,1.01,0.962,1.01,3116300,1.01
2015-04-23,0.96,0.972,0.925,0.965,4707100,0.965
2015-04-22,0.90,1.00,0.895,0.99,7302000,0.99
2015-04-21,0.905,0.905,0.87,0.895,4654500,0.895
2015-04-20,0.93,0.93,0.902,0.915,4474400,0.915
2015-04-17,0.905,0.935,0.905,0.93,2229800,0.93
2015-04-16,0.905,0.93,0.90,0.915,2682300,0.915
2015-04-15,0.875,0.895,0.87,0.885,1910500,0.885
2015-04-14,0.875,0.90,0.87,0.885,1566000,0.885
2015-04-13,0.90,0.915,0.875,0.885,1848200,0.885
2015-04-10,0.875,0.89,0.87,0.885,2080700,0.885
2015-04-09,0.91,0.91,0.88,0.895,2855100,0.895
2015-04-08,0.91,0.93,0.905,0.915,3610000,0.915
2015-04-07,0.89,0.91,0.89,0.905,2245600,0.905
2015-04-06,0.875,0.875,0.875,0.875,000,0.875
2015-04-03,0.875,0.875,0.875,0.875,000,0.875
2015-04-02,0.855,0.875,0.845,0.875,4626700,0.875
2015-04-01,0.845,0.875,0.815,0.82,3215100,0.82
2015-03-31,0.815,0.855,0.81,0.855,8138700,0.855
2015-03-30,0.84,0.855,0.82,0.83,2070700,0.83
2015-03-27,0.85,0.87,0.825,0.84,2989200,0.84
2015-03-26,0.825,0.85,0.815,0.85,1968300,0.85
2015-03-25,0.84,0.85,0.825,0.83,4793100,0.83
2015-03-24,0.82,0.825,0.805,0.825,4754300,0.825
2015-03-23,0.785,0.81,0.78,0.80,4180000,0.80
2015-03-20,0.745,0.77,0.74,0.76,6799100,0.76
2015-03-19,0.74,0.75,0.73,0.745,5156600,0.745
2015-03-18,0.72,0.73,0.68,0.71,5636400,0.71
2015-03-17,0.785,0.79,0.72,0.725,6345600,0.725
2015-03-16,0.785,0.785,0.76,0.765,4415700,0.765
2015-03-13,0.82,0.822,0.79,0.79,2157800,0.79
2015-03-12,0.81,0.83,0.805,0.825,4334800,0.825
2015-03-11,0.775,0.825,0.755,0.82,4321900,0.82
2015-03-10,0.81,0.81,0.765,0.79,4308700,0.79
2015-03-09,0.83,0.84,0.795,0.805,5189700,0.805
2015-03-06,0.89,0.895,0.852,0.865,2299100,0.865
2015-03-05,0.86,0.89,0.855,0.89,4889800,0.89
2015-03-04,0.855,0.86,0.845,0.855,4111200,0.855
2015-03-03,0.845,0.855,0.825,0.84,4813800,0.84
2015-03-02,0.87,0.88,0.85,0.85,5785900,0.85
2015-02-27,0.85,0.86,0.83,0.845,134674100,0.845
2015-02-26,0.925,0.945,0.915,0.935,1375200,0.935
2015-02-25,0.92,0.945,0.902,0.935,3134600,0.935
2015-02-24,0.925,0.93,0.915,0.915,1787300,0.905
2015-02-23,0.92,0.94,0.895,0.93,2136800,0.91984
2015-02-20,0.96,0.965,0.905,0.905,3340800,0.89511
2015-02-19,0.97,0.97,0.95,0.96,1795200,0.94951
2015-02-18,0.98,0.98,0.94,0.95,1894000,0.93962
2015-02-17,0.985,0.995,0.955,0.97,966500,0.9594
2015-02-16,0.98,0.995,0.97,0.98,992800,0.96929
2015-02-13,0.965,0.995,0.965,0.98,2852400,0.96929
2015-02-12,0.95,0.99,0.945,0.95,3191600,0.93962
2015-02-11,1.005,1.01,0.975,0.975,1582300,0.96434
2015-02-10,1.005,1.035,1.005,1.02,1174600,1.00885
2015-02-09,0.98,1.025,0.98,1.00,2345500,0.98907
2015-02-06,1.04,1.05,1.035,1.035,1863800,1.02369
