date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.375,0.375,0.365,0.365,584800,0.365
2015-06-29,0.375,0.375,0.36,0.36,478000,0.36
2015-06-26,0.38,0.38,0.365,0.37,269000,0.37
2015-06-25,0.375,0.38,0.365,0.365,89700,0.365
2015-06-24,0.38,0.38,0.365,0.365,221500,0.365
2015-06-23,0.385,0.385,0.365,0.365,251400,0.365
2015-06-22,0.39,0.395,0.365,0.365,237400,0.365
2015-06-19,0.365,0.385,0.365,0.385,692200,0.385
2015-06-18,0.365,0.375,0.36,0.375,1297800,0.375
2015-06-17,0.365,0.38,0.365,0.38,315600,0.38
2015-06-16,0.37,0.375,0.365,0.37,684000,0.37
2015-06-15,0.365,0.38,0.365,0.365,232500,0.365
2015-06-12,0.365,0.38,0.365,0.365,198400,0.365
2015-06-11,0.365,0.375,0.365,0.37,385400,0.37
2015-06-10,0.37,0.37,0.365,0.365,677900,0.365
2015-06-09,0.38,0.38,0.365,0.37,286400,0.37
2015-06-08,0.38,0.38,0.38,0.38,000,0.38
2015-06-05,0.37,0.38,0.365,0.38,351900,0.38
2015-06-04,0.37,0.375,0.365,0.365,430800,0.365
2015-06-03,0.385,0.385,0.365,0.37,175400,0.37
2015-06-02,0.365,0.385,0.365,0.375,187100,0.375
2015-06-01,0.375,0.375,0.365,0.365,194400,0.365
2015-05-29,0.365,0.385,0.365,0.375,439900,0.375
2015-05-28,0.37,0.375,0.365,0.37,434600,0.37
2015-05-27,0.37,0.385,0.37,0.37,137700,0.37
2015-05-26,0.38,0.385,0.37,0.37,239600,0.37
2015-05-25,0.39,0.39,0.38,0.38,46500,0.38
2015-05-22,0.38,0.39,0.375,0.39,549000,0.39
2015-05-21,0.37,0.375,0.37,0.37,179500,0.37
2015-05-20,0.365,0.38,0.365,0.365,2189900,0.365
2015-05-19,0.38,0.38,0.365,0.365,557500,0.365
2015-05-18,0.38,0.382,0.365,0.375,613000,0.375
2015-05-15,0.38,0.385,0.375,0.375,128400,0.375
2015-05-14,0.39,0.39,0.375,0.38,372500,0.38
2015-05-13,0.38,0.39,0.38,0.39,343200,0.39
2015-05-12,0.38,0.385,0.38,0.38,695900,0.38
2015-05-11,0.38,0.385,0.38,0.385,3473800,0.385
2015-05-08,0.39,0.395,0.38,0.38,494600,0.38
2015-05-07,0.395,0.40,0.382,0.39,1017200,0.39
2015-05-06,0.41,0.427,0.40,0.405,246400,0.405
2015-05-05,0.45,0.45,0.44,0.445,75200,0.445
2015-05-04,0.44,0.45,0.43,0.45,979100,0.45
2015-05-01,0.43,0.44,0.43,0.44,2406600,0.44
2015-04-30,0.425,0.435,0.42,0.435,733600,0.435
2015-04-29,0.435,0.435,0.42,0.42,449900,0.42
2015-04-28,0.435,0.435,0.427,0.43,4439300,0.43
2015-04-27,0.43,0.45,0.43,0.44,673400,0.44
2015-04-24,0.40,0.42,0.40,0.42,325100,0.42
2015-04-23,0.40,0.40,0.39,0.395,846000,0.395
2015-04-22,0.39,0.40,0.387,0.40,6601700,0.40
2015-04-21,0.39,0.39,0.385,0.385,81800,0.385
2015-04-20,0.385,0.39,0.385,0.385,223600,0.385
2015-04-17,0.385,0.39,0.38,0.385,1371500,0.385
2015-04-16,0.385,0.39,0.385,0.385,82300,0.385
2015-04-15,0.39,0.39,0.38,0.39,464700,0.39
2015-04-14,0.39,0.39,0.385,0.39,253400,0.39
2015-04-13,0.385,0.39,0.385,0.385,372400,0.385
2015-04-10,0.387,0.39,0.385,0.39,428500,0.39
2015-04-09,0.39,0.39,0.385,0.385,147300,0.385
