date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,7.19,7.225,7.17,7.21,1802300,7.21
2015-06-29,7.18,7.23,7.15,7.20,926900,7.20
2015-06-26,7.26,7.29,7.22,7.25,1170400,7.25
2015-06-25,7.35,7.35,7.23,7.23,651200,7.23
2015-06-24,7.29,7.35,7.24,7.32,922900,7.32
2015-06-23,7.35,7.36,7.27,7.31,1038100,7.31
2015-06-22,7.40,7.42,7.32,7.35,744500,7.35
2015-06-19,7.39,7.45,7.33,7.41,962400,7.41
2015-06-18,7.42,7.47,7.35,7.40,1345000,7.40
2015-06-17,7.52,7.52,7.36,7.43,1260800,7.43
2015-06-16,7.60,7.61,7.52,7.54,357000,7.54
2015-06-15,7.69,7.69,7.59,7.66,719900,7.66
2015-06-12,7.75,7.79,7.71,7.73,1000500,7.73
2015-06-11,7.83,7.85,7.76,7.80,727800,7.80
2015-06-10,7.74,7.83,7.70,7.80,433600,7.80
2015-06-09,7.82,7.88,7.71,7.74,655500,7.74
2015-06-08,7.80,7.80,7.80,7.80,000,7.80
2015-06-05,7.71,7.84,7.71,7.80,516200,7.80
2015-06-04,7.81,7.86,7.71,7.72,1569000,7.72
2015-06-03,7.88,7.90,7.76,7.76,944500,7.76
2015-06-02,8.03,8.06,7.94,7.94,949100,7.94
2015-06-01,8.08,8.09,7.92,7.95,372500,7.95
2015-05-29,8.11,8.17,8.09,8.11,699900,8.11
2015-05-28,8.08,8.14,8.02,8.08,466300,8.08
2015-05-27,8.00,8.06,7.99,8.03,499000,8.03
2015-05-26,7.98,8.11,7.97,8.06,666200,8.06
2015-05-25,7.95,8.02,7.95,7.97,468700,7.97
2015-05-22,8.05,8.10,7.94,7.94,717600,7.94
2015-05-21,8.09,8.09,7.98,8.02,1155200,8.02
2015-05-20,8.04,8.10,8.02,8.07,641400,8.07
2015-05-19,8.04,8.105,8.02,8.02,833200,8.02
2015-05-18,7.98,8.06,7.98,8.04,328900,8.04
2015-05-15,8.02,8.04,7.97,8.01,480900,8.01
2015-05-14,7.98,8.08,7.97,8.03,479800,8.03
2015-05-13,8.10,8.12,7.98,8.02,1006400,8.02
2015-05-12,7.94,8.10,7.94,8.10,914400,8.10
2015-05-11,8.03,8.03,7.915,7.96,577800,7.96
2015-05-08,7.92,8.06,7.92,7.96,626600,7.96
2015-05-07,7.73,7.89,7.72,7.88,568900,7.88
2015-05-06,7.90,7.93,7.76,7.83,1045400,7.83
2015-05-05,8.02,8.08,7.96,8.02,981300,8.02
2015-05-04,7.96,8.08,7.94,8.02,377400,8.02
2015-05-01,7.87,8.01,7.87,8.01,1037500,8.01
2015-04-30,7.85,7.94,7.82,7.92,968400,7.92
2015-04-29,7.99,8.01,7.90,7.95,1807200,7.95
2015-04-28,8.07,8.10,7.97,7.99,536900,7.99
2015-04-27,8.02,8.13,7.98,8.13,493500,8.13
2015-04-24,8.00,8.02,7.90,7.97,847100,7.97
2015-04-23,8.15,8.18,8.00,8.02,615400,8.02
2015-04-22,8.17,8.25,8.13,8.25,559600,8.25
2015-04-21,8.22,8.225,8.15,8.18,298300,8.18
2015-04-20,8.19,8.19,8.11,8.13,669200,8.13
2015-04-17,8.29,8.35,8.24,8.24,728200,8.24
2015-04-16,8.22,8.34,8.22,8.30,1044500,8.30
2015-04-15,8.19,8.25,8.18,8.24,845700,8.24
2015-04-14,8.12,8.19,8.09,8.18,2841400,8.18
2015-04-13,8.11,8.12,8.07,8.10,346000,8.10
2015-04-10,8.11,8.11,8.07,8.10,895900,8.10
2015-04-09,8.13,8.16,8.08,8.10,929000,8.10
2015-04-08,8.16,8.21,8.09,8.17,721900,8.17
2015-04-07,8.33,8.37,8.20,8.23,983300,8.23
2015-04-06,8.27,8.27,8.27,8.27,000,8.27
2015-04-03,8.27,8.27,8.27,8.27,000,8.27
2015-04-02,8.24,8.29,8.18,8.27,529800,8.27
2015-04-01,8.17,8.26,8.13,8.20,620500,8.20
2015-03-31,8.25,8.28,8.25,8.25,933700,8.25
2015-03-30,8.25,8.31,8.22,8.23,562200,8.23
2015-03-27,8.25,8.29,8.21,8.25,850900,8.25
2015-03-26,8.28,8.30,8.21,8.22,1038200,8.22
2015-03-25,8.47,8.50,8.36,8.38,667700,8.38
2015-03-24,8.60,8.67,8.54,8.64,926900,8.4905
2015-03-23,8.63,8.65,8.59,8.62,1004100,8.47085
2015-03-20,8.59,8.70,8.50,8.62,1194900,8.47085
2015-03-19,8.52,8.63,8.52,8.59,1092900,8.44137
2015-03-18,8.54,8.54,8.45,8.48,812200,8.33327
2015-03-17,8.66,8.69,8.57,8.57,653100,8.42171
2015-03-16,8.55,8.66,8.55,8.59,1277900,8.44137
2015-03-13,8.49,8.52,8.45,8.52,564600,8.37258
2015-03-12,8.40,8.52,8.40,8.47,955300,8.32344
2015-03-11,8.28,8.41,8.27,8.38,1689900,8.235
2015-03-10,8.31,8.34,8.28,8.33,1582400,8.18587
2015-03-09,8.17,8.30,8.17,8.28,1312400,8.13673
2015-03-06,8.24,8.31,8.20,8.30,1209100,8.15639
2015-03-05,8.35,8.37,8.23,8.28,1166300,8.13673
2015-03-04,8.33,8.36,8.31,8.34,1505000,8.19569
2015-03-03,8.36,8.42,8.29,8.32,2866000,8.17604
2015-03-02,8.37,8.42,8.33,8.35,879600,8.20552
2015-02-27,8.47,8.47,8.32,8.37,2450200,8.22517
2015-02-26,8.39,8.50,8.34,8.43,1168700,8.28414
2015-02-25,8.22,8.37,8.22,8.34,1953000,8.19569
2015-02-24,8.20,8.26,8.12,8.19,693000,8.04829
2015-02-23,8.18,8.22,8.13,8.19,1409300,8.04829
2015-02-20,8.10,8.20,8.04,8.17,2113000,8.02863
2015-02-19,8.01,8.10,7.97,8.05,2331400,7.91071
2015-02-18,8.03,8.03,7.93,7.99,5465400,7.85175
2015-02-17,8.46,8.50,8.42,8.45,3584400,8.30379
2015-02-16,8.37,8.49,8.37,8.48,771600,8.33327
2015-02-13,8.20,8.38,8.19,8.36,4848300,8.21535
2015-02-12,8.00,8.18,7.96,8.17,1986200,8.02863
2015-02-11,8.06,8.07,7.93,7.95,2717500,7.81244
2015-02-10,8.07,8.12,8.00,8.01,1277200,7.8714
2015-02-09,8.03,8.08,8.02,8.04,722300,7.90088
2015-02-06,8.06,8.06,7.89,8.02,343400,7.88123
2015-02-05,8.10,8.12,7.99,8.09,446100,7.95002
2015-02-04,8.06,8.10,8.03,8.08,1330100,7.94019
2015-02-03,7.95,8.00,7.87,7.97,679800,7.83209
2015-02-02,7.82,7.94,7.82,7.91,401300,7.77313
2015-01-30,7.93,7.94,7.785,7.82,1054200,7.68469
2015-01-29,7.73,7.92,7.73,7.92,349900,7.78296
2015-01-28,7.78,7.81,7.70,7.76,379800,7.62573
2015-01-27,7.80,7.86,7.77,7.81,584700,7.67486
2015-01-26,7.80,7.80,7.80,7.80,000,7.66504
2015-01-23,7.81,7.87,7.77,7.80,417100,7.66504
2015-01-22,7.85,7.85,7.71,7.76,495300,7.62573
2015-01-21,7.69,7.87,7.66,7.86,837500,7.724
2015-01-20,7.61,7.69,7.57,7.67,1623500,7.53729
2015-01-19,7.71,7.76,7.56,7.57,627100,7.43902
2015-01-16,7.71,7.86,7.64,7.69,649600,7.55694
2015-01-15,7.79,7.81,7.75,7.79,636000,7.65521
2015-01-14,7.91,7.92,7.81,7.84,702200,7.70434
2015-01-13,7.94,7.98,7.86,7.95,408100,7.81244
2015-01-12,7.90,8.01,7.87,7.96,722100,7.82227
2015-01-09,7.91,7.99,7.90,7.95,594500,7.81244
2015-01-08,7.80,7.86,7.76,7.80,488400,7.66504
2015-01-07,7.82,7.82,7.68,7.72,1123300,7.58642
2015-01-06,7.92,7.94,7.795,7.84,344200,7.70434
2015-01-05,7.90,8.02,7.90,8.00,210600,7.86158
2015-01-02,7.93,8.00,7.91,7.93,70500,7.79279
2015-01-01,7.92,7.92,7.92,7.92,000,7.78296
2014-12-31,7.92,7.92,7.83,7.92,76800,7.78296
2014-12-30,7.93,7.97,7.89,7.89,236200,7.75348
2014-12-29,7.95,8.00,7.88,7.91,326300,7.77313
2014-12-26,7.93,7.93,7.93,7.93,000,7.79279
2014-12-25,7.93,7.93,7.93,7.93,000,7.79279
2014-12-24,7.90,7.99,7.84,7.93,197100,7.79279
2014-12-23,7.91,7.94,7.83,7.88,320800,7.74365
2014-12-22,7.83,7.91,7.80,7.87,307600,7.73383
2014-12-19,7.64,7.85,7.64,7.73,538100,7.59625
2014-12-18,7.56,7.605,7.52,7.54,677300,7.40954
2014-12-17,7.45,7.58,7.45,7.52,722100,7.38988
2014-12-16,7.57,7.60,7.44,7.48,725500,7.35057
2014-12-15,7.56,7.63,7.535,7.56,490800,7.42919
2014-12-12,7.59,7.66,7.56,7.58,866800,7.44884
2014-12-11,7.53,7.59,7.51,7.54,1214300,7.40954
2014-12-10,7.60,7.62,7.45,7.52,1609700,7.38988
2014-12-09,7.77,7.79,7.65,7.65,453300,7.51763
2014-12-08,7.86,7.89,7.78,7.78,739000,7.64538
2014-12-05,7.78,7.90,7.77,7.88,470300,7.74365
2014-12-04,7.67,7.85,7.67,7.80,1393800,7.66504
2014-12-03,7.40,7.66,7.40,7.66,636300,7.52746
2014-12-02,7.55,7.55,7.44,7.46,495000,7.33092
2014-12-01,7.57,7.60,7.51,7.55,690900,7.41936
2014-11-28,7.54,7.62,7.54,7.55,700600,7.41936
2014-11-27,7.54,7.56,7.44,7.49,555400,7.3604
2014-11-26,7.52,7.585,7.48,7.52,711300,7.38988
2014-11-25,7.49,7.56,7.47,7.48,877900,7.35057
2014-11-24,7.64,7.65,7.54,7.56,978400,7.42919
2014-11-21,7.65,7.67,7.57,7.62,376000,7.48815
2014-11-20,7.62,7.69,7.60,7.61,847900,7.47832
2014-11-19,7.65,7.68,7.60,7.63,743500,7.49798
2014-11-18,7.70,7.74,7.66,7.68,809200,7.54711
2014-11-17,7.69,7.70,7.64,7.65,624000,7.51763
2014-11-14,7.65,7.68,7.61,7.66,405400,7.52746
2014-11-13,7.61,7.685,7.56,7.66,1861700,7.52746
2014-11-12,7.73,7.73,7.59,7.59,490800,7.45867
2014-11-11,7.77,7.87,7.66,7.66,635100,7.52746
2014-11-10,7.54,7.77,7.54,7.75,962800,7.6159
2014-11-07,7.62,7.63,7.49,7.54,1142500,7.40954
2014-11-06,7.64,7.72,7.57,7.59,715400,7.45867
2014-11-05,7.66,7.70,7.55,7.55,409200,7.41936
2014-11-04,7.60,7.67,7.60,7.65,192200,7.51763
2014-11-03,7.70,7.76,7.57,7.60,418400,7.4685
2014-10-31,7.58,7.69,7.56,7.67,574100,7.53729
2014-10-30,7.59,7.65,7.53,7.55,487400,7.41936
2014-10-29,7.53,7.59,7.48,7.53,858600,7.39971
2014-10-28,7.59,7.62,7.45,7.48,627200,7.35057
2014-10-27,7.59,7.64,7.52,7.57,320200,7.43902
2014-10-24,7.65,7.705,7.57,7.57,826300,7.43902
2014-10-23,7.75,7.75,7.605,7.63,1203000,7.49798
2014-10-22,7.85,7.85,7.61,7.77,1285600,7.63556
2014-10-21,7.80,7.97,7.76,7.77,1101900,7.63556
2014-10-20,7.79,7.90,7.79,7.85,309000,7.71417
2014-10-17,7.79,7.80,7.67,7.69,1794600,7.55694
2014-10-16,7.76,7.82,7.73,7.79,578800,7.65521
2014-10-15,7.78,7.85,7.78,7.79,971800,7.65521
2014-10-14,7.69,7.73,7.61,7.68,802700,7.54711
2014-10-13,7.72,7.80,7.71,7.73,564900,7.59625
2014-10-10,7.76,7.87,7.76,7.78,853900,7.64538
2014-10-09,7.72,7.98,7.68,7.92,1398400,7.78296
2014-10-08,7.60,7.67,7.58,7.66,411900,7.52746
2014-10-07,7.69,7.72,7.61,7.68,671600,7.54711
2014-10-06,7.73,7.74,7.67,7.68,154200,7.54711
2014-10-03,7.74,7.82,7.71,7.75,513000,7.6159
2014-10-02,7.77,7.85,7.74,7.74,456600,7.60607
2014-10-01,7.79,7.86,7.76,7.83,334600,7.69452
2014-09-30,7.81,7.86,7.72,7.81,540600,7.67486
2014-09-29,7.89,7.95,7.80,7.83,452600,7.69452
2014-09-26,7.88,7.93,7.85,7.91,351200,7.77313
2014-09-25,8.02,8.08,7.93,7.99,435600,7.85175
2014-09-24,8.00,8.04,7.95,7.98,646800,7.84192
2014-09-23,8.22,8.24,8.09,8.19,545200,7.8714
2014-09-22,8.20,8.29,8.18,8.21,720500,7.89063
2014-09-19,8.01,8.11,7.97,7.97,441900,7.65996
2014-09-18,7.93,7.95,7.85,7.94,421700,7.63113
2014-09-17,8.06,8.09,7.93,7.95,459600,7.64074
2014-09-16,8.04,8.11,8.02,8.10,739800,7.7849
2014-09-15,8.05,8.10,7.98,8.02,819700,7.70802
2014-09-12,8.12,8.24,8.05,8.09,729400,7.77529
2014-09-11,8.21,8.24,8.09,8.11,437700,7.79451
2014-09-10,8.19,8.28,8.19,8.21,657600,7.89063
2014-09-09,8.18,8.26,8.13,8.24,325400,7.91946
2014-09-08,8.22,8.235,8.13,8.17,282300,7.85218
2014-09-05,8.23,8.27,8.16,8.23,1000800,7.90985
2014-09-04,8.23,8.27,8.12,8.19,1384200,7.8714
2014-09-03,8.20,8.285,8.16,8.24,670600,7.91946
2014-09-02,8.11,8.25,8.11,8.25,605800,7.92907
2014-09-01,8.21,8.21,8.14,8.18,382600,7.86179
2014-08-29,8.30,8.30,8.18,8.21,374800,7.89063
2014-08-28,8.29,8.35,8.28,8.31,501200,7.98674
2014-08-27,8.26,8.35,8.23,8.27,676600,7.94829
2014-08-26,8.24,8.32,8.21,8.31,345300,7.98674
2014-08-25,8.25,8.25,8.13,8.25,1252800,7.92907
2014-08-22,8.36,8.37,8.21,8.25,1004100,7.92907
2014-08-21,8.36,8.47,8.33,8.38,856600,8.05401
2014-08-20,8.30,8.34,8.20,8.34,3690500,8.01557
2014-08-19,8.32,8.33,8.17,8.21,994200,7.89063
2014-08-18,8.20,8.27,8.17,8.25,770800,7.92907
2014-08-15,8.18,8.33,8.17,8.22,764900,7.90024
2014-08-14,8.13,8.19,8.11,8.18,581400,7.86179
2014-08-13,8.11,8.16,8.07,8.13,863400,7.81374
2014-08-12,8.07,8.13,8.04,8.13,1074400,7.81374
2014-08-11,8.03,8.07,7.99,8.03,992500,7.71763
2014-08-08,8.16,8.20,7.97,8.05,1365600,7.73685
2014-08-07,8.06,8.22,8.04,8.20,1150700,7.88101
2014-08-06,7.97,8.075,7.93,8.05,487100,7.73685
2014-08-05,8.07,8.11,7.99,8.01,1869700,7.69841
2014-08-04,8.12,8.12,8.03,8.05,2034100,7.73685
2014-08-01,8.27,8.29,8.145,8.18,1740900,7.86179
2014-07-31,8.22,8.35,8.20,8.32,426700,7.99635
2014-07-30,8.20,8.23,8.12,8.19,1877600,7.8714
2014-07-29,8.32,8.33,8.20,8.21,1043000,7.89063
2014-07-28,8.41,8.42,8.30,8.30,183700,7.97712
2014-07-25,8.29,8.47,8.29,8.46,665200,8.1309
2014-07-24,8.32,8.41,8.29,8.31,335200,7.98674
2014-07-23,8.32,8.41,8.29,8.34,311500,8.01557
2014-07-22,8.25,8.31,8.24,8.28,906800,7.9579
2014-07-21,8.24,8.30,8.23,8.29,405100,7.96751
2014-07-18,8.20,8.27,8.18,8.25,568000,7.92907
2014-07-17,8.32,8.32,8.25,8.25,685100,7.92907
2014-07-16,8.25,8.33,8.25,8.28,703600,7.9579
2014-07-15,8.33,8.35,8.24,8.26,879800,7.93868
2014-07-14,8.33,8.35,8.28,8.30,345900,7.97712
2014-07-11,8.30,8.36,8.25,8.33,320300,8.00596
2014-07-10,8.33,8.37,8.31,8.32,290700,7.99635
2014-07-09,8.33,8.35,8.26,8.28,941100,7.9579
2014-07-08,8.41,8.49,8.38,8.41,451000,8.08284
2014-07-07,8.38,8.45,8.36,8.38,618900,8.05401
2014-07-04,8.34,8.44,8.32,8.40,783900,8.07323
2014-07-03,8.16,8.34,8.15,8.30,916100,7.97712
2014-07-02,8.14,8.19,8.06,8.13,1296600,7.81374
2014-07-01,8.18,8.22,8.08,8.13,692900,7.81374
2014-06-30,8.18,8.26,8.14,8.18,581700,7.86179
2014-06-27,8.27,8.30,8.16,8.18,812600,7.86179
2014-06-26,8.22,8.28,8.17,8.28,738300,7.9579
2014-06-25,8.23,8.25,8.15,8.19,333000,7.8714
2014-06-24,8.19,8.31,8.19,8.28,532000,7.9579
2014-06-23,8.22,8.23,8.13,8.20,861200,7.88101
2014-06-20,8.30,8.30,8.14,8.19,744600,7.8714
2014-06-19,8.34,8.36,8.31,8.36,647200,8.03479
2014-06-18,8.30,8.36,8.19,8.34,351500,8.01557
2014-06-17,8.22,8.40,8.22,8.33,508200,8.00596
2014-06-16,8.24,8.26,8.18,8.24,683100,7.91946
2014-06-13,8.29,8.315,8.22,8.26,513800,7.93868
2014-06-12,8.25,8.39,8.23,8.34,416200,8.01557
2014-06-11,8.32,8.36,8.23,8.29,944500,7.96751
2014-06-09,8.26,8.26,8.26,8.26,000,7.93868
2014-06-06,8.14,8.39,8.14,8.26,784000,7.93868
2014-06-05,8.09,8.14,8.08,8.09,555800,7.77529
2014-06-04,8.25,8.25,8.085,8.10,853000,7.7849
2014-06-03,8.26,8.34,8.22,8.23,591600,7.90985
2014-06-02,8.09,8.34,8.09,8.26,367100,7.93868
2014-05-30,8.38,8.38,8.19,8.20,1553800,7.88101
2014-05-29,8.45,8.46,8.35,8.37,632300,8.0444
2014-05-28,8.44,8.51,8.42,8.47,626700,8.14051
2014-05-27,8.50,8.50,8.39,8.42,602300,8.09246
2014-05-26,8.47,8.54,8.40,8.51,745500,8.17895
2014-05-23,8.49,8.57,8.45,8.45,440400,8.12129
2014-05-22,8.40,8.54,8.40,8.48,869300,8.15012
2014-05-21,8.25,8.39,8.25,8.37,817500,8.0444
2014-05-20,8.41,8.41,8.305,8.34,663200,8.01557
2014-05-19,8.41,8.41,8.35,8.38,867800,8.05401
2014-05-16,8.46,8.50,8.41,8.45,364400,8.12129
2014-05-15,8.59,8.60,8.46,8.54,838600,8.20779
2014-05-14,8.71,8.71,8.55,8.55,244600,8.2174
2014-05-13,8.66,8.69,8.61,8.68,312900,8.34234
2014-05-12,8.63,8.68,8.55,8.61,467000,8.27506
2014-05-09,8.64,8.66,8.55,8.62,666800,8.28468
2014-05-08,8.65,8.67,8.53,8.65,918600,8.31351
2014-05-07,8.66,8.74,8.56,8.64,2966000,8.3039
2014-05-06,9.04,9.09,8.89,8.90,437700,8.55378
2014-05-05,9.05,9.12,8.94,9.04,649000,8.68834
2014-05-02,9.07,9.10,9.05,9.05,842800,8.69795
