date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.86,2.96,2.85,2.92,20148600,2.92
2015-06-29,2.91,2.95,2.87,2.89,13295900,2.89
2015-06-26,2.95,2.96,2.91,2.95,15051300,2.95
2015-06-25,3.06,3.09,3.03,3.05,11708900,2.965
2015-06-24,3.11,3.125,3.06,3.08,12373300,2.994
2015-06-23,3.08,3.12,3.05,3.10,21035900,3.014
2015-06-22,2.96,3.07,2.95,3.04,24842500,2.955
2015-06-19,2.97,2.99,2.95,2.95,30263500,2.868
2015-06-18,2.97,2.97,2.87,2.92,24339400,2.839
2015-06-17,2.96,3.005,2.95,2.98,25796000,2.897
2015-06-16,3.02,3.02,2.94,2.94,22481600,2.858
2015-06-15,3.01,3.06,3.00,3.03,21854200,2.946
2015-06-12,3.04,3.07,2.99,3.03,21209100,2.946
2015-06-11,2.98,2.99,2.945,2.97,9359700,2.887
2015-06-10,2.96,3.00,2.93,2.98,10328500,2.897
2015-06-09,2.95,3.04,2.95,2.99,23214200,2.907
2015-06-08,2.95,2.95,2.95,2.95,000,2.868
2015-06-05,2.93,2.99,2.92,2.95,19089700,2.868
2015-06-04,2.91,2.94,2.86,2.89,33687100,2.809
2015-06-03,3.04,3.04,2.905,2.91,24251100,2.829
2015-06-02,3.04,3.045,2.98,3.00,11468500,2.916
2015-06-01,3.02,3.04,2.98,3.02,13674000,2.936
2015-05-29,3.03,3.05,2.965,3.04,46894100,2.955
2015-05-28,3.05,3.07,3.02,3.03,9914800,2.946
2015-05-27,3.07,3.09,2.98,3.03,12594400,2.946
2015-05-26,3.10,3.12,3.07,3.08,6031200,2.994
2015-05-25,3.10,3.13,3.08,3.08,5554500,2.994
2015-05-22,3.07,3.10,3.05,3.08,3833600,2.994
2015-05-21,3.03,3.08,3.03,3.06,5248000,2.975
2015-05-20,3.03,3.065,3.01,3.03,5783100,2.946
2015-05-19,3.09,3.09,3.02,3.02,6702200,2.936
2015-05-18,3.06,3.12,3.06,3.08,5884700,2.994
2015-05-15,3.10,3.11,3.07,3.09,7654100,3.004
2015-05-14,2.97,3.04,2.95,3.03,6461900,2.946
2015-05-13,2.99,3.05,2.95,2.99,3461600,2.907
2015-05-12,2.97,3.01,2.96,2.99,5736000,2.907
2015-05-11,3.01,3.04,2.97,3.00,2553300,2.916
2015-05-08,2.97,3.005,2.945,2.98,3860600,2.897
2015-05-07,2.98,3.02,2.93,2.93,9028900,2.848
2015-05-06,3.01,3.045,2.99,3.01,5309100,2.926
2015-05-05,3.05,3.10,2.99,3.04,4709000,2.955
2015-05-04,2.95,3.03,2.94,3.02,4484900,2.936
2015-05-01,2.91,2.97,2.89,2.96,3983900,2.878
2015-04-30,2.95,2.96,2.88,2.95,5891900,2.868
2015-04-29,2.97,2.99,2.92,2.92,2333000,2.839
2015-04-28,2.99,3.03,2.97,2.97,4797900,2.887
2015-04-27,2.97,3.02,2.965,2.99,3976500,2.907
2015-04-24,2.96,2.99,2.95,2.96,10451700,2.878
2015-04-23,2.93,2.95,2.91,2.92,9081100,2.839
2015-04-22,2.98,2.98,2.91,2.93,11324100,2.848
2015-04-21,3.00,3.015,2.96,2.97,9549200,2.887
2015-04-20,3.00,3.01,2.94,3.00,4444100,2.916
2015-04-17,3.07,3.07,2.98,3.02,5089400,2.936
2015-04-16,3.04,3.08,3.04,3.06,6932000,2.975
2015-04-15,3.04,3.04,2.98,3.02,5005800,2.936
2015-04-14,3.04,3.06,3.025,3.03,4473100,2.946
2015-04-13,3.08,3.10,3.05,3.05,3360400,2.965
2015-04-10,3.08,3.10,3.06,3.07,2227000,2.984
2015-04-09,3.10,3.10,3.04,3.06,3353600,2.975
2015-04-08,3.06,3.10,3.05,3.09,4600100,3.004
2015-04-07,3.09,3.11,3.04,3.05,4121000,2.965
2015-04-06,3.07,3.07,3.07,3.07,000,2.984
2015-04-03,3.07,3.07,3.07,3.07,000,2.984
2015-04-02,3.07,3.11,3.05,3.07,3149100,2.984
2015-04-01,3.02,3.09,3.02,3.04,4419000,2.955
2015-03-31,3.10,3.13,3.04,3.04,9691000,2.955
2015-03-30,3.08,3.10,3.04,3.08,5130700,2.994
2015-03-27,3.09,3.11,3.06,3.07,3909900,2.984
2015-03-26,3.09,3.13,3.07,3.07,10297300,2.984
2015-03-25,3.18,3.19,3.10,3.13,9206600,3.043
2015-03-24,3.08,3.16,3.08,3.13,7118800,3.043
2015-03-23,3.12,3.13,3.08,3.10,7076800,3.014
2015-03-20,3.03,3.10,3.02,3.10,8058000,3.014
2015-03-19,3.06,3.09,3.03,3.07,9864100,2.984
2015-03-18,3.03,3.04,2.98,3.00,7715100,2.916
2015-03-17,3.09,3.10,3.02,3.03,3840200,2.946
2015-03-16,3.06,3.07,3.01,3.06,3976500,2.975
2015-03-13,3.06,3.08,3.04,3.06,2752500,2.975
2015-03-12,3.04,3.09,3.01,3.04,4977600,2.955
2015-03-11,2.99,3.03,2.96,3.02,6557900,2.936
2015-03-10,2.99,3.02,2.94,2.98,4926300,2.897
2015-03-09,2.99,2.99,2.94,2.97,5513200,2.887
2015-03-06,2.98,3.035,2.97,3.02,6151900,2.936
2015-03-05,2.99,2.99,2.965,2.97,5676500,2.887
2015-03-04,3.04,3.06,3.00,3.01,5076500,2.926
2015-03-03,3.06,3.11,3.00,3.04,7369600,2.955
2015-03-02,3.00,3.06,2.97,3.05,7865500,2.965
2015-02-27,2.96,2.99,2.93,2.98,4618900,2.897
2015-02-26,2.96,2.99,2.93,2.94,7076100,2.858
2015-02-25,2.99,3.005,2.95,2.99,7977600,2.907
2015-02-24,3.00,3.02,2.94,2.96,14136900,2.878
2015-02-23,2.93,3.02,2.92,3.02,8364800,2.936
2015-02-20,2.89,2.95,2.89,2.94,6008100,2.858
2015-02-19,2.89,2.92,2.87,2.88,5952700,2.80
2015-02-18,2.91,2.935,2.89,2.91,5399200,2.829
2015-02-17,2.88,2.94,2.88,2.90,6906500,2.819
2015-02-16,2.94,2.95,2.87,2.88,10938200,2.80
2015-02-13,2.97,2.98,2.93,2.94,19769400,2.858
2015-02-12,3.05,3.06,2.92,2.95,11820700,2.868
2015-02-11,3.02,3.08,3.01,3.05,9810400,2.965
2015-02-10,2.99,2.99,2.96,2.98,5195700,2.897
2015-02-09,2.97,2.99,2.94,2.96,10685400,2.878
2015-02-06,3.04,3.05,2.98,2.99,9201900,2.907
2015-02-05,3.00,3.08,2.98,3.02,12446600,2.936
2015-02-04,3.13,3.13,2.94,3.03,20897300,2.946
2015-02-03,3.07,3.16,3.05,3.13,9117700,3.043
2015-02-02,3.03,3.11,3.02,3.10,7236600,3.014
2015-01-30,3.04,3.09,3.03,3.03,6731800,2.946
2015-01-29,3.01,3.05,2.98,3.03,7013700,2.946
2015-01-28,3.01,3.05,3.01,3.01,6188400,2.926
2015-01-27,3.00,3.06,2.99,3.01,5474900,2.926
2015-01-26,3.01,3.01,3.01,3.01,000,2.926
2015-01-23,2.91,3.01,2.89,3.01,4821900,2.926
2015-01-22,2.96,2.96,2.88,2.89,4825400,2.809
2015-01-21,2.88,2.95,2.88,2.94,3701400,2.858
2015-01-20,2.88,2.91,2.86,2.86,4095900,2.78
2015-01-19,2.91,2.94,2.88,2.90,2526500,2.819
2015-01-16,2.88,2.91,2.855,2.89,3885700,2.809
2015-01-15,2.94,2.95,2.87,2.87,6512900,2.79
2015-01-14,2.94,2.96,2.89,2.89,6196000,2.809
2015-01-13,2.93,2.95,2.90,2.93,3887100,2.848
2015-01-12,2.91,2.94,2.895,2.93,3554800,2.848
2015-01-09,2.89,2.94,2.88,2.94,4369800,2.858
2015-01-08,2.90,2.91,2.87,2.87,3655500,2.79
2015-01-07,2.88,2.88,2.84,2.86,3232000,2.78
2015-01-06,2.84,2.88,2.82,2.86,4499400,2.78
2015-01-05,2.85,2.90,2.84,2.87,2527700,2.79
2015-01-02,2.86,2.895,2.85,2.88,2309900,2.80
2015-01-01,2.87,2.87,2.87,2.87,000,2.79
