date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.13,2.13,2.10,2.10,159300,2.10
2015-06-29,2.15,2.22,2.105,2.16,333300,2.16
2015-06-26,2.09,2.21,2.09,2.21,122400,2.21
2015-06-25,2.24,2.25,2.16,2.20,409900,2.1677
2015-06-24,2.24,2.27,2.21,2.24,193000,2.20711
2015-06-23,2.22,2.25,2.16,2.25,232000,2.21697
2015-06-22,2.20,2.21,2.16,2.16,168500,2.12829
2015-06-19,2.15,2.20,2.14,2.20,992100,2.1677
2015-06-18,2.14,2.15,2.11,2.15,240600,2.11843
2015-06-17,2.08,2.16,2.08,2.16,387100,2.12829
2015-06-16,2.09,2.16,2.09,2.13,244700,2.09873
2015-06-15,2.14,2.14,2.10,2.10,65600,2.06917
2015-06-12,2.13,2.15,2.12,2.14,227100,2.10858
2015-06-11,2.12,2.15,2.115,2.12,643800,2.08887
2015-06-10,2.13,2.13,2.08,2.10,888700,2.06917
2015-06-09,2.11,2.14,2.02,2.09,219900,2.05931
2015-06-08,2.15,2.15,2.15,2.15,000,2.11843
2015-06-05,2.12,2.15,2.11,2.15,210400,2.11843
2015-06-04,2.13,2.15,2.12,2.15,839300,2.11843
2015-06-03,2.15,2.16,2.13,2.13,196600,2.09873
2015-06-02,2.16,2.16,2.13,2.16,144100,2.12829
2015-06-01,2.17,2.175,2.14,2.15,347100,2.11843
2015-05-29,2.18,2.19,2.155,2.16,253900,2.12829
2015-05-28,2.17,2.19,2.16,2.17,325700,2.13814
2015-05-27,2.19,2.19,2.16,2.19,224000,2.15785
2015-05-26,2.17,2.18,2.16,2.18,770900,2.14799
2015-05-25,2.18,2.19,2.15,2.18,269400,2.14799
2015-05-22,2.17,2.19,2.16,2.18,231500,2.14799
2015-05-21,2.19,2.19,2.16,2.16,119800,2.12829
2015-05-20,2.20,2.20,2.16,2.19,290100,2.15785
2015-05-19,2.20,2.20,2.17,2.18,1212600,2.14799
2015-05-18,2.18,2.20,2.16,2.20,816800,2.1677
2015-05-15,2.15,2.19,2.13,2.18,779300,2.14799
2015-05-14,2.19,2.20,2.15,2.19,133500,2.15785
2015-05-13,2.17,2.20,2.13,2.18,308500,2.14799
2015-05-12,2.20,2.22,2.17,2.20,1246900,2.1677
2015-05-11,2.10,2.22,2.10,2.17,367900,2.13814
2015-05-08,2.13,2.13,2.10,2.11,188800,2.07902
2015-05-07,2.14,2.165,2.13,2.13,201300,2.09873
2015-05-06,2.15,2.19,2.15,2.19,250900,2.15785
2015-05-05,2.19,2.20,2.15,2.17,173100,2.13814
2015-05-04,2.20,2.21,2.18,2.20,273000,2.1677
2015-05-01,2.18,2.22,2.18,2.21,405900,2.17755
2015-04-30,2.20,2.22,2.165,2.20,274000,2.1677
2015-04-29,2.18,2.23,2.18,2.19,193500,2.15785
2015-04-28,2.22,2.22,2.18,2.18,253800,2.14799
2015-04-27,2.22,2.23,2.18,2.22,192000,2.18741
2015-04-24,2.18,2.22,2.17,2.22,298300,2.18741
2015-04-23,2.20,2.20,2.15,2.17,221300,2.13814
2015-04-22,2.21,2.21,2.17,2.18,105500,2.14799
2015-04-21,2.19,2.22,2.17,2.21,269600,2.17755
2015-04-20,2.18,2.22,2.16,2.22,385200,2.18741
2015-04-17,2.17,2.185,2.15,2.18,261700,2.14799
2015-04-16,2.17,2.19,2.16,2.19,142200,2.15785
2015-04-15,2.17,2.19,2.16,2.17,380800,2.13814
2015-04-14,2.18,2.19,2.16,2.19,129200,2.15785
2015-04-13,2.16,2.18,2.14,2.18,176000,2.14799
2015-04-10,2.16,2.19,2.12,2.18,252900,2.14799
2015-04-09,2.20,2.22,2.15,2.19,369400,2.15785
2015-04-08,2.19,2.20,2.15,2.17,195700,2.13814
2015-04-07,2.20,2.22,2.18,2.20,272300,2.1677
2015-04-06,2.21,2.21,2.21,2.21,000,2.17755
2015-04-03,2.21,2.21,2.21,2.21,000,2.17755
2015-04-02,2.19,2.22,2.19,2.21,319400,2.17755
2015-04-01,2.18,2.21,2.17,2.21,249900,2.17755
2015-03-31,2.18,2.20,2.18,2.20,164100,2.1677
2015-03-30,2.18,2.20,2.18,2.19,307100,2.15785
2015-03-27,2.22,2.22,2.18,2.18,152800,2.14799
2015-03-26,2.24,2.255,2.21,2.25,380000,2.18514
2015-03-25,2.29,2.29,2.25,2.28,700100,2.21428
2015-03-24,2.26,2.30,2.24,2.30,316500,2.2337
2015-03-23,2.20,2.29,2.19,2.25,394200,2.18514
2015-03-20,2.21,2.27,2.20,2.20,4058500,2.13658
2015-03-19,2.20,2.24,2.19,2.24,449300,2.17543
2015-03-18,2.15,2.22,2.15,2.18,564000,2.11716
2015-03-17,2.15,2.20,2.14,2.16,381700,2.09773
2015-03-16,2.21,2.21,2.15,2.18,531400,2.11716
2015-03-13,2.23,2.23,2.17,2.20,498900,2.13658
2015-03-12,2.19,2.19,2.14,2.16,235700,2.09773
2015-03-11,2.10,2.18,2.08,2.15,438200,2.08802
2015-03-10,2.19,2.19,2.12,2.14,345700,2.07831
2015-03-09,2.23,2.25,2.16,2.18,488700,2.11716
2015-03-06,2.25,2.26,2.23,2.24,224800,2.17543
2015-03-05,2.23,2.32,2.22,2.25,737900,2.18514
2015-03-04,2.22,2.24,2.21,2.24,147200,2.17543
2015-03-03,2.23,2.25,2.20,2.25,440500,2.18514
2015-03-02,2.22,2.25,2.20,2.23,233700,2.16572
2015-02-27,2.21,2.22,2.17,2.22,316500,2.156
2015-02-26,2.22,2.22,2.17,2.21,391000,2.14629
2015-02-25,2.23,2.25,2.20,2.22,212600,2.156
2015-02-24,2.21,2.24,2.19,2.23,318000,2.16572
2015-02-23,2.19,2.21,2.18,2.21,379500,2.14629
2015-02-20,2.18,2.19,2.16,2.18,421100,2.11716
2015-02-19,2.15,2.19,2.13,2.19,447000,2.12687
2015-02-18,2.14,2.15,2.085,2.15,416900,2.08802
2015-02-17,2.10,2.20,2.08,2.14,514000,2.07831
2015-02-16,2.03,2.10,2.03,2.07,263900,2.01033
2015-02-13,2.02,2.05,2.02,2.05,172600,1.99091
2015-02-12,2.055,2.06,2.03,2.03,226700,1.97148
2015-02-11,2.04,2.07,2.03,2.05,424100,1.99091
2015-02-10,2.035,2.05,2.02,2.04,85400,1.98119
2015-02-09,2.04,2.05,2.02,2.05,104800,1.99091
2015-02-06,2.02,2.04,2.01,2.04,69300,1.98119
2015-02-05,2.04,2.04,2.01,2.03,213900,1.97148
2015-02-04,2.02,2.04,1.99,2.04,981100,1.98119
2015-02-03,2.04,2.05,2.00,2.01,420500,1.95206
2015-02-02,2.01,2.05,2.00,2.04,308000,1.98119
2015-01-30,2.02,2.03,2.00,2.00,287800,1.94235
2015-01-29,2.07,2.07,2.01,2.01,188200,1.95206
2015-01-28,2.04,2.07,2.02,2.03,78800,1.97148
2015-01-27,2.02,2.08,2.01,2.04,329100,1.98119
2015-01-26,2.03,2.03,2.03,2.03,000,1.97148
2015-01-23,2.02,2.03,1.99,2.03,436600,1.97148
2015-01-22,1.985,2.04,1.985,2.01,425800,1.95206
2015-01-21,1.99,2.00,1.985,2.00,472900,1.94235
2015-01-20,1.99,1.995,1.98,1.99,214300,1.93264
2015-01-19,1.975,1.99,1.975,1.99,105700,1.93264
2015-01-16,1.98,1.995,1.92,1.99,432700,1.93264
2015-01-15,1.97,1.995,1.92,1.995,175800,1.93749
2015-01-14,1.95,1.995,1.945,1.985,346700,1.92778
2015-01-13,1.92,1.95,1.92,1.95,317500,1.89379
2015-01-12,1.92,1.95,1.915,1.92,53800,1.86465
2015-01-09,1.92,1.97,1.90,1.97,309300,1.91321
2015-01-08,1.93,1.95,1.872,1.94,339400,1.88408
2015-01-07,1.97,1.97,1.93,1.94,75000,1.88408
2015-01-06,1.99,1.995,1.95,1.95,28100,1.89379
2015-01-05,1.99,1.995,1.975,1.98,46000,1.92292
2015-01-02,1.98,2.00,1.98,1.99,40600,1.93264
2015-01-01,1.99,1.99,1.99,1.99,000,1.93264
2014-12-31,1.985,2.00,1.98,1.99,36200,1.93264
2014-12-30,1.965,2.01,1.965,1.995,74800,1.93749
2014-12-29,1.955,2.02,1.91,1.945,77500,1.88893
2014-12-26,1.965,1.965,1.965,1.965,000,1.87752
2014-12-25,1.965,1.965,1.965,1.965,000,1.87752
2014-12-24,1.98,1.99,1.955,1.965,218700,1.87752
2014-12-23,1.975,2.00,1.96,1.99,175000,1.90141
2014-12-22,1.90,1.98,1.90,1.97,267800,1.8823
