date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,34.24,34.54,33.91,34.11,736900,34.11
2015-06-29,35.00,35.95,34.10,34.35,1235700,34.35
2015-06-26,34.25,35.32,33.90,35.20,2297400,35.20
2015-06-25,34.70,35.07,33.20,34.07,1939700,34.07
2015-06-24,36.91,37.12,34.09,34.21,2884800,34.21
2015-06-23,44.15,44.59,36.08,37.51,2405400,37.51
2015-06-22,44.14,44.14,43.28,43.41,555200,43.41
2015-06-19,43.69,44.18,43.68,43.78,419700,43.78
2015-06-18,43.04,43.58,42.85,43.56,411300,43.56
2015-06-17,43.01,43.77,42.58,43.23,258300,43.23
2015-06-16,42.89,43.14,42.09,42.63,411200,42.63
2015-06-15,43.29,43.52,42.76,42.89,243900,42.89
2015-06-12,43.15,43.84,42.87,43.40,251400,43.40
2015-06-11,43.50,43.71,42.91,43.15,329200,43.15
2015-06-10,43.12,43.41,42.71,43.00,297600,43.00
2015-06-09,43.69,44.12,43.42,43.47,296600,43.47
2015-06-08,43.47,43.47,43.47,43.47,000,43.47
2015-06-05,42.89,43.96,42.35,43.47,384200,43.47
2015-06-04,43.96,43.96,42.94,43.11,418400,43.11
2015-06-03,44.51,44.53,43.66,43.97,356000,43.97
2015-06-02,46.06,46.13,44.55,44.64,308100,44.64
2015-06-01,46.11,46.32,45.41,46.01,256800,46.01
2015-05-29,46.15,46.79,46.00,46.55,431700,46.55
2015-05-28,46.12,46.30,45.735,45.92,276200,45.92
2015-05-27,46.21,46.62,45.97,46.06,277400,46.06
2015-05-26,46.23,46.80,46.16,46.62,243000,46.62
2015-05-25,45.78,46.53,45.78,46.35,299000,46.35
2015-05-22,47.38,47.38,45.80,46.12,418500,46.12
2015-05-21,46.61,47.35,46.28,46.40,294600,46.40
2015-05-20,46.80,47.13,46.13,46.42,465000,46.42
2015-05-19,46.68,47.38,46.63,46.75,1164500,46.75
2015-05-18,47.00,47.26,46.49,46.70,328800,46.70
2015-05-15,46.00,46.99,46.00,46.95,348000,46.95
2015-05-14,45.81,45.85,45.235,45.85,318200,45.85
2015-05-13,45.03,45.99,44.79,45.94,334600,45.94
2015-05-12,44.65,45.60,44.50,44.96,603200,44.96
2015-05-11,44.25,44.67,44.25,44.50,404900,44.50
2015-05-08,43.81,44.17,43.43,43.84,378400,43.84
2015-05-07,43.20,43.22,42.79,43.12,633200,43.12
2015-05-06,44.00,44.08,43.25,43.73,536200,43.73
2015-05-05,44.20,44.77,43.48,43.91,382200,43.91
2015-05-04,43.20,44.14,43.20,43.87,312400,43.87
2015-05-01,43.23,43.36,42.54,43.11,290300,43.11
2015-04-30,44.33,44.33,43.205,43.43,375000,43.43
2015-04-29,44.30,44.80,43.90,44.17,390100,44.17
2015-04-28,44.10,44.17,43.14,44.10,520300,44.10
2015-04-27,43.04,44.25,43.04,44.13,544000,44.13
2015-04-24,41.95,42.97,41.92,42.80,417000,42.80
2015-04-23,41.06,41.64,40.64,41.64,567400,41.64
2015-04-22,40.92,41.35,40.91,41.35,763000,41.35
2015-04-21,40.62,40.90,40.27,40.80,391200,40.80
2015-04-20,40.50,40.52,40.01,40.23,404600,40.23
2015-04-17,41.00,41.49,40.33,40.50,339700,40.50
2015-04-16,40.79,41.15,40.45,40.90,435000,40.90
2015-04-15,41.02,41.09,39.95,40.00,458200,40.00
2015-04-14,42.15,42.185,40.98,41.01,418100,41.01
2015-04-13,41.50,42.35,41.48,42.17,1103500,42.17
2015-04-10,41.50,41.60,41.13,41.13,309400,41.13
2015-04-09,41.20,41.62,41.18,41.44,476800,41.44
2015-04-08,40.41,41.13,40.34,41.08,501300,41.08
2015-04-07,40.00,40.57,39.64,40.31,515700,40.31
2015-04-06,39.46,39.46,39.46,39.46,000,39.46
2015-04-03,39.46,39.46,39.46,39.46,000,39.46
2015-04-02,39.83,39.83,39.01,39.46,406600,39.46
2015-04-01,39.50,39.80,38.99,39.50,410000,39.50
2015-03-31,39.85,39.97,39.55,39.65,693500,39.65
2015-03-30,39.00,39.33,38.785,39.05,326800,39.05
2015-03-27,39.00,39.36,38.60,39.10,505500,39.10
2015-03-26,39.70,39.70,38.46,38.56,588100,38.56
2015-03-25,40.10,40.20,39.72,39.76,506500,39.76
2015-03-24,41.20,41.20,40.49,40.75,417400,39.96429
2015-03-23,40.81,41.16,40.28,40.86,306500,40.07217
2015-03-20,40.80,40.89,40.235,40.70,259700,39.91525
2015-03-19,41.32,41.39,40.79,40.84,593500,40.05255
2015-03-18,40.40,40.40,39.68,40.06,308800,39.28759
2015-03-17,40.00,40.43,39.20,40.33,493800,39.55239
2015-03-16,40.48,40.49,39.65,39.70,363300,38.93453
2015-03-13,41.37,41.38,40.09,40.50,469500,39.71911
2015-03-12,41.20,41.49,40.50,40.60,389900,39.81718
2015-03-11,40.50,41.62,40.39,40.91,482500,40.1212
2015-03-10,43.01,43.37,41.05,41.29,755100,40.49387
2015-03-09,42.66,43.40,42.24,43.27,437900,42.4357
2015-03-06,42.50,42.98,42.28,42.83,242300,42.00418
2015-03-05,42.76,42.76,41.53,42.34,337300,41.52363
2015-03-04,42.30,42.98,42.11,42.76,490600,41.93553
2015-03-03,42.06,42.54,41.57,42.38,538200,41.56286
2015-03-02,41.73,42.415,41.65,42.15,677800,41.33729
2015-02-27,41.50,41.73,40.85,41.26,1270600,40.46445
2015-02-26,39.41,41.60,39.41,41.53,1067600,40.72925
2015-02-25,38.60,39.35,38.33,39.35,920000,38.59128
2015-02-24,37.69,39.89,36.95,39.50,1198800,38.73839
2015-02-23,36.40,36.60,35.21,35.25,797600,34.57033
2015-02-20,37.50,37.545,36.20,36.30,528900,35.60009
2015-02-19,37.30,37.67,37.18,37.51,343700,36.78676
2015-02-18,36.72,37.16,36.06,36.97,491800,36.25717
2015-02-17,36.39,36.56,36.03,36.52,418700,35.81585
2015-02-16,36.90,37.00,36.10,36.39,753800,35.68835
2015-02-13,37.15,37.46,36.81,36.84,695200,36.12968
2015-02-12,36.69,37.32,36.68,36.87,628500,36.1591
2015-02-11,37.73,37.73,36.70,36.78,379900,36.07083
2015-02-10,37.76,37.76,36.84,37.10,382900,36.38466
2015-02-09,37.26,37.565,37.21,37.34,232300,36.62004
2015-02-06,37.87,37.95,37.11,37.21,340100,36.49254
