date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.915,1.915,1.88,1.91,23866500,1.91
2015-06-29,1.975,1.975,1.915,1.93,16413100,1.93
2015-06-26,2.08,2.09,1.99,1.99,26984600,1.99
2015-06-25,2.20,2.21,2.12,2.12,9092900,2.12
2015-06-24,2.21,2.235,2.18,2.20,10925900,2.20
2015-06-23,2.20,2.21,2.14,2.18,10621100,2.18
2015-06-22,2.18,2.215,2.15,2.20,7418600,2.20
2015-06-19,2.16,2.22,2.15,2.16,13330700,2.16
2015-06-18,2.18,2.185,2.08,2.13,23445900,2.13
2015-06-17,2.27,2.27,2.21,2.22,16492400,2.22
2015-06-16,2.41,2.46,2.31,2.32,12283100,2.32
2015-06-15,2.41,2.47,2.40,2.44,10416500,2.44
2015-06-12,2.49,2.49,2.44,2.46,8997200,2.46
2015-06-11,2.40,2.49,2.39,2.48,16353400,2.48
2015-06-10,2.37,2.38,2.33,2.33,11690800,2.33
2015-06-09,2.36,2.45,2.35,2.39,18227300,2.39
2015-06-08,2.32,2.32,2.32,2.32,000,2.32
2015-06-05,2.31,2.36,2.31,2.32,6312300,2.32
2015-06-04,2.45,2.45,2.25,2.28,11914500,2.28
2015-06-03,2.42,2.47,2.40,2.43,10209600,2.43
2015-06-02,2.42,2.42,2.38,2.38,8179500,2.38
2015-06-01,2.35,2.40,2.34,2.38,10466000,2.38
2015-05-29,2.43,2.47,2.37,2.42,43312700,2.42
2015-05-28,2.34,2.44,2.33,2.43,14602300,2.43
2015-05-27,2.40,2.445,2.32,2.36,20076700,2.36
2015-05-26,2.38,2.495,2.34,2.40,40237600,2.40
2015-05-25,2.15,2.22,2.15,2.17,12318200,2.17
2015-05-22,2.14,2.16,2.07,2.11,13616700,2.11
2015-05-21,2.03,2.14,2.01,2.12,32361700,2.12
2015-05-20,2.16,2.17,2.035,2.07,23431400,2.07
2015-05-19,2.26,2.27,2.21,2.22,14387400,2.22
2015-05-18,2.31,2.33,2.27,2.29,10872400,2.29
2015-05-15,2.31,2.34,2.25,2.29,14594800,2.29
2015-05-14,2.44,2.45,2.29,2.31,26752800,2.31
2015-05-13,2.54,2.60,2.49,2.51,13759300,2.51
2015-05-12,2.62,2.64,2.49,2.57,17758900,2.57
2015-05-11,2.59,2.64,2.56,2.57,17036400,2.57
2015-05-08,2.55,2.585,2.50,2.50,29886700,2.50
2015-05-07,2.58,2.65,2.51,2.58,39259200,2.58
2015-05-06,2.50,2.62,2.495,2.58,31486700,2.58
2015-05-05,2.50,2.54,2.44,2.46,21772900,2.46
2015-05-04,2.35,2.48,2.32,2.45,22982300,2.45
2015-05-01,2.25,2.38,2.20,2.37,31401000,2.37
2015-04-30,2.18,2.20,2.03,2.17,51964000,2.17
2015-04-29,2.45,2.49,2.27,2.27,31915300,2.27
2015-04-28,2.61,2.63,2.41,2.45,43305500,2.45
2015-04-27,2.36,2.57,2.35,2.57,62368100,2.57
2015-04-24,2.19,2.23,2.15,2.21,46361200,2.21
2015-04-23,2.04,2.18,2.02,2.09,64698100,2.09
2015-04-22,1.87,1.92,1.835,1.905,23449600,1.905
2015-04-21,1.93,1.94,1.86,1.87,21473300,1.87
2015-04-20,1.89,1.92,1.86,1.89,33438900,1.89
2015-04-17,1.96,1.98,1.84,1.87,31578500,1.87
2015-04-16,1.87,2.035,1.87,1.955,41960000,1.955
2015-04-15,1.89,1.93,1.845,1.855,28765400,1.855
2015-04-14,1.775,1.845,1.77,1.835,22805400,1.835
2015-04-13,1.80,1.835,1.75,1.775,23815600,1.775
2015-04-10,1.86,1.88,1.81,1.815,14166700,1.815
2015-04-09,1.90,1.90,1.81,1.89,26075000,1.89
2015-04-08,1.825,1.94,1.82,1.94,29419700,1.94
2015-04-07,1.815,1.87,1.79,1.795,20849300,1.795
2015-04-06,1.82,1.82,1.82,1.82,000,1.82
2015-04-03,1.82,1.82,1.82,1.82,000,1.82
2015-04-02,1.86,1.86,1.81,1.82,20713700,1.82
2015-04-01,1.92,1.945,1.89,1.895,20099000,1.895
2015-03-31,1.94,1.9775,1.92,1.96,15240100,1.96
2015-03-30,1.955,1.96,1.915,1.925,12860800,1.925
2015-03-27,2.10,2.12,1.995,2.00,26912700,2.00
2015-03-26,2.02,2.14,2.02,2.12,22793900,2.12
2015-03-25,2.02,2.08,2.02,2.04,18293600,2.04
2015-03-24,2.00,2.07,1.96,2.01,28287200,2.01
2015-03-23,2.00,2.02,1.965,1.98,11700200,1.98
2015-03-20,1.96,2.00,1.93,2.00,17215700,2.00
2015-03-19,1.87,2.00,1.845,1.99,27232000,1.99
2015-03-18,1.89,1.91,1.795,1.865,44718100,1.865
2015-03-17,2.06,2.07,1.95,1.97,20447100,1.97
2015-03-16,1.965,2.07,1.965,2.01,15694300,2.01
2015-03-13,1.96,2.00,1.93,2.00,24800100,2.00
2015-03-12,1.915,1.965,1.91,1.915,32233000,1.915
2015-03-11,1.95,1.99,1.89,1.95,49455100,1.95
2015-03-10,2.17,2.17,2.00,2.02,21948800,2.02
2015-03-09,2.13,2.24,2.10,2.14,22356200,2.14
2015-03-06,2.24,2.24,2.14,2.15,25762900,2.15
2015-03-05,2.26,2.345,2.26,2.29,19755300,2.29
2015-03-04,2.44,2.44,2.28,2.29,13360700,2.29
2015-03-03,2.46,2.50,2.41,2.42,13503300,2.42
2015-03-02,2.49,2.53,2.44,2.45,13096400,2.45
2015-02-27,2.48,2.51,2.45,2.49,17052500,2.44714
2015-02-26,2.46,2.49,2.45,2.48,12330700,2.43732
2015-02-25,2.51,2.51,2.45,2.48,18234800,2.43732
2015-02-24,2.44,2.48,2.42,2.46,12890000,2.41766
2015-02-23,2.47,2.49,2.41,2.42,18250400,2.37835
2015-02-20,2.52,2.53,2.44,2.45,14097000,2.40783
2015-02-19,2.53,2.59,2.50,2.51,17503900,2.4668
2015-02-18,2.56,2.57,2.44,2.49,20420100,2.44714
2015-02-17,2.65,2.765,2.53,2.55,20115200,2.50611
2015-02-16,2.67,2.72,2.61,2.68,22044800,2.63387
2015-02-13,2.50,2.62,2.47,2.59,27771100,2.54542
2015-02-12,2.40,2.45,2.37,2.45,20830100,2.40783
2015-02-11,2.52,2.53,2.40,2.45,15878700,2.40783
2015-02-10,2.49,2.54,2.47,2.49,11989000,2.44714
2015-02-09,2.50,2.54,2.46,2.50,10609200,2.45697
2015-02-06,2.54,2.58,2.50,2.54,17574000,2.49628
2015-02-05,2.55,2.55,2.45,2.51,23058800,2.4668
2015-02-04,2.48,2.63,2.46,2.58,37060300,2.53559
2015-02-03,2.35,2.39,2.30,2.37,24608200,2.32921
2015-02-02,2.35,2.375,2.29,2.31,30849500,2.27024
