date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.33,4.33,4.25,4.29,15600,4.29
2015-06-29,4.36,4.37,4.30,4.36,26100,4.36
2015-06-26,4.38,4.48,4.31,4.37,181100,4.37
2015-06-25,4.40,4.43,4.34,4.39,30300,4.39
2015-06-24,4.33,4.38,4.30,4.37,2487500,4.37
2015-06-23,4.40,4.48,4.20,4.38,337900,4.38
2015-06-22,4.50,4.52,4.34,4.34,37700,4.34
2015-06-19,4.21,4.36,4.17,4.34,102700,4.34
2015-06-18,4.15,4.34,4.15,4.15,48400,4.15
2015-06-17,4.15,4.22,4.11,4.14,58400,4.14
2015-06-16,4.18,4.21,4.14,4.16,87000,4.16
2015-06-15,4.25,4.25,4.17,4.21,54900,4.21
2015-06-12,4.24,4.50,4.22,4.36,101800,4.36
2015-06-11,4.35,4.35,4.21,4.24,91900,4.24
2015-06-10,4.40,4.50,4.35,4.37,5500,4.37
2015-06-09,4.39,4.40,4.31,4.39,48300,4.39
2015-06-08,4.41,4.41,4.41,4.41,000,4.41
2015-06-05,4.42,4.48,4.39,4.41,17200,4.41
2015-06-04,4.40,4.47,4.39,4.41,292000,4.41
2015-06-03,4.43,4.49,4.38,4.38,293500,4.38
2015-06-02,4.50,4.60,4.465,4.47,208800,4.47
2015-06-01,4.50,4.52,4.41,4.42,30400,4.42
2015-05-29,4.56,4.57,4.43,4.48,756600,4.48
2015-05-28,4.56,4.67,4.56,4.60,371900,4.60
2015-05-27,4.63,4.69,4.56,4.59,215500,4.59
2015-05-26,4.69,4.69,4.58,4.59,258100,4.59
2015-05-25,4.80,4.81,4.61,4.64,308300,4.64
2015-05-22,4.60,4.76,4.60,4.62,286200,4.62
2015-05-21,4.53,4.53,4.50,4.53,246600,4.53
2015-05-20,4.52,4.55,4.485,4.50,412100,4.50
2015-05-19,4.53,4.55,4.48,4.53,360500,4.53
2015-05-18,4.59,4.62,4.55,4.57,775700,4.57
2015-05-15,4.64,4.64,4.56,4.58,609500,4.58
2015-05-14,4.64,4.65,4.61,4.64,691900,4.64
2015-05-13,4.72,4.72,4.63,4.66,205800,4.66
2015-05-12,4.79,4.79,4.63,4.75,298900,4.75
2015-05-11,4.87,4.87,4.74,4.80,11800,4.80
2015-05-08,4.92,4.92,4.82,4.90,170800,4.90
2015-05-07,5.00,5.11,4.86,4.92,25400,4.92
2015-05-06,5.02,5.02,4.96,5.01,23000,5.01
2015-05-05,5.15,5.15,5.05,5.08,17900,5.08
2015-05-04,5.04,5.20,5.03,5.05,22500,5.05
2015-05-01,5.14,5.14,5.08,5.11,7200,5.11
2015-04-30,5.09,5.26,5.05,5.11,67300,5.11
2015-04-29,5.21,5.24,5.16,5.20,104300,5.20
2015-04-28,5.27,5.29,5.20,5.24,9200,5.24
2015-04-27,5.28,5.32,5.22,5.32,8400,5.32
2015-04-24,5.35,5.35,5.19,5.27,216200,5.27
2015-04-23,5.24,5.35,5.24,5.34,48100,5.34
