date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.385,1.435,1.37,1.37,122500,1.37
2015-06-29,1.39,1.395,1.36,1.385,73400,1.385
2015-06-26,1.40,1.40,1.365,1.39,96900,1.39
2015-06-25,1.37,1.465,1.36,1.41,75500,1.41
2015-06-24,1.365,1.385,1.365,1.375,54900,1.375
2015-06-23,1.415,1.415,1.365,1.365,109900,1.365
2015-06-22,1.45,1.455,1.40,1.40,92300,1.40
2015-06-19,1.545,1.545,1.45,1.47,66900,1.47
2015-06-18,1.55,1.56,1.51,1.51,134300,1.51
2015-06-17,1.52,1.56,1.515,1.56,85600,1.56
2015-06-16,1.51,1.52,1.49,1.52,74900,1.52
2015-06-15,1.49,1.53,1.48,1.49,29600,1.49
2015-06-12,1.50,1.51,1.44,1.51,105900,1.51
2015-06-11,1.54,1.545,1.50,1.525,81800,1.525
2015-06-10,1.55,1.555,1.49,1.53,121100,1.53
2015-06-09,1.58,1.58,1.53,1.54,80400,1.54
2015-06-08,1.565,1.565,1.565,1.565,000,1.565
2015-06-05,1.56,1.57,1.50,1.565,112400,1.565
2015-06-04,1.485,1.58,1.48,1.57,131100,1.57
2015-06-03,1.49,1.49,1.425,1.47,70600,1.47
2015-06-02,1.45,1.49,1.425,1.45,103900,1.45
2015-06-01,1.425,1.48,1.40,1.42,66400,1.42
2015-05-29,1.46,1.465,1.37,1.425,47100,1.425
2015-05-28,1.46,1.47,1.43,1.44,26000,1.44
2015-05-27,1.47,1.47,1.44,1.45,39000,1.45
2015-05-26,1.45,1.485,1.45,1.475,51000,1.475
2015-05-25,1.44,1.48,1.425,1.45,31600,1.45
2015-05-22,1.42,1.445,1.41,1.43,93300,1.43
2015-05-21,1.40,1.44,1.40,1.42,71100,1.42
2015-05-20,1.39,1.42,1.355,1.42,47800,1.42
2015-05-19,1.27,1.42,1.26,1.355,204600,1.355
2015-05-18,1.25,1.27,1.24,1.27,88300,1.27
2015-05-15,1.29,1.29,1.26,1.26,16500,1.26
2015-05-14,1.31,1.31,1.28,1.30,52400,1.30
2015-05-13,1.28,1.325,1.28,1.315,79900,1.315
2015-05-12,1.28,1.28,1.255,1.28,60200,1.28
2015-05-11,1.255,1.28,1.255,1.28,47600,1.28
2015-05-08,1.28,1.28,1.24,1.265,43900,1.265
2015-05-07,1.25,1.28,1.25,1.28,38800,1.28
2015-05-06,1.26,1.285,1.25,1.25,22700,1.25
2015-05-05,1.27,1.29,1.26,1.29,88500,1.29
2015-05-04,1.26,1.28,1.25,1.28,45000,1.28
2015-05-01,1.285,1.31,1.25,1.28,98200,1.28
2015-04-30,1.30,1.32,1.255,1.31,27300,1.31
2015-04-29,1.28,1.31,1.27,1.31,50300,1.31
2015-04-28,1.285,1.29,1.25,1.27,153600,1.27
2015-04-27,1.30,1.30,1.255,1.27,114200,1.27
2015-04-24,1.26,1.32,1.26,1.29,157900,1.29
2015-04-23,1.28,1.285,1.26,1.26,21000,1.26
2015-04-22,1.27,1.295,1.27,1.295,17000,1.295
2015-04-21,1.29,1.295,1.27,1.295,22100,1.295
2015-04-20,1.27,1.30,1.27,1.28,12300,1.28
2015-04-17,1.33,1.33,1.27,1.32,41600,1.32
2015-04-16,1.31,1.34,1.27,1.325,56200,1.325
2015-04-15,1.26,1.33,1.23,1.33,96400,1.33
2015-04-14,1.30,1.30,1.225,1.25,88600,1.25
2015-04-13,1.32,1.32,1.30,1.30,64500,1.30
2015-04-10,1.335,1.335,1.31,1.33,34900,1.33
2015-04-09,1.37,1.37,1.315,1.325,55000,1.325
2015-04-08,1.335,1.37,1.335,1.37,29600,1.37
2015-04-07,1.38,1.38,1.335,1.375,62300,1.375
2015-04-06,1.38,1.38,1.38,1.38,000,1.38
2015-04-03,1.38,1.38,1.38,1.38,000,1.38
2015-04-02,1.39,1.40,1.38,1.38,19200,1.38
2015-04-01,1.41,1.415,1.38,1.395,47000,1.395
2015-03-31,1.40,1.45,1.39,1.40,367100,1.40
2015-03-30,1.39,1.41,1.375,1.38,48700,1.38
2015-03-27,1.39,1.41,1.39,1.405,23600,1.405
2015-03-26,1.40,1.40,1.38,1.40,60000,1.40
2015-03-25,1.38,1.41,1.38,1.40,140600,1.40
2015-03-24,1.38,1.395,1.35,1.395,103600,1.395
2015-03-23,1.34,1.375,1.315,1.355,133300,1.355
2015-03-20,1.38,1.395,1.35,1.35,265500,1.35
2015-03-19,1.375,1.40,1.375,1.375,144700,1.375
2015-03-18,1.40,1.40,1.365,1.39,105400,1.39
2015-03-17,1.43,1.43,1.39,1.41,199300,1.41
2015-03-16,1.42,1.42,1.36,1.41,88500,1.41
