date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.825,0.845,0.797,0.815,24242900,0.815
2015-06-29,0.825,0.84,0.81,0.825,16859700,0.825
2015-06-26,0.85,0.86,0.835,0.845,22893200,0.845
2015-06-25,0.89,0.89,0.85,0.855,26663900,0.855
2015-06-24,0.90,0.907,0.88,0.88,13305100,0.88
2015-06-23,0.89,0.905,0.882,0.895,21311600,0.895
2015-06-22,0.895,0.9025,0.875,0.88,19747800,0.88
2015-06-19,0.87,0.89,0.865,0.88,19534900,0.88
2015-06-18,0.875,0.885,0.865,0.87,11517500,0.87
2015-06-17,0.91,0.915,0.885,0.885,11965300,0.885
2015-06-16,0.92,0.925,0.895,0.91,13508400,0.91
2015-06-15,0.92,0.935,0.90,0.92,10492300,0.92
2015-06-12,0.90,0.93,0.90,0.915,8253700,0.915
2015-06-11,0.935,0.94,0.895,0.92,24054500,0.92
2015-06-10,0.93,0.945,0.917,0.925,8215200,0.925
2015-06-09,0.945,0.95,0.915,0.93,13025900,0.93
2015-06-08,0.95,0.95,0.95,0.95,000,0.95
2015-06-05,0.97,0.98,0.94,0.95,9592700,0.95
2015-06-04,0.98,0.985,0.952,0.965,8906800,0.965
2015-06-03,0.985,0.99,0.97,0.975,12071800,0.975
2015-06-02,1.025,1.03,0.985,0.99,13787100,0.99
2015-06-01,1.025,1.03,1.01,1.015,16651200,1.015
2015-05-29,1.02,1.0375,1.01,1.03,10480100,1.03
2015-05-28,1.02,1.03,1.01,1.01,6666300,1.01
2015-05-27,1.02,1.025,1.01,1.015,6406100,1.015
2015-05-26,1.035,1.04,1.015,1.025,8931300,1.025
2015-05-25,1.035,1.045,1.03,1.04,7042500,1.04
2015-05-22,1.045,1.05,1.04,1.04,4383000,1.04
2015-05-21,1.055,1.055,1.04,1.045,8798700,1.045
2015-05-20,1.03,1.045,1.03,1.035,5533700,1.035
2015-05-19,1.04,1.045,1.025,1.03,8459700,1.03
2015-05-18,1.055,1.065,1.045,1.045,7273900,1.045
2015-05-15,1.05,1.055,1.04,1.05,11305200,1.05
2015-05-14,1.025,1.045,1.015,1.04,16812000,1.04
2015-05-13,1.01,1.035,1.005,1.025,12594000,1.025
2015-05-12,1.00,1.015,0.985,1.015,13441000,1.015
2015-05-11,1.015,1.032,1.00,1.005,17510000,1.005
2015-05-08,1.02,1.04,1.005,1.01,10704600,1.01
2015-05-07,0.985,1.04,0.985,1.025,12927500,1.025
2015-05-06,1.04,1.045,0.99,1.005,24733700,1.005
2015-05-05,1.06,1.065,1.035,1.055,8466100,1.055
2015-05-04,1.05,1.065,1.045,1.055,11031200,1.055
2015-05-01,1.045,1.07,1.035,1.055,11703100,1.055
2015-04-30,1.04,1.055,1.03,1.045,8050400,1.045
2015-04-29,1.075,1.11,1.055,1.06,15748200,1.06
2015-04-28,1.07,1.085,1.06,1.075,15622100,1.075
2015-04-27,1.025,1.07,1.02,1.065,14041800,1.065
2015-04-24,1.03,1.035,1.02,1.03,14185900,1.03
2015-04-23,1.025,1.04,1.015,1.03,14167800,1.03
2015-04-22,1.035,1.045,1.022,1.025,17432400,1.025
2015-04-21,1.03,1.04,1.025,1.035,8937800,1.035
2015-04-20,1.03,1.035,1.005,1.02,10754700,1.02
2015-04-17,1.035,1.065,1.03,1.04,10856300,1.04
2015-04-16,1.035,1.06,1.03,1.04,15979700,1.04
2015-04-15,1.02,1.045,1.015,1.025,11448000,1.025
2015-04-14,0.99,1.015,0.98,1.015,15210300,1.015
2015-04-13,0.99,1.015,0.977,0.98,15487800,0.98
2015-04-10,0.995,1.0025,0.98,0.985,8923300,0.985
2015-04-09,0.995,1.005,0.98,0.985,15883300,0.985
2015-04-08,0.98,1.00,0.975,1.00,9268400,1.00
2015-04-07,1.00,1.02,0.965,0.975,10260500,0.975
2015-04-06,0.995,0.995,0.995,0.995,000,0.995
2015-04-03,0.995,0.995,0.995,0.995,000,0.995
2015-04-02,0.955,1.00,0.95,0.995,13142400,0.995
2015-04-01,0.94,0.96,0.94,0.955,4920300,0.955
2015-03-31,0.94,0.965,0.94,0.955,13299900,0.955
2015-03-30,0.955,0.955,0.925,0.935,9396900,0.935
2015-03-27,0.93,0.97,0.925,0.955,12895200,0.955
2015-03-26,0.95,0.96,0.935,0.94,7929700,0.94
2015-03-25,0.97,0.98,0.95,0.97,3543100,0.97
2015-03-24,0.965,0.97,0.957,0.96,8788200,0.96
2015-03-23,0.98,0.98,0.962,0.965,6448300,0.965
2015-03-20,0.95,0.985,0.945,0.985,18377800,0.985
2015-03-19,0.95,0.955,0.935,0.955,13785500,0.955
2015-03-18,0.93,0.935,0.912,0.935,6757300,0.935
2015-03-17,0.925,0.945,0.92,0.935,10084900,0.935
2015-03-16,0.895,0.92,0.895,0.915,4627000,0.915
2015-03-13,0.91,0.925,0.887,0.91,12069000,0.91
2015-03-12,0.94,0.94,0.90,0.91,18448100,0.91
2015-03-11,0.92,0.95,0.905,0.945,13826300,0.945
2015-03-10,0.94,0.94,0.905,0.93,12254700,0.93
2015-03-09,0.94,0.942,0.905,0.93,12655000,0.93
2015-03-06,0.96,0.962,0.94,0.945,7872200,0.945
2015-03-05,0.96,0.965,0.935,0.965,4565400,0.965
2015-03-04,0.97,0.98,0.95,0.95,5793200,0.95
2015-03-03,0.95,0.97,0.95,0.965,9365500,0.965
2015-03-02,0.96,0.965,0.93,0.93,7363800,0.93
2015-02-27,0.955,0.987,0.95,0.98,31252900,0.95143
2015-02-26,0.95,0.955,0.93,0.95,6876100,0.9223
2015-02-25,0.93,0.96,0.93,0.95,14592900,0.9223
2015-02-24,0.925,0.945,0.92,0.92,16368800,0.89318
2015-02-23,0.915,0.93,0.905,0.925,14432500,0.89803
2015-02-20,0.91,0.92,0.905,0.915,7380800,0.88832
2015-02-19,0.91,0.9225,0.895,0.91,34630100,0.88347
2015-02-18,0.895,0.905,0.88,0.89,16455700,0.86405
2015-02-17,0.885,0.905,0.88,0.89,10141200,0.86405
2015-02-16,0.88,0.895,0.875,0.895,22540900,0.86891
2015-02-13,0.875,0.90,0.87,0.89,15158100,0.86405
2015-02-12,0.88,0.885,0.865,0.875,15282700,0.84949
2015-02-11,0.89,0.89,0.875,0.88,8599200,0.85434
2015-02-10,0.89,0.90,0.877,0.885,16290300,0.8592
2015-02-09,0.90,0.91,0.85,0.875,392909800,0.84949
2015-02-06,0.945,0.965,0.935,0.96,11688800,0.93201
2015-02-05,0.925,0.93,0.905,0.92,5782000,0.89318
2015-02-04,0.935,0.935,0.905,0.92,7691000,0.89318
2015-02-03,0.895,0.93,0.89,0.92,8254600,0.89318
2015-02-02,0.895,0.90,0.885,0.89,3660100,0.86405
2015-01-30,0.89,0.90,0.885,0.90,9826200,0.87376
2015-01-29,0.875,0.895,0.86,0.87,10538000,0.84464
2015-01-28,0.875,0.895,0.865,0.885,9121300,0.8592
2015-01-27,0.855,0.8825,0.855,0.88,6977000,0.85434
2015-01-26,0.85,0.85,0.85,0.85,000,0.82522
2015-01-23,0.84,0.855,0.835,0.85,5657600,0.82522
2015-01-22,0.845,0.85,0.825,0.83,4569700,0.8058
2015-01-21,0.83,0.85,0.827,0.845,6382700,0.82036
2015-01-20,0.85,0.855,0.825,0.83,9044700,0.8058
2015-01-19,0.84,0.862,0.84,0.85,7003700,0.82522
2015-01-16,0.86,0.87,0.835,0.835,3761200,0.81066
2015-01-15,0.875,0.88,0.835,0.87,6773600,0.84464
2015-01-14,0.89,0.90,0.86,0.865,3902800,0.83978
2015-01-13,0.875,0.90,0.865,0.885,4158300,0.8592
2015-01-12,0.865,0.905,0.86,0.88,4094100,0.85434
2015-01-09,0.87,0.885,0.865,0.87,2596000,0.84464
2015-01-08,0.87,0.87,0.85,0.87,4650300,0.84464
2015-01-07,0.87,0.872,0.85,0.86,3399900,0.83493
2015-01-06,0.89,0.90,0.855,0.87,4484100,0.84464
2015-01-05,0.865,0.885,0.865,0.88,2979800,0.85434
2015-01-02,0.88,0.88,0.86,0.865,2570000,0.83978
2015-01-01,0.875,0.875,0.875,0.875,000,0.84949
2014-12-31,0.86,0.88,0.855,0.875,1979500,0.84949
2014-12-30,0.88,0.88,0.85,0.86,3155500,0.83493
