date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.90,2.93,2.85,2.91,2201000,2.91
2015-06-29,2.97,2.995,2.89,2.90,1521000,2.90
2015-06-26,2.99,3.00,2.87,2.97,1745800,2.97
2015-06-25,3.03,3.05,2.97,2.99,1982500,2.99
2015-06-24,3.21,3.24,2.97,3.03,5583200,3.03
2015-06-23,3.39,3.39,3.19,3.19,4407600,3.19
2015-06-22,3.43,3.46,3.40,3.43,1081600,3.43
2015-06-19,3.38,3.46,3.37,3.44,907600,3.44
2015-06-18,3.36,3.38,3.31,3.34,1306400,3.34
2015-06-17,3.37,3.46,3.35,3.41,839800,3.41
2015-06-16,3.32,3.38,3.32,3.37,613300,3.37
2015-06-15,3.33,3.34,3.29,3.32,500700,3.32
2015-06-12,3.33,3.34,3.29,3.33,811700,3.33
2015-06-11,3.29,3.35,3.25,3.35,982500,3.35
2015-06-10,3.28,3.30,3.23,3.26,996500,3.26
2015-06-09,3.35,3.35,3.25,3.26,702500,3.26
2015-06-08,3.35,3.35,3.35,3.35,000,3.35
2015-06-05,3.34,3.38,3.30,3.35,805000,3.35
2015-06-04,3.40,3.46,3.305,3.35,1241800,3.35
2015-06-03,3.46,3.48,3.22,3.37,2258800,3.37
2015-06-02,3.56,3.57,3.45,3.48,658200,3.48
2015-06-01,3.60,3.60,3.54,3.54,458100,3.54
2015-05-29,3.60,3.625,3.59,3.60,940400,3.60
2015-05-28,3.56,3.60,3.53,3.60,497700,3.60
2015-05-27,3.57,3.60,3.54,3.56,478100,3.56
2015-05-26,3.59,3.60,3.57,3.59,933000,3.59
2015-05-25,3.60,3.60,3.56,3.59,489100,3.59
2015-05-22,3.55,3.60,3.52,3.60,734300,3.60
2015-05-21,3.55,3.55,3.50,3.54,1210800,3.54
2015-05-20,3.57,3.60,3.53,3.54,844900,3.54
2015-05-19,3.60,3.63,3.56,3.59,1235500,3.59
2015-05-18,3.65,3.68,3.555,3.56,1115000,3.56
2015-05-15,3.49,3.66,3.49,3.66,1811500,3.66
2015-05-14,3.48,3.51,3.44,3.48,2000100,3.48
2015-05-13,3.39,3.50,3.36,3.48,1157900,3.48
2015-05-12,3.34,3.40,3.33,3.40,739900,3.40
2015-05-11,3.38,3.39,3.33,3.35,379600,3.35
2015-05-08,3.38,3.42,3.32,3.33,569600,3.33
2015-05-07,3.38,3.43,3.36,3.36,673300,3.36
2015-05-06,3.37,3.46,3.37,3.45,808800,3.45
2015-05-05,3.43,3.48,3.39,3.43,1090200,3.43
