date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,3.28,3.31,3.23,3.26,3163100,3.26
2015-06-29,3.28,3.34,3.23,3.32,3170300,3.32
2015-06-26,3.33,3.35,3.21,3.30,3580700,3.30
2015-06-25,3.36,3.43,3.33,3.36,2816200,3.36
2015-06-24,3.34,3.39,3.25,3.36,1987600,3.36
2015-06-23,3.45,3.46,3.35,3.38,4016100,3.2943
2015-06-22,3.47,3.48,3.39,3.40,3178800,3.3138
2015-06-19,3.46,3.50,3.44,3.48,4614200,3.3918
2015-06-18,3.55,3.56,3.43,3.44,5343300,3.3528
2015-06-17,3.63,3.65,3.55,3.60,2743300,3.5087
2015-06-16,3.75,3.76,3.61,3.62,3325800,3.5282
2015-06-15,3.81,3.82,3.74,3.75,1595000,3.6549
2015-06-12,3.78,3.86,3.75,3.80,2440100,3.7036
2015-06-11,3.74,3.78,3.74,3.76,1236400,3.6646
2015-06-10,3.71,3.76,3.66,3.71,1580000,3.6159
2015-06-09,3.74,3.76,3.70,3.71,2465700,3.6159
2015-06-08,3.75,3.75,3.75,3.75,000,3.6549
2015-06-05,3.69,3.79,3.69,3.75,1731800,3.6549
2015-06-04,3.74,3.78,3.665,3.70,2397700,3.6062
2015-06-03,3.76,3.80,3.62,3.73,3043500,3.6354
2015-06-02,3.77,3.81,3.72,3.77,2700300,3.6744
2015-06-01,3.75,3.76,3.72,3.75,1894000,3.6549
2015-05-29,3.75,3.77,3.70,3.75,2554900,3.6549
2015-05-28,3.78,3.79,3.74,3.75,1935100,3.6549
2015-05-27,3.76,3.83,3.76,3.77,1660600,3.6744
2015-05-26,3.75,3.85,3.72,3.77,3508800,3.6744
2015-05-25,3.77,3.85,3.72,3.76,2815000,3.6646
2015-05-22,3.88,3.88,3.65,3.77,6274400,3.6744
2015-05-21,3.96,3.98,3.88,3.89,3554100,3.7914
2015-05-20,4.00,4.01,3.91,3.98,2830100,3.8791
2015-05-19,4.07,4.07,3.985,3.99,2642600,3.8888
2015-05-18,4.10,4.13,4.01,4.03,1580300,3.9278
2015-05-15,4.14,4.15,4.06,4.12,2919700,4.0155
2015-05-14,4.00,4.135,3.97,4.11,3257900,4.0058
2015-05-13,4.09,4.12,3.98,4.01,4743100,3.9083
2015-05-12,4.07,4.09,3.955,4.03,4843200,3.9278
2015-05-11,3.95,4.12,3.92,4.01,9969600,3.9083
2015-05-08,3.64,3.84,3.64,3.78,3665100,3.6841
2015-05-07,3.71,3.74,3.57,3.66,3231900,3.5672
2015-05-06,3.71,3.84,3.68,3.80,4432500,3.7036
2015-05-05,3.71,3.80,3.70,3.73,3017100,3.6354
2015-05-04,3.58,3.71,3.58,3.68,2525900,3.5867
2015-05-01,3.60,3.62,3.55,3.60,1900600,3.5087
2015-04-30,3.67,3.67,3.58,3.61,3084200,3.5185
2015-04-29,3.73,3.74,3.64,3.69,1930500,3.5964
2015-04-28,3.78,3.78,3.65,3.74,1985500,3.6452
2015-04-27,3.68,3.79,3.66,3.79,3514700,3.6939
2015-04-24,3.53,3.685,3.52,3.63,3887700,3.5379
2015-04-23,3.44,3.52,3.42,3.50,3297600,3.4112
2015-04-22,3.39,3.47,3.35,3.41,3337600,3.3235
2015-04-21,3.55,3.55,3.30,3.33,9609200,3.2456
2015-04-20,3.56,3.59,3.49,3.56,2432000,3.4697
2015-04-17,3.69,3.69,3.50,3.58,2843600,3.4892
2015-04-16,3.67,3.73,3.66,3.69,1070700,3.5964
2015-04-15,3.70,3.70,3.63,3.65,1935400,3.5574
2015-04-14,3.76,3.77,3.66,3.72,2278200,3.6257
2015-04-13,3.75,3.78,3.68,3.76,5173800,3.6646
2015-04-10,3.56,3.72,3.54,3.71,7263700,3.6159
2015-04-09,3.42,3.57,3.40,3.51,6175200,3.421
2015-04-08,3.25,3.41,3.25,3.40,4920900,3.3138
2015-04-07,3.26,3.32,3.21,3.22,3778600,3.1383
2015-04-06,3.22,3.22,3.22,3.22,000,3.1383
2015-04-03,3.22,3.22,3.22,3.22,000,3.1383
2015-04-02,3.25,3.285,3.21,3.22,4718000,3.1383
2015-04-01,3.42,3.43,3.21,3.22,7903300,3.1383
2015-03-31,3.63,3.63,3.25,3.36,10809300,3.2748
2015-03-30,3.60,3.61,3.53,3.55,1691100,3.46
2015-03-27,3.56,3.66,3.55,3.62,1615900,3.5282
2015-03-26,3.70,3.70,3.61,3.64,2532500,3.4642
2015-03-25,3.70,3.74,3.65,3.70,2583200,3.5213
2015-03-24,3.69,3.75,3.61,3.68,3327000,3.5022
2015-03-23,3.64,3.70,3.58,3.62,2504200,3.4451
2015-03-20,3.57,3.62,3.525,3.61,4721300,3.4356
2015-03-19,3.59,3.64,3.51,3.56,5900200,3.388
2015-03-18,3.52,3.56,3.45,3.47,7462900,3.3024
2015-03-17,3.72,3.72,3.53,3.55,10967500,3.3785
2015-03-16,3.76,3.79,3.69,3.69,1289800,3.5117
2015-03-13,3.83,3.87,3.75,3.75,2050500,3.5688
2015-03-12,3.65,3.82,3.64,3.80,2794400,3.6164
2015-03-11,3.62,3.675,3.59,3.63,8131600,3.4546
2015-03-10,3.87,3.91,3.69,3.70,7159500,3.5213
2015-03-09,3.91,3.94,3.83,3.84,3352900,3.6545
2015-03-06,4.00,4.04,3.915,3.93,4172500,3.7401
2015-03-05,4.05,4.06,3.92,3.98,8825800,3.7877
2015-03-04,4.10,4.16,4.04,4.04,3374500,3.8448
2015-03-03,4.19,4.26,4.06,4.11,3181400,3.9114
2015-03-02,4.34,4.37,4.18,4.18,3276400,3.9781
2015-02-27,4.37,4.39,4.28,4.36,3096000,4.1494
2015-02-26,4.40,4.40,4.31,4.38,2838300,4.1684
2015-02-25,4.45,4.48,4.30,4.38,3019000,4.1684
2015-02-24,4.25,4.45,4.25,4.44,2808800,4.2255
2015-02-23,4.33,4.375,4.26,4.28,2572500,4.0732
2015-02-20,4.46,4.47,4.23,4.33,4390800,4.1208
2015-02-19,4.38,4.535,4.365,4.48,3715600,4.2636
2015-02-18,4.33,4.58,4.27,4.32,5855500,4.1113
2015-02-17,4.33,4.37,3.92,4.28,11571700,4.0732
2015-02-16,4.70,4.70,4.28,4.30,7637700,4.0923
2015-02-13,4.84,4.87,4.75,4.78,3882200,4.5491
2015-02-12,4.56,4.75,4.56,4.75,3130600,4.5205
2015-02-11,4.49,4.53,4.43,4.51,1875700,4.2921
2015-02-10,4.50,4.54,4.49,4.50,1238200,4.2826
2015-02-09,4.57,4.58,4.47,4.51,1508800,4.2921
2015-02-06,4.68,4.72,4.56,4.58,1881500,4.3587
2015-02-05,4.54,4.66,4.54,4.65,2488700,4.4254
2015-02-04,4.55,4.58,4.47,4.51,2807600,4.2921
2015-02-03,4.37,4.51,4.35,4.44,5647500,4.2255
2015-02-02,4.23,4.34,4.22,4.29,3651200,4.0828
2015-01-30,4.17,4.24,4.15,4.20,1913100,3.9971
2015-01-29,4.13,4.18,4.06,4.14,1628100,3.94
2015-01-28,4.07,4.18,4.01,4.16,2245000,3.959
2015-01-27,3.99,4.12,3.98,4.08,1723400,3.8829
2015-01-26,3.96,3.96,3.96,3.96,000,3.7687
2015-01-23,3.90,4.01,3.87,3.96,1476000,3.7687
2015-01-22,3.94,3.98,3.83,3.85,1375300,3.664
2015-01-21,3.85,3.90,3.83,3.88,1379200,3.6926
2015-01-20,3.95,3.96,3.84,3.91,1629300,3.7211
