date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,6.21,6.325,6.18,6.27,8472600,6.27
2015-06-29,6.30,6.36,6.22,6.28,6247100,6.28
2015-06-26,6.32,6.42,6.26,6.36,6073400,6.36
2015-06-25,6.58,6.58,6.42,6.51,3585500,6.399
2015-06-24,6.61,6.64,6.54,6.61,3685100,6.4973
2015-06-23,6.68,6.70,6.54,6.61,7246800,6.4973
2015-06-22,6.47,6.70,6.47,6.66,8287800,6.54644
2015-06-19,6.36,6.58,6.33,6.51,9509000,6.399
2015-06-18,6.34,6.39,6.22,6.24,13989700,6.1336
2015-06-17,6.32,6.385,6.29,6.35,5932700,6.24173
2015-06-16,6.26,6.30,6.21,6.23,7202000,6.12377
2015-06-15,6.20,6.25,6.15,6.24,4042600,6.1336
2015-06-12,6.22,6.29,6.17,6.23,3709500,6.12377
2015-06-11,6.28,6.29,6.20,6.22,3756300,6.11394
2015-06-10,6.11,6.25,6.10,6.22,4858500,6.11394
2015-06-09,6.07,6.20,6.04,6.10,4243100,5.99599
2015-06-08,6.12,6.12,6.12,6.12,000,6.01565
2015-06-05,6.12,6.25,6.06,6.12,3444800,6.01565
2015-06-04,6.32,6.33,6.14,6.16,5732200,6.05497
2015-06-03,6.33,6.37,6.265,6.33,7559400,6.22207
2015-06-02,6.58,6.59,6.38,6.39,4399100,6.28105
2015-06-01,6.53,6.59,6.40,6.57,3090700,6.45798
2015-05-29,6.44,6.595,6.43,6.55,6856900,6.43832
2015-05-28,6.42,6.48,6.385,6.45,3446500,6.34002
2015-05-27,6.42,6.44,6.33,6.40,4345200,6.29088
2015-05-26,6.44,6.47,6.37,6.45,3054500,6.34002
2015-05-25,6.42,6.49,6.39,6.41,2761000,6.3007
2015-05-22,6.38,6.39,6.31,6.38,2287500,6.27122
2015-05-21,6.25,6.34,6.23,6.31,4640900,6.20241
2015-05-20,6.25,6.305,6.20,6.25,3930500,6.14343
2015-05-19,6.29,6.31,6.20,6.21,4946800,6.10412
2015-05-18,6.22,6.31,6.22,6.23,3336600,6.12377
2015-05-15,6.30,6.31,6.20,6.29,3602500,6.18275
2015-05-14,6.11,6.19,6.10,6.18,3764800,6.07463
2015-05-13,6.28,6.28,6.11,6.14,6245300,6.03531
2015-05-12,6.15,6.23,6.09,6.21,6269800,6.10412
2015-05-11,6.35,6.35,6.17,6.17,3022200,6.0648
2015-05-08,6.27,6.27,6.14,6.22,4794500,6.11394
2015-05-07,6.11,6.23,6.08,6.14,10177200,6.03531
2015-05-06,6.32,6.38,6.17,6.20,7492700,6.09429
2015-05-05,6.45,6.50,6.32,6.38,4866700,6.27122
2015-05-04,6.31,6.41,6.30,6.41,3542800,6.3007
2015-05-01,6.17,6.34,6.17,6.30,3864200,6.19258
2015-04-30,6.22,6.27,6.135,6.25,6693000,6.14343
2015-04-29,6.40,6.45,6.37,6.39,4922200,6.28105
2015-04-28,6.40,6.47,6.40,6.44,4762200,6.33019
2015-04-27,6.33,6.50,6.33,6.45,4239500,6.34002
2015-04-24,6.35,6.35,6.29,6.32,3843600,6.21224
2015-04-23,6.30,6.32,6.22,6.25,2697500,6.14343
2015-04-22,6.40,6.41,6.27,6.30,4988100,6.19258
2015-04-21,6.40,6.44,6.35,6.44,4824400,6.33019
2015-04-20,6.24,6.35,6.17,6.33,2911200,6.22207
2015-04-17,6.51,6.53,6.26,6.31,7143800,6.20241
2015-04-16,6.47,6.53,6.39,6.49,3891400,6.37934
2015-04-15,6.46,6.46,6.36,6.45,5153800,6.34002
2015-04-14,6.45,6.49,6.37,6.39,2810100,6.28105
2015-04-13,6.50,6.545,6.45,6.45,3725100,6.34002
2015-04-10,6.41,6.50,6.355,6.50,4614300,6.38917
2015-04-09,6.40,6.405,6.35,6.38,3770400,6.27122
2015-04-08,6.40,6.425,6.325,6.42,4934900,6.31053
2015-04-07,6.46,6.47,6.36,6.41,5147400,6.3007
2015-04-06,6.38,6.38,6.38,6.38,000,6.27122
2015-04-03,6.38,6.38,6.38,6.38,000,6.27122
2015-04-02,6.33,6.42,6.32,6.38,3905900,6.27122
2015-04-01,6.29,6.36,6.27,6.29,8571900,6.18275
2015-03-31,6.30,6.45,6.29,6.35,10780400,6.24173
2015-03-30,6.15,6.23,6.15,6.22,5527900,6.11394
2015-03-27,6.18,6.30,6.15,6.26,7727900,6.15326
2015-03-26,6.15,6.25,6.13,6.13,6911700,6.02548
2015-03-25,6.37,6.37,6.19,6.23,5437500,6.12377
2015-03-24,6.30,6.33,6.225,6.32,3833300,6.21224
2015-03-23,6.25,6.29,6.18,6.25,3940200,6.14343
2015-03-20,6.21,6.24,6.17,6.20,13101800,6.09429
2015-03-19,6.28,6.28,6.215,6.24,13841100,6.1336
2015-03-18,6.13,6.15,6.01,6.06,6818400,5.95667
2015-03-17,6.20,6.215,6.12,6.12,3652300,6.01565
2015-03-16,6.12,6.155,6.07,6.14,2014200,6.03531
2015-03-13,6.24,6.265,6.11,6.14,3018800,6.03531
2015-03-12,6.10,6.21,6.09,6.20,4399700,6.09429
2015-03-11,6.08,6.12,6.05,6.09,5876200,5.98616
2015-03-10,6.15,6.16,6.08,6.08,5959800,5.97633
2015-03-09,6.25,6.30,6.115,6.15,6261800,6.04514
2015-03-06,6.40,6.43,6.31,6.41,3304900,6.3007
2015-03-05,6.37,6.38,6.21,6.38,4928200,6.27122
2015-03-04,6.40,6.42,6.32,6.37,3238200,6.26139
2015-03-03,6.41,6.48,6.30,6.36,4251400,6.25156
2015-03-02,6.33,6.37,6.25,6.34,5774600,6.2319
2015-02-27,6.20,6.29,6.15,6.24,3847200,6.1336
2015-02-26,6.23,6.24,6.15,6.15,4780900,6.04514
2015-02-25,6.23,6.29,6.19,6.22,5546000,6.11394
2015-02-24,6.31,6.39,6.18,6.22,6475300,6.11394
2015-02-23,6.16,6.31,6.12,6.25,3687500,6.14343
2015-02-20,6.26,6.29,6.17,6.18,6600700,6.07463
2015-02-19,6.47,6.47,6.24,6.27,4974800,6.16309
2015-02-18,6.37,6.45,6.28,6.42,5588500,6.31053
2015-02-17,6.38,6.465,6.30,6.33,3700600,6.22207
2015-02-16,6.47,6.52,6.33,6.36,4825800,6.25156
2015-02-13,6.52,6.56,6.46,6.47,6989900,6.35968
2015-02-12,6.62,6.63,6.47,6.49,7404100,6.37934
2015-02-11,6.59,6.59,6.44,6.50,3764900,6.38917
2015-02-10,6.49,6.495,6.34,6.45,3573200,6.34002
2015-02-09,6.37,6.47,6.30,6.47,4608100,6.35968
2015-02-06,6.62,6.62,6.485,6.51,4015500,6.399
2015-02-05,6.44,6.60,6.40,6.60,7171100,6.48747
2015-02-04,6.58,6.58,6.30,6.44,8869600,6.33019
2015-02-03,6.17,6.48,6.17,6.41,6366900,6.3007
2015-02-02,6.16,6.24,6.14,6.20,2261700,6.09429
2015-01-30,6.15,6.20,6.07,6.13,4018700,6.02548
2015-01-29,6.12,6.175,6.03,6.03,4091600,5.92718
2015-01-28,6.15,6.19,6.07,6.12,3145700,6.01565
2015-01-27,6.06,6.195,6.05,6.17,5243800,6.0648
2015-01-26,6.07,6.07,6.07,6.07,000,5.9665
2015-01-23,5.97,6.11,5.95,6.07,5673400,5.9665
2015-01-22,5.93,5.94,5.86,5.87,3827000,5.76991
2015-01-21,5.88,5.96,5.85,5.96,2511700,5.85838
2015-01-20,5.78,5.86,5.75,5.82,2863800,5.72077
2015-01-19,5.81,5.83,5.76,5.81,4059500,5.71094
2015-01-16,5.80,5.84,5.74,5.79,2378200,5.69128
2015-01-15,5.82,5.88,5.80,5.80,4358300,5.70111
2015-01-14,5.88,5.93,5.82,5.85,4441500,5.75025
2015-01-13,5.80,5.86,5.77,5.84,2038300,5.74042
2015-01-12,5.90,5.92,5.80,5.86,1804000,5.76008
2015-01-09,5.92,5.92,5.82,5.90,3530000,5.7994
2015-01-08,5.85,5.87,5.775,5.81,3817000,5.71094
2015-01-07,5.72,5.81,5.71,5.78,4432200,5.68145
2015-01-06,5.77,5.80,5.69,5.73,2523900,5.6323
2015-01-05,5.75,5.87,5.74,5.81,3037400,5.71094
2015-01-02,5.64,5.81,5.61,5.80,1781300,5.70111
2015-01-01,5.69,5.69,5.69,5.69,000,5.59298
2014-12-31,5.81,5.89,5.68,5.69,2124700,5.59298
2014-12-30,6.07,6.07,5.81,5.82,4206800,5.72077
2014-12-29,5.93,6.075,5.79,6.03,3413700,5.92718
2014-12-26,5.99,5.99,5.99,5.99,000,5.77876
2014-12-25,5.99,5.99,5.99,5.99,000,5.77876
2014-12-24,5.96,5.995,5.89,5.99,918700,5.77876
2014-12-23,5.99,6.05,5.90,5.90,2107800,5.69193
2014-12-22,5.86,5.99,5.84,5.99,3443000,5.77876
2014-12-19,5.79,5.88,5.71,5.88,6064300,5.67264
2014-12-18,5.79,5.84,5.68,5.70,7083600,5.49899
2014-12-17,5.75,5.84,5.75,5.79,4440900,5.58581
2014-12-16,5.70,5.81,5.69,5.81,3506900,5.60511
2014-12-15,5.75,5.81,5.69,5.72,2413900,5.51828
2014-12-12,5.75,5.86,5.73,5.86,4809000,5.65334
2014-12-11,5.61,5.75,5.61,5.75,3411400,5.54722
2014-12-10,5.60,5.71,5.535,5.68,3723800,5.47969
2014-12-09,5.62,5.67,5.555,5.64,3430800,5.4411
2014-12-08,5.73,5.73,5.62,5.62,2688000,5.42181
2014-12-05,5.63,5.74,5.63,5.65,2406400,5.45075
2014-12-04,5.72,5.76,5.65,5.71,4392100,5.50863
2014-12-03,5.65,5.74,5.61,5.65,3379200,5.45075
2014-12-02,5.48,5.72,5.46,5.67,7219700,5.47004
2014-12-01,5.53,5.53,5.42,5.42,4276300,5.22886
2014-11-28,5.55,5.55,5.45,5.45,3891800,5.2578
2014-11-27,5.50,5.53,5.485,5.50,2973100,5.30604
2014-11-26,5.44,5.50,5.40,5.50,3974100,5.30604
2014-11-25,5.43,5.47,5.41,5.42,4656500,5.22886
2014-11-24,5.53,5.54,5.46,5.49,1692700,5.29639
2014-11-21,5.41,5.59,5.41,5.47,2348800,5.2771
2014-11-20,5.53,5.60,5.45,5.45,2486500,5.2578
2014-11-19,5.50,5.59,5.48,5.52,2716800,5.32533
2014-11-18,5.55,5.59,5.51,5.52,1937200,5.32533
2014-11-17,5.66,5.66,5.54,5.56,2389200,5.36392
2014-11-14,5.58,5.655,5.57,5.64,2736000,5.4411
2014-11-13,5.61,5.64,5.54,5.60,4764900,5.40251
2014-11-12,5.74,5.77,5.65,5.65,2789200,5.45075
2014-11-11,5.74,5.78,5.71,5.73,4593300,5.52793
2014-11-10,5.69,5.70,5.58,5.70,3129700,5.49899
2014-11-07,5.61,5.72,5.59,5.65,4070400,5.45075
2014-11-06,5.62,5.70,5.59,5.59,3054500,5.39287
2014-11-05,5.63,5.69,5.60,5.62,2888100,5.42181
2014-11-04,5.66,5.69,5.645,5.67,5421100,5.47004
