date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,8.51,8.63,8.46,8.54,1018300,8.43286
2015-06-29,8.63,8.74,8.56,8.58,537500,8.47236
2015-06-26,8.80,8.91,8.72,8.79,651000,8.67972
2015-06-25,9.02,9.13,8.91,8.96,699600,8.84759
2015-06-24,8.99,9.23,8.95,9.05,808200,8.93646
2015-06-23,8.90,9.00,8.82,8.89,739300,8.77847
2015-06-22,8.66,8.85,8.64,8.81,473200,8.69947
2015-06-19,8.61,8.78,8.61,8.63,1169300,8.52173
2015-06-18,8.71,8.78,8.58,8.59,1176500,8.48223
2015-06-17,8.87,8.91,8.74,8.78,925900,8.66985
2015-06-16,8.90,8.96,8.81,8.87,580700,8.75872
2015-06-15,8.94,8.97,8.89,8.93,458300,8.81796
2015-06-12,9.04,9.11,8.98,9.00,878900,8.88709
2015-06-11,8.85,9.17,8.85,9.12,542200,9.00558
2015-06-10,9.07,9.08,8.97,9.00,462600,8.88709
2015-06-09,9.09,9.14,9.07,9.09,572100,8.97596
2015-06-08,9.14,9.14,9.14,9.14,000,9.02533
2015-06-05,9.02,9.18,9.01,9.14,502600,9.02533
2015-06-04,9.13,9.24,9.03,9.04,434900,8.92658
2015-06-03,9.26,9.34,9.15,9.17,592200,9.05495
2015-06-02,9.36,9.40,9.31,9.35,642800,9.2327
2015-06-01,9.35,9.44,9.32,9.35,900000,9.2327
2015-05-29,9.46,9.56,9.40,9.40,1211400,9.28207
2015-05-28,9.56,9.56,9.39,9.47,731400,9.35119
2015-05-27,9.48,9.56,9.41,9.48,855000,9.36106
2015-05-26,9.50,9.565,9.47,9.50,409400,9.38081
2015-05-25,9.55,9.58,9.43,9.49,609200,9.37094
2015-05-22,9.55,9.565,9.42,9.46,487500,9.34131
2015-05-21,9.47,9.61,9.47,9.47,974800,9.35119
2015-05-20,9.49,9.61,9.39,9.53,760700,9.41044
2015-05-19,9.51,9.63,9.40,9.50,807800,9.38081
2015-05-18,9.74,9.81,9.48,9.51,762400,9.39069
2015-05-15,9.98,10.02,9.79,9.80,1319100,9.67705
2015-05-14,9.93,10.03,9.63,9.86,787300,9.7363
2015-05-13,10.02,10.29,10.01,10.11,603400,9.98316
