date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.26,4.31,4.23,4.28,10662700,4.28
2015-06-29,4.23,4.315,4.21,4.25,6470900,4.25
2015-06-26,4.27,4.32,4.23,4.30,9306600,4.30
2015-06-25,4.45,4.49,4.395,4.43,5432100,4.32
2015-06-24,4.55,4.55,4.47,4.50,4991000,4.38826
2015-06-23,4.51,4.55,4.47,4.55,6372700,4.43702
2015-06-22,4.39,4.50,4.39,4.45,9092300,4.3395
2015-06-19,4.38,4.455,4.345,4.40,12845800,4.29075
2015-06-18,4.29,4.31,4.21,4.26,14987800,4.15422
2015-06-17,4.32,4.35,4.30,4.34,5028400,4.23223
2015-06-16,4.36,4.38,4.29,4.29,3368800,4.18348
2015-06-15,4.33,4.36,4.30,4.36,6843000,4.25174
2015-06-12,4.32,4.35,4.30,4.34,9871300,4.23223
2015-06-11,4.30,4.365,4.30,4.32,10286800,4.21273
2015-06-10,4.31,4.38,4.31,4.37,13844600,4.26149
2015-06-09,4.38,4.41,4.30,4.32,6410500,4.21273
2015-06-08,4.38,4.38,4.38,4.38,000,4.27124
2015-06-05,4.37,4.46,4.35,4.38,3753600,4.27124
2015-06-04,4.48,4.51,4.39,4.42,6388100,4.31025
2015-06-03,4.50,4.55,4.44,4.51,5567000,4.39801
2015-06-02,4.68,4.68,4.52,4.53,4614400,4.41752
2015-06-01,4.62,4.64,4.51,4.62,3897400,4.50528
2015-05-29,4.53,4.68,4.53,4.62,12457000,4.50528
2015-05-28,4.60,4.60,4.50,4.57,4162800,4.45652
2015-05-27,4.56,4.57,4.47,4.56,5620500,4.44677
2015-05-26,4.52,4.56,4.51,4.56,3338200,4.44677
2015-05-25,4.54,4.55,4.50,4.52,2129200,4.40777
2015-05-22,4.52,4.53,4.48,4.52,2674200,4.40777
2015-05-21,4.46,4.505,4.45,4.48,5173100,4.36876
2015-05-20,4.42,4.49,4.42,4.46,2845600,4.34926
2015-05-19,4.47,4.48,4.40,4.43,4971500,4.32
2015-05-18,4.47,4.52,4.46,4.47,4878300,4.35901
2015-05-15,4.45,4.49,4.43,4.47,4054400,4.35901
2015-05-14,4.35,4.41,4.34,4.39,4288500,4.28099
2015-05-13,4.45,4.49,4.38,4.39,5840800,4.28099
