date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,8.35,8.87,8.27,8.84,492800,8.84
2015-06-29,8.68,8.69,8.42,8.42,293300,8.42
2015-06-26,8.80,8.86,8.66,8.81,348700,8.81
2015-06-25,9.17,9.22,9.00,9.01,212900,9.01
2015-06-24,9.10,9.22,9.05,9.15,369200,9.15
2015-06-23,9.14,9.24,9.01,9.10,380200,9.10
2015-06-22,9.36,9.365,9.04,9.06,481400,9.06
2015-06-19,9.50,9.60,9.24,9.24,692500,9.24
2015-06-18,9.50,9.50,9.33,9.49,762400,9.49
2015-06-17,9.43,9.55,9.39,9.47,349100,9.47
2015-06-16,9.19,9.44,9.16,9.40,393700,9.40
2015-06-15,9.37,9.49,9.265,9.29,322600,9.29
2015-06-12,9.28,9.60,9.21,9.57,690400,9.57
2015-06-11,9.00,9.32,8.95,9.28,705100,9.28
2015-06-10,9.09,9.12,8.89,8.92,646100,8.92
2015-06-09,8.97,9.15,8.94,9.01,422300,9.01
2015-06-08,9.04,9.04,9.04,9.04,000,9.04
2015-06-05,8.91,9.21,8.91,9.04,389000,9.04
2015-06-04,9.61,9.61,8.92,8.99,503000,8.99
2015-06-03,9.60,9.74,9.51,9.70,509900,9.70
2015-06-02,9.70,9.82,9.42,9.56,440900,9.56
2015-06-01,9.45,9.70,9.41,9.70,424000,9.70
2015-05-29,9.43,9.56,9.37,9.52,712400,9.52
2015-05-28,9.43,9.49,9.18,9.48,501100,9.48
2015-05-27,9.25,9.50,9.20,9.43,532000,9.43
2015-05-26,9.41,9.485,9.27,9.32,373600,9.32
2015-05-25,9.24,9.45,9.22,9.44,675100,9.44
2015-05-22,9.20,9.40,9.19,9.28,663300,9.28
2015-05-21,9.00,9.31,9.00,9.13,571000,9.13
2015-05-20,8.89,9.09,8.82,8.88,919700,8.88
2015-05-19,8.89,8.93,8.66,8.90,874200,8.90
2015-05-18,8.93,9.02,8.80,8.90,453600,8.90
2015-05-15,8.89,9.05,8.84,8.97,645200,8.97
2015-05-14,8.30,9.02,8.24,8.81,907600,8.81
2015-05-13,8.18,8.35,8.02,8.30,1402600,8.30
2015-05-12,7.59,7.59,7.59,7.59,000,7.59
2015-05-11,7.63,7.71,7.57,7.59,190100,7.59
2015-05-08,7.55,7.67,7.53,7.59,132400,7.59
2015-05-07,7.60,7.63,7.49,7.54,183900,7.54
2015-05-06,7.78,7.81,7.57,7.75,309000,7.75
2015-05-05,8.09,8.16,7.81,7.90,284000,7.90
2015-05-04,7.97,8.14,7.87,8.03,191300,8.03
2015-05-01,7.84,8.10,7.79,8.01,176100,8.01
2015-04-30,7.90,8.03,7.85,7.94,198100,7.94
2015-04-29,8.01,8.10,7.91,7.99,109400,7.99
2015-04-28,8.38,8.38,7.86,8.00,326500,8.00
2015-04-27,8.60,8.65,8.35,8.38,271500,8.38
2015-04-24,8.47,8.70,8.47,8.63,233600,8.63
2015-04-23,8.31,8.47,8.25,8.40,208100,8.40
2015-04-22,8.23,8.32,8.13,8.31,244000,8.31
2015-04-21,8.21,8.39,8.13,8.28,218900,8.28
