date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.30,2.39,2.23,2.28,1634000,2.28
2015-06-29,2.33,2.33,2.17,2.23,723700,2.23
2015-06-26,2.35,2.37,2.32,2.35,778700,2.35
2015-06-25,2.39,2.39,2.31,2.38,771300,2.38
2015-06-24,2.41,2.43,2.36,2.42,553500,2.42
2015-06-23,2.37,2.45,2.35,2.41,2892600,2.41
2015-06-22,2.43,2.43,2.345,2.36,596700,2.36
2015-06-19,2.35,2.48,2.335,2.48,1307500,2.48
2015-06-18,2.39,2.40,2.31,2.34,1309700,2.34
2015-06-17,2.50,2.50,2.39,2.42,477600,2.42
2015-06-16,2.52,2.56,2.49,2.50,144500,2.50
2015-06-15,2.53,2.57,2.50,2.52,412700,2.52
2015-06-12,2.53,2.64,2.49,2.56,464500,2.56
2015-06-11,2.52,2.57,2.48,2.53,295900,2.53
2015-06-10,2.57,2.61,2.45,2.49,305900,2.49
2015-06-09,2.60,2.70,2.55,2.57,448100,2.57
2015-06-08,2.62,2.62,2.62,2.62,000,2.62
2015-06-05,2.60,2.695,2.50,2.62,243200,2.62
2015-06-04,2.66,2.70,2.57,2.61,1189800,2.61
2015-06-03,2.30,2.62,2.30,2.62,315600,2.62
2015-06-02,2.65,2.65,2.57,2.57,1255700,2.82418
2015-06-01,2.63,2.64,2.57,2.63,438500,2.89011
2015-05-29,2.60,2.64,2.60,2.62,638200,2.87912
2015-05-28,2.67,2.68,2.60,2.61,354500,2.86813
2015-05-27,2.65,2.67,2.62,2.64,396900,2.9011
2015-05-26,2.62,2.69,2.60,2.65,603400,2.91209
2015-05-25,2.61,2.66,2.60,2.62,1122800,2.87912
2015-05-22,2.62,2.63,2.59,2.61,358200,2.86813
2015-05-21,2.58,2.62,2.58,2.60,740400,2.85714
2015-05-20,2.61,2.62,2.57,2.60,453200,2.85714
2015-05-19,2.65,2.65,2.57,2.60,714000,2.85714
2015-05-18,2.68,2.69,2.64,2.64,276300,2.9011
2015-05-15,2.70,2.71,2.65,2.66,534300,2.92308
2015-05-14,2.68,2.70,2.63,2.66,517300,2.92308
2015-05-13,2.57,2.71,2.57,2.70,891000,2.96703
2015-05-12,2.52,2.63,2.52,2.59,600900,2.84615
2015-05-11,2.60,2.60,2.54,2.56,194800,2.81319
2015-05-08,2.54,2.57,2.51,2.55,469400,2.8022
2015-05-07,2.52,2.55,2.49,2.54,665400,2.79121
2015-05-06,2.55,2.59,2.55,2.55,539300,2.8022
2015-05-05,2.60,2.65,2.57,2.59,688000,2.84615
2015-05-04,2.50,2.61,2.50,2.59,750100,2.84615
2015-05-01,2.50,2.56,2.50,2.54,290600,2.79121
2015-04-30,2.50,2.55,2.48,2.50,1052700,2.74725
2015-04-29,2.51,2.52,2.49,2.50,1240700,2.74725
2015-04-28,2.45,2.51,2.44,2.51,847500,2.75824
2015-04-27,2.50,2.52,2.43,2.47,754500,2.71429
2015-04-24,2.53,2.53,2.48,2.52,1655700,2.76923
2015-04-23,2.58,2.62,2.48,2.53,904100,2.78022
2015-04-22,2.52,2.57,2.52,2.55,805800,2.8022
2015-04-21,2.46,2.53,2.44,2.53,664900,2.78022
2015-04-20,2.48,2.50,2.45,2.47,421400,2.71429
2015-04-17,2.52,2.56,2.43,2.47,809500,2.71429
2015-04-16,2.50,2.56,2.50,2.52,455800,2.76923
2015-04-15,2.50,2.53,2.48,2.49,398000,2.73626
2015-04-14,2.48,2.58,2.46,2.54,949900,2.79121
2015-04-13,2.54,2.55,2.48,2.50,495700,2.74725
2015-04-10,2.48,2.56,2.42,2.51,1445700,2.75824
2015-04-09,2.52,2.54,2.47,2.48,1169500,2.72527
2015-04-08,2.58,2.61,2.51,2.53,1091200,2.78022
2015-04-07,2.59,2.63,2.55,2.58,965400,2.83516
2015-04-06,2.60,2.60,2.60,2.60,000,2.85714
2015-04-03,2.60,2.60,2.60,2.60,000,2.85714
2015-04-02,2.56,2.63,2.56,2.60,587500,2.85714
2015-04-01,2.58,2.63,2.56,2.58,637400,2.83516
2015-03-31,2.56,2.60,2.55,2.59,267900,2.84615
2015-03-30,2.58,2.59,2.52,2.57,537100,2.82418
2015-03-27,2.57,2.65,2.57,2.64,211400,2.9011
2015-03-26,2.60,2.64,2.60,2.62,451700,2.87912
2015-03-25,2.63,2.70,2.58,2.68,792200,2.94505
2015-03-24,2.56,2.64,2.56,2.63,223200,2.89011
2015-03-23,2.60,2.65,2.57,2.58,328600,2.83516
2015-03-20,2.61,2.65,2.59,2.64,914500,2.9011
2015-03-19,2.59,2.64,2.565,2.58,857400,2.83516
2015-03-18,2.55,2.60,2.51,2.60,641500,2.85714
2015-03-17,2.55,2.60,2.51,2.55,691300,2.8022
2015-03-16,2.50,2.55,2.47,2.54,1024200,2.79121
2015-03-13,2.52,2.55,2.46,2.53,584200,2.78022
2015-03-12,2.50,2.54,2.48,2.51,597000,2.75824
2015-03-11,2.48,2.51,2.42,2.50,523600,2.74725
2015-03-10,2.50,2.52,2.46,2.48,754200,2.72527
2015-03-09,2.50,2.53,2.45,2.48,734900,2.72527
2015-03-06,2.50,2.54,2.50,2.50,398200,2.74725
2015-03-05,2.51,2.52,2.45,2.50,1623500,2.74725
2015-03-04,2.49,2.54,2.47,2.50,569700,2.74725
2015-03-03,2.52,2.53,2.46,2.49,593700,2.73626
2015-03-02,2.50,2.56,2.47,2.48,682600,2.72527
2015-02-27,2.48,2.52,2.46,2.50,853700,2.74725
2015-02-26,2.45,2.49,2.45,2.48,609200,2.72527
2015-02-25,2.46,2.47,2.44,2.47,902900,2.71429
2015-02-24,2.50,2.52,2.44,2.46,3378500,2.7033
2015-02-23,2.49,2.51,2.41,2.50,976300,2.74725
2015-02-20,2.35,2.43,2.35,2.42,3221200,2.65934
2015-02-19,2.41,2.41,2.28,2.35,3904000,2.58242
2015-02-18,2.53,2.57,2.36,2.40,2489000,2.63736
2015-02-17,2.40,2.64,2.36,2.52,2191900,2.76923
2015-02-16,2.86,2.92,2.85,2.90,516200,3.18681
2015-02-13,2.81,2.88,2.80,2.88,193900,3.16484
2015-02-12,2.84,2.85,2.78,2.80,455100,3.07692
2015-02-11,2.84,2.85,2.79,2.80,207700,3.07692
2015-02-10,2.83,2.85,2.79,2.80,354300,3.07692
2015-02-09,2.85,2.875,2.78,2.82,382300,3.0989
2015-02-06,2.86,2.88,2.82,2.85,375300,3.13187
2015-02-05,2.82,2.87,2.80,2.85,429100,3.13187
2015-02-04,2.75,2.84,2.75,2.82,609300,3.0989
2015-02-03,2.68,2.765,2.68,2.73,633400,3.00
2015-02-02,2.68,2.70,2.65,2.68,323700,2.94505
2015-01-30,2.68,2.69,2.625,2.65,449400,2.91209
2015-01-29,2.63,2.67,2.58,2.67,304000,2.93407
2015-01-28,2.67,2.675,2.63,2.64,503800,2.9011
2015-01-27,2.69,2.72,2.66,2.68,462800,2.94505
2015-01-26,2.70,2.70,2.70,2.70,000,2.96703
2015-01-23,2.70,2.73,2.66,2.70,501200,2.96703
2015-01-22,2.72,2.73,2.64,2.69,498700,2.95604
2015-01-21,2.72,2.74,2.69,2.74,224100,3.01099
2015-01-20,2.75,2.77,2.67,2.70,415400,2.96703
2015-01-19,2.75,2.80,2.74,2.75,260600,3.02198
2015-01-16,2.75,2.77,2.72,2.73,380600,3.00
2015-01-15,2.75,2.79,2.73,2.79,504200,3.06593
2015-01-14,2.81,2.81,2.74,2.75,251700,3.02198
2015-01-13,2.82,2.84,2.76,2.79,257800,3.06593
2015-01-12,2.83,2.875,2.81,2.84,248100,3.12088
2015-01-09,2.84,2.86,2.75,2.85,346200,3.13187
2015-01-08,2.75,2.79,2.73,2.78,365800,3.05495
2015-01-07,2.81,2.82,2.73,2.77,537400,3.04396
2015-01-06,2.94,2.94,2.83,2.87,313100,3.15385
2015-01-05,2.95,2.98,2.95,2.97,405600,3.26374
2015-01-02,2.98,3.00,2.95,2.98,64100,3.27473
2015-01-01,2.98,2.98,2.98,2.98,000,3.27473
