date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,5.77,5.79,5.61,5.75,738800,5.75
2015-06-29,5.90,5.98,5.76,5.81,788000,5.81
2015-06-26,5.94,6.02,5.94,5.94,490700,5.94
2015-06-25,6.00,6.04,5.98,5.99,503600,5.99
2015-06-24,6.01,6.06,5.98,6.00,355300,6.00
2015-06-23,5.95,6.08,5.94,6.02,541900,6.02
2015-06-22,6.02,6.09,5.86,5.90,390600,5.90
2015-06-19,5.93,6.10,5.89,6.10,587100,6.10
2015-06-18,5.94,5.98,5.88,5.93,653300,5.93
2015-06-17,5.85,6.04,5.85,6.01,542200,6.01
2015-06-16,6.00,6.08,5.83,5.89,740200,5.89
2015-06-15,6.15,6.15,5.83,6.05,1451200,6.05
2015-06-12,6.27,6.27,6.13,6.14,449500,6.14
2015-06-11,6.27,6.38,6.25,6.30,554100,6.30
2015-06-10,6.42,6.43,6.25,6.27,1342900,6.27
2015-06-09,6.38,6.49,6.30,6.43,698900,6.43
2015-06-08,6.40,6.40,6.40,6.40,000,6.40
2015-06-05,6.35,6.42,6.25,6.40,821000,6.40
2015-06-04,6.50,6.54,6.36,6.36,1079700,6.36
2015-06-03,6.35,6.445,6.33,6.40,1157000,6.40
2015-06-02,6.63,6.63,6.30,6.39,1625500,6.39
2015-06-01,6.70,6.75,6.48,6.60,452100,6.60
2015-05-29,6.85,6.91,6.69,6.69,669200,6.69
2015-05-28,6.85,6.92,6.82,6.83,937100,6.83
2015-05-27,6.90,6.96,6.80,6.82,683800,6.82
2015-05-26,6.84,7.02,6.82,6.96,522600,6.96
2015-05-25,6.89,6.96,6.81,6.82,412500,6.82
2015-05-22,6.95,7.02,6.835,6.91,632100,6.91
2015-05-21,6.98,7.065,6.91,6.93,945800,6.93
2015-05-20,7.00,7.10,6.90,6.94,3610700,6.94
2015-05-19,7.01,7.10,6.90,7.00,1716100,7.00
2015-05-18,6.79,7.11,6.78,7.00,1207900,7.00
2015-05-15,6.80,6.85,6.67,6.81,477200,6.81
2015-05-14,6.75,6.79,6.66,6.72,892100,6.72
2015-05-13,6.81,6.83,6.74,6.79,908700,6.79
2015-05-12,6.82,6.88,6.73,6.85,949700,6.85
2015-05-11,6.67,6.91,6.67,6.81,1300400,6.81
2015-05-08,6.43,6.60,6.14,6.60,1978100,6.60
2015-05-07,6.47,6.56,6.27,6.45,3078500,6.45
2015-05-06,6.95,6.95,6.42,6.56,2150700,6.56
2015-05-05,6.82,7.19,6.80,7.12,1404300,7.12
2015-05-04,6.78,6.89,6.71,6.74,470500,6.74
2015-05-01,6.64,6.74,6.52,6.68,648700,6.68
2015-04-30,6.70,6.70,6.55,6.65,1084600,6.65
2015-04-29,6.90,6.92,6.70,6.75,562200,6.75
2015-04-28,7.13,7.15,6.92,6.94,560300,6.94
2015-04-27,7.10,7.25,7.05,7.11,1057800,7.11
2015-04-24,6.59,7.03,6.53,7.00,1295800,7.00
2015-04-23,6.70,6.71,6.44,6.45,932100,6.45
2015-04-22,6.87,6.92,6.65,6.66,1107800,6.66
2015-04-21,7.03,7.04,6.71,6.82,1032300,6.82
2015-04-20,7.16,7.16,6.91,6.95,1332200,6.95
2015-04-17,7.54,7.54,7.07,7.20,1535200,7.20
2015-04-16,7.52,7.61,7.49,7.52,428600,7.52
2015-04-15,7.69,7.69,7.50,7.51,458300,7.51
2015-04-14,7.73,7.745,7.60,7.61,362300,7.61
2015-04-13,7.76,7.95,7.69,7.72,603100,7.72
2015-04-10,7.41,7.79,7.41,7.66,1067200,7.66
2015-04-09,7.74,7.74,7.36,7.37,741300,7.37
2015-04-08,7.75,7.81,7.71,7.73,329100,7.73
2015-04-07,7.73,7.85,7.68,7.72,565500,7.72
2015-04-06,7.70,7.70,7.70,7.70,000,7.70
2015-04-03,7.70,7.70,7.70,7.70,000,7.70
2015-04-02,8.00,8.00,7.70,7.70,712600,7.70
2015-04-01,7.99,8.11,7.97,7.97,716800,7.97
2015-03-31,8.30,8.33,7.93,7.99,749000,7.99
2015-03-30,8.25,8.30,8.13,8.23,422900,8.23
2015-03-27,8.37,8.46,8.29,8.29,512600,8.29
2015-03-26,8.41,8.42,8.31,8.34,782200,8.34
2015-03-25,8.68,8.68,8.45,8.46,760600,8.46
2015-03-24,8.80,8.81,8.63,8.68,525600,8.68
2015-03-23,9.00,9.05,8.81,8.91,572100,8.91
2015-03-20,8.92,9.09,8.85,8.95,621600,8.95
2015-03-19,8.88,8.95,8.86,8.92,711700,8.92
2015-03-18,8.79,8.89,8.79,8.85,425100,8.85
2015-03-17,8.82,8.86,8.73,8.81,718000,8.81
2015-03-16,8.79,8.79,8.52,8.68,455900,8.68
2015-03-13,8.83,8.89,8.66,8.85,815800,8.85
2015-03-12,8.44,8.84,8.38,8.81,722300,8.81
2015-03-11,8.50,8.50,8.23,8.42,499000,8.42
2015-03-10,8.68,8.68,8.58,8.60,204400,8.60
2015-03-09,8.80,8.87,8.61,8.64,245800,8.64
2015-03-06,8.84,8.87,8.70,8.81,338600,8.81
2015-03-05,9.00,9.00,8.70,8.81,374800,8.81
2015-03-04,9.03,9.08,8.92,8.97,401400,8.97
2015-03-03,9.15,9.17,8.89,9.03,601000,9.03
2015-03-02,9.41,9.42,9.12,9.14,596500,9.02571
2015-02-27,9.34,9.58,9.32,9.40,596900,9.28246
2015-02-26,9.51,9.53,9.23,9.29,933100,9.17384
2015-02-25,9.60,9.79,9.47,9.55,1093400,9.43059
2015-02-24,9.18,9.90,9.18,9.53,1707100,9.41084
2015-02-23,9.15,9.35,8.98,9.18,2112200,9.06521
2015-02-20,8.63,8.65,8.44,8.46,234400,8.35422
2015-02-19,8.55,8.64,8.46,8.58,514400,8.47272
2015-02-18,8.39,8.51,8.36,8.50,205300,8.39372
2015-02-17,8.43,8.43,8.28,8.36,207100,8.25547
2015-02-16,8.34,8.47,8.34,8.41,218600,8.30484
2015-02-13,8.36,8.46,8.34,8.38,319400,8.27522
2015-02-12,8.61,8.61,8.27,8.30,407300,8.19622
2015-02-11,8.54,8.63,8.47,8.52,436000,8.41347
2015-02-10,8.67,8.73,8.41,8.43,439900,8.32459
2015-02-09,8.63,8.71,8.60,8.67,292700,8.56159
2015-02-06,8.88,8.89,8.60,8.63,395800,8.52209
2015-02-05,8.83,8.92,8.80,8.85,257900,8.73934
2015-02-04,8.89,8.97,8.73,8.81,278100,8.69984
2015-02-03,8.86,8.97,8.77,8.82,286100,8.70972
2015-02-02,8.87,8.96,8.79,8.80,467500,8.68997
2015-01-30,8.73,8.97,8.72,8.90,382700,8.78871
2015-01-29,8.70,8.73,8.64,8.71,366700,8.60109
2015-01-28,8.70,8.75,8.63,8.68,568500,8.57147
2015-01-27,8.66,8.76,8.645,8.73,433200,8.62084
2015-01-26,8.60,8.60,8.60,8.60,000,8.49247
2015-01-23,8.65,8.72,8.58,8.60,418200,8.49247
2015-01-22,8.73,8.80,8.60,8.65,476900,8.54184
2015-01-21,8.58,8.85,8.56,8.73,613600,8.62084
2015-01-20,8.45,8.58,8.31,8.57,552100,8.46284
2015-01-19,8.20,8.50,8.16,8.46,493400,8.35422
2015-01-16,8.11,8.22,8.07,8.17,364000,8.06784
2015-01-15,8.26,8.34,8.13,8.18,621400,8.07772
2015-01-14,8.22,8.28,8.13,8.20,529500,8.09747
2015-01-13,8.08,8.25,8.05,8.21,525600,8.10734
2015-01-12,7.94,8.13,7.94,8.07,244400,7.96909
2015-01-09,7.90,7.97,7.84,7.96,402500,7.86047
2015-01-08,7.87,7.96,7.79,7.84,385900,7.74197
2015-01-07,7.81,7.87,7.69,7.84,273600,7.74197
2015-01-06,8.00,8.08,7.87,7.90,435900,7.80122
2015-01-05,8.09,8.30,8.03,8.14,296000,8.03822
2015-01-02,7.99,8.14,7.91,8.07,173500,7.96909
2015-01-01,7.99,7.99,7.99,7.99,000,7.89009
2014-12-31,7.94,7.99,7.90,7.99,118900,7.89009
2014-12-30,7.95,7.97,7.87,7.95,255300,7.85059
2014-12-29,7.75,7.99,7.60,7.97,238700,7.87034
2014-12-26,7.75,7.75,7.75,7.75,000,7.65309
2014-12-25,7.75,7.75,7.75,7.75,000,7.65309
2014-12-24,7.80,7.80,7.71,7.75,157100,7.65309
2014-12-23,7.90,7.90,7.62,7.74,302600,7.64322
2014-12-22,7.83,7.90,7.79,7.87,395000,7.77159
2014-12-19,7.74,7.88,7.71,7.73,371800,7.63334
2014-12-18,7.50,7.74,7.50,7.62,470300,7.52472
2014-12-17,7.46,7.67,7.46,7.50,410800,7.40622
2014-12-16,7.29,7.46,7.29,7.40,321600,7.30747
2014-12-15,7.35,7.47,7.27,7.40,241400,7.30747
2014-12-12,7.22,7.55,7.21,7.48,475000,7.38647
2014-12-11,7.26,7.46,7.15,7.28,574600,7.18897
2014-12-10,7.65,7.67,7.37,7.47,1093400,7.3766
2014-12-09,7.91,7.91,7.65,7.68,472500,7.58397
2014-12-08,7.90,8.01,7.82,7.95,465100,7.85059
2014-12-05,8.06,8.09,7.845,7.99,269500,7.89009
2014-12-04,8.10,8.15,7.98,8.06,188200,7.95922
2014-12-03,8.10,8.12,7.865,7.98,548600,7.88022
2014-12-02,8.00,8.155,7.92,8.10,635600,7.99872
2014-12-01,8.20,8.20,7.98,7.99,1903300,7.89009
2014-11-28,8.45,8.50,8.23,8.30,521100,8.19622
2014-11-27,8.25,8.55,8.25,8.47,756900,8.36409
2014-11-26,8.03,8.39,7.92,8.20,1575900,8.09747
2014-11-25,7.86,7.88,7.29,7.45,1798900,7.35685
2014-11-24,7.78,7.91,7.73,7.86,456400,7.76172
2014-11-21,7.75,7.81,7.60,7.79,347900,7.69259
2014-11-20,7.76,7.89,7.65,7.77,818700,7.67284
2014-11-19,8.05,8.06,7.77,7.85,627300,7.75184
2014-11-18,8.07,8.14,7.88,7.99,555700,7.89009
2014-11-17,8.53,8.53,8.04,8.07,476500,7.96909
2014-11-14,8.56,8.58,8.48,8.50,259800,8.39372
2014-11-13,8.66,8.72,8.46,8.46,374600,8.35422
2014-11-12,8.60,8.77,8.60,8.64,493300,8.53197
2014-11-11,8.50,8.66,8.50,8.60,461800,8.49247
2014-11-10,8.45,8.48,8.36,8.45,557200,8.34434
2014-11-07,8.40,8.49,8.33,8.43,868900,8.32459
2014-11-06,8.03,8.25,8.03,8.25,707000,8.14684
2014-11-05,8.18,8.21,7.90,8.02,1574300,7.91972
2014-11-04,8.30,8.30,8.14,8.18,607600,8.07772
2014-11-03,8.53,8.54,8.10,8.30,891600,8.19622
2014-10-31,8.69,8.76,8.42,8.60,793000,8.49247
2014-10-30,9.00,9.00,8.48,8.60,963900,8.49247
2014-10-29,9.05,9.14,8.87,9.01,1003600,8.89734
2014-10-28,8.69,8.98,8.66,8.96,624100,8.84796
2014-10-27,8.92,8.92,8.53,8.68,874100,8.57147
2014-10-24,9.21,9.26,8.82,8.93,1163800,8.81834
2014-10-23,9.32,9.36,9.17,9.21,195500,9.09484
2014-10-22,9.29,9.36,9.24,9.35,267500,9.23309
2014-10-21,9.23,9.39,9.18,9.26,375200,9.14421
2014-10-20,9.30,9.30,9.19,9.22,401100,9.10471
2014-10-17,9.32,9.40,9.17,9.20,307300,9.08496
2014-10-16,9.30,9.34,9.06,9.30,521900,9.18371
2014-10-15,9.22,9.49,9.22,9.48,404400,9.36146
2014-10-14,9.23,9.29,9.12,9.25,478500,9.13434
2014-10-13,9.18,9.34,9.15,9.33,433500,9.21334
2014-10-10,9.21,9.40,9.10,9.37,409000,9.25284
2014-10-09,9.13,9.48,9.05,9.45,542000,9.33184
2014-10-08,9.23,9.25,9.03,9.10,426100,8.98621
2014-10-07,9.60,9.60,9.27,9.49,329700,9.37134
2014-10-06,9.56,9.65,9.45,9.58,113800,9.46021
2014-10-03,9.40,9.61,9.29,9.57,329500,9.45034
2014-10-02,9.65,9.72,9.37,9.46,312000,9.34171
2014-10-01,9.80,9.80,9.68,9.76,257800,9.63796
2014-09-30,9.74,9.84,9.71,9.80,350500,9.67746
2014-09-29,9.79,9.91,9.75,9.78,505200,9.65771
2014-09-26,9.85,9.90,9.66,9.85,402100,9.72684
2014-09-25,9.95,10.05,9.92,10.05,3034700,9.92434
2014-09-24,10.00,10.08,9.95,10.01,254800,9.88484
2014-09-23,9.85,10.10,9.85,10.10,583500,9.97371
2014-09-22,9.95,9.98,9.84,9.91,297400,9.78609
2014-09-19,9.83,10.06,9.75,10.00,2369600,9.87496
2014-09-18,9.75,9.80,9.68,9.78,280400,9.65771
2014-09-17,9.93,10.02,9.76,9.80,288600,9.67746
2014-09-16,10.15,10.17,9.84,9.87,360000,9.74659
2014-09-15,10.12,10.17,10.07,10.17,396800,10.04284
2014-09-12,10.15,10.15,10.06,10.15,248500,10.02308
2014-09-11,10.24,10.29,10.15,10.16,233800,10.03296
2014-09-10,10.28,10.32,10.185,10.22,340000,10.09221
2014-09-09,10.30,10.35,10.25,10.34,380100,10.21071
2014-09-08,10.12,10.30,10.07,10.29,355400,10.16133
2014-09-05,10.15,10.215,10.07,10.17,496800,10.04284
2014-09-04,10.20,10.34,10.13,10.22,1103400,10.09221
2014-09-03,10.09,10.46,10.09,10.37,765900,10.14158
2014-09-02,9.80,10.18,9.80,10.10,1046800,9.87753
2014-09-01,9.93,9.96,9.63,9.75,2395000,9.53524
2014-08-29,10.00,10.00,10.00,10.00,000,9.77973
2014-08-28,10.17,10.17,9.95,10.00,258600,9.77973
2014-08-27,10.41,10.42,10.22,10.29,189900,10.06335
2014-08-26,10.64,10.69,10.33,10.39,166100,10.16114
2014-08-25,10.74,10.78,10.59,10.64,114800,10.40564
2014-08-22,10.52,10.60,10.46,10.53,132500,10.29806
2014-08-21,10.47,10.53,10.40,10.51,198500,10.2785
