date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,5.32,5.34,5.24,5.32,7207300,5.32
2015-06-29,5.48,5.49,5.31,5.31,5567300,5.31
2015-06-26,5.60,5.63,5.56,5.61,3060500,5.61
2015-06-25,5.59,5.63,5.57,5.59,2051700,5.59
2015-06-24,5.62,5.64,5.605,5.63,3208800,5.63
2015-06-23,5.58,5.61,5.56,5.59,5150400,5.59
2015-06-22,5.50,5.52,5.43,5.51,3965100,5.51
2015-06-19,5.49,5.52,5.455,5.47,7370400,5.47
2015-06-18,5.53,5.55,5.44,5.47,6716600,5.47
2015-06-17,5.58,5.59,5.52,5.54,8168200,5.54
2015-06-16,5.59,5.61,5.53,5.55,2540000,5.55
2015-06-15,5.64,5.65,5.60,5.63,3579000,5.63
2015-06-12,5.67,5.70,5.65,5.69,2980700,5.69
2015-06-11,5.63,5.69,5.62,5.68,9687800,5.68
2015-06-10,5.54,5.56,5.49,5.51,3913300,5.51
2015-06-09,5.56,5.61,5.52,5.53,6639100,5.53
2015-06-08,5.53,5.53,5.53,5.53,000,5.53
2015-06-05,5.62,5.66,5.495,5.53,10777800,5.53
2015-06-04,5.63,5.65,5.55,5.55,7188400,5.55
2015-06-03,5.63,5.66,5.585,5.61,6061400,5.61
2015-06-02,5.73,5.73,5.55,5.56,2788700,5.56
2015-06-01,5.71,5.71,5.65,5.70,2279300,5.70
2015-05-29,5.72,5.79,5.72,5.74,4732000,5.74
2015-05-28,5.66,5.68,5.61,5.64,4853400,5.64
2015-05-27,5.56,5.58,5.52,5.55,3852800,5.55
2015-05-26,5.58,5.59,5.54,5.57,1847300,5.57
2015-05-25,5.57,5.60,5.55,5.56,5368100,5.56
2015-05-22,5.59,5.60,5.54,5.56,3156800,5.56
2015-05-21,5.53,5.55,5.51,5.53,3372100,5.53
2015-05-20,5.48,5.49,5.43,5.48,6271600,5.48
2015-05-19,5.36,5.37,5.30,5.32,1987600,5.32
2015-05-18,5.42,5.48,5.37,5.39,3763900,5.39
2015-05-15,5.35,5.405,5.35,5.40,4684300,5.40
2015-05-14,5.28,5.28,5.22,5.25,3022900,5.25
2015-05-13,5.35,5.40,5.33,5.36,1950200,5.36
2015-05-12,5.42,5.45,5.36,5.40,5528200,5.40
2015-05-11,5.47,5.50,5.37,5.38,5403100,5.38
2015-05-08,5.28,5.38,5.28,5.34,1869300,5.34
2015-05-07,5.11,5.26,5.11,5.21,3147700,5.21
2015-05-06,5.29,5.35,5.21,5.30,3484500,5.30
2015-05-05,5.56,5.57,5.39,5.48,3669300,5.3544
2015-05-04,5.46,5.56,5.455,5.54,4598300,5.41302
2015-05-01,5.39,5.53,5.37,5.50,5821800,5.37394
2015-04-30,5.36,5.38,5.30,5.37,4254900,5.24692
2015-04-29,5.51,5.53,5.39,5.40,5422600,5.27623
2015-04-28,5.55,5.55,5.48,5.51,1354700,5.38371
2015-04-27,5.52,5.58,5.52,5.55,3740300,5.4228
2015-04-24,5.50,5.55,5.48,5.50,2234300,5.37394
2015-04-23,5.44,5.47,5.41,5.45,1999500,5.32509
2015-04-22,5.49,5.505,5.415,5.44,3887600,5.31532
2015-04-21,5.48,5.50,5.43,5.48,3597700,5.3544
2015-04-20,5.49,5.49,5.41,5.43,4805000,5.30555
2015-04-17,5.70,5.725,5.58,5.60,6247400,5.47165
2015-04-16,5.75,5.78,5.71,5.76,6156300,5.62798
2015-04-15,5.74,5.77,5.67,5.68,3714800,5.54982
2015-04-14,5.83,5.86,5.79,5.80,2990600,5.66707
2015-04-13,5.74,5.90,5.71,5.86,4737900,5.72569
2015-04-10,5.73,5.78,5.72,5.75,8081400,5.61821
2015-04-09,5.63,5.68,5.62,5.66,3571100,5.53027
2015-04-08,5.58,5.64,5.58,5.63,3128200,5.50096
2015-04-07,5.53,5.65,5.53,5.56,1586500,5.43257
2015-04-06,5.52,5.52,5.52,5.52,000,5.39348
2015-04-03,5.52,5.52,5.52,5.52,000,5.39348
2015-04-02,5.49,5.53,5.475,5.52,3097100,5.39348
2015-04-01,5.46,5.48,5.39,5.43,1869200,5.30555
2015-03-31,5.46,5.55,5.46,5.53,2186700,5.40325
2015-03-30,5.40,5.42,5.35,5.40,1916000,5.27623
2015-03-27,5.46,5.47,5.42,5.45,3322900,5.32509
2015-03-26,5.46,5.48,5.41,5.43,2975400,5.30555
2015-03-25,5.50,5.57,5.50,5.54,2898900,5.41302
2015-03-24,5.47,5.50,5.41,5.49,2552200,5.36417
2015-03-23,5.52,5.55,5.49,5.50,4862300,5.37394
2015-03-20,5.46,5.51,5.44,5.51,4755300,5.38371
2015-03-19,5.40,5.49,5.37,5.49,4856700,5.36417
2015-03-18,5.30,5.34,5.265,5.34,6327400,5.21761
2015-03-17,5.27,5.36,5.27,5.34,1932300,5.21761
2015-03-16,5.26,5.28,5.21,5.25,3539000,5.12967
2015-03-13,5.22,5.26,5.20,5.26,4133200,5.13944
2015-03-12,5.18,5.26,5.16,5.23,2690800,5.11013
2015-03-11,5.22,5.23,5.15,5.20,2247800,5.08082
2015-03-10,5.29,5.40,5.26,5.32,2530800,5.19807
2015-03-09,5.18,5.25,5.15,5.24,6121700,5.1199
2015-03-06,5.16,5.22,5.16,5.21,2849400,5.09059
2015-03-05,5.12,5.135,5.07,5.10,8687500,4.98311
2015-03-04,5.21,5.21,5.14,5.18,2736400,5.06128
2015-03-03,5.26,5.34,5.245,5.27,3770000,5.14921
2015-03-02,5.14,5.23,5.14,5.21,3501600,5.09059
2015-02-27,5.05,5.085,5.02,5.06,4058100,4.94403
