date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.46,0.465,0.455,0.455,654600,0.455
2015-06-29,0.47,0.475,0.455,0.46,599500,0.46
2015-06-26,0.475,0.48,0.46,0.475,649300,0.475
2015-06-25,0.475,0.485,0.465,0.47,507700,0.47
2015-06-24,0.47,0.48,0.465,0.475,457400,0.475
2015-06-23,0.475,0.49,0.46,0.47,1284600,0.47
2015-06-22,0.50,0.51,0.47,0.485,1290400,0.485
2015-06-19,0.53,0.535,0.505,0.505,758700,0.505
2015-06-18,0.51,0.53,0.51,0.53,198400,0.53
2015-06-17,0.525,0.54,0.51,0.53,741400,0.53
2015-06-16,0.555,0.555,0.525,0.525,803200,0.525
2015-06-15,0.555,0.565,0.55,0.55,339100,0.55
2015-06-12,0.56,0.565,0.55,0.555,283800,0.555
2015-06-11,0.565,0.575,0.555,0.565,234400,0.565
2015-06-10,0.56,0.58,0.55,0.56,338100,0.56
2015-06-09,0.56,0.57,0.555,0.56,302400,0.56
2015-06-08,0.56,0.56,0.56,0.56,000,0.56
2015-06-05,0.56,0.58,0.56,0.56,568800,0.56
2015-06-04,0.56,0.575,0.555,0.565,378700,0.565
2015-06-03,0.575,0.585,0.56,0.56,405800,0.56
2015-06-02,0.60,0.60,0.575,0.575,591400,0.575
2015-06-01,0.58,0.61,0.57,0.595,739700,0.595
2015-05-29,0.585,0.595,0.565,0.565,6376200,0.565
2015-05-28,0.60,0.61,0.58,0.59,703500,0.59
2015-05-27,0.61,0.635,0.585,0.59,457500,0.59
2015-05-26,0.59,0.625,0.59,0.62,398500,0.62
2015-05-25,0.605,0.61,0.585,0.60,395800,0.60
2015-05-22,0.59,0.61,0.58,0.605,433200,0.605
2015-05-21,0.615,0.62,0.58,0.585,1115500,0.585
2015-05-20,0.62,0.625,0.605,0.615,502000,0.615
2015-05-19,0.625,0.64,0.62,0.63,607200,0.63
2015-05-18,0.63,0.64,0.62,0.64,695200,0.64
2015-05-15,0.65,0.66,0.625,0.625,807400,0.625
2015-05-14,0.65,0.665,0.65,0.65,195000,0.65
2015-05-13,0.645,0.66,0.64,0.65,1105700,0.65
2015-05-12,0.635,0.655,0.635,0.64,418100,0.64
2015-05-11,0.66,0.67,0.625,0.625,797000,0.625
2015-05-08,0.655,0.665,0.65,0.66,307400,0.66
2015-05-07,0.66,0.67,0.65,0.655,374000,0.655
2015-05-06,0.665,0.685,0.655,0.655,533400,0.655
2015-05-05,0.69,0.70,0.66,0.665,905500,0.665
2015-05-04,0.68,0.705,0.675,0.675,644000,0.675
2015-05-01,0.685,0.705,0.67,0.68,812100,0.68
2015-04-30,0.665,0.72,0.66,0.68,797700,0.68
2015-04-29,0.645,0.675,0.64,0.65,1311500,0.65
2015-04-28,0.65,0.69,0.635,0.65,1256900,0.65
2015-04-27,0.67,0.70,0.58,0.65,4394500,0.65
2015-04-24,0.785,0.80,0.775,0.79,230100,0.79
2015-04-23,0.80,0.81,0.777,0.78,262300,0.78
2015-04-22,0.80,0.81,0.785,0.80,174800,0.80
2015-04-21,0.795,0.825,0.795,0.805,307900,0.805
2015-04-20,0.83,0.83,0.795,0.795,569900,0.795
2015-04-17,0.85,0.86,0.83,0.83,355300,0.83
2015-04-16,0.825,0.845,0.825,0.845,134700,0.845
2015-04-15,0.855,0.855,0.825,0.825,477200,0.825
2015-04-14,0.85,0.855,0.83,0.855,338400,0.855
2015-04-13,0.875,0.89,0.865,0.865,829700,0.835
2015-04-10,0.875,0.88,0.865,0.865,168300,0.835
2015-04-09,0.87,0.88,0.86,0.875,479100,0.84465
2015-04-08,0.86,0.885,0.86,0.87,233900,0.83983
2015-04-07,0.865,0.885,0.86,0.88,659500,0.84948
2015-04-06,0.86,0.86,0.86,0.86,000,0.83017
2015-04-03,0.86,0.86,0.86,0.86,000,0.83017
2015-04-02,0.875,0.88,0.855,0.86,276000,0.83017
2015-04-01,0.88,0.88,0.85,0.88,421700,0.84948
2015-03-31,0.88,0.885,0.86,0.865,746400,0.835
2015-03-30,0.87,0.885,0.87,0.88,147100,0.84948
2015-03-27,0.88,0.90,0.87,0.87,258900,0.83983
2015-03-26,0.88,0.885,0.87,0.88,422500,0.84948
2015-03-25,0.88,0.89,0.875,0.88,472800,0.84948
2015-03-24,0.88,0.90,0.87,0.895,425300,0.86396
2015-03-23,0.88,0.885,0.865,0.875,588400,0.84465
2015-03-20,0.895,0.91,0.875,0.89,446700,0.85913
2015-03-19,0.90,0.91,0.88,0.89,501800,0.85913
2015-03-18,0.915,0.925,0.905,0.915,143900,0.88327
2015-03-17,0.925,0.93,0.895,0.905,271200,0.87361
2015-03-16,0.96,0.96,0.90,0.91,298600,0.87844
2015-03-13,0.95,0.955,0.94,0.94,309900,0.9074
2015-03-12,0.97,0.975,0.945,0.95,454800,0.91705
2015-03-11,0.90,0.965,0.90,0.965,702900,0.93153
2015-03-10,0.89,0.91,0.88,0.91,275900,0.87844
2015-03-09,0.88,0.895,0.87,0.88,577200,0.84948
2015-03-06,0.88,0.885,0.87,0.875,650400,0.84465
2015-03-05,0.88,0.895,0.87,0.875,681900,0.84465
2015-03-04,0.885,0.89,0.87,0.88,563300,0.84948
2015-03-03,0.91,0.915,0.88,0.88,805900,0.84948
2015-03-02,0.89,0.915,0.88,0.90,772300,0.86879
