date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.58,2.58,2.50,2.57,100400,2.57
2015-06-29,2.62,2.69,2.62,2.67,157200,2.67
2015-06-26,2.67,2.67,2.61,2.67,131900,2.67
2015-06-25,2.67,2.68,2.64,2.67,105700,2.67
2015-06-24,2.69,2.69,2.63,2.67,58400,2.67
2015-06-23,2.64,2.68,2.62,2.67,396100,2.67
2015-06-22,2.67,2.67,2.59,2.67,71300,2.67
2015-06-19,2.67,2.68,2.62,2.66,301700,2.66
2015-06-18,2.67,2.68,2.62,2.67,333900,2.67
2015-06-17,2.63,2.68,2.63,2.68,166800,2.68
2015-06-16,2.53,2.65,2.53,2.60,197800,2.60
2015-06-15,2.53,2.57,2.50,2.56,156400,2.56
2015-06-12,2.53,2.55,2.45,2.54,397100,2.54
2015-06-11,2.46,2.51,2.45,2.49,212900,2.49
2015-06-10,2.45,2.50,2.42,2.46,329200,2.46
2015-06-09,2.50,2.51,2.43,2.45,160200,2.45
2015-06-08,2.51,2.51,2.51,2.51,000,2.51
2015-06-05,2.51,2.53,2.49,2.51,83900,2.51
2015-06-04,2.56,2.565,2.49,2.53,267200,2.53
2015-06-03,2.58,2.58,2.50,2.50,384000,2.50
2015-06-02,2.55,2.59,2.50,2.59,257600,2.59
2015-06-01,2.58,2.59,2.525,2.55,213200,2.55
2015-05-29,2.61,2.62,2.57,2.59,141300,2.59
2015-05-28,2.64,2.64,2.56,2.61,150800,2.61
2015-05-27,2.64,2.65,2.61,2.61,200700,2.61
2015-05-26,2.63,2.67,2.63,2.63,245700,2.63
2015-05-25,2.66,2.695,2.63,2.63,123200,2.63
2015-05-22,2.69,2.69,2.65,2.66,148100,2.66
2015-05-21,2.675,2.70,2.66,2.67,497300,2.67
2015-05-20,2.69,2.70,2.65,2.70,30800,2.70
2015-05-19,2.63,2.71,2.63,2.66,396300,2.66
2015-05-18,2.66,2.695,2.63,2.65,112600,2.65
2015-05-15,2.67,2.68,2.63,2.64,96000,2.64
2015-05-14,2.65,2.67,2.61,2.67,280200,2.67
2015-05-13,2.67,2.69,2.63,2.67,287100,2.67
2015-05-12,2.69,2.70,2.63,2.66,78500,2.66
2015-05-11,2.70,2.72,2.66,2.71,51500,2.71
2015-05-08,2.65,2.715,2.65,2.68,32300,2.68
2015-05-07,2.685,2.69,2.64,2.65,112200,2.65
2015-05-06,2.71,2.72,2.67,2.72,75400,2.72
2015-05-05,2.71,2.72,2.69,2.72,102400,2.72
2015-05-04,2.67,2.71,2.67,2.70,14100,2.70
2015-05-01,2.70,2.72,2.66,2.69,68000,2.69
2015-04-30,2.65,2.70,2.65,2.70,64900,2.70
2015-04-29,2.73,2.73,2.65,2.65,73700,2.65
2015-04-28,2.70,2.72,2.67,2.68,97200,2.68
2015-04-27,2.71,2.76,2.70,2.72,113100,2.72
2015-04-24,2.70,2.72,2.65,2.70,44300,2.70
2015-04-23,2.76,2.76,2.72,2.73,78500,2.73
2015-04-22,2.68,2.76,2.67,2.76,319000,2.76
2015-04-21,2.72,2.72,2.65,2.70,77800,2.70
2015-04-20,2.60,2.725,2.60,2.69,425500,2.69
2015-04-17,2.65,2.65,2.60,2.63,112200,2.63
2015-04-16,2.65,2.65,2.62,2.63,643400,2.63
2015-04-15,2.62,2.65,2.61,2.65,123100,2.65
2015-04-14,2.70,2.705,2.61,2.62,135500,2.62
2015-04-13,2.72,2.73,2.69,2.70,57800,2.70
2015-04-10,2.71,2.72,2.66,2.69,135000,2.69
2015-04-09,2.70,2.74,2.68,2.69,246700,2.69
2015-04-08,2.74,2.75,2.72,2.74,41100,2.74
2015-04-07,2.785,2.86,2.74,2.74,323200,2.74
2015-04-06,2.78,2.78,2.78,2.78,000,2.78
2015-04-03,2.78,2.78,2.78,2.78,000,2.78
2015-04-02,2.77,2.78,2.73,2.78,93900,2.78
2015-04-01,2.77,2.77,2.72,2.76,94900,2.76
2015-03-31,2.70,2.78,2.70,2.76,95400,2.76
2015-03-30,2.70,2.74,2.68,2.74,163900,2.74
2015-03-27,2.71,2.75,2.68,2.74,73400,2.74
2015-03-26,2.77,2.77,2.71,2.73,210400,2.73
2015-03-25,2.785,2.79,2.75,2.76,179400,2.76
2015-03-24,2.81,2.81,2.78,2.80,158400,2.80
2015-03-23,2.77,2.85,2.77,2.82,64900,2.82
2015-03-20,2.78,2.80,2.72,2.79,1847100,2.79
2015-03-19,2.84,2.84,2.77,2.80,187700,2.80
2015-03-18,2.77,2.81,2.74,2.75,369100,2.75
2015-03-17,2.75,2.82,2.73,2.81,380100,2.81
2015-03-16,2.84,2.84,2.75,2.75,85600,2.75
2015-03-13,2.74,2.86,2.73,2.84,401100,2.84
2015-03-12,2.70,2.74,2.67,2.73,97800,2.73
2015-03-11,2.74,2.74,2.67,2.70,114300,2.70
2015-03-10,2.70,2.73,2.69,2.73,61000,2.73
2015-03-09,2.71,2.75,2.66,2.72,163200,2.72
2015-03-06,2.70,2.73,2.62,2.73,85700,2.73
2015-03-05,2.57,2.70,2.57,2.70,359500,2.70
