date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.50,4.55,4.45,4.51,3330200,4.51
2015-06-29,4.72,4.80,4.55,4.59,3021300,4.59
2015-06-26,4.77,4.80,4.68,4.80,2656200,4.80
2015-06-25,4.89,4.915,4.81,4.87,2654600,4.87
2015-06-24,4.91,4.99,4.87,4.89,2880900,4.89
2015-06-23,4.90,4.95,4.84,4.88,2895100,4.88
2015-06-22,4.75,4.84,4.68,4.84,1964000,4.84
2015-06-19,4.80,4.85,4.73,4.73,5896500,4.73
2015-06-18,4.89,4.91,4.73,4.75,5042300,4.75
2015-06-17,4.88,4.92,4.82,4.85,2303900,4.85
2015-06-16,4.83,4.91,4.81,4.84,3399000,4.84
2015-06-15,4.81,4.92,4.77,4.79,3975700,4.79
2015-06-12,4.81,4.88,4.78,4.82,2942100,4.82
2015-06-11,4.67,4.80,4.66,4.77,3273300,4.77
2015-06-10,4.68,4.69,4.59,4.62,2579000,4.62
2015-06-09,4.46,4.70,4.46,4.70,2911700,4.70
2015-06-08,4.49,4.49,4.49,4.49,000,4.49
2015-06-05,4.47,4.53,4.43,4.49,1957700,4.49
2015-06-04,4.45,4.53,4.44,4.50,4284000,4.50
2015-06-03,4.48,4.50,4.36,4.40,2462000,4.40
2015-06-02,4.66,4.68,4.51,4.54,2020700,4.54
2015-06-01,4.70,4.70,4.52,4.61,2578000,4.61
2015-05-29,4.65,4.715,4.64,4.70,3379700,4.70
2015-05-28,4.70,4.70,4.59,4.60,1656200,4.60
2015-05-27,4.74,4.74,4.62,4.66,3010300,4.66
2015-05-26,4.63,4.70,4.60,4.68,1695700,4.68
2015-05-25,4.60,4.63,4.54,4.56,10542500,4.56
2015-05-22,4.62,4.64,4.56,4.57,3602500,4.57
2015-05-21,4.57,4.64,4.555,4.59,3836900,4.59
2015-05-20,4.48,4.54,4.45,4.54,2061300,4.54
2015-05-19,4.55,4.55,4.455,4.46,2342800,4.46
2015-05-18,4.62,4.65,4.52,4.52,1504000,4.52
2015-05-15,4.64,4.65,4.59,4.60,4918200,4.60
2015-05-14,4.62,4.63,4.55,4.56,4097800,4.56
2015-05-13,4.60,4.70,4.56,4.62,9525600,4.62
2015-05-12,4.43,4.45,4.37,4.40,4579900,4.40
2015-05-11,4.40,4.45,4.36,4.39,3684900,4.39
2015-05-08,4.30,4.39,4.28,4.35,2308000,4.35
2015-05-07,4.25,4.33,4.24,4.30,1843200,4.30
2015-05-06,4.30,4.32,4.26,4.28,1889400,4.28
2015-05-05,4.46,4.49,4.32,4.37,1971700,4.37
2015-05-04,4.40,4.49,4.40,4.43,783600,4.43
2015-05-01,4.37,4.42,4.34,4.38,1077300,4.38
2015-04-30,4.22,4.43,4.22,4.40,2029700,4.40
2015-04-29,4.48,4.49,4.35,4.38,2772200,4.38
2015-04-28,4.40,4.48,4.395,4.48,2629500,4.48
2015-04-27,4.32,4.41,4.32,4.41,1382600,4.41
2015-04-24,4.24,4.35,4.24,4.32,1238600,4.32
2015-04-23,4.29,4.31,4.21,4.25,1093200,4.25
2015-04-22,4.28,4.33,4.28,4.31,2331500,4.31
2015-04-21,4.29,4.325,4.25,4.28,2962600,4.28
2015-04-20,4.26,4.27,4.21,4.24,2012100,4.24
2015-04-17,4.34,4.36,4.28,4.32,1744100,4.32
2015-04-16,4.38,4.39,4.31,4.34,1845700,4.34
2015-04-15,4.39,4.39,4.25,4.35,3843900,4.35
2015-04-14,4.42,4.42,4.34,4.38,968900,4.38
2015-04-13,4.40,4.40,4.34,4.38,1047000,4.38
2015-04-10,4.40,4.445,4.345,4.36,2295700,4.36
2015-04-09,4.34,4.42,4.33,4.38,2009500,4.38
2015-04-08,4.26,4.36,4.26,4.33,1726300,4.33
2015-04-07,4.37,4.42,4.34,4.36,2134900,4.36
2015-04-06,4.38,4.38,4.38,4.38,000,4.38
2015-04-03,4.38,4.38,4.38,4.38,000,4.38
2015-04-02,4.42,4.455,4.38,4.38,1015100,4.38
2015-04-01,4.40,4.46,4.35,4.36,1033000,4.36
2015-03-31,4.38,4.47,4.38,4.45,2329600,4.45
2015-03-30,4.33,4.37,4.285,4.35,1480800,4.35
2015-03-27,4.29,4.395,4.29,4.38,2245700,4.38
2015-03-26,4.40,4.41,4.27,4.28,2523400,4.28
2015-03-25,4.46,4.49,4.405,4.43,1990500,4.43
2015-03-24,4.40,4.52,4.38,4.43,2123100,4.43
2015-03-23,4.34,4.40,4.31,4.38,1174400,4.38
2015-03-20,4.39,4.42,4.35,4.35,2028000,4.35
2015-03-19,4.38,4.44,4.36,4.38,2246200,4.38
2015-03-18,4.44,4.45,4.37,4.38,2216900,4.38
2015-03-17,4.52,4.54,4.45,4.47,1470400,4.47
2015-03-16,4.54,4.56,4.47,4.49,1356200,4.49
2015-03-13,4.50,4.59,4.49,4.58,1904300,4.58
2015-03-12,4.49,4.54,4.48,4.51,1739200,4.51
2015-03-11,4.47,4.535,4.41,4.49,1974800,4.49
2015-03-10,4.49,4.57,4.48,4.49,2525800,4.49
2015-03-09,4.50,4.53,4.43,4.46,2488800,4.46
2015-03-06,4.52,4.58,4.52,4.53,1830400,4.53
2015-03-05,4.51,4.54,4.45,4.54,3361100,4.54
2015-03-04,4.42,4.57,4.36,4.51,4904800,4.51
2015-03-03,4.33,4.415,4.29,4.39,2480200,4.39
