date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.088,0.091,0.085,0.088,4882700,0.088
2015-06-29,0.09,0.09,0.085,0.087,3296000,0.087
2015-06-26,0.087,0.095,0.087,0.09,6929500,0.09
2015-06-25,0.086,0.088,0.085,0.085,2964700,0.085
2015-06-24,0.087,0.088,0.085,0.086,3474600,0.086
2015-06-23,0.088,0.09,0.086,0.087,2520600,0.087
2015-06-22,0.087,0.091,0.085,0.09,6044700,0.09
2015-06-19,0.085,0.087,0.083,0.087,2101200,0.087
2015-06-18,0.084,0.084,0.082,0.083,1908400,0.083
2015-06-17,0.083,0.085,0.082,0.085,3017300,0.085
2015-06-16,0.082,0.083,0.078,0.083,4238100,0.083
2015-06-15,0.088,0.088,0.083,0.083,2934900,0.083
2015-06-12,0.092,0.0925,0.085,0.09,5386100,0.09
2015-06-11,0.095,0.095,0.092,0.092,5374800,0.092
2015-06-10,0.095,0.096,0.093,0.095,2021100,0.095
2015-06-09,0.095,0.098,0.094,0.094,2185700,0.094
2015-06-08,0.094,0.094,0.094,0.094,000,0.094
2015-06-05,0.097,0.098,0.092,0.094,4131600,0.094
2015-06-04,0.105,0.105,0.095,0.096,20532600,0.096
2015-06-03,0.105,0.105,0.10,0.10,2633900,0.10
2015-06-02,0.105,0.105,0.10,0.10,1551900,0.10
2015-06-01,0.105,0.105,0.10,0.10,2981400,0.10
2015-05-29,0.10,0.1025,0.10,0.10,32510900,0.10
2015-05-28,0.105,0.105,0.098,0.10,6419900,0.10
2015-05-27,0.11,0.11,0.10,0.10,9321500,0.10
2015-05-26,0.11,0.11,0.105,0.11,5023400,0.11
2015-05-25,0.11,0.11,0.105,0.105,1452200,0.105
2015-05-22,0.11,0.11,0.105,0.11,3462400,0.11
2015-05-21,0.11,0.11,0.105,0.105,4908000,0.105
2015-05-20,0.11,0.1125,0.105,0.11,3798000,0.11
2015-05-19,0.115,0.12,0.105,0.105,8174800,0.105
2015-05-18,0.115,0.115,0.11,0.11,3802600,0.11
2015-05-15,0.115,0.12,0.11,0.115,10312000,0.115
2015-05-14,0.115,0.1175,0.115,0.115,906400,0.115
2015-05-13,0.125,0.125,0.115,0.115,4734700,0.115
