date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.125,0.14,0.12,0.14,554300,0.14
2015-06-29,0.125,0.13,0.117,0.125,717300,0.125
2015-06-26,0.13,0.13,0.125,0.125,269100,0.125
2015-06-25,0.13,0.13,0.13,0.13,103500,0.13
2015-06-24,0.13,0.135,0.13,0.13,423000,0.13
2015-06-23,0.13,0.1325,0.13,0.13,52100,0.13
2015-06-22,0.135,0.135,0.125,0.13,491400,0.13
2015-06-19,0.135,0.135,0.13,0.13,382000,0.13
2015-06-18,0.135,0.135,0.132,0.1325,113400,0.1325
2015-06-17,0.13,0.13,0.13,0.13,56800,0.13
2015-06-16,0.13,0.13,0.125,0.13,202600,0.13
2015-06-15,0.135,0.135,0.13,0.1325,108100,0.1325
2015-06-12,0.13,0.13,0.127,0.13,661100,0.13
2015-06-11,0.14,0.14,0.135,0.135,197700,0.135
2015-06-10,0.14,0.145,0.13,0.135,174500,0.135
2015-06-09,0.145,0.15,0.135,0.135,414800,0.135
2015-06-08,0.145,0.145,0.145,0.145,000,0.145
2015-06-05,0.145,0.145,0.145,0.145,1800,0.145
2015-06-04,0.15,0.15,0.145,0.145,103300,0.145
2015-06-03,0.15,0.15,0.145,0.15,162000,0.15
2015-06-02,0.155,0.155,0.145,0.145,361300,0.145
2015-06-01,0.145,0.155,0.145,0.155,368800,0.155
2015-05-29,0.14,0.15,0.135,0.15,305400,0.15
2015-05-28,0.15,0.15,0.135,0.135,632700,0.135
2015-05-27,0.155,0.155,0.145,0.145,272400,0.145
2015-05-26,0.15,0.155,0.15,0.155,189200,0.155
2015-05-25,0.155,0.155,0.15,0.155,12300,0.155
2015-05-22,0.15,0.15,0.145,0.15,188900,0.15
2015-05-21,0.145,0.15,0.145,0.15,97600,0.15
2015-05-20,0.15,0.15,0.145,0.145,180500,0.145
2015-05-19,0.155,0.155,0.15,0.15,226300,0.15
2015-05-18,0.16,0.16,0.15,0.155,230000,0.155
2015-05-15,0.15,0.15,0.145,0.145,230700,0.145
2015-05-14,0.145,0.15,0.145,0.145,280800,0.145
2015-05-13,0.155,0.155,0.145,0.145,1149900,0.145
2015-05-12,0.16,0.16,0.155,0.155,586800,0.155
2015-05-11,0.145,0.165,0.14,0.16,1972000,0.16
2015-05-08,0.14,0.145,0.14,0.14,1142000,0.14
2015-05-07,0.135,0.14,0.135,0.14,145800,0.14
2015-05-06,0.14,0.14,0.135,0.135,490200,0.135
2015-05-05,0.135,0.14,0.135,0.135,729700,0.135
2015-05-04,0.135,0.135,0.125,0.13,1050200,0.13
2015-05-01,0.13,0.135,0.13,0.13,249000,0.13
2015-04-30,0.125,0.13,0.125,0.125,792900,0.125
2015-04-29,0.125,0.13,0.115,0.125,386700,0.125
2015-04-28,0.12,0.13,0.12,0.125,607000,0.125
2015-04-27,0.12,0.12,0.12,0.12,126900,0.12
2015-04-24,0.115,0.12,0.11,0.115,700700,0.115
2015-04-23,0.12,0.12,0.115,0.115,121800,0.115
2015-04-22,0.11,0.115,0.11,0.115,493200,0.115
2015-04-21,0.11,0.11,0.11,0.11,552800,0.11
2015-04-20,0.115,0.115,0.11,0.11,298700,0.11
2015-04-17,0.11,0.115,0.11,0.11,106600,0.11
2015-04-16,0.11,0.11,0.107,0.11,92200,0.11
2015-04-15,0.105,0.11,0.102,0.11,354400,0.11
2015-04-14,0.11,0.11,0.107,0.11,222300,0.11
2015-04-13,0.112,0.115,0.11,0.115,35300,0.115
2015-04-10,0.115,0.115,0.107,0.115,254800,0.115
2015-04-09,0.115,0.115,0.107,0.11,173700,0.11
2015-04-08,0.11,0.115,0.11,0.115,660900,0.115
2015-04-07,0.11,0.11,0.105,0.105,310400,0.105
2015-04-06,0.11,0.11,0.11,0.11,000,0.11
2015-04-03,0.11,0.11,0.11,0.11,000,0.11
2015-04-02,0.11,0.11,0.107,0.11,321800,0.11
2015-04-01,0.115,0.115,0.105,0.11,876800,0.11
2015-03-31,0.11,0.115,0.107,0.115,209400,0.115
2015-03-30,0.105,0.11,0.105,0.11,143000,0.11
2015-03-27,0.105,0.105,0.105,0.105,33500,0.105
2015-03-26,0.115,0.115,0.105,0.105,493800,0.105
2015-03-25,0.12,0.12,0.11,0.11,798300,0.11
2015-03-24,0.115,0.115,0.11,0.11,100700,0.11
2015-03-23,0.115,0.12,0.112,0.115,90600,0.115
2015-03-20,0.115,0.12,0.115,0.115,4936000,0.115
2015-03-19,0.12,0.1225,0.115,0.115,1344100,0.115
2015-03-18,0.117,0.1225,0.115,0.12,940200,0.12
2015-03-17,0.12,0.12,0.115,0.12,902600,0.12
