date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.87,1.885,1.85,1.85,259500,1.85
2015-06-29,1.855,1.87,1.84,1.865,366400,1.865
2015-06-26,1.855,1.865,1.85,1.865,217900,1.865
2015-06-25,1.925,1.945,1.915,1.945,1213300,1.8666
2015-06-24,1.935,1.9375,1.91,1.93,721600,1.8522
2015-06-23,1.925,1.935,1.905,1.93,1544100,1.8522
2015-06-22,1.96,1.965,1.925,1.925,841400,1.8474
2015-06-19,1.945,1.97,1.93,1.97,2224600,1.8906
2015-06-18,1.95,1.99,1.925,1.945,964800,1.8666
2015-06-17,2.06,2.07,2.06,2.07,64500,1.9866
2015-06-16,2.08,2.08,2.06,2.06,82800,1.977
2015-06-15,2.06,2.08,2.05,2.08,182100,1.9962
2015-06-12,2.07,2.08,2.05,2.05,44200,1.9674
2015-06-11,2.09,2.09,2.07,2.08,314700,1.9962
2015-06-10,2.08,2.09,2.07,2.08,448700,1.9962
2015-06-09,2.08,2.09,2.07,2.08,454000,1.9962
2015-06-08,2.09,2.09,2.09,2.09,000,2.0058
2015-06-05,2.08,2.09,2.07,2.09,200500,2.0058
2015-06-04,2.07,2.085,2.07,2.08,406400,1.9962
2015-06-03,2.10,2.10,2.07,2.07,175300,1.9866
2015-06-02,2.08,2.11,2.08,2.11,155100,2.0249
2015-06-01,2.08,2.09,2.08,2.08,109100,1.9962
2015-05-29,2.09,2.10,2.08,2.08,279800,1.9962
2015-05-28,2.08,2.10,2.07,2.08,212300,1.9962
2015-05-27,2.08,2.105,2.08,2.08,304200,1.9962
2015-05-26,2.09,2.10,2.07,2.07,287700,1.9866
2015-05-25,2.08,2.12,2.07,2.09,240600,2.0058
2015-05-22,2.06,2.09,2.06,2.09,386500,2.0058
2015-05-21,2.06,2.07,2.05,2.06,137900,1.977
2015-05-20,2.06,2.07,2.06,2.06,28600,1.977
2015-05-19,2.06,2.08,2.06,2.06,135400,1.977
2015-05-18,2.06,2.07,2.05,2.05,353600,1.9674
2015-05-15,2.06,2.08,2.05,2.06,110500,1.977
2015-05-14,2.06,2.07,2.05,2.06,103900,1.977
2015-05-13,2.06,2.07,2.04,2.05,353700,1.9674
2015-05-12,2.06,2.07,2.05,2.07,108700,1.9866
2015-05-11,2.05,2.07,2.05,2.07,226000,1.9866
2015-05-08,2.03,2.07,2.03,2.06,122200,1.977
2015-05-07,2.06,2.07,2.01,2.03,358400,1.9482
2015-05-06,2.06,2.07,2.05,2.06,152900,1.977
2015-05-05,2.06,2.07,2.06,2.07,85200,1.9866
2015-05-04,2.06,2.07,2.05,2.07,50200,1.9866
2015-05-01,2.06,2.07,2.06,2.06,51300,1.977
2015-04-30,2.06,2.07,2.05,2.07,109000,1.9866
2015-04-29,2.06,2.07,2.05,2.06,599800,1.977
2015-04-28,2.06,2.07,2.05,2.06,121600,1.977
2015-04-27,2.06,2.06,2.04,2.06,41800,1.977
2015-04-24,2.05,2.06,2.05,2.06,34700,1.977
2015-04-23,2.04,2.06,2.04,2.06,112700,1.977
2015-04-22,2.06,2.06,2.03,2.05,69300,1.9674
2015-04-21,2.06,2.08,2.03,2.04,193400,1.9578
2015-04-20,2.04,2.08,2.03,2.06,167300,1.977
2015-04-17,2.05,2.05,2.035,2.05,109600,1.9674
2015-04-16,2.04,2.05,2.03,2.03,188700,1.9482
2015-04-15,2.01,2.04,2.01,2.04,294500,1.9578
2015-04-14,2.02,2.03,2.02,2.02,136100,1.9386
2015-04-13,2.02,2.02,2.005,2.01,635200,1.929
2015-04-10,2.02,2.03,2.02,2.03,155800,1.9482
2015-04-09,2.01,2.03,2.005,2.03,166700,1.9482
2015-04-08,2.02,2.03,2.00,2.01,76600,1.929
2015-04-07,2.02,2.045,1.995,2.04,536400,1.9578
2015-04-06,2.01,2.01,2.01,2.01,000,1.929
2015-04-03,2.01,2.01,2.01,2.01,000,1.929
2015-04-02,1.99,2.02,1.99,2.01,185500,1.929
2015-04-01,1.995,2.00,1.987,2.00,462300,1.9194
2015-03-31,2.00,2.00,1.99,2.00,296500,1.9194
2015-03-30,2.01,2.02,1.99,1.995,430400,1.9146
2015-03-27,1.985,2.02,1.985,2.02,574400,1.9386
2015-03-26,1.995,1.995,1.98,1.985,585900,1.905
2015-03-25,1.99,2.01,1.985,2.01,806600,1.929
2015-03-24,1.99,1.995,1.98,1.985,118500,1.905
2015-03-23,1.97,1.995,1.97,1.99,318800,1.9098
2015-03-20,1.99,1.995,1.97,1.97,136400,1.8906
2015-03-19,1.98,2.00,1.98,2.00,131800,1.9194
2015-03-18,1.982,1.995,1.97,1.97,122700,1.8906
2015-03-17,1.995,1.995,1.98,1.98,184200,1.9002
2015-03-16,1.995,1.995,1.985,1.995,188400,1.9146
2015-03-13,2.00,2.00,1.985,1.985,213500,1.905
2015-03-12,1.985,2.00,1.985,1.99,190300,1.9098
2015-03-11,1.98,2.00,1.98,1.985,473700,1.905
2015-03-10,1.97,1.995,1.967,1.985,234800,1.905
2015-03-09,1.985,1.985,1.96,1.965,229100,1.8858
2015-03-06,1.995,2.00,1.98,1.99,270200,1.9098
2015-03-05,2.01,2.01,1.982,1.99,438100,1.9098
2015-03-04,2.01,2.01,1.992,2.00,302400,1.9194
2015-03-03,2.01,2.02,2.00,2.01,302200,1.929
2015-03-02,2.00,2.02,2.00,2.01,450100,1.929
2015-02-27,2.01,2.02,2.00,2.00,324500,1.9194
2015-02-26,2.03,2.03,2.01,2.02,1125200,1.9386
2015-02-25,2.02,2.03,2.01,2.03,252400,1.9482
2015-02-24,2.04,2.04,2.01,2.02,1029000,1.9386
2015-02-23,2.04,2.06,2.03,2.05,973000,1.9674
2015-02-20,2.06,2.06,2.04,2.04,818500,1.9578
2015-02-19,2.07,2.08,2.06,2.06,317400,1.977
2015-02-18,2.07,2.08,2.06,2.07,323900,1.9866
2015-02-17,2.09,2.09,2.06,2.07,391800,1.9866
2015-02-16,2.065,2.08,2.05,2.08,432600,1.9962
2015-02-13,2.08,2.08,2.05,2.05,264600,1.9674
2015-02-12,2.05,2.09,2.04,2.08,498200,1.9962
2015-02-11,2.02,2.05,2.02,2.05,574300,1.9674
2015-02-10,2.00,2.01,1.99,2.00,629500,1.9194
2015-02-09,2.01,2.02,1.99,1.99,723500,1.9098
2015-02-06,2.02,2.025,2.01,2.01,829700,1.929
2015-02-05,2.02,2.02,2.00,2.02,790300,1.9386
2015-02-04,2.05,2.05,2.00,2.02,1410000,1.9386
2015-02-03,2.02,2.05,2.01,2.04,917500,1.9578
2015-02-02,2.02,2.02,2.01,2.01,881100,1.929
2015-01-30,2.02,2.02,2.01,2.02,619500,1.9386
2015-01-29,2.02,2.02,2.01,2.01,275100,1.929
2015-01-28,2.01,2.02,2.005,2.02,320700,1.9386
2015-01-27,2.01,2.03,2.01,2.01,290300,1.929
2015-01-26,2.02,2.02,2.02,2.02,000,1.9386
2015-01-23,2.00,2.02,2.00,2.02,501300,1.9386
2015-01-22,2.01,2.02,2.00,2.01,974600,1.929
2015-01-21,2.03,2.04,2.01,2.01,692700,1.929
2015-01-20,2.03,2.05,2.03,2.04,92900,1.9578
2015-01-19,2.01,2.05,2.01,2.03,78500,1.9482
2015-01-16,2.01,2.02,2.01,2.01,122600,1.929
2015-01-15,2.02,2.02,2.00,2.02,229300,1.9386
2015-01-14,2.02,2.02,2.005,2.02,117900,1.9386
2015-01-13,2.015,2.015,2.00,2.00,480300,1.9194
2015-01-12,2.01,2.02,2.01,2.01,107900,1.929
2015-01-09,2.02,2.03,2.01,2.01,143800,1.929
2015-01-08,2.00,2.02,2.00,2.01,205200,1.929
2015-01-07,1.985,2.02,1.985,1.995,107200,1.9146
2015-01-06,2.02,2.02,1.98,1.98,88100,1.9002
2015-01-05,2.05,2.06,2.01,2.02,154600,1.9386
2015-01-02,2.00,2.05,2.00,2.05,16500,1.9674
2015-01-01,2.00,2.00,2.00,2.00,000,1.9194
2014-12-31,2.01,2.04,2.00,2.00,74800,1.9194
2014-12-30,2.03,2.04,2.01,2.01,31500,1.929
2014-12-29,2.04,2.06,2.01,2.03,29700,1.9482
2014-12-26,2.04,2.04,2.04,2.04,000,1.8775
2014-12-25,2.04,2.04,2.04,2.04,000,1.8775
2014-12-24,2.06,2.10,2.04,2.04,91000,1.8775
2014-12-23,2.08,2.09,2.04,2.04,85000,1.8775
2014-12-22,2.04,2.08,2.04,2.08,184400,1.9144
2014-12-19,2.04,2.09,2.04,2.04,255600,1.8775
2014-12-18,2.02,2.04,2.02,2.02,154300,1.8591
2014-12-17,2.02,2.03,2.02,2.02,232000,1.8591
2014-12-16,2.01,2.03,2.00,2.03,129400,1.8683
2014-12-15,2.02,2.025,2.00,2.01,212900,1.8499
2014-12-12,2.015,2.03,2.00,2.01,148700,1.8499
2014-12-11,2.00,2.03,2.00,2.01,186400,1.8499
2014-12-10,2.01,2.01,1.99,2.00,53100,1.8407
2014-12-09,2.01,2.02,1.98,1.98,145600,1.8223
2014-12-08,2.03,2.04,2.02,2.03,145300,1.8683
2014-12-05,2.03,2.035,2.02,2.02,160800,1.8591
2014-12-04,2.03,2.04,2.02,2.03,141700,1.8683
2014-12-03,2.01,2.04,2.00,2.04,156600,1.8775
2014-12-02,1.995,2.01,1.995,2.01,156500,1.8499
2014-12-01,2.01,2.02,1.99,1.99,83300,1.8315
2014-11-28,2.00,2.02,1.99,1.99,191400,1.8315
2014-11-27,1.99,2.01,1.99,2.01,308100,1.8499
2014-11-26,1.99,2.00,1.985,1.99,144700,1.8315
2014-11-25,1.98,1.99,1.97,1.98,240600,1.8223
2014-11-24,1.99,2.00,1.97,1.97,165300,1.8131
2014-11-21,1.99,1.99,1.98,1.98,670000,1.8223
2014-11-20,1.99,1.9925,1.98,1.99,165000,1.8315
2014-11-19,1.99,1.995,1.98,1.98,168000,1.8223
2014-11-18,1.985,2.01,1.98,1.99,301200,1.8315
2014-11-17,1.985,1.985,1.975,1.98,287600,1.8223
2014-11-14,1.995,1.995,1.97,1.98,165800,1.8223
2014-11-13,1.99,1.99,1.98,1.98,153300,1.8223
2014-11-12,1.99,1.995,1.99,1.99,164100,1.8315
2014-11-11,2.00,2.00,1.98,1.985,282400,1.8269
