date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,8.90,9.01,8.82,8.99,1705100,8.99
2015-06-29,9.14,9.14,8.91,8.95,1765400,8.95
2015-06-26,9.18,9.28,8.95,9.23,2592700,9.23
2015-06-25,9.09,9.26,9.06,9.10,2795200,9.10
2015-06-24,9.59,9.59,9.09,9.12,3693000,9.12
2015-06-23,9.45,9.73,9.38,9.48,5457700,9.48
2015-06-22,9.60,9.65,8.44,9.24,9748200,9.24
2015-06-19,10.54,10.71,10.53,10.66,950700,10.66
2015-06-18,10.60,10.64,10.42,10.48,1029300,10.48
2015-06-17,10.69,10.74,10.61,10.67,538900,10.67
2015-06-16,10.57,10.69,10.56,10.60,507200,10.60
2015-06-15,10.66,10.66,10.51,10.63,487000,10.63
2015-06-12,10.69,10.74,10.65,10.66,484400,10.66
2015-06-11,10.59,10.745,10.59,10.71,602600,10.71
2015-06-10,10.42,10.53,10.39,10.50,607700,10.50
2015-06-09,10.57,10.61,10.43,10.44,752500,10.44
2015-06-08,10.66,10.66,10.66,10.66,000,10.66
2015-06-05,10.82,10.85,10.58,10.66,1021900,10.66
2015-06-04,10.74,10.89,10.71,10.82,1233000,10.82
2015-06-03,10.62,10.76,10.55,10.74,1497800,10.74
2015-06-02,10.85,10.89,10.59,10.63,949300,10.63
2015-06-01,10.83,10.83,10.62,10.81,994400,10.81
2015-05-29,10.73,10.98,10.73,10.82,1711400,10.82
2015-05-28,10.84,10.85,10.69,10.73,597300,10.73
2015-05-27,10.78,10.84,10.69,10.76,827400,10.76
2015-05-26,10.61,10.80,10.57,10.77,1134400,10.77
2015-05-25,10.53,10.65,10.51,10.57,974900,10.57
2015-05-22,10.50,10.55,10.475,10.50,528300,10.50
2015-05-21,10.47,10.51,10.43,10.48,1288400,10.48
2015-05-20,10.35,10.46,10.345,10.43,646200,10.43
2015-05-19,10.51,10.54,10.33,10.36,1164900,10.36
2015-05-18,10.47,10.57,10.39,10.39,762300,10.39
2015-05-15,10.49,10.52,10.41,10.47,746200,10.47
2015-05-14,10.30,10.43,10.26,10.37,701600,10.37
2015-05-13,10.25,10.39,10.24,10.37,886500,10.37
2015-05-12,10.20,10.31,10.11,10.22,1089600,10.22
2015-05-11,10.20,10.29,10.11,10.21,1120200,10.21
2015-05-08,10.10,10.15,10.02,10.07,739300,10.07
2015-05-07,9.94,10.03,9.86,10.00,1129300,10.00
2015-05-06,10.07,10.10,9.96,9.97,1024900,9.97
2015-05-05,10.39,10.45,10.21,10.26,1234400,10.26
2015-05-04,10.20,10.31,10.19,10.25,1273100,10.25
2015-05-01,10.05,10.13,10.01,10.05,1264200,10.05
2015-04-30,10.20,10.22,10.035,10.08,1027800,10.08
2015-04-29,10.48,10.50,10.21,10.23,920200,10.23
2015-04-28,10.41,10.50,10.41,10.47,1374000,10.47
2015-04-27,10.21,10.39,10.21,10.35,946900,10.35
2015-04-24,9.93,10.005,9.89,9.98,1093700,9.98
2015-04-23,9.96,9.975,9.78,9.81,1592100,9.81
2015-04-22,10.01,10.08,9.85,9.91,947000,9.91
2015-04-21,10.12,10.18,9.99,10.00,1047700,10.00
2015-04-20,10.10,10.12,9.99,10.03,774900,10.03
2015-04-17,10.33,10.375,10.13,10.15,993100,10.15
2015-04-16,10.50,10.55,10.31,10.33,1059000,10.33
2015-04-15,10.50,10.50,10.31,10.39,1039500,10.39
2015-04-14,10.48,10.50,10.42,10.47,718400,10.47
2015-04-13,10.57,10.60,10.49,10.51,579600,10.51
2015-04-10,10.57,10.65,10.48,10.51,801400,10.51
2015-04-09,10.47,10.56,10.45,10.52,1215500,10.52
2015-04-08,10.31,10.47,10.30,10.47,766500,10.47
2015-04-07,10.33,10.40,10.27,10.32,699500,10.32
2015-04-06,10.33,10.33,10.33,10.33,000,10.33
2015-04-03,10.33,10.33,10.33,10.33,000,10.33
2015-04-02,10.30,10.37,10.28,10.33,705100,10.33
2015-04-01,10.25,10.38,10.21,10.26,822500,10.26
2015-03-31,10.18,10.36,10.17,10.29,1223000,10.29
2015-03-30,10.11,10.16,9.99,10.03,729900,10.03
2015-03-27,10.05,10.19,10.01,10.17,821400,10.17
2015-03-26,10.18,10.18,10.06,10.07,889500,10.07
2015-03-25,10.27,10.31,10.21,10.25,1170900,10.25
2015-03-24,10.16,10.23,10.15,10.18,527900,10.18
2015-03-23,10.35,10.35,10.17,10.19,617400,10.19
2015-03-20,10.25,10.32,10.20,10.30,882800,10.30
2015-03-19,10.18,10.33,10.18,10.29,1854100,10.29
2015-03-18,10.13,10.16,10.06,10.14,1346800,10.14
2015-03-17,10.23,10.28,10.12,10.12,947500,10.12
2015-03-16,10.20,10.26,10.10,10.22,791900,10.22
2015-03-13,10.60,10.69,10.515,10.53,484800,10.28
2015-03-12,10.50,10.63,10.46,10.59,1231100,10.339
2015-03-11,10.43,10.53,10.33,10.51,670600,10.26
2015-03-10,10.52,10.60,10.42,10.50,657100,10.251
2015-03-09,10.59,10.63,10.44,10.51,478000,10.26
2015-03-06,10.41,10.60,10.41,10.60,1087400,10.348
2015-03-05,10.45,10.51,10.40,10.50,695000,10.251
2015-03-04,10.55,10.61,10.39,10.47,1980500,10.221
2015-03-03,10.68,10.73,10.40,10.56,2161000,10.309
2015-03-02,10.64,10.69,10.51,10.65,2168500,10.397
2015-02-27,10.28,10.665,10.22,10.61,2220700,10.358
2015-02-26,10.60,10.60,10.14,10.28,1275700,10.036
2015-02-25,10.55,10.69,10.51,10.66,1112400,10.407
2015-02-24,10.41,10.53,10.38,10.52,732800,10.27
2015-02-23,10.35,10.43,10.31,10.41,419900,10.163
2015-02-20,10.35,10.39,10.24,10.34,654100,10.095
2015-02-19,10.25,10.40,10.23,10.29,617900,10.046
2015-02-18,10.20,10.25,10.12,10.25,814700,10.007
2015-02-17,10.11,10.20,10.08,10.18,600600,9.938
2015-02-16,10.14,10.19,10.09,10.18,492900,9.938
2015-02-13,10.02,10.19,9.98,10.12,941000,9.88
2015-02-12,10.00,10.07,9.91,9.91,1633400,9.675
2015-02-11,9.95,10.10,9.91,10.00,864300,9.763
2015-02-10,9.86,9.97,9.84,9.95,999400,9.714
2015-02-09,9.82,9.89,9.80,9.89,602300,9.655
2015-02-06,9.77,9.84,9.71,9.81,540900,9.577
2015-02-05,9.67,9.83,9.63,9.81,963500,9.577
2015-02-04,9.68,9.77,9.54,9.72,1486800,9.489
2015-02-03,9.51,9.70,9.48,9.63,1561500,9.401
2015-02-02,9.42,9.62,9.41,9.48,1001100,9.255
2015-01-30,9.42,9.50,9.40,9.44,847700,9.216
2015-01-29,9.34,9.43,9.28,9.39,651400,9.167
2015-01-28,9.28,9.43,9.25,9.34,1079300,9.118
2015-01-27,9.20,9.33,9.20,9.30,975700,9.079
2015-01-26,9.20,9.20,9.20,9.20,000,8.982
2015-01-23,8.94,9.24,8.94,9.20,1285700,8.982
2015-01-22,8.90,8.91,8.77,8.89,935300,8.679
2015-01-21,8.88,8.93,8.83,8.86,976400,8.65
2015-01-20,8.74,8.85,8.66,8.83,868300,8.62
2015-01-19,8.80,8.82,8.65,8.76,1033100,8.552
2015-01-16,8.71,8.90,8.64,8.64,994200,8.435
2015-01-15,8.94,8.94,8.72,8.82,1597100,8.611
2015-01-14,8.92,8.99,8.86,8.96,1285600,8.747
2015-01-13,8.86,8.96,8.85,8.92,586900,8.708
2015-01-12,9.00,9.05,8.98,8.99,334500,8.777
2015-01-09,9.00,9.09,8.94,9.04,742700,8.825
2015-01-08,8.80,8.90,8.78,8.86,574800,8.65
2015-01-07,8.76,8.83,8.72,8.78,776800,8.572
2015-01-06,8.83,8.85,8.75,8.79,1120200,8.581
2015-01-05,8.88,8.99,8.85,8.97,315000,8.757
2015-01-02,8.90,8.91,8.79,8.91,159600,8.698
2015-01-01,8.90,8.90,8.90,8.90,000,8.689
2014-12-31,8.99,8.99,8.81,8.90,118900,8.689
2014-12-30,9.02,9.05,8.86,8.88,527700,8.669
2014-12-29,8.87,9.05,8.87,9.00,474700,8.786
2014-12-26,8.84,8.84,8.84,8.84,000,8.63
2014-12-25,8.84,8.84,8.84,8.84,000,8.63
2014-12-24,8.90,8.90,8.82,8.84,212900,8.63
2014-12-23,8.97,8.98,8.85,8.85,373000,8.64
2014-12-22,8.82,8.94,8.77,8.94,974500,8.728
2014-12-19,8.70,8.81,8.66,8.81,1019400,8.601
2014-12-18,8.47,8.70,8.47,8.57,1081700,8.367
2014-12-17,8.48,8.51,8.42,8.45,701100,8.249
2014-12-16,8.51,8.55,8.46,8.49,896500,8.288
2014-12-15,8.55,8.55,8.44,8.55,968000,8.347
2014-12-12,8.60,8.66,8.55,8.62,994000,8.415
2014-12-11,8.70,8.72,8.525,8.61,1182600,8.406
2014-12-10,8.85,8.90,8.72,8.75,1200000,8.542
2014-12-09,9.08,9.085,8.82,8.84,818200,8.63
2014-12-08,9.04,9.17,9.03,9.09,589700,8.874
2014-12-05,8.98,9.07,8.95,9.00,649100,8.786
2014-12-04,9.01,9.05,8.88,9.00,710100,8.786
2014-12-03,8.95,9.03,8.88,8.99,703100,8.777
2014-12-02,8.83,9.05,8.79,9.05,798000,8.835
2014-12-01,9.11,9.14,8.83,8.83,901100,8.62
2014-11-28,9.20,9.20,9.04,9.11,1137300,8.894
2014-11-27,9.14,9.21,9.13,9.20,784200,8.982
2014-11-26,9.02,9.10,9.00,9.10,462200,8.884
2014-11-25,8.89,9.02,8.88,8.97,1279900,8.757
2014-11-24,9.05,9.05,8.94,8.95,873700,8.738
2014-11-21,9.00,9.01,8.93,8.96,414700,8.747
2014-11-20,9.01,9.10,9.00,9.04,670200,8.825
2014-11-19,9.01,9.10,9.01,9.04,602900,8.825
2014-11-18,9.00,9.08,8.98,9.06,461100,8.845
2014-11-17,9.14,9.14,8.98,9.01,424200,8.796
2014-11-14,9.12,9.16,9.07,9.14,418900,8.923
2014-11-13,9.02,9.12,9.01,9.10,696800,8.884
2014-11-12,9.04,9.06,8.94,8.99,1261000,8.777
2014-11-11,9.12,9.12,9.04,9.04,683300,8.825
2014-11-10,9.23,9.25,9.04,9.10,753800,8.884
2014-11-07,9.13,9.23,9.10,9.22,895600,9.001
2014-11-06,9.07,9.13,9.05,9.09,528900,8.874
2014-11-05,9.02,9.055,8.98,9.03,531500,8.816
2014-11-04,9.01,9.10,9.01,9.02,584400,8.806
2014-11-03,9.05,9.11,9.00,9.03,655200,8.816
2014-10-31,8.98,9.06,8.96,9.03,1054000,8.816
2014-10-30,8.97,8.98,8.90,8.96,753400,8.747
2014-10-29,8.94,8.96,8.85,8.93,1031500,8.718
2014-10-28,8.90,8.95,8.76,8.90,1264100,8.689
2014-10-27,8.99,9.03,8.90,8.98,1033600,8.767
2014-10-24,8.80,9.00,8.77,8.97,1603200,8.757
2014-10-23,8.74,8.78,8.72,8.77,643900,8.562
2014-10-22,8.74,8.84,8.66,8.84,1029500,8.63
2014-10-21,8.61,8.65,8.52,8.62,1253800,8.415
2014-10-20,8.62,8.64,8.56,8.61,966100,8.406
2014-10-17,8.53,8.56,8.49,8.52,1027000,8.318
2014-10-16,8.38,8.52,8.34,8.50,1369400,8.298
2014-10-15,8.42,8.55,8.42,8.50,1814800,8.298
2014-10-14,8.34,8.49,8.28,8.45,1195500,8.249
2014-10-13,8.31,8.37,8.23,8.33,1356300,8.132
2014-10-10,8.31,8.47,8.31,8.40,1510800,8.201
2014-10-09,8.41,8.54,8.36,8.48,1356900,8.279
2014-10-08,8.31,8.35,8.30,8.32,1255800,8.122
2014-10-07,8.50,8.505,8.34,8.46,1666400,8.259
2014-10-06,8.50,8.54,8.47,8.49,508700,8.288
2014-10-03,8.55,8.58,8.46,8.48,1728700,8.279
2014-10-02,8.53,8.615,8.50,8.56,1132100,8.357
2014-10-01,8.48,8.61,8.45,8.60,1020400,8.396
2014-09-30,8.48,8.54,8.45,8.54,1069700,8.337
2014-09-29,8.55,8.56,8.47,8.50,732400,8.298
