date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.31,0.32,0.305,0.32,2808600,0.32
2015-06-29,0.305,0.31,0.29,0.31,652800,0.31
2015-06-26,0.295,0.305,0.295,0.305,1395900,0.305
2015-06-25,0.295,0.30,0.29,0.30,1021800,0.30
2015-06-24,0.285,0.295,0.285,0.295,122500,0.295
2015-06-23,0.285,0.29,0.28,0.28,266300,0.28
2015-06-22,0.295,0.30,0.285,0.285,718300,0.285
2015-06-19,0.27,0.305,0.27,0.305,5143800,0.305
2015-06-18,0.27,0.28,0.27,0.275,249900,0.275
2015-06-17,0.272,0.28,0.27,0.28,662800,0.28
2015-06-16,0.28,0.28,0.27,0.27,206900,0.27
2015-06-15,0.285,0.285,0.28,0.28,143600,0.28
2015-06-12,0.28,0.29,0.28,0.29,162800,0.29
2015-06-11,0.275,0.285,0.265,0.28,118300,0.28
2015-06-10,0.29,0.295,0.265,0.265,880400,0.265
2015-06-09,0.285,0.30,0.275,0.29,469100,0.29
2015-06-08,0.285,0.285,0.285,0.285,000,0.285
2015-06-05,0.29,0.30,0.255,0.285,1122500,0.285
2015-06-04,0.295,0.30,0.29,0.30,229100,0.30
2015-06-03,0.295,0.3025,0.295,0.30,540200,0.30
2015-06-02,0.30,0.3025,0.295,0.295,522400,0.295
2015-06-01,0.31,0.31,0.292,0.30,507100,0.30
2015-05-29,0.295,0.31,0.295,0.31,83200,0.31
2015-05-28,0.315,0.315,0.295,0.295,275300,0.295
2015-05-27,0.31,0.31,0.30,0.30,762400,0.30
2015-05-26,0.31,0.32,0.31,0.315,511400,0.315
2015-05-25,0.32,0.325,0.31,0.32,737400,0.32
2015-05-22,0.31,0.32,0.305,0.32,324900,0.32
2015-05-21,0.315,0.32,0.305,0.305,1090700,0.305
2015-05-20,0.315,0.315,0.31,0.315,455600,0.315
2015-05-19,0.32,0.322,0.31,0.315,1039700,0.315
2015-05-18,0.325,0.3325,0.302,0.315,1895800,0.315
2015-05-15,0.305,0.32,0.305,0.32,43500,0.32
2015-05-14,0.305,0.32,0.305,0.32,156200,0.32
2015-05-13,0.31,0.32,0.295,0.32,181700,0.32
2015-05-12,0.315,0.325,0.295,0.32,873700,0.32
2015-05-11,0.32,0.325,0.315,0.325,410500,0.325
2015-05-08,0.33,0.33,0.305,0.31,904400,0.31
2015-05-07,0.33,0.335,0.315,0.32,406800,0.32
2015-05-06,0.345,0.345,0.33,0.335,746400,0.335
2015-05-05,0.34,0.345,0.33,0.335,2942000,0.335
2015-05-04,0.32,0.34,0.32,0.34,2527400,0.34
2015-05-01,0.305,0.32,0.295,0.32,1177800,0.32
2015-04-30,0.30,0.305,0.29,0.305,1253500,0.305
2015-04-29,0.30,0.30,0.285,0.295,1236400,0.295
2015-04-28,0.30,0.3025,0.295,0.30,497800,0.30
2015-04-27,0.29,0.30,0.285,0.30,1443500,0.30
2015-04-24,0.30,0.30,0.285,0.285,126900,0.285
2015-04-23,0.295,0.30,0.285,0.30,592800,0.30
2015-04-22,0.295,0.295,0.275,0.29,1463000,0.29
2015-04-21,0.295,0.30,0.285,0.295,1204900,0.295
2015-04-20,0.295,0.295,0.29,0.295,155900,0.295
2015-04-17,0.29,0.295,0.285,0.295,1798000,0.295
2015-04-16,0.275,0.295,0.275,0.295,3230800,0.295
2015-04-15,0.285,0.285,0.28,0.285,845700,0.285
2015-04-14,0.28,0.285,0.275,0.285,393600,0.285
