date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,4.19,4.22,4.10,4.17,2281600,4.17
2015-06-29,4.21,4.34,4.18,4.27,2473800,4.27
2015-06-26,4.50,4.54,4.34,4.36,4727300,4.36
2015-06-25,4.71,4.75,4.50,4.55,1946400,4.55
2015-06-24,4.70,4.75,4.68,4.71,1162800,4.71
2015-06-23,4.67,4.74,4.65,4.70,2274900,4.70
2015-06-22,4.73,4.73,4.57,4.69,1079200,4.69
2015-06-19,4.70,4.75,4.66,4.70,1577100,4.70
2015-06-18,4.64,4.69,4.57,4.60,1574700,4.60
2015-06-17,4.72,4.82,4.66,4.74,965000,4.74
2015-06-16,4.72,4.73,4.62,4.69,1881200,4.69
2015-06-15,4.83,4.88,4.74,4.74,2195900,4.74
2015-06-12,4.76,4.84,4.72,4.84,3280000,4.84
2015-06-11,4.71,4.82,4.68,4.82,3568300,4.82
2015-06-10,4.56,4.71,4.53,4.67,1798200,4.67
2015-06-09,4.58,4.68,4.53,4.54,1911600,4.54
2015-06-08,4.61,4.61,4.61,4.61,000,4.61
2015-06-05,4.60,4.63,4.50,4.61,1812000,4.61
2015-06-04,4.83,4.83,4.58,4.64,2349700,4.64
2015-06-03,4.60,4.85,4.55,4.78,3838600,4.78
2015-06-02,4.65,4.73,4.57,4.58,3271300,4.58
2015-06-01,4.85,4.85,4.63,4.65,3145100,4.65
2015-05-29,4.82,4.89,4.79,4.85,2954600,4.85
2015-05-28,4.80,4.86,4.72,4.77,4106000,4.77
2015-05-27,4.91,4.93,4.80,4.84,4226800,4.84
2015-05-26,5.15,5.15,4.91,4.95,5703500,4.95
2015-05-25,5.42,5.45,5.11,5.15,7940600,5.15
2015-05-22,5.92,5.92,5.83,5.85,492000,5.85
2015-05-21,5.79,5.93,5.79,5.83,1628500,5.83
2015-05-20,5.63,5.74,5.56,5.68,1347200,5.68
2015-05-19,5.78,5.81,5.67,5.68,1032200,5.68
2015-05-18,5.78,5.88,5.77,5.80,1030100,5.80
2015-05-15,5.89,5.90,5.73,5.75,1269400,5.75
2015-05-14,5.89,5.97,5.75,5.75,1711500,5.75
2015-05-13,5.92,6.08,5.92,5.99,847200,5.99
2015-05-12,5.88,6.07,5.85,5.99,1529000,5.99
2015-05-11,6.13,6.13,5.97,6.01,1144800,6.01
2015-05-08,5.97,6.09,5.92,6.00,1455400,6.00
2015-05-07,5.74,5.97,5.74,5.85,1178700,5.85
2015-05-06,6.00,6.00,5.84,5.85,1086400,5.85
2015-05-05,6.13,6.21,5.83,5.92,1086400,5.92
2015-05-04,5.97,6.13,5.94,6.10,1600600,6.10
2015-05-01,5.90,5.99,5.875,5.90,975500,5.90
2015-04-30,5.80,5.94,5.77,5.90,1147700,5.90
2015-04-29,5.85,5.92,5.79,5.85,1444700,5.85
2015-04-28,5.85,5.96,5.69,5.87,1310900,5.87
2015-04-27,5.70,5.93,5.68,5.85,961600,5.85
2015-04-24,5.76,5.76,5.66,5.69,1191200,5.69
2015-04-23,5.62,5.67,5.53,5.66,1262700,5.66
2015-04-22,5.78,5.79,5.565,5.66,2369300,5.66
2015-04-21,5.65,5.89,5.64,5.81,1544900,5.81
2015-04-20,5.65,5.65,5.47,5.53,883100,5.53
2015-04-17,5.58,5.64,5.49,5.57,1545300,5.57
2015-04-16,5.40,5.68,5.40,5.65,1144600,5.65
2015-04-15,5.17,5.23,5.09,5.14,1163300,5.14
2015-04-14,5.15,5.22,5.09,5.17,675300,5.17
