date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,9.56,9.57,9.48,9.52,935100,9.52
2015-06-29,9.58,9.60,9.56,9.57,1967800,9.57
2015-06-26,9.62,9.64,9.56,9.64,1149000,9.64
2015-06-25,9.64,9.65,9.60,9.64,1500500,9.64
2015-06-24,9.69,9.71,9.64,9.65,530600,9.65
2015-06-23,9.69,9.70,9.64,9.70,569800,9.70
2015-06-22,9.65,9.69,9.64,9.65,500700,9.65
2015-06-19,9.65,9.73,9.64,9.65,760000,9.65
2015-06-18,9.67,9.69,9.64,9.66,1577000,9.66
2015-06-17,9.65,9.69,9.64,9.65,747600,9.65
2015-06-16,9.60,9.65,9.60,9.63,5068900,9.63
2015-06-15,9.56,9.60,9.56,9.585,645300,9.585
2015-06-12,9.56,9.59,9.46,9.56,4202000,9.56
2015-06-11,9.60,9.68,9.54,9.59,1979100,9.59
2015-06-10,9.61,9.66,9.57,9.60,795000,9.60
2015-06-09,9.65,9.67,9.56,9.56,1035300,9.56
2015-06-08,9.66,9.66,9.66,9.66,000,9.66
2015-06-05,9.60,9.67,9.58,9.66,284500,9.66
2015-06-04,9.67,9.71,9.57,9.58,633500,9.58
2015-06-03,9.73,9.74,9.61,9.68,1142000,9.68
2015-06-02,9.78,9.78,9.74,9.75,1038300,9.75
2015-06-01,9.76,9.79,9.75,9.76,274300,9.76
2015-05-29,9.76,9.81,9.76,9.80,444700,9.80
2015-05-28,9.77,9.78,9.73,9.76,360400,9.76
2015-05-27,9.76,9.80,9.75,9.76,179100,9.76
2015-05-26,9.77,9.80,9.75,9.79,138600,9.79
2015-05-25,9.84,9.90,9.75,9.76,349600,9.76
2015-05-22,9.83,9.84,9.74,9.81,334400,9.81
2015-05-21,9.80,9.87,9.75,9.80,985300,9.80
2015-05-20,9.75,9.78,9.74,9.75,602300,9.75
2015-05-19,9.73,9.82,9.71,9.72,820400,9.72
2015-05-18,9.77,9.80,9.72,9.72,196600,9.72
2015-05-15,9.86,9.88,9.77,9.79,244900,9.79
2015-05-14,9.80,9.94,9.80,9.84,1534300,9.84
2015-05-13,9.89,9.94,9.87,9.88,954100,9.88
2015-05-12,9.85,9.97,9.78,9.95,681100,9.95
2015-05-11,9.94,9.99,9.89,9.95,707000,9.95
2015-05-08,9.90,9.94,9.85,9.94,843700,9.94
2015-05-07,9.78,9.91,9.75,9.90,1495900,9.90
2015-05-06,9.80,9.85,9.71,9.72,1820500,9.72
2015-05-05,10.00,10.06,9.93,10.00,1410600,10.00
2015-05-04,10.00,10.07,9.95,9.97,2241900,9.97
2015-05-01,10.03,10.09,9.935,10.02,2067600,10.02
2015-04-30,9.80,10.00,9.80,9.94,4200900,9.94
2015-04-29,10.04,10.12,10.02,10.05,1641800,10.05
2015-04-28,9.99,10.18,9.92,10.02,2995600,10.02
2015-04-27,10.10,10.16,9.57,9.80,4854100,9.80
2015-04-24,8.65,8.69,8.63,8.66,421800,8.66
2015-04-23,8.70,8.70,8.60,8.64,346400,8.64
2015-04-22,8.64,8.70,8.57,8.59,615600,8.59
2015-04-21,8.75,8.78,8.59,8.66,554000,8.66
2015-04-20,8.70,8.74,8.66,8.72,582600,8.72
2015-04-17,8.82,8.87,8.69,8.70,1191600,8.70
2015-04-16,8.79,8.84,8.73,8.83,822100,8.83
2015-04-15,8.80,8.81,8.68,8.69,1437600,8.69
2015-04-14,8.79,8.87,8.78,8.80,542100,8.80
2015-04-13,8.84,8.87,8.785,8.84,792400,8.84
2015-04-10,8.90,8.95,8.87,8.92,719300,8.92
