date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,7.36,7.71,7.35,7.68,2297600,7.68
2015-06-29,7.62,7.66,7.43,7.51,3072000,7.51
2015-06-26,7.94,7.99,7.75,7.84,3376700,7.84
2015-06-25,8.33,8.42,8.11,8.11,1599100,8.11
2015-06-24,8.43,8.445,8.31,8.32,1341700,8.32
2015-06-23,8.25,8.37,8.15,8.34,2635100,8.34
2015-06-22,8.27,8.27,8.09,8.19,896000,8.19
2015-06-19,8.11,8.27,8.08,8.15,2783900,8.15
2015-06-18,8.13,8.21,8.01,8.12,1686600,8.12
2015-06-17,8.30,8.30,8.10,8.23,2074000,8.23
2015-06-16,8.51,8.51,8.26,8.32,1330600,8.32
2015-06-15,8.44,8.51,8.32,8.48,948000,8.48
2015-06-12,8.47,8.59,8.415,8.52,1004400,8.52
2015-06-11,8.41,8.55,8.41,8.49,902300,8.49
2015-06-10,8.14,8.43,8.09,8.38,1791500,8.38
2015-06-09,8.26,8.37,8.19,8.21,1800800,8.21
2015-06-08,8.40,8.40,8.40,8.40,000,8.40
2015-06-05,8.27,8.41,8.22,8.40,710000,8.40
2015-06-04,8.53,8.56,8.24,8.31,1816700,8.31
2015-06-03,8.31,8.61,8.28,8.42,1654800,8.42
2015-06-02,8.97,8.99,8.47,8.48,2058000,8.48
2015-06-01,9.00,9.00,8.79,8.97,1487500,8.97
2015-05-29,8.90,9.18,8.84,9.00,3132000,9.00
2015-05-28,8.80,8.82,8.50,8.73,1426600,8.73
2015-05-27,8.50,8.83,8.34,8.77,2201700,8.77
2015-05-26,8.61,8.64,8.51,8.56,1616400,8.56
2015-05-25,8.80,8.89,8.78,8.81,1102700,8.81
2015-05-22,8.89,8.98,8.79,8.80,1177600,8.80
2015-05-21,8.47,8.78,8.40,8.73,1296700,8.73
2015-05-20,8.60,8.62,8.37,8.47,1655300,8.47
2015-05-19,8.76,8.76,8.58,8.61,2148900,8.61
2015-05-18,8.84,8.93,8.71,8.76,1184400,8.76
2015-05-15,8.77,8.91,8.69,8.90,1992600,8.90
2015-05-14,8.60,8.64,8.45,8.51,2973500,8.51
2015-05-13,8.78,8.81,8.61,8.72,1990300,8.72
2015-05-12,8.71,9.00,8.67,8.84,1672400,8.84
2015-05-11,8.50,8.72,8.47,8.63,980900,8.63
2015-05-08,8.66,8.70,8.44,8.46,764600,8.46
2015-05-07,8.25,8.64,8.25,8.56,1978600,8.56
2015-05-06,8.40,8.64,8.40,8.55,1576700,8.55
2015-05-05,8.74,8.83,8.52,8.58,1482300,8.58
2015-05-04,8.50,8.74,8.47,8.73,1945200,8.73
2015-05-01,8.12,8.54,8.10,8.42,1711700,8.42
2015-04-30,8.00,8.245,7.99,8.16,2336700,8.16
2015-04-29,8.39,8.44,8.19,8.24,1204600,8.24
2015-04-28,8.39,8.48,8.36,8.37,1545700,8.37
2015-04-27,8.32,8.39,8.265,8.36,1233400,8.36
2015-04-24,8.19,8.32,8.12,8.17,1539200,8.17
2015-04-23,7.94,8.12,7.89,8.07,2228200,8.07
2015-04-22,7.84,7.96,7.79,7.87,2650700,7.87
2015-04-21,7.67,7.85,7.58,7.79,1881900,7.79
2015-04-20,7.58,7.58,7.43,7.52,1862300,7.52
2015-04-17,7.83,7.95,7.53,7.62,3446400,7.62
2015-04-16,7.95,8.10,7.59,7.70,5529200,7.70
2015-04-15,8.25,8.46,8.24,8.36,2402600,8.36
2015-04-14,8.06,8.17,7.90,8.04,2809200,8.04
2015-04-13,8.70,8.70,8.18,8.20,2919300,8.20
2015-04-10,8.95,8.95,8.73,8.80,1006500,8.80
2015-04-09,8.84,8.91,8.78,8.90,1532700,8.90
2015-04-08,8.50,8.85,8.43,8.84,1580600,8.84
2015-04-07,8.39,8.65,8.33,8.57,1462900,8.57
2015-04-06,8.31,8.31,8.31,8.31,000,8.31
2015-04-03,8.31,8.31,8.31,8.31,000,8.31
2015-04-02,8.24,8.40,8.13,8.31,2288200,8.31
2015-04-01,8.37,8.44,8.205,8.32,1792800,8.32
