date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.28,0.30,0.277,0.30,2440700,0.30
2015-06-29,0.27,0.28,0.27,0.275,85700,0.275
2015-06-26,0.29,0.29,0.28,0.28,84400,0.28
2015-06-25,0.285,0.29,0.28,0.285,144300,0.285
2015-06-24,0.285,0.29,0.28,0.285,144800,0.285
2015-06-23,0.28,0.29,0.28,0.285,47300,0.285
2015-06-22,0.28,0.285,0.28,0.28,80500,0.28
2015-06-19,0.285,0.285,0.28,0.28,33500,0.28
2015-06-18,0.285,0.29,0.28,0.29,245900,0.29
2015-06-17,0.285,0.29,0.28,0.285,76000,0.285
2015-06-16,0.29,0.29,0.285,0.29,19700,0.29
2015-06-15,0.28,0.29,0.28,0.29,44300,0.29
2015-06-12,0.285,0.292,0.28,0.29,92900,0.29
2015-06-11,0.30,0.30,0.285,0.285,122400,0.285
2015-06-10,0.28,0.30,0.275,0.30,181000,0.30
2015-06-09,0.275,0.28,0.275,0.28,192400,0.28
2015-06-08,0.285,0.285,0.285,0.285,000,0.285
2015-06-05,0.28,0.285,0.275,0.285,57400,0.285
2015-06-04,0.275,0.28,0.275,0.28,23000,0.28
2015-06-03,0.275,0.28,0.275,0.275,69900,0.275
2015-06-02,0.285,0.29,0.275,0.275,138800,0.275
2015-06-01,0.28,0.285,0.28,0.285,256200,0.285
2015-05-29,0.29,0.29,0.27,0.275,476700,0.275
2015-05-28,0.29,0.295,0.285,0.29,652900,0.29
2015-05-27,0.28,0.29,0.275,0.275,213100,0.275
2015-05-26,0.28,0.29,0.28,0.28,580200,0.28
2015-05-25,0.285,0.30,0.28,0.28,296600,0.28
2015-05-22,0.28,0.285,0.275,0.285,525400,0.285
2015-05-21,0.28,0.285,0.275,0.28,366800,0.28
2015-05-20,0.275,0.28,0.27,0.28,72400,0.28
2015-05-19,0.29,0.29,0.27,0.27,853500,0.27
2015-05-18,0.29,0.29,0.28,0.28,44500,0.28
2015-05-15,0.285,0.29,0.28,0.28,59400,0.28
2015-05-14,0.285,0.30,0.28,0.28,390100,0.28
2015-05-13,0.30,0.305,0.28,0.28,454200,0.28
2015-05-12,0.28,0.30,0.28,0.29,431600,0.29
2015-05-11,0.295,0.305,0.28,0.28,355400,0.28
2015-05-08,0.32,0.33,0.30,0.30,144400,0.30
2015-05-07,0.325,0.335,0.32,0.325,202000,0.325
2015-05-06,0.335,0.355,0.32,0.34,288700,0.34
2015-05-05,0.335,0.34,0.335,0.335,40300,0.335
2015-05-04,0.34,0.34,0.335,0.34,166400,0.34
2015-05-01,0.345,0.35,0.335,0.335,262300,0.335
2015-04-30,0.345,0.355,0.34,0.34,105800,0.34
2015-04-29,0.34,0.34,0.335,0.335,5200,0.335
2015-04-28,0.335,0.355,0.335,0.335,178100,0.335
2015-04-27,0.34,0.345,0.335,0.335,156400,0.335
2015-04-24,0.355,0.36,0.33,0.335,409700,0.335
2015-04-23,0.35,0.36,0.35,0.355,149200,0.355
2015-04-22,0.35,0.36,0.35,0.35,57200,0.35
2015-04-21,0.355,0.365,0.35,0.35,111000,0.35
2015-04-20,0.37,0.37,0.35,0.35,183800,0.35
2015-04-17,0.39,0.39,0.365,0.375,114500,0.375
2015-04-16,0.39,0.39,0.37,0.385,82700,0.385
2015-04-15,0.36,0.39,0.36,0.39,55000,0.39
2015-04-14,0.36,0.385,0.35,0.375,347200,0.375
2015-04-13,0.355,0.38,0.35,0.36,352500,0.36
2015-04-10,0.34,0.355,0.34,0.355,261300,0.355
2015-04-09,0.335,0.35,0.335,0.35,3276700,0.35
2015-04-08,0.34,0.345,0.335,0.335,141500,0.335
2015-04-07,0.35,0.35,0.34,0.34,67200,0.34
2015-04-06,0.35,0.35,0.35,0.35,000,0.35
2015-04-03,0.35,0.35,0.35,0.35,000,0.35
2015-04-02,0.35,0.35,0.34,0.35,92400,0.35
2015-04-01,0.35,0.35,0.35,0.35,28100,0.35
2015-03-31,0.35,0.37,0.35,0.36,85700,0.36
2015-03-30,0.385,0.385,0.35,0.35,109400,0.35
2015-03-27,0.36,0.385,0.36,0.385,169900,0.385
2015-03-26,0.335,0.36,0.335,0.36,335400,0.36
