date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.605,1.74,1.60,1.72,446100,1.72
2015-06-29,1.66,1.67,1.605,1.605,310000,1.605
2015-06-26,1.67,1.685,1.66,1.675,457200,1.675
2015-06-25,1.68,1.685,1.66,1.675,330100,1.675
2015-06-24,1.695,1.705,1.68,1.69,366000,1.69
2015-06-23,1.71,1.715,1.69,1.695,423000,1.695
2015-06-22,1.71,1.715,1.70,1.70,316900,1.70
2015-06-19,1.71,1.75,1.66,1.75,1043600,1.75
2015-06-18,1.77,1.77,1.70,1.70,457500,1.70
2015-06-17,1.82,1.82,1.755,1.755,172200,1.755
2015-06-16,1.795,1.825,1.79,1.815,265900,1.815
2015-06-15,1.805,1.835,1.79,1.795,182500,1.795
2015-06-12,1.775,1.81,1.775,1.81,266600,1.81
2015-06-11,1.78,1.80,1.765,1.785,391800,1.785
2015-06-10,1.79,1.79,1.75,1.755,397800,1.755
2015-06-09,1.775,1.79,1.77,1.77,352500,1.77
2015-06-08,1.79,1.79,1.79,1.79,000,1.79
2015-06-05,1.80,1.82,1.77,1.79,792800,1.79
2015-06-04,1.81,1.815,1.797,1.80,349500,1.80
2015-06-03,1.83,1.83,1.80,1.805,608000,1.805
2015-06-02,1.855,1.855,1.815,1.83,448700,1.83
2015-06-01,1.825,1.855,1.805,1.84,726800,1.84
2015-05-29,1.85,1.88,1.815,1.815,5198600,1.815
2015-05-28,1.86,1.87,1.85,1.85,557400,1.85
2015-05-27,1.89,1.89,1.85,1.86,691400,1.86
2015-05-26,1.89,1.895,1.87,1.87,405600,1.87
2015-05-25,1.88,1.91,1.88,1.895,349600,1.895
2015-05-22,1.88,1.89,1.87,1.885,676800,1.885
2015-05-21,1.86,1.875,1.86,1.87,570500,1.87
2015-05-20,1.895,1.90,1.86,1.865,755900,1.865
2015-05-19,1.86,1.87,1.855,1.86,232700,1.86
2015-05-18,1.875,1.885,1.86,1.86,914900,1.86
2015-05-15,1.875,1.892,1.865,1.87,186400,1.87
2015-05-14,1.86,1.885,1.85,1.87,323000,1.87
2015-05-13,1.895,1.90,1.85,1.855,677900,1.855
2015-05-12,1.88,1.91,1.87,1.89,199500,1.89
2015-05-11,1.885,1.94,1.875,1.875,196500,1.875
2015-05-08,1.865,1.90,1.86,1.87,361700,1.87
2015-05-07,1.86,1.875,1.855,1.86,262800,1.86
2015-05-06,1.875,1.88,1.862,1.865,437700,1.865
2015-05-05,1.885,1.89,1.872,1.88,265200,1.88
2015-05-04,1.895,1.905,1.865,1.865,217200,1.865
2015-05-01,1.865,1.91,1.862,1.91,297600,1.91
2015-04-30,1.86,1.88,1.86,1.865,604400,1.865
2015-04-29,1.89,1.90,1.855,1.87,386700,1.87
2015-04-28,1.935,1.935,1.875,1.885,469900,1.885
2015-04-27,1.95,1.965,1.94,1.94,222100,1.94
2015-04-24,1.96,1.97,1.95,1.96,191600,1.96
2015-04-23,1.96,1.99,1.935,1.955,337900,1.955
2015-04-22,1.96,1.97,1.95,1.95,203000,1.95
2015-04-21,1.965,1.99,1.955,1.96,376000,1.96
2015-04-20,1.98,1.99,1.95,1.95,230000,1.95
2015-04-17,2.01,2.02,1.985,1.985,267500,1.985
2015-04-16,1.98,2.04,1.98,2.01,379700,2.01
2015-04-15,2.02,2.03,1.975,1.975,502200,1.975
2015-04-14,1.98,2.01,1.96,2.00,383000,2.00
2015-04-13,2.02,2.03,1.95,1.97,385800,1.97
2015-04-10,2.03,2.09,2.01,2.01,561200,2.01
2015-04-09,1.905,2.07,1.905,2.01,732900,2.01
2015-04-08,2.05,2.08,1.90,1.945,1357900,1.945
2015-04-07,2.11,2.12,2.05,2.05,414200,2.05
2015-04-06,2.12,2.12,2.12,2.12,000,2.12
2015-04-03,2.12,2.12,2.12,2.12,000,2.12
2015-04-02,2.15,2.15,2.12,2.12,202900,2.12
2015-04-01,2.14,2.15,2.13,2.15,158100,2.15
2015-03-31,2.13,2.15,2.09,2.13,441400,2.13
2015-03-30,2.20,2.20,2.11,2.13,321100,2.13
2015-03-27,2.20,2.21,2.19,2.19,64500,2.19
2015-03-26,2.23,2.24,2.20,2.20,119100,2.20
2015-03-25,2.20,2.25,2.195,2.25,111900,2.25
2015-03-24,2.21,2.225,2.19,2.19,128200,2.19
2015-03-23,2.24,2.27,2.20,2.21,178900,2.21
2015-03-20,2.19,2.23,2.19,2.22,139600,2.22
2015-03-19,2.15,2.20,2.14,2.19,250600,2.19
2015-03-18,2.21,2.21,2.11,2.14,341700,2.14
2015-03-17,2.20,2.22,2.19,2.22,111300,2.22
2015-03-16,2.28,2.28,2.19,2.20,473700,2.20
