date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.425,0.4325,0.42,0.43,410800,0.43
2015-06-29,0.42,0.4325,0.41,0.425,1185100,0.425
2015-06-26,0.43,0.435,0.42,0.425,672400,0.425
2015-06-25,0.435,0.44,0.43,0.435,1160500,0.435
2015-06-24,0.44,0.44,0.425,0.435,969900,0.435
2015-06-23,0.425,0.44,0.42,0.44,407600,0.44
2015-06-22,0.44,0.44,0.427,0.43,356700,0.43
2015-06-19,0.425,0.445,0.415,0.435,1357300,0.435
2015-06-18,0.425,0.425,0.41,0.415,630000,0.415
2015-06-17,0.425,0.43,0.42,0.43,321700,0.43
2015-06-16,0.43,0.43,0.415,0.42,573300,0.42
2015-06-15,0.43,0.4325,0.42,0.425,480000,0.425
2015-06-12,0.427,0.45,0.427,0.43,1511800,0.43
2015-06-11,0.425,0.44,0.42,0.43,1408300,0.43
2015-06-10,0.43,0.435,0.42,0.42,777000,0.42
2015-06-09,0.42,0.435,0.415,0.435,344600,0.435
2015-06-08,0.425,0.425,0.425,0.425,000,0.425
2015-06-05,0.415,0.4275,0.41,0.425,677600,0.425
2015-06-04,0.43,0.44,0.422,0.425,1466400,0.425
2015-06-03,0.44,0.445,0.435,0.44,1550200,0.44
2015-06-02,0.42,0.45,0.42,0.435,2857700,0.435
2015-06-01,0.405,0.415,0.402,0.405,2367400,0.405
2015-05-29,0.405,0.41,0.40,0.405,874900,0.405
2015-05-28,0.40,0.405,0.395,0.40,2724500,0.40
2015-05-27,0.40,0.40,0.392,0.40,2689300,0.40
2015-05-26,0.40,0.405,0.40,0.40,2311600,0.40
2015-05-25,0.40,0.4025,0.395,0.40,1127100,0.40
2015-05-22,0.40,0.405,0.397,0.40,5080900,0.40
2015-05-21,0.40,0.41,0.397,0.40,804300,0.40
2015-05-20,0.397,0.402,0.395,0.395,2428800,0.395
2015-05-19,0.40,0.405,0.40,0.40,370800,0.40
2015-05-18,0.41,0.41,0.40,0.40,2229600,0.40
2015-05-15,0.415,0.415,0.405,0.415,583700,0.415
2015-05-14,0.405,0.415,0.405,0.415,1658000,0.415
2015-05-13,0.415,0.42,0.407,0.415,441800,0.415
2015-05-12,0.42,0.42,0.415,0.42,501700,0.42
2015-05-11,0.417,0.425,0.412,0.415,665600,0.415
2015-05-08,0.42,0.42,0.41,0.415,217200,0.415
2015-05-07,0.41,0.42,0.41,0.412,3323700,0.412
2015-05-06,0.41,0.42,0.41,0.415,274100,0.415
2015-05-05,0.425,0.425,0.415,0.42,651800,0.42
2015-05-04,0.41,0.425,0.405,0.42,706200,0.42
2015-05-01,0.405,0.415,0.395,0.415,1888800,0.415
2015-04-30,0.40,0.405,0.395,0.40,1127000,0.40
2015-04-29,0.40,0.405,0.397,0.40,1563600,0.40
2015-04-28,0.405,0.405,0.40,0.405,1163000,0.405
2015-04-27,0.40,0.405,0.40,0.40,596600,0.40
2015-04-24,0.40,0.40,0.395,0.40,897600,0.40
