date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,3.79,3.875,3.77,3.85,7163700,3.85
2015-06-29,3.85,3.86,3.78,3.80,4491200,3.80
2015-06-26,3.88,3.915,3.82,3.89,7552200,3.89
2015-06-25,4.04,4.045,3.93,3.94,5556300,3.94
2015-06-24,4.09,4.115,4.04,4.05,4652700,4.05
2015-06-23,4.05,4.10,4.02,4.06,5453100,4.06
2015-06-22,4.00,4.03,3.93,4.00,6632600,4.00
2015-06-19,3.99,4.05,3.98,3.99,9210000,3.99
2015-06-18,4.06,4.08,3.965,3.99,7757900,3.99
2015-06-17,4.10,4.10,4.05,4.08,4681700,4.08
2015-06-16,4.04,4.10,4.03,4.08,7102200,4.08
2015-06-15,3.94,4.02,3.94,3.98,3983200,3.98
2015-06-12,4.01,4.05,3.97,4.00,3916100,4.00
2015-06-11,3.97,4.10,3.93,4.07,6741400,4.07
2015-06-10,3.85,3.92,3.795,3.91,4880200,3.91
2015-06-09,3.85,3.91,3.84,3.85,3978300,3.85
2015-06-08,3.88,3.88,3.88,3.88,000,3.88
2015-06-05,3.85,3.91,3.83,3.88,4566300,3.88
2015-06-04,3.91,3.925,3.84,3.85,8113600,3.85
2015-06-03,3.85,3.92,3.85,3.90,5120400,3.90
2015-06-02,4.08,4.08,3.905,3.91,5153900,3.91
2015-06-01,4.01,4.04,3.90,4.02,4349100,4.02
2015-05-29,3.96,4.10,3.95,3.99,9231800,3.99
2015-05-28,3.98,3.99,3.91,3.96,5675700,3.96
2015-05-27,3.83,3.97,3.83,3.96,9625200,3.96
2015-05-26,3.87,3.90,3.84,3.85,3619700,3.85
2015-05-25,3.83,3.905,3.79,3.87,4226400,3.87
2015-05-22,3.86,3.88,3.80,3.84,4596500,3.84
2015-05-21,3.81,3.83,3.76,3.82,5978900,3.82
2015-05-20,3.80,3.82,3.75,3.80,8641900,3.80
2015-05-19,3.73,3.80,3.68,3.78,21245700,3.78
2015-05-18,3.77,3.81,3.75,3.77,17228900,3.726
2015-05-15,3.77,3.77,3.68,3.73,9079200,3.68647
2015-05-14,3.72,3.73,3.655,3.70,5694100,3.65682
2015-05-13,3.78,3.79,3.65,3.73,13803000,3.68647
2015-05-12,3.81,3.82,3.73,3.79,12722200,3.74577
2015-05-11,3.97,3.98,3.66,3.78,16953500,3.73588
2015-05-08,3.86,4.00,3.86,3.91,4622000,3.86437
2015-05-07,3.86,3.94,3.85,3.90,4802500,3.85448
2015-05-06,3.96,4.01,3.93,3.93,4339100,3.88413
2015-05-05,4.16,4.175,4.01,4.02,4912000,3.97308
2015-05-04,4.06,4.15,4.05,4.12,7454800,4.07192
2015-05-01,4.00,4.06,3.97,4.03,7401100,3.98297
2015-04-30,3.87,4.045,3.87,3.99,9847500,3.94343
2015-04-29,4.15,4.17,3.97,3.97,8843400,3.92367
2015-04-28,4.28,4.28,4.16,4.17,5413200,4.12133
2015-04-27,4.29,4.30,4.26,4.28,2814000,4.23005
2015-04-24,4.18,4.28,4.18,4.24,5104600,4.19051
2015-04-23,4.14,4.19,4.12,4.17,3489500,4.12133
2015-04-22,4.25,4.28,4.15,4.18,4532600,4.13121
2015-04-21,4.14,4.24,4.105,4.24,4887100,4.19051
2015-04-20,4.08,4.14,4.075,4.13,3367100,4.0818
2015-04-17,4.18,4.22,4.105,4.13,4778200,4.0818
2015-04-16,4.22,4.30,4.16,4.19,4970800,4.1411
2015-04-15,4.15,4.20,4.11,4.19,4517800,4.1411
2015-04-14,4.10,4.20,4.10,4.16,5488400,4.11145
2015-04-13,4.25,4.26,4.13,4.14,8004300,4.09168
2015-04-10,4.31,4.32,4.21,4.24,5737200,4.19051
2015-04-09,4.36,4.40,4.29,4.30,4372400,4.24981
2015-04-08,4.24,4.39,4.21,4.36,7051300,4.30911
2015-04-07,4.18,4.20,4.13,4.17,5094400,4.12133
2015-04-06,4.09,4.09,4.09,4.09,000,4.04227
2015-04-03,4.09,4.09,4.09,4.09,000,4.04227
2015-04-02,4.10,4.11,4.07,4.09,6999700,4.04227
2015-04-01,4.07,4.17,4.065,4.12,9138200,4.07192
2015-03-31,4.02,4.08,4.01,4.07,6918600,4.0225
2015-03-30,4.00,4.04,3.985,4.02,3873200,3.97308
2015-03-27,4.03,4.06,4.00,4.05,7429300,4.00273
2015-03-26,4.04,4.05,3.98,4.00,5362300,3.95332
2015-03-25,4.15,4.18,4.10,4.12,5484200,4.07192
2015-03-24,4.06,4.165,4.055,4.16,5423900,4.11145
2015-03-23,4.00,4.07,4.00,4.05,4065200,4.00273
2015-03-20,3.98,4.04,3.96,4.01,11710400,3.9632
2015-03-19,3.98,4.03,3.96,4.01,9544800,3.9632
2015-03-18,3.98,3.985,3.86,3.93,5369500,3.88413
2015-03-17,4.01,4.07,3.99,3.99,5619900,3.94343
2015-03-16,3.94,4.00,3.885,3.99,3889600,3.94343
2015-03-13,3.95,4.00,3.95,3.96,3582900,3.91378
2015-03-12,3.88,3.99,3.88,3.93,5213700,3.88413
2015-03-11,3.85,3.90,3.82,3.87,3765900,3.82483
2015-03-10,3.96,4.00,3.88,3.92,3073200,3.87425
2015-03-09,3.96,3.98,3.93,3.94,2597500,3.89402
2015-03-06,3.93,3.98,3.92,3.97,2465200,3.92367
2015-03-05,3.93,3.96,3.91,3.95,2952300,3.9039
2015-03-04,3.97,3.99,3.92,3.92,4298900,3.87425
2015-03-03,4.03,4.08,3.945,3.97,9089400,3.92367
2015-03-02,4.05,4.08,4.02,4.05,3460000,4.00273
2015-02-27,4.00,4.09,3.98,4.07,6240400,4.0225
2015-02-26,3.99,4.00,3.93,3.98,3786500,3.93355
2015-02-25,4.05,4.07,3.98,4.01,6675200,3.9632
