date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.28,2.43,2.24,2.40,361400,2.40
2015-06-29,2.37,2.39,2.29,2.33,382800,2.33
2015-06-26,2.42,2.47,2.37,2.42,146300,2.42
2015-06-25,2.45,2.49,2.38,2.42,238100,2.42
2015-06-24,2.45,2.53,2.40,2.48,379200,2.48
2015-06-23,2.49,2.51,2.43,2.45,368000,2.45
2015-06-22,2.50,2.54,2.44,2.45,319100,2.45
2015-06-19,2.50,2.55,2.44,2.49,1351100,2.49
2015-06-18,2.30,2.30,2.22,2.27,538100,2.27
2015-06-17,2.40,2.45,2.28,2.30,483500,2.30
2015-06-16,2.49,2.49,2.36,2.36,152000,2.36
2015-06-15,2.54,2.57,2.47,2.50,124000,2.50
2015-06-12,2.50,2.50,2.44,2.50,159400,2.50
2015-06-11,2.35,2.49,2.34,2.45,408900,2.45
2015-06-10,2.50,2.50,2.33,2.35,2479600,2.35
2015-06-09,2.50,2.56,2.44,2.47,672500,2.47
2015-06-08,2.48,2.48,2.48,2.48,000,2.48
2015-06-05,2.56,2.56,2.42,2.48,1567600,2.48
2015-06-04,2.56,2.60,2.49,2.59,316900,2.59
2015-06-03,2.56,2.57,2.47,2.55,272000,2.55
2015-06-02,2.66,2.66,2.53,2.57,265900,2.57
2015-06-01,2.68,2.70,2.64,2.65,173500,2.65
2015-05-29,2.70,2.70,2.66,2.68,256400,2.68
2015-05-28,2.70,2.70,2.66,2.67,148700,2.67
2015-05-27,2.73,2.74,2.65,2.67,262400,2.67
2015-05-26,2.73,2.74,2.69,2.73,253000,2.73
2015-05-25,2.74,2.74,2.69,2.73,107900,2.73
2015-05-22,2.74,2.75,2.70,2.73,128600,2.73
2015-05-21,2.70,2.74,2.675,2.73,324900,2.73
2015-05-20,2.77,2.79,2.70,2.70,392500,2.70
2015-05-19,2.63,2.77,2.63,2.76,879800,2.76
2015-05-18,2.61,2.67,2.55,2.55,292000,2.55
2015-05-15,2.56,2.61,2.55,2.61,247700,2.61
2015-05-14,2.56,2.58,2.53,2.55,172900,2.55
