date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,10.02,10.17,9.975,10.12,561600,10.12
2015-06-29,10.00,10.18,9.94,10.11,524700,10.11
2015-06-26,10.24,10.26,10.06,10.17,349300,10.17
2015-06-25,10.50,10.51,10.35,10.38,256600,10.38
2015-06-24,10.52,10.60,10.46,10.51,502300,10.51
2015-06-23,10.58,10.65,10.44,10.52,477700,10.52
2015-06-22,10.48,10.50,10.32,10.46,364500,10.46
2015-06-19,10.61,10.71,10.43,10.43,614700,10.43
2015-06-18,10.55,10.57,10.32,10.55,757200,10.55
2015-06-17,10.60,10.72,10.60,10.69,399900,10.69
2015-06-16,10.68,10.715,10.56,10.58,118200,10.58
2015-06-15,10.65,10.72,10.58,10.63,210600,10.63
2015-06-12,10.67,10.73,10.66,10.68,299100,10.68
2015-06-11,10.55,10.78,10.525,10.67,415300,10.67
2015-06-10,10.44,10.57,10.44,10.50,305300,10.50
2015-06-09,10.40,10.59,10.39,10.47,348400,10.47
2015-06-08,10.54,10.54,10.54,10.54,000,10.54
2015-06-05,10.50,10.68,10.41,10.54,424300,10.54
2015-06-04,10.55,10.75,10.50,10.53,522200,10.53
2015-06-03,10.41,10.68,10.41,10.56,619000,10.56
2015-06-02,10.89,10.89,10.65,10.65,460500,10.65
2015-06-01,10.77,10.89,10.70,10.86,456600,10.86
2015-05-29,10.86,10.92,10.78,10.79,663600,10.79
2015-05-28,10.95,11.00,10.85,10.85,320000,10.85
2015-05-27,10.98,11.09,10.82,10.84,535800,10.84
2015-05-26,10.78,11.05,10.78,10.95,577300,10.95
2015-05-25,10.77,10.89,10.73,10.77,238800,10.77
2015-05-22,10.73,10.83,10.69,10.76,256300,10.76
2015-05-21,10.71,10.85,10.67,10.70,362900,10.70
2015-05-20,10.70,10.79,10.665,10.71,212700,10.71
2015-05-19,10.74,10.87,10.67,10.69,346900,10.69
2015-05-18,10.75,10.84,10.70,10.70,165100,10.70
2015-05-15,10.79,10.93,10.66,10.70,225800,10.70
2015-05-14,10.56,10.69,10.48,10.69,202700,10.69
2015-05-13,10.49,10.66,10.43,10.59,254800,10.59
2015-05-12,10.35,10.51,10.25,10.47,280500,10.47
2015-05-11,10.25,10.42,10.25,10.34,187600,10.34
2015-05-08,10.15,10.31,10.15,10.18,366700,10.18
2015-05-07,10.20,10.22,10.09,10.15,384700,10.15
2015-05-06,10.40,10.41,10.21,10.28,373600,10.28
2015-05-05,10.49,10.57,10.40,10.45,421200,10.45
2015-05-04,10.46,10.51,10.34,10.41,187200,10.41
2015-05-01,10.32,10.41,10.20,10.40,253800,10.40
2015-04-30,10.35,10.50,10.25,10.41,292900,10.41
2015-04-29,10.50,10.52,10.36,10.40,351600,10.40
2015-04-28,10.51,10.56,10.47,10.48,239400,10.48
2015-04-27,10.54,10.59,10.48,10.51,169300,10.51
2015-04-24,10.39,10.54,10.39,10.51,316300,10.51
2015-04-23,10.33,10.40,10.33,10.38,177800,10.38
2015-04-22,10.35,10.46,10.34,10.38,258800,10.38
2015-04-21,10.35,10.41,10.26,10.32,348200,10.32
2015-04-20,10.21,10.31,10.17,10.27,318600,10.27
2015-04-17,10.36,10.41,10.22,10.22,784300,10.22
2015-04-16,10.35,10.49,10.33,10.36,684900,10.36
2015-04-15,10.70,10.78,10.32,10.32,740000,10.32
2015-04-14,10.25,10.41,10.20,10.37,430500,10.37
2015-04-13,10.50,10.52,10.31,10.36,209800,10.36
2015-04-10,10.40,10.50,10.35,10.47,93200,10.47
2015-04-09,10.36,10.44,10.32,10.35,226400,10.35
2015-04-08,10.32,10.42,10.295,10.37,203900,10.37
2015-04-07,10.51,10.51,10.21,10.32,337400,10.32
2015-04-06,10.58,10.58,10.58,10.58,000,10.58
2015-04-03,10.58,10.58,10.58,10.58,000,10.58
2015-04-02,10.34,10.63,10.34,10.58,431900,10.58
2015-04-01,10.35,10.56,10.33,10.40,402300,10.40
2015-03-31,10.25,10.59,10.20,10.50,241000,10.50
2015-03-30,10.13,10.30,10.13,10.20,205100,10.20
2015-03-27,10.02,10.37,10.02,10.35,233100,10.35
2015-03-26,10.17,10.27,10.055,10.09,278900,10.09
2015-03-25,10.48,10.54,10.18,10.24,631200,10.24
2015-03-24,10.44,10.53,10.38,10.39,252700,10.39
2015-03-23,10.50,10.60,10.41,10.44,275500,10.44
2015-03-20,10.37,10.68,10.37,10.57,291000,10.57
2015-03-19,10.50,10.50,10.34,10.38,514600,10.38
2015-03-18,10.12,10.26,10.08,10.25,268900,10.25
2015-03-17,10.14,10.32,10.09,10.13,260100,10.13
2015-03-16,10.16,10.23,10.04,10.10,267700,10.10
2015-03-13,10.09,10.25,9.98,10.21,565600,10.21
2015-03-12,9.73,10.08,9.73,10.07,378800,10.07
