date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.40,1.465,1.385,1.44,916600,1.44
2015-06-29,1.48,1.485,1.43,1.43,627000,1.43
2015-06-26,1.49,1.50,1.44,1.48,282400,1.48
2015-06-25,1.49,1.505,1.49,1.50,97800,1.50
2015-06-24,1.525,1.525,1.49,1.51,28100,1.51
2015-06-23,1.49,1.515,1.49,1.49,83400,1.49
2015-06-22,1.47,1.52,1.47,1.49,470100,1.49
2015-06-19,1.50,1.50,1.32,1.48,110800,1.48
2015-06-18,1.55,1.55,1.46,1.475,236200,1.475
2015-06-17,1.49,1.505,1.46,1.485,106000,1.485
2015-06-16,1.51,1.545,1.47,1.49,37200,1.49
2015-06-15,1.46,1.54,1.46,1.53,3600,1.53
2015-06-12,1.50,1.505,1.42,1.46,121700,1.46
2015-06-11,1.47,1.50,1.405,1.50,551700,1.50
2015-06-10,1.52,1.52,1.46,1.46,254700,1.46
2015-06-09,1.545,1.5525,1.50,1.50,182100,1.50
2015-06-08,1.54,1.54,1.54,1.54,000,1.54
2015-06-05,1.47,1.54,1.46,1.54,46400,1.54
2015-06-04,1.51,1.525,1.47,1.47,121900,1.47
2015-06-03,1.54,1.555,1.495,1.52,133900,1.52
2015-06-02,1.555,1.57,1.545,1.55,377800,1.55
2015-06-01,1.57,1.58,1.55,1.55,164000,1.55
2015-05-29,1.60,1.60,1.57,1.57,68100,1.57
2015-05-28,1.59,1.605,1.59,1.60,168100,1.60
2015-05-27,1.58,1.60,1.57,1.585,87200,1.585
2015-05-26,1.565,1.595,1.56,1.59,52300,1.59
2015-05-25,1.56,1.58,1.555,1.565,138700,1.565
2015-05-22,1.57,1.57,1.55,1.56,42200,1.56
2015-05-21,1.58,1.5875,1.565,1.575,79400,1.575
2015-05-20,1.58,1.595,1.575,1.58,800900,1.58
2015-05-19,1.585,1.605,1.58,1.585,192000,1.585
2015-05-18,1.58,1.60,1.575,1.585,61800,1.585
2015-05-15,1.57,1.58,1.555,1.58,17600,1.58
2015-05-14,1.54,1.57,1.535,1.56,483700,1.56
2015-05-13,1.58,1.60,1.54,1.555,99200,1.555
2015-05-12,1.58,1.595,1.565,1.595,41100,1.595
2015-05-11,1.59,1.61,1.575,1.575,174300,1.575
2015-05-08,1.575,1.61,1.565,1.575,170900,1.575
2015-05-07,1.58,1.61,1.575,1.59,1096700,1.59
2015-05-06,1.56,1.585,1.555,1.58,370100,1.58
2015-05-05,1.56,1.57,1.55,1.565,528700,1.565
2015-05-04,1.535,1.555,1.532,1.55,353500,1.55
2015-05-01,1.515,1.555,1.515,1.535,1038700,1.535
2015-04-30,1.55,1.55,1.50,1.525,942800,1.525
2015-04-29,1.50,1.51,1.48,1.50,202900,1.50
2015-04-28,1.47,1.505,1.45,1.475,536800,1.475
2015-04-27,1.46,1.47,1.43,1.47,106000,1.47
2015-04-24,1.48,1.49,1.43,1.45,96400,1.45
2015-04-23,1.47,1.48,1.425,1.455,88700,1.455
2015-04-22,1.45,1.48,1.45,1.47,214700,1.47
2015-04-21,1.42,1.445,1.42,1.44,270200,1.44
2015-04-20,1.415,1.445,1.41,1.43,121400,1.43
2015-04-17,1.425,1.44,1.41,1.415,685400,1.415
2015-04-16,1.43,1.44,1.42,1.425,93900,1.425
2015-04-15,1.415,1.455,1.405,1.44,912900,1.44
2015-04-14,1.41,1.415,1.40,1.415,107500,1.415
2015-04-13,1.40,1.415,1.397,1.405,186300,1.405
2015-04-10,1.42,1.42,1.38,1.40,207300,1.40
2015-04-09,1.44,1.445,1.40,1.42,484100,1.42
2015-04-08,1.465,1.465,1.44,1.46,25200,1.46
2015-04-07,1.465,1.4775,1.455,1.46,1299900,1.46
2015-04-06,1.465,1.465,1.465,1.465,000,1.465
2015-04-03,1.465,1.465,1.465,1.465,000,1.465
2015-04-02,1.49,1.49,1.465,1.465,21500,1.465
2015-04-01,1.52,1.52,1.455,1.49,225800,1.49
2015-03-31,1.455,1.50,1.455,1.485,550900,1.485
2015-03-30,1.485,1.50,1.465,1.47,263600,1.47
2015-03-27,1.50,1.51,1.47,1.485,1029400,1.485
2015-03-26,1.57,1.57,1.36,1.495,1897000,1.495
