date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,11.96,12.16,11.81,12.10,545700,12.10
2015-06-29,12.30,12.32,12.04,12.05,277000,12.05
2015-06-26,12.47,12.52,12.25,12.44,328500,12.44
2015-06-25,12.66,12.72,12.57,12.58,175400,12.58
2015-06-24,12.85,12.87,12.63,12.66,263900,12.66
2015-06-23,12.68,12.87,12.67,12.85,273000,12.85
2015-06-22,12.54,12.61,12.49,12.59,184400,12.59
2015-06-19,12.42,12.65,12.42,12.49,344100,12.49
2015-06-18,12.54,12.55,12.31,12.44,413300,12.44
2015-06-17,12.59,12.82,12.58,12.74,308600,12.74
2015-06-16,12.88,12.95,12.48,12.49,257000,12.49
2015-06-15,12.75,12.85,12.73,12.84,233400,12.84
2015-06-12,12.80,12.90,12.79,12.82,179700,12.82
2015-06-11,12.75,12.88,12.74,12.80,275000,12.80
2015-06-10,12.73,12.81,12.61,12.75,619100,12.75
2015-06-09,12.81,12.82,12.72,12.76,233400,12.76
2015-06-08,12.83,12.83,12.83,12.83,000,12.83
2015-06-05,12.80,13.02,12.75,12.83,237000,12.83
2015-06-04,13.02,13.07,12.79,12.82,299000,12.82
2015-06-03,13.00,13.10,12.91,12.96,423700,12.96
2015-06-02,13.28,13.31,13.01,13.04,424100,13.04
2015-06-01,13.23,13.24,13.07,13.13,262200,13.13
2015-05-29,13.18,13.32,13.18,13.29,341700,13.29
2015-05-28,13.27,13.27,13.11,13.18,113800,13.18
2015-05-27,13.34,13.34,13.14,13.20,284700,13.20
2015-05-26,13.35,13.42,13.29,13.37,252500,13.37
2015-05-25,13.25,13.34,13.17,13.31,315600,13.31
2015-05-22,13.25,13.29,13.12,13.20,243400,13.20
2015-05-21,13.16,13.22,13.12,13.18,350600,13.18
2015-05-20,13.20,13.38,13.07,13.08,468200,13.08
2015-05-19,13.22,13.305,13.06,13.20,220300,13.20
2015-05-18,13.26,13.39,13.21,13.22,267900,13.22
2015-05-15,13.38,13.45,13.18,13.25,380300,13.25
2015-05-14,13.02,13.25,13.02,13.15,350600,13.15
2015-05-13,13.15,13.16,13.01,13.13,399100,13.13
2015-05-12,13.03,13.08,12.96,13.00,468900,13.00
2015-05-11,13.10,13.28,13.01,13.07,236400,13.07
2015-05-08,13.13,13.33,13.04,13.07,281300,13.07
2015-05-07,13.20,13.21,12.99,13.11,231700,13.11
2015-05-06,13.45,13.51,13.18,13.21,220400,13.21
2015-05-05,13.62,13.78,13.46,13.57,322700,13.57
2015-05-04,13.50,13.65,13.40,13.50,172700,13.50
2015-05-01,13.40,13.41,13.15,13.40,184100,13.40
2015-04-30,13.21,13.55,13.11,13.41,317300,13.41
2015-04-29,13.46,13.59,13.22,13.23,231400,13.23
2015-04-28,13.56,13.62,13.45,13.52,176700,13.52
2015-04-27,13.39,13.62,13.39,13.58,259300,13.58
2015-04-24,13.26,13.49,13.20,13.37,214400,13.37
2015-04-23,13.20,13.20,13.01,13.15,184900,13.15
2015-04-22,13.14,13.33,13.12,13.14,203500,13.14
2015-04-21,13.28,13.31,13.13,13.16,182800,13.16
2015-04-20,13.00,13.25,12.94,13.16,278800,13.16
2015-04-17,13.18,13.20,12.94,12.95,261100,12.95
2015-04-16,13.08,13.23,13.02,13.13,182200,13.13
2015-04-15,13.31,13.32,12.95,13.00,359600,13.00
2015-04-14,13.18,13.34,13.15,13.29,163500,13.29
2015-04-13,13.12,13.23,13.12,13.21,169300,13.21
2015-04-10,13.20,13.25,13.09,13.17,218300,13.17
2015-04-09,13.09,13.17,13.03,13.12,136500,13.12
2015-04-08,13.00,13.09,12.97,13.08,165700,13.08
2015-04-07,13.18,13.35,13.00,13.00,172300,13.00
2015-04-06,13.11,13.11,13.11,13.11,000,13.11
2015-04-03,13.11,13.11,13.11,13.11,000,13.11
2015-04-02,13.22,13.24,13.02,13.11,150700,13.11
2015-04-01,13.07,13.24,13.01,13.06,282600,13.06
2015-03-31,13.07,13.29,13.02,13.14,123700,13.14
2015-03-30,13.25,13.275,12.94,13.09,219400,13.09
2015-03-27,13.01,13.34,13.01,13.26,152800,13.26
2015-03-26,13.25,13.33,13.00,13.00,282000,13.00
2015-03-25,13.40,13.65,13.36,13.45,233700,13.45
2015-03-24,13.35,13.46,13.27,13.36,206600,13.36
2015-03-23,13.38,13.58,13.26,13.34,219500,13.34
2015-03-20,13.62,13.78,13.52,13.53,296300,13.53
2015-03-19,13.50,13.80,13.50,13.72,558700,13.72
2015-03-18,12.99,13.34,12.99,13.34,294500,13.34
2015-03-17,13.10,13.14,12.90,13.00,238900,13.00
2015-03-16,12.77,13.07,12.75,13.00,294000,13.00
2015-03-13,13.02,13.02,12.63,12.77,283400,12.77
2015-03-12,12.83,13.19,12.83,13.01,190800,13.01
2015-03-11,12.99,13.02,12.74,12.84,253400,12.84
2015-03-10,13.41,13.50,13.01,13.03,368700,13.03
2015-03-09,13.70,13.88,13.63,13.64,115200,13.344
2015-03-06,13.72,13.84,13.54,13.75,127600,13.451
2015-03-05,13.69,13.79,13.55,13.68,258300,13.383
2015-03-04,13.78,13.83,13.63,13.67,217700,13.373
2015-03-03,13.92,14.17,13.45,13.68,247100,13.383
2015-03-02,13.80,14.01,13.80,13.85,161400,13.549
2015-02-27,13.70,13.89,13.55,13.78,238600,13.481
2015-02-26,13.68,13.69,13.45,13.63,154000,13.334
2015-02-25,13.60,13.70,13.45,13.70,257000,13.402
2015-02-24,13.70,13.72,13.50,13.64,162700,13.344
2015-02-23,13.61,13.71,13.58,13.68,123000,13.383
