date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,19.39,19.67,19.35,19.48,904800,19.48
2015-06-29,19.50,19.61,19.35,19.53,564100,19.53
2015-06-26,20.04,20.21,19.61,19.81,936400,19.81
2015-06-25,20.69,20.75,20.29,20.32,1221400,20.32
2015-06-24,21.00,21.19,20.67,20.74,483700,20.74
2015-06-23,20.90,21.27,20.86,21.06,569600,21.06
2015-06-22,20.49,20.73,20.36,20.60,455100,20.60
2015-06-19,20.50,20.75,20.35,20.35,714700,20.35
2015-06-18,20.35,20.52,20.21,20.36,850900,20.36
2015-06-17,20.70,20.84,20.45,20.53,890000,20.53
2015-06-16,20.80,20.97,20.47,20.47,524200,20.47
2015-06-15,20.67,20.91,20.52,20.73,593900,20.73
2015-06-12,20.57,21.02,20.57,20.68,746500,20.68
2015-06-11,20.75,20.76,20.11,20.58,928400,20.58
2015-06-10,21.58,21.58,20.68,20.71,517400,20.71
2015-06-09,21.31,21.62,21.30,21.48,874900,21.48
2015-06-08,21.46,21.46,21.46,21.46,000,21.46
2015-06-05,20.60,21.47,20.41,21.46,905100,21.46
2015-06-04,20.90,21.16,20.63,20.70,853000,20.70
2015-06-03,20.85,20.97,20.59,20.76,688900,20.76
2015-06-02,21.45,21.59,20.91,21.04,675100,21.04
2015-06-01,21.70,21.92,21.19,21.48,740400,21.48
2015-05-29,21.42,21.94,21.42,21.85,642600,21.85
2015-05-28,21.44,21.51,21.19,21.50,439700,21.50
2015-05-27,21.40,21.51,21.18,21.39,305200,21.39
2015-05-26,21.34,21.52,21.22,21.42,394800,21.42
2015-05-25,21.15,21.37,21.13,21.29,367100,21.29
2015-05-22,21.44,21.45,21.10,21.18,357200,21.18
2015-05-21,21.33,21.46,21.24,21.34,727900,21.34
2015-05-20,21.40,21.52,20.89,20.97,652200,20.97
2015-05-19,21.08,21.65,21.05,21.45,852700,21.45
2015-05-18,21.48,21.77,21.06,21.09,515700,21.09
2015-05-15,21.10,21.56,21.10,21.46,572000,21.46
2015-05-14,20.80,21.08,20.52,21.06,882000,21.06
2015-05-13,21.00,21.31,20.83,20.90,1021300,20.90
2015-05-12,19.96,20.57,19.87,20.47,970900,20.47
2015-05-11,19.85,20.19,19.84,20.06,902600,20.06
2015-05-08,19.45,20.19,19.16,19.86,1029000,19.86
2015-05-07,18.70,19.41,18.55,19.25,753000,19.25
2015-05-06,19.10,19.28,18.84,18.97,703800,18.97
2015-05-05,19.60,19.68,19.15,19.24,660800,19.24
2015-05-04,19.30,19.84,19.30,19.61,619400,19.61
2015-05-01,19.55,19.61,19.01,19.30,506400,19.30
2015-04-30,19.05,19.69,19.00,19.59,1021200,19.59
2015-04-29,19.20,19.43,19.09,19.18,448800,19.18
2015-04-28,19.40,19.64,19.36,19.49,572400,19.49
2015-04-27,18.91,19.35,18.87,19.35,317900,19.35
2015-04-24,19.36,19.49,18.85,18.95,440700,18.95
2015-04-23,18.89,19.29,18.77,19.22,458600,19.22
2015-04-22,18.71,19.04,18.71,18.98,277700,18.98
2015-04-21,18.60,18.89,18.56,18.79,434700,18.79
2015-04-20,18.61,18.62,18.43,18.52,337000,18.52
2015-04-17,18.94,18.96,18.685,18.72,438700,18.72
2015-04-16,19.10,19.21,18.86,19.05,352500,19.05
2015-04-15,19.39,19.39,18.83,18.97,572600,18.97
2015-04-14,19.00,19.45,19.00,19.45,358600,19.45
2015-04-13,19.25,19.25,18.99,19.06,228800,19.06
2015-04-10,19.06,19.38,18.97,19.36,392000,19.36
2015-04-09,19.20,19.23,18.94,19.00,432100,19.00
2015-04-08,18.50,19.29,18.49,19.29,730700,19.29
2015-04-07,18.42,18.59,18.31,18.37,484800,18.37
2015-04-06,18.33,18.33,18.33,18.33,000,18.33
2015-04-03,18.33,18.33,18.33,18.33,000,18.33
