date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,2.58,2.60,2.55,2.57,493300,2.57
2015-06-29,2.61,2.64,2.595,2.60,529800,2.60
2015-06-26,2.61,2.68,2.57,2.62,533200,2.62
2015-06-25,2.71,2.72,2.61,2.65,339200,2.65
2015-06-24,2.76,2.77,2.69,2.72,440300,2.72
2015-06-23,2.69,2.79,2.69,2.74,443400,2.74
2015-06-22,2.66,2.67,2.61,2.66,537600,2.66
2015-06-19,2.62,2.68,2.62,2.66,1204600,2.66
2015-06-18,2.60,2.62,2.46,2.60,1536800,2.60
2015-06-17,2.64,2.70,2.63,2.65,402200,2.65
2015-06-16,2.68,2.68,2.61,2.64,457800,2.64
2015-06-15,2.68,2.68,2.63,2.68,356200,2.68
2015-06-12,2.68,2.71,2.63,2.66,348500,2.66
2015-06-11,2.66,2.70,2.63,2.68,388600,2.68
2015-06-10,2.69,2.70,2.62,2.64,571000,2.64
2015-06-09,2.68,2.75,2.65,2.73,657600,2.73
2015-06-08,2.69,2.69,2.69,2.69,000,2.69
2015-06-05,2.66,2.71,2.66,2.69,498000,2.69
2015-06-04,2.66,2.73,2.65,2.65,858300,2.65
2015-06-03,2.68,2.68,2.60,2.66,848600,2.66
2015-06-02,2.80,2.81,2.69,2.69,331000,2.69
2015-06-01,2.82,2.82,2.76,2.79,545800,2.79
2015-05-29,2.83,2.85,2.80,2.83,770000,2.83
2015-05-28,2.88,2.88,2.82,2.82,431400,2.82
2015-05-27,2.87,2.88,2.82,2.85,452600,2.85
2015-05-26,2.83,2.88,2.83,2.88,779400,2.88
2015-05-25,2.79,2.85,2.79,2.82,622100,2.82
2015-05-22,2.87,2.88,2.75,2.78,919500,2.78
2015-05-21,2.82,2.85,2.75,2.84,1767800,2.84
2015-05-20,2.79,2.89,2.78,2.80,1455500,2.80
2015-05-19,2.78,2.79,2.78,2.78,2424500,2.78
2015-05-18,2.79,2.79,2.76,2.78,227300,2.78
2015-05-15,2.78,2.80,2.76,2.79,1081800,2.79
2015-05-14,2.75,2.82,2.73,2.80,1866400,2.80
2015-05-13,2.69,2.78,2.68,2.77,1106300,2.77
2015-05-12,2.68,2.69,2.65,2.69,445000,2.69
2015-05-11,2.69,2.71,2.68,2.70,316400,2.70
2015-05-08,2.69,2.70,2.68,2.69,519700,2.69
2015-05-07,2.72,2.75,2.69,2.69,776800,2.69
2015-05-06,2.73,2.77,2.73,2.73,479400,2.73
2015-05-05,2.77,2.79,2.73,2.76,738600,2.76
2015-05-04,2.74,2.80,2.70,2.77,471200,2.77
2015-05-01,2.74,2.78,2.70,2.73,756200,2.73
2015-04-30,2.72,2.76,2.65,2.76,869600,2.76
2015-04-29,2.77,2.77,2.73,2.76,1486500,2.76
2015-04-28,2.71,2.83,2.69,2.77,2703000,2.77
2015-04-27,2.68,2.76,2.68,2.71,1269500,2.71
2015-04-24,2.65,2.69,2.65,2.68,676900,2.68
2015-04-23,2.64,2.65,2.62,2.64,137800,2.64
2015-04-22,2.63,2.68,2.63,2.65,295700,2.65
2015-04-21,2.68,2.68,2.625,2.64,255100,2.64
2015-04-20,2.62,2.68,2.61,2.68,1300800,2.68
2015-04-17,2.68,2.68,2.62,2.62,418300,2.62
2015-04-16,2.65,2.70,2.64,2.68,619700,2.68
2015-04-15,2.62,2.66,2.60,2.64,436400,2.64
2015-04-14,2.59,2.64,2.59,2.63,267600,2.63
2015-04-13,2.65,2.68,2.59,2.60,346600,2.60
2015-04-10,2.66,2.66,2.62,2.66,206600,2.66
2015-04-09,2.60,2.66,2.59,2.65,290700,2.65
2015-04-08,2.67,2.67,2.58,2.60,726300,2.60
2015-04-07,2.67,2.72,2.65,2.65,632100,2.65
2015-04-06,2.72,2.72,2.72,2.72,000,2.665
2015-04-03,2.72,2.72,2.72,2.72,000,2.665
2015-04-02,2.70,2.74,2.68,2.72,769400,2.665
2015-04-01,2.69,2.72,2.68,2.70,496100,2.645
2015-03-31,2.67,2.72,2.66,2.70,840000,2.645
2015-03-30,2.68,2.69,2.62,2.64,444500,2.587
2015-03-27,2.63,2.67,2.62,2.67,603400,2.616
2015-03-26,2.61,2.64,2.565,2.64,657700,2.587
2015-03-25,2.63,2.64,2.59,2.64,480600,2.587
2015-03-24,2.58,2.64,2.58,2.63,359900,2.577
2015-03-23,2.64,2.64,2.55,2.60,560600,2.547
2015-03-20,2.59,2.62,2.58,2.60,1310500,2.547
2015-03-19,2.57,2.60,2.56,2.58,1296600,2.528
2015-03-18,2.49,2.515,2.48,2.50,1752000,2.449
2015-03-17,2.58,2.595,2.495,2.51,931000,2.459
2015-03-16,2.55,2.59,2.52,2.57,269200,2.518
2015-03-13,2.60,2.60,2.49,2.56,873900,2.508
2015-03-12,2.61,2.62,2.57,2.59,1020900,2.538
2015-03-11,2.55,2.63,2.50,2.61,702100,2.557
2015-03-10,2.64,2.66,2.57,2.59,816100,2.538
2015-03-09,2.60,2.64,2.59,2.63,663200,2.577
2015-03-06,2.68,2.70,2.63,2.63,536200,2.577
2015-03-05,2.66,2.70,2.65,2.68,822400,2.626
2015-03-04,2.65,2.68,2.63,2.64,991300,2.587
2015-03-03,2.67,2.70,2.66,2.67,1953600,2.616
2015-03-02,2.66,2.68,2.62,2.63,1739200,2.577
2015-02-27,2.66,2.72,2.64,2.65,1967100,2.596
2015-02-26,2.60,2.69,2.56,2.64,3891300,2.587
2015-02-25,2.38,2.47,2.38,2.46,1500700,2.41
2015-02-24,2.36,2.39,2.33,2.38,701100,2.332
2015-02-23,2.28,2.37,2.26,2.36,636300,2.312
2015-02-20,2.31,2.38,2.26,2.28,1750100,2.234
2015-02-19,2.28,2.28,2.25,2.27,596600,2.224
2015-02-18,2.23,2.30,2.22,2.27,390200,2.224
2015-02-17,2.23,2.25,2.22,2.23,339900,2.185
2015-02-16,2.24,2.26,2.22,2.23,526100,2.185
2015-02-13,2.24,2.25,2.21,2.24,717300,2.195
2015-02-12,2.22,2.22,2.19,2.21,1682500,2.165
2015-02-11,2.20,2.22,2.18,2.18,999800,2.136
2015-02-10,2.16,2.19,2.14,2.19,1177400,2.146
2015-02-09,2.11,2.18,2.06,2.15,1783000,2.107
2015-02-06,2.04,2.17,2.04,2.12,2562800,2.077
2015-02-05,2.00,2.04,1.99,2.02,1489000,1.979
2015-02-04,1.98,2.02,1.97,2.00,1575400,1.96
2015-02-03,1.955,1.97,1.94,1.955,1350500,1.915
2015-02-02,1.945,1.95,1.88,1.945,1481300,1.906
2015-01-30,1.89,1.955,1.855,1.94,4294100,1.901
2015-01-29,1.88,1.90,1.87,1.88,960700,1.842
2015-01-28,1.83,1.90,1.83,1.89,1251200,1.852
2015-01-27,1.90,1.915,1.825,1.835,1263400,1.798
2015-01-26,1.91,1.91,1.91,1.91,000,1.871
2015-01-23,1.95,1.96,1.90,1.91,1078200,1.871
2015-01-22,1.965,1.965,1.927,1.95,1582700,1.911
2015-01-21,2.01,2.03,1.97,2.00,1139600,1.96
2015-01-20,2.01,2.03,2.00,2.01,1898000,1.969
2015-01-19,2.02,2.03,2.00,2.01,882700,1.969
2015-01-16,2.01,2.04,2.00,2.01,626900,1.969
2015-01-15,2.02,2.04,2.01,2.03,444400,1.989
2015-01-14,2.02,2.04,2.01,2.02,458300,1.979
2015-01-13,2.01,2.02,1.99,2.01,242000,1.969
2015-01-12,1.99,2.02,1.985,2.01,1104800,1.969
2015-01-09,2.00,2.02,1.965,2.00,785600,1.96
2015-01-08,1.985,2.00,1.92,1.995,492800,1.955
2015-01-07,2.00,2.01,1.97,1.975,525200,1.935
2015-01-06,1.975,2.02,1.975,2.00,363400,1.96
2015-01-05,2.06,2.08,2.00,2.01,483200,1.969
2015-01-02,2.03,2.08,2.01,2.08,79600,2.038
2015-01-01,2.06,2.06,2.06,2.06,000,2.018
2014-12-31,2.05,2.08,2.04,2.06,275100,2.018
2014-12-30,2.07,2.07,2.03,2.04,245200,1.999
2014-12-29,2.04,2.08,2.03,2.07,496400,2.028
2014-12-26,2.03,2.03,2.03,2.03,000,1.989
2014-12-25,2.03,2.03,2.03,2.03,000,1.989
2014-12-24,2.02,2.04,2.01,2.03,145100,1.989
2014-12-23,2.07,2.08,2.00,2.01,346800,1.969
2014-12-22,2.05,2.08,2.02,2.07,1042400,2.028
2014-12-19,1.965,2.04,1.96,2.02,5629600,1.979
2014-12-18,1.895,1.965,1.895,1.93,1612700,1.891
2014-12-17,1.86,1.925,1.86,1.92,1299000,1.881
2014-12-16,1.92,1.92,1.84,1.87,2009200,1.832
2014-12-15,1.97,1.98,1.92,1.945,622900,1.906
2014-12-12,2.02,2.06,1.96,1.975,570500,1.935
2014-12-11,1.96,2.01,1.96,2.00,1159300,1.96
2014-12-10,2.00,2.05,1.98,1.98,1489100,1.94
2014-12-09,2.10,2.10,2.02,2.03,1422300,1.989
2014-12-08,1.97,2.13,1.97,2.12,2822100,2.077
2014-12-05,1.94,2.03,1.91,1.94,5223600,1.901
2014-12-04,2.03,2.04,1.86,1.89,2921900,1.852
2014-12-03,2.00,2.10,1.91,1.99,4079200,1.95
2014-12-02,2.25,2.28,1.99,2.02,2872500,1.979
2014-12-01,2.39,2.39,2.22,2.24,732500,2.195
2014-11-28,2.40,2.41,2.38,2.39,406900,2.342
2014-11-27,2.40,2.40,2.37,2.40,379600,2.351
2014-11-26,2.44,2.45,2.37,2.40,500900,2.351
2014-11-25,2.38,2.45,2.35,2.37,5321500,2.322
2014-11-24,2.40,2.41,2.34,2.41,581500,2.361
2014-11-21,2.40,2.40,2.32,2.38,386800,2.332
2014-11-20,2.47,2.47,2.38,2.38,551700,2.332
2014-11-19,2.45,2.46,2.33,2.39,747300,2.342
2014-11-18,2.47,2.495,2.45,2.47,158700,2.42
2014-11-17,2.50,2.50,2.44,2.47,319100,2.42
2014-11-14,2.59,2.59,2.48,2.49,722600,2.44
2014-11-13,2.60,2.60,2.53,2.53,663400,2.479
2014-11-12,2.55,2.60,2.53,2.55,515600,2.498
2014-11-11,2.59,2.59,2.55,2.59,627900,2.538
2014-11-10,2.60,2.60,2.56,2.59,691100,2.538
2014-11-07,2.61,2.62,2.52,2.60,1286800,2.547
2014-11-06,2.60,2.62,2.56,2.56,1523400,2.508
2014-11-05,2.64,2.64,2.56,2.60,1501000,2.547
2014-11-04,2.58,2.64,2.575,2.64,391500,2.587
2014-11-03,2.57,2.60,2.55,2.56,784000,2.508
2014-10-31,2.52,2.56,2.50,2.56,863800,2.508
2014-10-30,2.48,2.53,2.46,2.50,696300,2.449
2014-10-29,2.50,2.58,2.46,2.48,1082800,2.43
2014-10-28,2.50,2.50,2.44,2.48,1018000,2.43
2014-10-27,2.40,2.50,2.39,2.48,989100,2.43
2014-10-24,2.39,2.40,2.38,2.40,283800,2.351
2014-10-23,2.38,2.39,2.38,2.39,346000,2.342
2014-10-22,2.39,2.41,2.37,2.38,722900,2.332
2014-10-21,2.39,2.39,2.375,2.38,367400,2.332
2014-10-20,2.39,2.39,2.37,2.38,282400,2.332
2014-10-17,2.37,2.39,2.34,2.35,400900,2.302
2014-10-16,2.37,2.38,2.34,2.36,461900,2.312
2014-10-15,2.35,2.38,2.31,2.37,457200,2.322
2014-10-14,2.31,2.36,2.29,2.34,454000,2.293
2014-10-13,2.28,2.35,2.28,2.35,355400,2.302
2014-10-10,2.35,2.36,2.32,2.32,632000,2.273
2014-10-09,2.37,2.39,2.35,2.36,726400,2.312
2014-10-08,2.32,2.37,2.32,2.36,599300,2.312
2014-10-07,2.42,2.42,2.35,2.37,692100,2.322
2014-10-06,2.37,2.42,2.36,2.39,250600,2.342
2014-10-03,2.33,2.41,2.31,2.37,284700,2.322
2014-10-02,2.38,2.40,2.34,2.35,649400,2.302
2014-10-01,2.36,2.43,2.36,2.40,473100,2.351
2014-09-30,2.40,2.41,2.36,2.38,619700,2.332
2014-09-29,2.36,2.43,2.36,2.41,561200,2.361
2014-09-26,2.32,2.39,2.295,2.36,684700,2.312
2014-09-25,2.32,2.37,2.32,2.37,441900,2.322
2014-09-24,2.32,2.34,2.30,2.32,401000,2.273
2014-09-23,2.31,2.34,2.28,2.34,341500,2.293
2014-09-22,2.28,2.32,2.28,2.32,373400,2.273
2014-09-19,2.31,2.33,2.30,2.33,866400,2.283
2014-09-18,2.30,2.34,2.27,2.32,688300,2.273
2014-09-17,2.31,2.32,2.27,2.28,1512700,2.234
2014-09-16,2.27,2.32,2.27,2.30,500400,2.253
2014-09-15,2.26,2.30,2.26,2.30,3568500,2.253
2014-09-12,2.25,2.30,2.25,2.30,833300,2.253
2014-09-11,2.21,2.27,2.195,2.26,1156100,2.214
2014-09-10,2.20,2.21,2.17,2.18,2397900,2.136
2014-09-09,2.25,2.25,2.20,2.21,380100,2.165
2014-09-08,2.24,2.26,2.23,2.26,348500,2.214
2014-09-05,2.26,2.26,2.24,2.25,243700,2.205
2014-09-04,2.26,2.30,2.24,2.26,311300,2.214
2014-09-03,2.29,2.30,2.25,2.27,231300,2.224
2014-09-02,2.27,2.285,2.24,2.28,389100,2.234
2014-09-01,2.27,2.27,2.24,2.27,2235600,2.224
2014-08-29,2.22,2.29,2.22,2.26,2127700,2.214
2014-08-28,2.33,2.37,2.17,2.18,1757000,2.136
2014-08-27,2.33,2.38,2.33,2.33,518500,2.283
2014-08-26,2.30,2.35,2.295,2.32,737500,2.273
2014-08-25,2.32,2.32,2.29,2.29,702800,2.244
2014-08-22,2.32,2.32,2.29,2.31,479800,2.263
2014-08-21,2.32,2.38,2.30,2.31,922500,2.263
2014-08-20,2.33,2.35,2.30,2.31,178500,2.263
2014-08-19,2.34,2.34,2.30,2.33,1031100,2.283
2014-08-18,2.30,2.35,2.29,2.30,289400,2.253
2014-08-15,2.28,2.32,2.27,2.32,299100,2.273
2014-08-14,2.30,2.31,2.27,2.28,431400,2.234
2014-08-13,2.35,2.36,2.28,2.29,376500,2.244
2014-08-12,2.33,2.39,2.30,2.36,439200,2.312
2014-08-11,2.29,2.34,2.28,2.32,413300,2.273
2014-08-08,2.26,2.28,2.25,2.27,369100,2.224
2014-08-07,2.28,2.31,2.25,2.31,403700,2.263
2014-08-06,2.28,2.33,2.26,2.27,375100,2.224
2014-08-05,2.27,2.33,2.25,2.33,418600,2.283
2014-08-04,2.29,2.30,2.26,2.26,220900,2.214
2014-08-01,2.33,2.34,2.26,2.32,439200,2.273
2014-07-31,2.35,2.37,2.31,2.33,2296800,2.283
2014-07-30,2.35,2.37,2.33,2.33,410800,2.283
2014-07-29,2.31,2.35,2.31,2.35,409200,2.302
2014-07-28,2.30,2.34,2.28,2.28,3306600,2.234
2014-07-25,2.32,2.34,2.27,2.34,615700,2.293
2014-07-24,2.33,2.35,2.30,2.31,266200,2.263
2014-07-23,2.35,2.35,2.30,2.32,809200,2.273
2014-07-22,2.32,2.35,2.30,2.34,221300,2.293
2014-07-21,2.32,2.35,2.30,2.35,441300,2.302
2014-07-18,2.28,2.34,2.28,2.34,550800,2.293
