date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,17.21,17.43,17.09,17.32,1328700,17.32
2015-06-29,17.51,17.64,17.28,17.28,1019400,17.28
2015-06-26,17.28,17.86,17.12,17.79,2069200,17.79
2015-06-25,17.87,18.00,17.55,17.55,1028300,17.55
2015-06-24,18.43,18.43,18.21,18.24,1274700,18.24
2015-06-23,18.28,18.43,18.06,18.21,1569900,18.21
2015-06-22,17.92,18.00,17.75,17.81,945600,17.81
2015-06-19,17.52,17.95,17.49,17.95,1274300,17.95
2015-06-18,17.95,17.95,17.39,17.49,1868900,17.49
2015-06-17,17.44,17.64,17.33,17.60,1716800,17.60
2015-06-16,17.40,17.68,17.33,17.52,1121600,17.52
2015-06-15,17.12,17.36,17.10,17.33,925500,17.33
2015-06-12,16.96,17.40,16.83,17.29,1112200,17.29
2015-06-11,16.70,16.94,16.51,16.94,1198100,16.94
2015-06-10,16.25,16.49,16.15,16.46,930200,16.46
2015-06-09,16.24,16.50,16.17,16.25,2250800,16.25
2015-06-08,16.75,16.75,16.75,16.75,000,16.40888
2015-06-05,16.53,16.92,16.53,16.75,1364700,16.40888
2015-06-04,17.00,17.18,16.73,16.75,1396600,16.40888
2015-06-03,16.96,17.12,16.835,16.87,1860400,16.52643
2015-06-02,18.05,18.05,17.25,17.25,1287900,16.89869
2015-06-01,17.66,17.89,17.29,17.81,1188700,17.44729
2015-05-29,17.66,17.95,17.66,17.66,1952400,17.30034
2015-05-28,17.79,17.85,17.36,17.45,1175500,17.09462
2015-05-27,17.20,17.74,17.175,17.58,2929100,17.22197
2015-05-26,17.20,17.415,17.03,17.37,1436400,17.01625
2015-05-25,16.80,17.465,16.77,17.25,1548200,16.89869
2015-05-22,17.20,17.21,16.68,16.84,2273500,16.49704
2015-05-21,16.30,17.14,16.14,16.99,2860800,16.64399
2015-05-20,15.13,15.48,15.13,15.22,1129900,14.91003
2015-05-19,15.34,15.43,15.05,15.07,2712900,14.76309
2015-05-18,15.67,15.74,15.19,15.19,1424600,14.88065
2015-05-15,15.65,15.65,15.51,15.63,1094500,15.31168
2015-05-14,15.08,15.36,15.035,15.32,992700,15.008
2015-05-13,15.32,15.41,15.08,15.30,1174900,14.98841
2015-05-12,14.67,15.23,14.66,15.22,991700,14.91003
2015-05-11,15.05,15.05,14.62,14.76,942600,14.4594
2015-05-08,14.77,15.02,14.77,14.93,961500,14.62594
2015-05-07,14.97,14.97,14.58,14.77,1682100,14.4692
2015-05-06,14.55,15.06,14.54,15.04,2046900,14.7337
2015-05-05,15.19,15.25,14.77,14.83,974100,14.52798
2015-05-04,15.17,15.19,14.96,15.06,1363500,14.75329
2015-05-01,14.52,14.84,14.38,14.74,1230300,14.43981
2015-04-30,14.17,14.66,14.15,14.61,2066200,14.31246
2015-04-29,14.85,14.96,14.40,14.40,3028200,14.10673
2015-04-28,15.62,15.66,15.07,15.11,1890900,14.80227
2015-04-27,15.99,16.03,15.58,15.62,1461600,15.30189
2015-04-24,15.60,15.90,15.55,15.69,2678200,15.37046
2015-04-23,15.40,15.60,15.22,15.57,847200,15.25291
2015-04-22,15.89,15.89,15.38,15.44,1321800,15.12555
2015-04-21,15.66,15.71,15.52,15.67,1064300,15.35087
2015-04-20,15.78,15.78,15.53,15.53,849700,15.21372
2015-04-17,16.11,16.19,15.87,15.89,1056400,15.56639
2015-04-16,16.11,16.16,15.95,16.02,1408600,15.69374
2015-04-15,16.06,16.13,15.84,16.11,1305900,15.78191
2015-04-14,15.76,16.01,15.76,15.98,601400,15.65456
2015-04-13,15.83,15.92,15.725,15.78,965300,15.45863
2015-04-10,15.73,15.84,15.65,15.78,944200,15.45863
2015-04-09,15.70,15.71,15.52,15.55,513300,15.23331
2015-04-08,15.68,15.75,15.61,15.69,1180400,15.37046
2015-04-07,15.73,15.86,15.40,15.51,1916700,15.19413
2015-04-06,15.43,15.43,15.43,15.43,000,15.11576
2015-04-03,15.43,15.43,15.43,15.43,000,15.11576
2015-04-02,15.20,15.46,15.06,15.43,1119200,15.11576
2015-04-01,15.00,15.22,14.91,14.98,1111300,14.67492
2015-03-31,15.00,15.32,15.00,15.26,1601600,14.94922
2015-03-30,15.25,15.36,14.94,15.01,1765200,14.70431
2015-03-27,15.25,15.51,15.20,15.48,2384700,15.16474
2015-03-26,15.35,15.41,15.21,15.28,1701300,14.96881
2015-03-25,15.32,15.63,15.32,15.57,898100,15.25291
2015-03-24,15.20,15.42,15.16,15.35,829300,15.03739
2015-03-23,15.43,15.67,15.21,15.38,1036600,15.06678
2015-03-20,15.13,15.31,15.13,15.24,1284700,14.92963
2015-03-19,14.95,15.17,14.94,15.09,1647700,14.78268
2015-03-18,14.95,14.95,14.72,14.87,1109800,14.56716
2015-03-17,15.16,15.23,14.89,14.91,894000,14.60635
2015-03-16,14.76,15.05,14.72,15.00,921100,14.69452
2015-03-13,14.94,14.98,14.75,14.85,559200,14.54757
2015-03-12,14.99,15.07,14.95,15.00,999400,14.69452
2015-03-11,14.86,15.02,14.72,14.98,816300,14.67492
2015-03-10,14.98,15.02,14.87,14.92,673300,14.61614
2015-03-09,14.96,15.06,14.79,14.82,1136300,14.51818
2015-03-06,15.04,15.12,14.90,15.07,622700,14.76309
2015-03-05,15.00,15.02,14.85,14.96,807000,14.65533
2015-03-04,15.26,15.30,14.86,14.87,1224400,14.56716
2015-03-03,15.18,15.33,14.97,15.09,1856200,14.78268
2015-03-02,15.14,15.34,15.08,15.10,1106100,14.79248
2015-02-27,14.89,15.18,14.81,15.14,2540600,14.83166
2015-02-26,14.83,14.89,14.71,14.84,1007200,14.53777
2015-02-25,14.41,14.79,14.36,14.77,1389400,14.4692
2015-02-24,14.64,14.64,14.28,14.35,1244300,14.05775
2015-02-23,14.40,14.68,14.28,14.48,1531600,14.1851
2015-02-20,14.30,14.42,14.09,14.35,2000700,14.05775
2015-02-19,14.39,14.43,13.78,13.95,1401500,13.6659
2015-02-18,13.96,14.13,13.86,14.10,2216400,13.81284
2015-02-17,13.72,13.86,13.65,13.73,554700,13.45038
2015-02-16,13.80,13.81,13.64,13.78,627100,13.49936
2015-02-13,13.98,14.05,13.75,13.78,1322400,13.49936
2015-02-12,13.68,13.79,13.35,13.45,2118900,13.17608
2015-02-11,13.75,13.88,13.48,13.56,1790000,13.28384
2015-02-10,13.86,13.88,13.48,13.61,2098800,13.33282
2015-02-09,13.75,14.10,13.735,14.10,1655700,13.81284
2015-02-06,13.94,13.94,13.74,13.78,1782000,13.49936
2015-02-05,13.80,13.88,13.63,13.70,1173300,13.42099
2015-02-04,13.70,13.74,13.53,13.64,1846100,13.36221
2015-02-03,13.10,13.75,13.10,13.57,1947100,13.29364
2015-02-02,12.85,13.12,12.60,13.05,1407400,12.78423
2015-01-30,13.37,13.38,13.02,13.02,2775500,12.75484
2015-01-29,12.85,13.18,12.78,13.10,2365600,12.83321
2015-01-28,12.73,12.95,12.68,12.85,1287200,12.5883
2015-01-27,12.58,12.92,12.535,12.85,1818500,12.5883
2015-01-26,12.64,12.64,12.64,12.64,000,12.38258
2015-01-23,12.63,12.75,12.51,12.64,1998700,12.38258
2015-01-22,12.30,12.50,12.24,12.33,1759000,12.07889
2015-01-21,11.77,12.225,11.77,12.18,1684500,11.93195
2015-01-20,11.75,12.02,11.73,11.91,1349100,11.66744
2015-01-19,12.00,12.21,11.91,11.96,1408400,11.71643
2015-01-16,11.84,12.05,11.64,11.85,2494800,11.60867
2015-01-15,12.38,12.47,12.25,12.28,1556700,12.02991
2015-01-14,12.72,12.80,12.395,12.49,1783000,12.23563
2015-01-13,12.77,13.05,12.75,12.94,1102600,12.67647
