date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.54,1.575,1.505,1.57,3765100,1.57
2015-06-29,1.24,1.26,1.215,1.25,872100,1.25
2015-06-26,1.255,1.277,1.24,1.24,733100,1.24
2015-06-25,1.265,1.28,1.25,1.255,5216800,1.255
2015-06-24,1.22,1.27,1.21,1.265,365400,1.265
2015-06-23,1.175,1.235,1.17,1.225,485400,1.225
2015-06-22,1.155,1.17,1.135,1.16,565100,1.16
2015-06-19,1.12,1.175,1.12,1.15,727300,1.15
2015-06-18,1.14,1.14,1.105,1.11,806000,1.11
2015-06-17,1.165,1.18,1.145,1.15,515800,1.15
2015-06-16,1.18,1.18,1.155,1.16,273500,1.16
2015-06-15,1.19,1.19,1.165,1.175,247000,1.175
2015-06-12,1.195,1.21,1.175,1.19,242000,1.19
2015-06-11,1.21,1.21,1.18,1.205,506300,1.205
2015-06-10,1.235,1.24,1.19,1.195,446600,1.195
2015-06-09,1.225,1.245,1.22,1.23,470300,1.23
2015-06-08,1.24,1.24,1.24,1.24,000,1.24
2015-06-05,1.25,1.265,1.225,1.24,651100,1.24
2015-06-04,1.275,1.285,1.245,1.245,590200,1.245
2015-06-03,1.27,1.29,1.267,1.27,1182800,1.27
2015-06-02,1.305,1.305,1.275,1.285,795800,1.2453
2015-06-01,1.30,1.305,1.28,1.295,510200,1.255
2015-05-29,1.35,1.355,1.295,1.295,1412800,1.255
2015-05-28,1.36,1.36,1.34,1.35,377800,1.3083
2015-05-27,1.37,1.375,1.33,1.35,581200,1.3083
2015-05-26,1.37,1.38,1.36,1.365,518600,1.3228
2015-05-25,1.38,1.385,1.365,1.375,259000,1.3325
2015-05-22,1.37,1.38,1.365,1.38,377600,1.3374
2015-05-21,1.37,1.38,1.35,1.37,294100,1.3277
2015-05-20,1.355,1.36,1.345,1.35,202000,1.3083
2015-05-19,1.375,1.38,1.35,1.355,3042700,1.3131
2015-05-18,1.39,1.395,1.37,1.37,209700,1.3277
2015-05-15,1.38,1.40,1.377,1.385,475500,1.3422
2015-05-14,1.34,1.375,1.325,1.37,528200,1.3277
2015-05-13,1.325,1.36,1.32,1.355,4777000,1.3131
2015-05-12,1.335,1.34,1.32,1.33,339400,1.2889
2015-05-11,1.345,1.345,1.315,1.325,208000,1.2841
2015-05-08,1.305,1.36,1.305,1.335,515800,1.2938
2015-05-07,1.31,1.32,1.30,1.30,390100,1.2598
2015-05-06,1.36,1.37,1.315,1.335,1156800,1.2938
2015-05-05,1.37,1.38,1.35,1.355,670200,1.3131
2015-05-04,1.395,1.395,1.34,1.36,668400,1.318
2015-05-01,1.375,1.395,1.37,1.375,487300,1.3325
2015-04-30,1.355,1.385,1.355,1.37,400300,1.3277
2015-04-29,1.345,1.37,1.345,1.365,541000,1.3228
