date,Open,High,Low,Close,Volume,Adj Close
2015-05-08,21.80,21.98,21.445,21.55,279100,21.55
2015-05-07,21.32,22.01,21.32,21.86,416300,21.86
2015-05-06,21.52,22.16,21.51,22.09,379300,22.09
2015-05-05,21.95,22.29,21.88,22.11,432300,22.11
2015-05-04,21.62,21.92,21.60,21.91,328000,21.91
2015-05-01,20.90,21.66,20.71,21.63,415600,21.63
2015-04-30,20.51,21.09,20.45,21.09,494600,21.09
2015-04-29,21.06,21.22,20.70,20.96,337400,20.96
2015-04-28,21.05,21.39,20.98,21.12,449900,21.12
2015-04-27,20.66,21.15,20.58,21.10,357800,21.10
2015-04-24,20.30,21.21,20.30,20.83,256700,20.83
2015-04-23,20.42,20.84,20.42,20.71,499600,20.71
2015-04-22,20.20,20.42,20.04,20.37,428600,20.37
2015-04-21,20.26,20.64,20.22,20.28,383600,20.28
2015-04-20,20.50,20.53,20.05,20.15,456600,20.15
2015-04-17,20.60,20.80,20.47,20.75,615100,20.75
2015-04-16,20.40,20.77,20.40,20.68,493400,20.68
2015-04-15,20.60,20.65,20.18,20.22,601300,20.22
2015-04-14,20.87,20.93,20.28,20.47,519500,20.47
2015-04-13,21.48,21.49,20.91,20.97,252600,20.97
2015-04-10,21.30,21.44,21.06,21.43,493100,21.43
2015-04-09,21.35,21.35,20.85,21.03,298700,21.03
2015-04-08,21.14,21.68,21.14,21.35,413200,21.35
2015-04-07,21.09,21.46,21.04,21.15,500300,21.15
2015-04-06,20.84,20.84,20.84,20.84,000,20.84
2015-04-03,20.84,20.84,20.84,20.84,000,20.84
2015-04-02,20.96,21.02,20.73,20.84,380600,20.84
2015-04-01,21.28,21.34,20.94,20.97,412800,20.97
2015-03-31,21.65,21.67,21.08,21.15,499500,21.15
2015-03-30,21.14,21.31,20.92,21.15,284300,21.15
2015-03-27,21.29,21.52,21.23,21.40,418500,21.40
2015-03-26,21.01,21.32,21.00,21.23,447100,21.23
2015-03-25,21.71,21.80,21.31,21.55,413100,21.55
2015-03-24,21.62,22.05,21.54,21.80,410800,21.80
2015-03-23,21.43,21.78,21.43,21.74,201000,21.74
2015-03-20,21.63,21.86,21.45,21.72,397300,21.72
2015-03-19,21.15,21.73,21.15,21.55,830300,21.55
2015-03-18,20.85,21.04,20.69,20.87,459100,20.87
2015-03-17,21.19,21.23,20.80,20.90,684300,20.90
2015-03-16,21.15,21.24,20.91,21.13,482300,21.13
2015-03-13,21.54,22.12,21.50,22.00,495200,21.0286
2015-03-12,21.27,21.67,21.16,21.51,347400,20.56024
2015-03-11,21.51,21.62,21.06,21.27,724900,20.33083
2015-03-10,21.74,21.90,21.51,21.79,385300,20.82787
2015-03-09,21.80,21.84,21.51,21.68,280300,20.72273
2015-03-06,21.90,22.03,21.83,21.93,326900,20.96169
2015-03-05,21.81,22.03,21.74,22.03,380900,21.05728
2015-03-04,22.04,22.10,21.82,21.84,662300,20.87567
2015-03-03,22.10,22.22,21.96,22.07,376900,21.09551
2015-03-02,22.12,22.17,21.82,22.03,953200,21.05728
2015-02-27,21.86,22.16,21.82,22.03,885300,21.05728
2015-02-26,21.81,21.83,21.65,21.81,373400,20.84699
2015-02-25,21.78,21.89,21.66,21.89,615000,20.92346
2015-02-24,21.85,21.91,21.57,21.76,399700,20.7992
2015-02-23,21.74,21.82,21.53,21.76,284000,20.7992
2015-02-20,21.59,21.74,21.47,21.50,355600,20.55068
2015-02-19,21.42,21.46,21.01,21.36,388800,20.41686
2015-02-18,21.10,21.46,20.77,21.30,647600,20.35951
2015-02-17,20.40,21.19,20.11,21.10,921100,20.16834
2015-02-16,20.51,20.86,20.41,20.63,703600,19.71909
2015-02-13,21.20,21.35,20.63,20.90,566600,19.97717
2015-02-12,21.98,22.16,20.52,20.55,983100,19.64262
2015-02-11,21.75,22.40,21.46,21.68,663200,20.72273
2015-02-10,21.23,21.72,21.20,21.45,345400,20.50289
2015-02-09,21.20,21.29,20.99,21.21,272000,20.27348
2015-02-06,21.49,21.49,21.06,21.18,346700,20.24481
2015-02-05,21.50,21.56,21.05,21.20,351100,20.26392
2015-02-04,21.67,21.73,21.19,21.40,518700,20.45509
2015-02-03,20.65,21.26,20.65,21.21,354200,20.27348
2015-02-02,20.67,20.79,20.52,20.65,394400,19.73821
2015-01-30,20.77,20.86,20.53,20.63,637500,19.71909
2015-01-29,20.65,20.83,20.55,20.72,292400,19.80512
2015-01-28,20.85,21.29,20.75,20.80,308300,19.88159
2015-01-27,21.59,21.68,21.04,21.18,502600,20.24481
2015-01-26,21.19,21.19,21.19,21.19,000,20.25437
2015-01-23,20.82,21.27,20.77,21.19,307300,20.25437
2015-01-22,20.95,20.95,20.55,20.68,506400,19.76688
2015-01-21,20.75,21.05,20.63,20.90,256000,19.97717
2015-01-20,20.51,20.77,20.51,20.68,182600,19.76688
2015-01-19,20.80,21.12,20.56,20.69,364100,19.77644
2015-01-16,20.50,20.89,20.22,20.39,319900,19.48969
2015-01-15,20.94,20.94,20.50,20.78,227300,19.86247
2015-01-14,21.37,21.41,20.87,20.97,306700,20.04408
2015-01-13,21.21,21.53,21.035,21.24,592500,20.30216
2015-01-12,21.17,21.77,21.17,21.42,225600,20.47421
2015-01-09,21.62,21.94,21.26,21.49,426000,20.54112
2015-01-08,21.78,21.78,21.04,21.53,470200,20.57935
2015-01-07,21.78,21.84,21.26,21.35,713600,20.4073
2015-01-06,22.70,22.80,22.04,22.20,665200,21.21977
2015-01-05,22.81,23.18,22.70,22.97,209400,21.95577
2015-01-02,22.51,22.91,22.51,22.81,135900,21.80283
2015-01-01,22.50,22.50,22.50,22.50,000,21.50652
2014-12-31,22.45,22.75,22.40,22.50,108300,21.50652
2014-12-30,23.30,23.34,22.36,22.45,427400,21.45873
2014-12-29,23.00,23.40,22.76,23.39,344400,22.35723
2014-12-26,22.95,22.95,22.95,22.95,000,21.93665
2014-12-25,22.95,22.95,22.95,22.95,000,21.93665
2014-12-24,22.95,23.04,22.64,22.95,152100,21.93665
2014-12-23,23.09,23.48,22.83,22.85,385600,21.84107
2014-12-22,22.50,23.35,22.48,23.35,632700,22.31899
2014-12-19,21.84,22.71,21.78,22.71,1178900,21.70725
2014-12-18,20.65,21.85,20.65,21.78,1135300,20.81832
2014-12-17,20.95,20.95,20.95,20.95,000,20.02496
2014-12-16,21.57,21.57,20.82,20.95,700600,20.02496
