date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,14.95,15.15,14.93,15.03,2956700,15.03
2015-06-29,14.90,15.22,14.85,15.07,1874900,15.07
2015-06-26,15.15,15.27,14.80,15.25,2409400,15.25
2015-06-25,15.58,15.71,15.39,15.39,2215700,15.39
2015-06-24,15.74,15.76,15.555,15.66,1567600,15.66
2015-06-23,15.78,15.90,15.65,15.70,1723200,15.70
2015-06-22,15.62,15.72,15.43,15.61,1393400,15.61
2015-06-19,15.51,15.90,15.51,15.61,2962400,15.61
2015-06-18,15.97,16.00,15.53,15.64,2327200,15.64
2015-06-17,15.62,15.98,15.62,15.92,1697100,15.92
2015-06-16,15.82,15.92,15.69,15.82,1699800,15.82
2015-06-15,15.72,15.92,15.69,15.89,1464700,15.89
2015-06-12,15.77,15.90,15.725,15.88,1678000,15.88
2015-06-11,15.80,15.83,15.66,15.77,1600900,15.77
2015-06-10,15.55,15.79,15.51,15.68,2391200,15.68
2015-06-09,15.56,15.88,15.41,15.60,2302900,15.60
2015-06-08,15.75,15.75,15.75,15.75,000,15.75
2015-06-05,15.60,15.81,15.56,15.75,1525200,15.75
2015-06-04,15.90,16.05,15.64,15.69,2126800,15.69
2015-06-03,16.10,16.20,15.79,15.91,2813900,15.91
2015-06-02,16.59,16.71,16.34,16.38,1384500,16.38
2015-06-01,16.73,16.79,16.28,16.53,1524400,16.53
2015-05-29,16.60,16.84,16.59,16.66,2283200,16.66
2015-05-28,16.40,16.56,16.30,16.45,2809000,16.45
2015-05-27,16.23,16.40,16.13,16.23,2511600,16.23
2015-05-26,15.95,16.24,15.86,16.24,2209100,16.24
2015-05-25,15.83,15.97,15.78,15.91,2201300,15.91
2015-05-22,15.80,15.82,15.69,15.77,2782000,15.77
2015-05-21,16.02,16.02,15.67,15.80,4332200,15.80
2015-05-20,16.05,16.27,15.92,16.10,1812200,16.10
2015-05-19,16.30,16.30,15.89,16.04,2454300,16.04
2015-05-18,16.41,16.63,16.40,16.42,907000,16.42
2015-05-15,16.63,16.63,16.37,16.49,1196300,16.49
2015-05-14,16.21,16.37,16.12,16.35,1260200,16.35
2015-05-13,16.60,16.65,16.435,16.53,1628600,16.53
2015-05-12,16.21,16.58,16.145,16.54,1351300,16.54
2015-05-11,16.35,16.55,16.20,16.27,1380900,16.27
2015-05-08,16.00,16.39,15.945,16.23,1137500,16.23
2015-05-07,15.75,16.13,15.65,16.12,2306900,16.12
2015-05-06,16.20,16.31,16.025,16.17,1747700,16.17
2015-05-05,16.66,16.75,16.41,16.52,1472200,16.52
2015-05-04,16.27,16.43,16.15,16.33,829800,16.33
2015-05-01,15.84,16.32,15.72,16.24,1700300,16.24
2015-04-30,15.78,16.05,15.51,16.05,2237600,16.05
2015-04-29,16.56,16.63,15.94,15.97,2782900,15.97
