date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.033,0.034,0.031,0.034,14094700,0.034
2015-06-29,0.034,0.035,0.033,0.033,11340300,0.033
2015-06-26,0.036,0.037,0.033,0.033,15246900,0.033
2015-06-25,0.032,0.037,0.03,0.035,70763300,0.035
2015-06-24,0.036,0.036,0.032,0.033,13323700,0.033
2015-06-23,0.036,0.0375,0.034,0.036,17315400,0.036
2015-06-22,0.04,0.04,0.036,0.038,21189700,0.038
2015-06-19,0.041,0.041,0.04,0.04,13130200,0.04
2015-06-18,0.041,0.041,0.04,0.04,4297300,0.04
2015-06-17,0.041,0.042,0.041,0.041,5159300,0.041
2015-06-16,0.042,0.042,0.041,0.041,2560200,0.041
2015-06-15,0.041,0.042,0.041,0.042,6275900,0.042
2015-06-12,0.042,0.042,0.041,0.041,2179700,0.041
2015-06-11,0.041,0.042,0.04,0.041,5440600,0.041
2015-06-10,0.04,0.0415,0.04,0.041,14795400,0.041
2015-06-09,0.041,0.041,0.04,0.04,5074000,0.04
2015-06-08,0.041,0.041,0.041,0.041,000,0.041
2015-06-05,0.041,0.042,0.041,0.041,6007600,0.041
2015-06-04,0.042,0.042,0.041,0.041,2376100,0.041
2015-06-03,0.042,0.042,0.041,0.041,3747600,0.041
2015-06-02,0.043,0.043,0.041,0.041,17537800,0.041
2015-06-01,0.043,0.044,0.042,0.042,13536400,0.042
2015-05-29,0.045,0.046,0.043,0.043,76930500,0.043
2015-05-28,0.045,0.046,0.044,0.044,12657700,0.044
2015-05-27,0.045,0.046,0.044,0.045,6572200,0.045
2015-05-26,0.045,0.046,0.044,0.046,6551300,0.046
2015-05-25,0.045,0.046,0.045,0.045,1819700,0.045
2015-05-22,0.046,0.047,0.045,0.045,11538600,0.045
2015-05-21,0.045,0.046,0.044,0.046,6317900,0.046
2015-05-20,0.046,0.0465,0.045,0.045,6885300,0.045
2015-05-19,0.045,0.047,0.044,0.046,8842200,0.046
2015-05-18,0.045,0.0455,0.044,0.045,9815200,0.045
2015-05-15,0.048,0.048,0.043,0.044,22371100,0.044
2015-05-14,0.045,0.048,0.043,0.048,23530800,0.048
2015-05-13,0.044,0.045,0.043,0.045,10489000,0.045
2015-05-12,0.043,0.0445,0.043,0.043,7356400,0.043
2015-05-11,0.044,0.045,0.043,0.043,4640300,0.043
2015-05-08,0.043,0.045,0.043,0.045,6119600,0.045
2015-05-07,0.044,0.044,0.042,0.043,14231700,0.043
2015-05-06,0.045,0.045,0.043,0.043,11150600,0.043
2015-05-05,0.046,0.046,0.044,0.045,5089400,0.045
2015-05-04,0.046,0.046,0.044,0.046,5432700,0.046
2015-05-01,0.045,0.046,0.044,0.044,3100000,0.044
2015-04-30,0.045,0.046,0.044,0.045,7607800,0.045
2015-04-29,0.047,0.047,0.043,0.046,35275900,0.046
2015-04-28,0.047,0.048,0.046,0.046,13320300,0.046
2015-04-27,0.05,0.051,0.046,0.046,35145000,0.046
2015-04-24,0.049,0.056,0.047,0.047,90715700,0.047
2015-04-23,0.045,0.046,0.044,0.044,8641100,0.044
2015-04-22,0.045,0.045,0.044,0.045,4824300,0.045
2015-04-21,0.044,0.045,0.044,0.044,3459900,0.044
2015-04-20,0.045,0.045,0.044,0.044,2831300,0.044
2015-04-17,0.047,0.048,0.043,0.045,16108100,0.045
2015-04-16,0.049,0.05,0.046,0.047,7520800,0.047
2015-04-15,0.05,0.05,0.047,0.047,4268800,0.047
2015-04-14,0.048,0.0505,0.047,0.049,7783400,0.049
2015-04-13,0.046,0.05,0.045,0.049,14221000,0.049
2015-04-10,0.046,0.0465,0.045,0.045,6461900,0.045
