date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.105,0.105,0.10,0.105,979400,0.105
2015-06-29,0.11,0.115,0.105,0.105,2696000,0.105
2015-06-26,0.094,0.11,0.094,0.105,2059100,0.105
2015-06-25,0.089,0.093,0.089,0.09,1815000,0.09
2015-06-24,0.085,0.085,0.084,0.085,258700,0.085
2015-06-23,0.087,0.088,0.083,0.084,1173400,0.084
2015-06-22,0.089,0.092,0.088,0.088,483600,0.088
2015-06-19,0.087,0.092,0.087,0.09,1504200,0.09
2015-06-18,0.087,0.088,0.087,0.087,119400,0.087
2015-06-17,0.087,0.089,0.087,0.088,870100,0.088
2015-06-16,0.087,0.089,0.087,0.088,105200,0.088
2015-06-15,0.09,0.09,0.087,0.09,178100,0.09
2015-06-12,0.09,0.09,0.089,0.09,161000,0.09
2015-06-11,0.088,0.091,0.088,0.09,259000,0.09
2015-06-10,0.093,0.093,0.087,0.087,553300,0.087
2015-06-09,0.09,0.094,0.09,0.093,320700,0.093
2015-06-08,0.09,0.09,0.09,0.09,000,0.09
2015-06-05,0.088,0.09,0.087,0.09,252200,0.09
2015-06-04,0.093,0.094,0.089,0.089,557400,0.089
2015-06-03,0.095,0.098,0.094,0.094,310400,0.094
2015-06-02,0.093,0.097,0.093,0.094,388700,0.094
2015-06-01,0.091,0.093,0.09,0.092,591700,0.092
2015-05-29,0.093,0.093,0.091,0.091,249300,0.091
2015-05-28,0.095,0.095,0.092,0.092,336400,0.092
2015-05-27,0.095,0.095,0.095,0.095,148200,0.095
2015-05-26,0.097,0.098,0.095,0.095,678000,0.095
2015-05-25,0.10,0.10,0.097,0.097,940500,0.097
2015-05-22,0.10,0.10,0.099,0.10,447200,0.10
2015-05-21,0.098,0.098,0.098,0.098,80100,0.098
2015-05-20,0.099,0.099,0.096,0.098,189100,0.098
2015-05-19,0.096,0.099,0.096,0.099,283100,0.099
2015-05-18,0.096,0.10,0.095,0.10,392500,0.10
2015-05-15,0.10,0.10,0.095,0.095,249500,0.095
2015-05-14,0.099,0.10,0.098,0.10,187400,0.10
2015-05-13,0.094,0.097,0.092,0.095,1065300,0.095
2015-05-12,0.095,0.096,0.09,0.093,1376700,0.093
2015-05-11,0.10,0.105,0.096,0.096,860300,0.096
2015-05-08,0.10,0.105,0.099,0.099,1110700,0.099
2015-05-07,0.105,0.105,0.10,0.105,200900,0.105
2015-05-06,0.105,0.11,0.102,0.105,311300,0.105
2015-05-05,0.105,0.11,0.105,0.11,834100,0.11
2015-05-04,0.11,0.115,0.105,0.105,909400,0.105
2015-05-01,0.105,0.115,0.10,0.115,727600,0.115
2015-04-30,0.105,0.11,0.10,0.105,1078900,0.105
2015-04-29,0.105,0.11,0.105,0.11,7100,0.11
2015-04-28,0.115,0.12,0.11,0.115,494200,0.115
2015-04-27,0.105,0.12,0.105,0.115,1062000,0.115
2015-04-24,0.105,0.11,0.10,0.11,338000,0.11
2015-04-23,0.105,0.105,0.097,0.10,1295900,0.10
2015-04-22,0.11,0.112,0.10,0.10,1141400,0.10
2015-04-21,0.11,0.115,0.105,0.11,241200,0.11
2015-04-20,0.115,0.115,0.105,0.11,388600,0.11
2015-04-16,0.11,0.115,0.11,0.115,923300,0.115
2015-04-15,0.105,0.11,0.105,0.105,164200,0.105
2015-04-13,0.11,0.115,0.105,0.105,189000,0.105
2015-04-10,0.11,0.115,0.105,0.115,435000,0.115
2015-04-09,0.11,0.12,0.11,0.115,373000,0.115
2015-04-08,0.11,0.115,0.11,0.115,77000,0.115
2015-04-07,0.117,0.12,0.11,0.12,582500,0.12
2015-04-06,0.12,0.12,0.12,0.12,000,0.12
2015-04-03,0.12,0.12,0.12,0.12,000,0.12
2015-04-02,0.11,0.12,0.11,0.12,588200,0.12
2015-04-01,0.115,0.1175,0.11,0.11,349000,0.11
2015-03-31,0.115,0.12,0.11,0.11,294400,0.11
2015-03-30,0.12,0.12,0.11,0.11,591000,0.11
2015-03-27,0.12,0.12,0.11,0.11,660500,0.11
2015-03-26,0.12,0.12,0.117,0.12,192100,0.12
2015-03-25,0.115,0.125,0.115,0.115,867300,0.115
2015-03-24,0.12,0.125,0.115,0.125,298600,0.125
2015-03-23,0.12,0.125,0.115,0.115,498700,0.115
2015-03-20,0.125,0.125,0.115,0.115,713400,0.115
2015-03-19,0.13,0.13,0.12,0.12,1740200,0.12
2015-03-18,0.13,0.135,0.125,0.13,477600,0.13
2015-03-17,0.13,0.135,0.125,0.132,452500,0.132
2015-03-16,0.13,0.135,0.125,0.125,385600,0.125
2015-03-13,0.135,0.135,0.13,0.135,561500,0.135
2015-03-12,0.135,0.135,0.125,0.13,1023000,0.13
2015-03-11,0.14,0.145,0.135,0.135,524600,0.135
2015-03-10,0.15,0.15,0.14,0.14,966800,0.14
2015-03-09,0.15,0.155,0.145,0.155,1214500,0.155
2015-03-06,0.155,0.155,0.15,0.15,296000,0.15
2015-03-05,0.165,0.165,0.155,0.16,391500,0.16
2015-03-04,0.155,0.165,0.155,0.165,1162700,0.165
2015-03-03,0.147,0.155,0.145,0.145,868500,0.145
2015-03-02,0.145,0.15,0.145,0.15,513800,0.15
2015-02-27,0.14,0.15,0.135,0.145,433400,0.145
2015-02-26,0.14,0.145,0.14,0.14,856700,0.14
2015-02-25,0.145,0.145,0.14,0.14,518800,0.14
2015-02-24,0.145,0.15,0.14,0.14,1015000,0.14
2015-02-23,0.145,0.147,0.145,0.145,317300,0.145
2015-02-20,0.145,0.15,0.145,0.145,400200,0.145
2015-02-19,0.14,0.155,0.14,0.155,1358300,0.155
2015-02-18,0.13,0.14,0.13,0.135,551800,0.135
2015-02-17,0.13,0.14,0.125,0.13,796500,0.13
2015-02-16,0.135,0.135,0.125,0.125,538800,0.125
2015-02-13,0.135,0.135,0.135,0.135,591900,0.135
2015-02-12,0.135,0.14,0.135,0.135,372400,0.135
2015-02-11,0.145,0.145,0.135,0.135,513300,0.135
2015-02-10,0.14,0.145,0.14,0.145,354500,0.145
2015-02-09,0.145,0.145,0.14,0.14,1073200,0.14
2015-02-06,0.14,0.145,0.135,0.135,1048500,0.135
2015-02-05,0.145,0.15,0.135,0.135,1084900,0.135
2015-02-04,0.155,0.155,0.145,0.15,988100,0.15
2015-02-03,0.15,0.155,0.145,0.15,571400,0.15
2015-02-02,0.155,0.16,0.145,0.16,852900,0.16
2015-01-30,0.16,0.16,0.15,0.155,434900,0.155
2015-01-29,0.16,0.165,0.155,0.155,716800,0.155
2015-01-28,0.165,0.165,0.16,0.165,669500,0.165
2015-01-27,0.175,0.175,0.165,0.165,282900,0.165
2015-01-26,0.18,0.18,0.18,0.18,000,0.18
2015-01-23,0.185,0.185,0.175,0.18,519500,0.18
2015-01-22,0.18,0.185,0.18,0.18,457600,0.18
2015-01-21,0.175,0.18,0.17,0.18,412800,0.18
2015-01-20,0.182,0.185,0.175,0.18,181300,0.18
2015-01-19,0.17,0.195,0.17,0.18,1990800,0.18
2015-01-16,0.165,0.17,0.165,0.17,102400,0.17
2015-01-15,0.17,0.175,0.165,0.175,422700,0.175
2015-01-14,0.175,0.1775,0.165,0.165,470700,0.165
2015-01-13,0.155,0.18,0.155,0.175,1022700,0.175
2015-01-12,0.152,0.16,0.145,0.16,519900,0.16
2015-01-09,0.15,0.155,0.15,0.15,261700,0.15
2015-01-08,0.15,0.155,0.145,0.15,407500,0.15
2015-01-07,0.145,0.15,0.145,0.15,165700,0.15
2015-01-06,0.145,0.15,0.145,0.145,399000,0.145
2015-01-05,0.16,0.17,0.15,0.15,585200,0.15
2015-01-02,0.155,0.16,0.15,0.16,221200,0.16
2015-01-01,0.16,0.16,0.16,0.16,000,0.16
2014-12-31,0.18,0.18,0.16,0.16,251600,0.16
2014-12-30,0.18,0.18,0.17,0.17,454900,0.17
2014-12-29,0.18,0.185,0.177,0.18,482000,0.18
2014-12-26,0.185,0.185,0.185,0.185,000,0.185
2014-12-25,0.185,0.185,0.185,0.185,000,0.185
2014-12-24,0.17,0.1875,0.17,0.185,1559600,0.185
2014-12-23,0.152,0.175,0.15,0.17,2312500,0.17
2014-12-22,0.145,0.155,0.145,0.155,776500,0.155
2014-12-19,0.155,0.155,0.14,0.14,1036600,0.14
2014-12-18,0.135,0.16,0.132,0.155,3624000,0.155
2014-12-17,0.13,0.145,0.13,0.135,1518800,0.135
2014-12-16,0.12,0.135,0.115,0.135,2638400,0.135
2014-12-15,0.105,0.13,0.105,0.12,1468200,0.12
2014-12-12,0.105,0.11,0.105,0.105,2456100,0.105
2014-12-11,0.099,0.11,0.099,0.102,752000,0.102
2014-12-10,0.098,0.10,0.098,0.099,144400,0.099
2014-12-09,0.098,0.105,0.096,0.10,817500,0.10
2014-12-08,0.105,0.105,0.10,0.10,589000,0.10
2014-12-05,0.11,0.11,0.10,0.105,1210900,0.105
2014-12-04,0.11,0.12,0.11,0.11,863100,0.11
2014-12-03,0.12,0.12,0.11,0.11,1072900,0.11
2014-12-02,0.115,0.125,0.115,0.115,1009800,0.115
2014-12-01,0.115,0.12,0.105,0.105,1083800,0.105
2014-11-28,0.13,0.13,0.117,0.117,686000,0.117
2014-11-27,0.135,0.135,0.13,0.13,397300,0.13
2014-11-26,0.13,0.135,0.125,0.13,669900,0.13
2014-11-25,0.135,0.135,0.125,0.13,879000,0.13
2014-11-24,0.14,0.145,0.135,0.135,415700,0.135
2014-11-21,0.13,0.145,0.13,0.135,1408400,0.135
2014-11-20,0.14,0.145,0.12,0.125,1785800,0.125
2014-11-19,0.145,0.15,0.14,0.14,1053000,0.14
2014-11-18,0.145,0.15,0.145,0.145,259300,0.145
2014-11-17,0.15,0.155,0.14,0.14,308900,0.14
2014-11-14,0.15,0.155,0.145,0.145,823500,0.145
2014-11-13,0.155,0.16,0.15,0.15,778100,0.15
2014-11-12,0.155,0.16,0.15,0.155,680500,0.155
2014-11-11,0.165,0.17,0.15,0.15,902900,0.15
2014-11-10,0.165,0.17,0.16,0.165,381600,0.165
2014-11-07,0.165,0.175,0.165,0.165,273600,0.165
2014-11-06,0.18,0.185,0.16,0.16,1052900,0.16
2014-11-05,0.19,0.19,0.175,0.175,553000,0.175
2014-11-04,0.185,0.19,0.185,0.185,246500,0.185
2014-11-03,0.175,0.19,0.175,0.185,635500,0.185
2014-10-31,0.18,0.18,0.175,0.175,242400,0.175
2014-10-30,0.185,0.185,0.175,0.18,473200,0.18
2014-10-29,0.19,0.195,0.18,0.18,2133600,0.18
2014-10-28,0.19,0.20,0.185,0.19,669400,0.19
2014-10-27,0.195,0.205,0.195,0.20,344300,0.20
2014-10-24,0.195,0.20,0.19,0.19,391900,0.19
2014-10-23,0.202,0.205,0.19,0.19,436200,0.19
2014-10-22,0.205,0.21,0.20,0.20,463300,0.20
2014-10-21,0.21,0.21,0.20,0.20,575000,0.20
2014-10-20,0.22,0.22,0.207,0.21,717600,0.21
2014-10-17,0.22,0.225,0.215,0.225,486800,0.225
2014-10-16,0.22,0.225,0.212,0.22,930200,0.22
2014-10-15,0.215,0.225,0.215,0.22,460600,0.22
2014-10-14,0.21,0.22,0.205,0.22,795900,0.22
2014-10-13,0.21,0.215,0.195,0.21,1236200,0.21
2014-10-10,0.195,0.215,0.19,0.215,1308900,0.215
2014-10-09,0.205,0.215,0.19,0.20,1244700,0.20
2014-10-08,0.21,0.21,0.20,0.205,750900,0.205
2014-10-07,0.215,0.215,0.195,0.21,1781400,0.21
2014-10-06,0.215,0.215,0.207,0.21,621800,0.21
2014-10-03,0.215,0.215,0.212,0.215,343300,0.215
2014-10-02,0.21,0.225,0.21,0.215,907200,0.215
2014-10-01,0.215,0.225,0.215,0.215,456900,0.215
2014-09-30,0.215,0.225,0.215,0.22,416900,0.22
2014-09-29,0.235,0.235,0.22,0.225,519100,0.225
2014-09-26,0.22,0.23,0.22,0.225,1203600,0.225
2014-09-25,0.225,0.23,0.22,0.22,519100,0.22
2014-09-24,0.245,0.245,0.215,0.22,938600,0.22
2014-09-23,0.235,0.245,0.23,0.24,2122500,0.24
2014-09-22,0.25,0.25,0.237,0.24,1262400,0.24
2014-09-19,0.24,0.255,0.235,0.245,9738000,0.245
2014-09-18,0.25,0.255,0.235,0.24,2482200,0.24
2014-09-17,0.25,0.26,0.247,0.255,1259100,0.255
2014-09-16,0.25,0.26,0.242,0.25,1240400,0.25
2014-09-15,0.27,0.27,0.25,0.25,1373700,0.25
2014-09-12,0.28,0.29,0.275,0.275,2638400,0.275
2014-09-11,0.255,0.28,0.25,0.28,4615100,0.28
2014-09-10,0.235,0.26,0.23,0.25,1976300,0.25
2014-09-09,0.245,0.245,0.235,0.24,762300,0.24
2014-09-08,0.255,0.26,0.245,0.245,1388700,0.245
2014-09-05,0.26,0.26,0.245,0.25,1878200,0.25
2014-09-04,0.235,0.27,0.235,0.27,1890500,0.27
2014-09-03,0.24,0.245,0.232,0.235,1184700,0.235
2014-09-02,0.245,0.245,0.235,0.235,1107600,0.235
2014-09-01,0.24,0.25,0.24,0.245,848500,0.245
2014-08-29,0.23,0.2525,0.23,0.245,2582600,0.245
2014-08-28,0.23,0.24,0.23,0.23,1511600,0.23
2014-08-27,0.24,0.24,0.225,0.235,1234300,0.235
2014-08-26,0.24,0.2425,0.235,0.24,1582500,0.24
2014-08-25,0.23,0.237,0.222,0.235,4592600,0.235
2014-08-22,0.22,0.23,0.205,0.215,2505000,0.215
2014-08-21,0.19,0.21,0.185,0.21,2838400,0.21
2014-08-20,0.185,0.195,0.18,0.185,1642700,0.185
2014-08-19,0.175,0.185,0.17,0.185,1988300,0.185
2014-08-18,0.175,0.175,0.167,0.17,2314800,0.17
2014-08-15,0.185,0.19,0.18,0.18,1119600,0.18
2014-08-14,0.20,0.20,0.185,0.185,1523000,0.185
2014-08-13,0.18,0.205,0.177,0.195,2688300,0.195
2014-08-12,0.18,0.185,0.175,0.18,569200,0.18
2014-08-11,0.185,0.195,0.175,0.175,1753400,0.175
2014-08-08,0.165,0.185,0.165,0.18,2161500,0.18
2014-08-07,0.16,0.165,0.155,0.165,1277100,0.165
2014-08-06,0.16,0.165,0.155,0.155,1241100,0.155
2014-08-05,0.16,0.162,0.155,0.155,260500,0.155
2014-08-04,0.155,0.165,0.155,0.165,693800,0.165
2014-08-01,0.16,0.16,0.155,0.155,914400,0.155
2014-07-31,0.16,0.16,0.16,0.16,793500,0.16
2014-07-30,0.165,0.165,0.155,0.155,516000,0.155
2014-07-29,0.165,0.165,0.16,0.165,276900,0.165
2014-07-28,0.16,0.165,0.155,0.16,520100,0.16
2014-07-25,0.155,0.16,0.155,0.16,842600,0.16
2014-07-24,0.16,0.16,0.15,0.155,619800,0.155
2014-07-23,0.165,0.165,0.152,0.155,1507000,0.155
2014-07-22,0.17,0.17,0.16,0.16,833000,0.16
2014-07-21,0.165,0.17,0.157,0.17,862100,0.17
2014-07-18,0.16,0.165,0.155,0.16,1572900,0.16
2014-07-17,0.155,0.16,0.155,0.155,785800,0.155
2014-07-16,0.155,0.162,0.147,0.155,2954300,0.155
2014-07-15,0.175,0.18,0.155,0.155,3830200,0.155
2014-07-14,0.18,0.185,0.175,0.18,577400,0.18
2014-07-11,0.185,0.185,0.18,0.18,829200,0.18
2014-07-10,0.185,0.19,0.18,0.18,277000,0.18
2014-07-09,0.185,0.19,0.177,0.185,1387500,0.185
2014-07-08,0.205,0.205,0.16,0.185,10754100,0.185
2014-07-07,0.22,0.23,0.205,0.21,1957900,0.21
2014-07-04,0.22,0.225,0.215,0.215,1119600,0.215
2014-07-03,0.215,0.22,0.215,0.215,365900,0.215
2014-07-02,0.225,0.225,0.215,0.215,256400,0.215
2014-07-01,0.225,0.23,0.22,0.22,327200,0.22
2014-06-30,0.23,0.2325,0.215,0.225,1203200,0.225
2014-06-27,0.24,0.24,0.23,0.23,1291100,0.23
2014-06-26,0.23,0.24,0.225,0.235,1034200,0.235
2014-06-25,0.225,0.23,0.22,0.23,903800,0.23
2014-06-24,0.23,0.235,0.22,0.23,1384300,0.23
2014-06-23,0.235,0.245,0.23,0.23,1474900,0.23
2014-06-20,0.24,0.245,0.235,0.235,328400,0.235
2014-06-19,0.245,0.25,0.24,0.24,1911200,0.24
2014-06-18,0.245,0.245,0.225,0.235,1647300,0.235
2014-06-17,0.24,0.25,0.24,0.24,2321700,0.24
2014-06-16,0.23,0.24,0.225,0.235,2369400,0.235
2014-06-13,0.22,0.227,0.215,0.225,1761800,0.225
2014-06-12,0.22,0.225,0.215,0.215,1452200,0.215
2014-06-11,0.205,0.22,0.202,0.215,1629100,0.215
2014-06-10,0.205,0.21,0.195,0.195,1969800,0.195
2014-06-09,0.20,0.20,0.20,0.20,000,0.20
2014-06-06,0.205,0.205,0.195,0.20,2813200,0.20
2014-06-05,0.205,0.205,0.197,0.20,2005000,0.20
2014-06-04,0.205,0.21,0.195,0.205,5306100,0.205
2014-06-03,0.22,0.22,0.21,0.21,1156800,0.21
2014-06-02,0.225,0.225,0.215,0.215,450600,0.215
2014-05-30,0.225,0.235,0.217,0.225,9156300,0.225
2014-05-29,0.217,0.2275,0.21,0.22,1132500,0.22
2014-05-28,0.225,0.227,0.21,0.215,1636200,0.215
2014-05-27,0.22,0.235,0.215,0.225,678400,0.225
2014-05-26,0.235,0.24,0.215,0.215,1443100,0.215
2014-05-23,0.245,0.245,0.225,0.225,1131300,0.225
2014-05-22,0.24,0.245,0.237,0.245,989100,0.245
2014-05-21,0.22,0.24,0.215,0.24,915600,0.24
2014-05-20,0.21,0.225,0.21,0.215,608900,0.215
2014-05-19,0.23,0.24,0.215,0.215,1018200,0.215
2014-05-16,0.225,0.23,0.22,0.225,1322500,0.225
2014-05-15,0.245,0.2475,0.225,0.235,1872700,0.235
2014-05-14,0.255,0.255,0.242,0.245,890200,0.245
2014-05-13,0.25,0.2525,0.235,0.245,1038900,0.245
2014-05-12,0.265,0.265,0.247,0.25,800700,0.25
2014-05-09,0.27,0.27,0.26,0.265,854800,0.265
2014-05-08,0.26,0.2675,0.257,0.26,741400,0.26
2014-05-07,0.26,0.2625,0.255,0.255,619200,0.255
2014-05-06,0.26,0.265,0.257,0.26,1304000,0.26
2014-05-05,0.27,0.27,0.252,0.26,654500,0.26
2014-05-02,0.255,0.275,0.252,0.275,778200,0.275
2014-05-01,0.27,0.2725,0.25,0.26,1658200,0.26
2014-04-30,0.27,0.29,0.27,0.28,491800,0.28
2014-04-29,0.27,0.27,0.265,0.265,575500,0.265
2014-04-28,0.275,0.275,0.265,0.265,513700,0.265
2014-04-25,0.275,0.275,0.275,0.275,000,0.275
2014-04-24,0.27,0.28,0.27,0.275,1222400,0.275
