date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.063,0.066,0.062,0.066,7461300,0.066
2015-06-29,0.064,0.065,0.061,0.064,2245200,0.064
2015-06-26,0.07,0.071,0.065,0.066,16862100,0.066
2015-06-25,0.06,0.072,0.06,0.068,49347400,0.068
2015-06-24,0.046,0.046,0.046,0.046,000,0.046
2015-06-23,0.048,0.048,0.046,0.046,1212800,0.046
2015-06-22,0.048,0.0495,0.046,0.048,1273000,0.048
2015-06-19,0.048,0.049,0.048,0.048,120000,0.048
2015-06-18,0.049,0.05,0.048,0.05,701700,0.05
2015-06-17,0.05,0.05,0.049,0.049,762700,0.049
2015-06-16,0.049,0.05,0.049,0.05,434500,0.05
2015-06-15,0.049,0.05,0.049,0.049,1414000,0.049
2015-06-12,0.05,0.051,0.049,0.049,824300,0.049
2015-06-11,0.049,0.052,0.049,0.05,3829000,0.05
2015-06-10,0.05,0.05,0.049,0.049,177200,0.049
2015-06-09,0.049,0.05,0.049,0.05,750300,0.05
2015-06-08,0.049,0.049,0.049,0.049,000,0.049
2015-06-05,0.05,0.05,0.049,0.049,189400,0.049
2015-06-04,0.05,0.05,0.05,0.05,336600,0.05
2015-06-03,0.05,0.051,0.049,0.05,464200,0.05
2015-06-02,0.05,0.05,0.049,0.049,192300,0.049
2015-06-01,0.05,0.05,0.049,0.05,1374700,0.05
2015-05-29,0.05,0.05,0.05,0.05,243000,0.05
2015-05-28,0.05,0.051,0.049,0.05,4053700,0.05
2015-05-27,0.052,0.053,0.052,0.052,606800,0.052
2015-05-26,0.05,0.053,0.05,0.053,1109100,0.053
2015-05-25,0.051,0.051,0.05,0.051,257000,0.051
2015-05-22,0.051,0.052,0.051,0.052,4005200,0.052
2015-05-21,0.052,0.0525,0.051,0.051,2810100,0.051
2015-05-20,0.051,0.052,0.049,0.052,2005800,0.052
2015-05-19,0.053,0.053,0.05,0.051,1037100,0.051
2015-05-18,0.054,0.054,0.052,0.052,1067800,0.052
2015-05-15,0.054,0.054,0.053,0.054,715000,0.054
2015-05-14,0.054,0.055,0.052,0.054,4154400,0.054
2015-05-13,0.051,0.054,0.05,0.054,5497500,0.054
2015-05-12,0.047,0.051,0.047,0.051,5141000,0.051
2015-05-11,0.048,0.048,0.047,0.047,1402900,0.047
2015-05-08,0.048,0.049,0.047,0.047,453800,0.047
2015-05-07,0.047,0.049,0.047,0.048,1813100,0.048
2015-05-06,0.046,0.048,0.046,0.046,618500,0.046
2015-05-05,0.048,0.048,0.044,0.046,3263700,0.046
2015-05-04,0.051,0.052,0.048,0.048,4917600,0.048
2015-05-01,0.048,0.0515,0.048,0.05,15611900,0.05
2015-04-30,0.043,0.043,0.043,0.043,144200,0.043
2015-04-29,0.043,0.043,0.042,0.042,924200,0.042
2015-04-28,0.044,0.045,0.043,0.043,761900,0.043
2015-04-27,0.044,0.045,0.043,0.045,1939300,0.045
2015-04-24,0.045,0.046,0.042,0.044,2195000,0.044
2015-04-23,0.044,0.045,0.042,0.044,746000,0.044
2015-04-22,0.045,0.045,0.044,0.044,576200,0.044
2015-04-21,0.046,0.047,0.045,0.047,1205800,0.047
2015-04-20,0.045,0.047,0.045,0.046,440900,0.046
2015-04-17,0.048,0.048,0.045,0.045,2972200,0.045
2015-04-16,0.049,0.049,0.048,0.048,1674500,0.048
2015-04-15,0.049,0.05,0.049,0.049,592300,0.049
2015-04-14,0.05,0.05,0.049,0.049,2291000,0.049
2015-04-13,0.049,0.051,0.049,0.05,1626100,0.05
2015-04-10,0.049,0.051,0.049,0.049,2758000,0.049
2015-04-09,0.049,0.05,0.049,0.05,2349400,0.05
2015-04-08,0.048,0.049,0.048,0.049,1688200,0.049
2015-04-07,0.049,0.0495,0.048,0.048,1684900,0.048
2015-04-06,0.049,0.049,0.049,0.049,000,0.049
2015-04-03,0.049,0.049,0.049,0.049,000,0.049
2015-04-02,0.049,0.051,0.048,0.049,860900,0.049
2015-04-01,0.049,0.05,0.048,0.049,1916800,0.049
2015-03-31,0.05,0.052,0.048,0.049,5587100,0.049
2015-03-30,0.05,0.0505,0.049,0.049,1615600,0.049
2015-03-27,0.05,0.051,0.049,0.05,2320900,0.05
2015-03-26,0.05,0.052,0.049,0.049,5209200,0.049
2015-03-25,0.05,0.05,0.049,0.049,1076700,0.049
2015-03-24,0.049,0.0505,0.048,0.05,1139000,0.05
2015-03-23,0.049,0.05,0.048,0.048,1257300,0.048
2015-03-20,0.051,0.0515,0.049,0.049,2445700,0.049
2015-03-19,0.05,0.051,0.05,0.05,709900,0.05
2015-03-18,0.051,0.052,0.05,0.05,906100,0.05
2015-03-17,0.05,0.052,0.049,0.05,804800,0.05
2015-03-16,0.049,0.051,0.049,0.049,1383000,0.049
2015-03-13,0.049,0.05,0.049,0.049,1503000,0.049
2015-03-12,0.05,0.05,0.049,0.049,1417600,0.049
2015-03-11,0.049,0.049,0.049,0.049,273800,0.049
2015-03-10,0.05,0.05,0.048,0.049,1090700,0.049
2015-03-09,0.051,0.051,0.049,0.049,2793400,0.049
2015-03-06,0.052,0.052,0.049,0.051,1632600,0.051
2015-03-05,0.054,0.054,0.051,0.052,1490300,0.052
2015-03-04,0.049,0.055,0.049,0.054,4493600,0.054
2015-03-03,0.045,0.051,0.045,0.05,2670300,0.05
2015-03-02,0.051,0.051,0.045,0.045,7140800,0.045
2015-02-27,0.052,0.055,0.051,0.051,10449900,0.051
2015-02-26,0.051,0.056,0.049,0.052,33147400,0.052
2015-02-25,0.037,0.046,0.036,0.045,46079700,0.045
2015-02-24,0.037,0.038,0.032,0.034,36315100,0.034
2015-02-23,0.04,0.04,0.031,0.035,63817900,0.035
2015-02-20,0.057,0.057,0.056,0.056,1115800,0.056
