date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.85,0.85,0.815,0.85,788100,0.85
2015-06-29,0.86,0.86,0.83,0.85,35400,0.85
2015-06-26,0.86,0.86,0.835,0.85,200,0.85
2015-06-25,0.82,0.85,0.80,0.83,32200,0.83
2015-06-24,0.81,0.82,0.80,0.80,45800,0.80
2015-06-23,0.82,0.82,0.82,0.82,200,0.82
2015-06-22,0.84,0.84,0.81,0.815,30800,0.815
2015-06-19,0.85,0.85,0.83,0.85,30900,0.85
2015-06-18,0.87,0.87,0.845,0.845,27600,0.845
2015-06-17,0.875,0.875,0.855,0.87,52300,0.87
2015-06-16,0.90,0.90,0.875,0.875,54500,0.875
2015-06-15,0.955,0.955,0.90,0.905,80000,0.905
2015-06-12,1.00,1.00,0.925,0.935,49400,0.935
2015-06-11,0.94,1.00,0.94,0.99,52100,0.99
2015-06-10,0.92,0.935,0.915,0.93,21800,0.93
2015-06-09,0.925,0.935,0.91,0.93,30200,0.93
2015-06-08,0.89,0.89,0.89,0.89,000,0.89
2015-06-05,0.89,0.915,0.885,0.89,106900,0.89
2015-06-04,0.88,0.88,0.88,0.88,20400,0.88
2015-06-03,0.865,0.94,0.86,0.88,129300,0.88
2015-06-02,0.88,0.94,0.85,0.85,65600,0.85
2015-06-01,0.90,0.94,0.88,0.94,36400,0.94
2015-05-29,0.87,0.925,0.87,0.875,55700,0.875
2015-05-28,0.85,0.865,0.835,0.865,104300,0.865
2015-05-27,0.85,0.85,0.84,0.85,92000,0.85
2015-05-26,0.84,0.86,0.84,0.85,26500,0.85
2015-05-25,0.83,0.865,0.83,0.845,61800,0.845
2015-05-22,0.83,0.83,0.82,0.83,294700,0.83
2015-05-21,0.85,0.85,0.81,0.81,158700,0.81
2015-05-20,0.84,0.875,0.84,0.845,13300,0.845
2015-05-19,0.845,0.865,0.845,0.865,11700,0.865
2015-05-18,0.83,0.88,0.83,0.865,14800,0.865
2015-05-15,0.855,0.87,0.83,0.83,98600,0.83
2015-05-14,0.90,0.90,0.855,0.875,16100,0.875
2015-05-13,0.80,0.90,0.80,0.90,52300,0.90
2015-05-12,0.79,0.84,0.79,0.80,81600,0.80
2015-05-11,0.77,0.80,0.77,0.78,281100,0.78
2015-05-08,0.755,0.77,0.755,0.77,189400,0.77
2015-05-07,0.78,0.78,0.77,0.77,49500,0.77
2015-05-06,0.77,0.775,0.77,0.775,17700,0.775
2015-05-05,0.80,0.80,0.755,0.79,107200,0.79
2015-05-04,0.79,0.81,0.785,0.80,41400,0.80
2015-05-01,0.76,0.815,0.76,0.79,326800,0.79
2015-04-30,0.75,0.75,0.74,0.75,130100,0.75
2015-04-29,0.755,0.79,0.745,0.76,181100,0.76
2015-04-28,0.78,0.78,0.755,0.755,16100,0.755
2015-04-27,0.76,0.785,0.755,0.775,16000,0.775
2015-04-24,0.745,0.80,0.73,0.80,145000,0.80
2015-04-23,0.72,0.72,0.72,0.72,000,0.72
2015-04-22,0.725,0.73,0.71,0.72,202000,0.72
2015-04-21,0.73,0.73,0.725,0.725,18100,0.725
2015-04-20,0.725,0.735,0.725,0.73,54200,0.73
2015-04-17,0.72,0.74,0.72,0.735,310500,0.735
2015-04-16,0.715,0.72,0.715,0.715,17700,0.715
2015-04-15,0.71,0.71,0.71,0.71,000,0.71
2015-04-14,0.72,0.725,0.71,0.71,266200,0.71
2015-04-13,0.74,0.74,0.725,0.725,65600,0.725
2015-04-10,0.74,0.74,0.72,0.725,53800,0.725
2015-04-09,0.73,0.75,0.73,0.74,45500,0.74
2015-04-08,0.73,0.78,0.73,0.74,29200,0.74
2015-04-07,0.75,0.78,0.73,0.73,18400,0.73
2015-04-06,0.76,0.76,0.76,0.76,000,0.76
2015-04-03,0.76,0.76,0.76,0.76,000,0.76
2015-04-02,0.755,0.80,0.75,0.76,93100,0.76
2015-04-01,0.80,0.80,0.755,0.755,63000,0.755
2015-03-31,0.765,0.78,0.765,0.78,104100,0.78
2015-03-30,0.745,0.795,0.74,0.76,162900,0.76
2015-03-27,0.70,0.75,0.68,0.745,1893500,0.745
2015-03-26,0.70,0.70,0.685,0.70,109800,0.70
2015-03-25,0.70,0.725,0.68,0.70,219400,0.70
2015-03-24,0.715,0.77,0.68,0.70,684800,0.70
2015-03-23,0.70,0.735,0.68,0.725,226400,0.725
2015-03-20,0.655,0.69,0.615,0.645,6646500,0.645
2015-03-19,0.665,0.69,0.66,0.66,608000,0.66
2015-03-18,0.70,0.70,0.655,0.655,242100,0.655
2015-03-17,0.722,0.73,0.70,0.71,833100,0.71
2015-03-16,0.70,0.74,0.695,0.705,226600,0.705
2015-03-13,0.70,0.705,0.68,0.70,525000,0.70
2015-03-12,0.72,0.75,0.69,0.70,57800,0.70
2015-03-11,0.76,0.76,0.68,0.75,134600,0.75
2015-03-10,0.765,0.775,0.76,0.765,193300,0.765
2015-03-09,0.772,0.78,0.765,0.765,492800,0.765
2015-03-06,0.82,0.825,0.78,0.78,482000,0.78
2015-03-05,0.80,0.82,0.765,0.82,53100,0.82
2015-03-04,0.83,0.83,0.765,0.80,251600,0.80
2015-03-03,0.785,0.84,0.785,0.825,39300,0.825
2015-03-02,0.765,0.815,0.765,0.78,17100,0.78
2015-02-27,0.75,0.775,0.75,0.77,12100,0.77
2015-02-26,0.755,0.79,0.75,0.75,52600,0.75
2015-02-25,0.75,0.77,0.73,0.75,43600,0.75
2015-02-24,0.75,0.76,0.72,0.735,710800,0.735
2015-02-23,0.75,0.78,0.71,0.76,466400,0.76
2015-02-20,0.77,0.80,0.75,0.75,197300,0.75
2015-02-19,0.77,0.80,0.76,0.76,33100,0.76
2015-02-18,0.765,0.80,0.76,0.78,35300,0.78
2015-02-17,0.765,0.8125,0.765,0.765,39400,0.765
2015-02-16,0.765,0.82,0.76,0.76,25700,0.76
2015-02-13,0.81,0.815,0.75,0.75,25100,0.75
2015-02-12,0.745,0.78,0.72,0.75,200800,0.75
2015-02-11,0.84,0.84,0.71,0.75,74000,0.75
2015-02-10,0.83,0.92,0.80,0.84,82100,0.84
2015-02-09,0.83,0.85,0.83,0.85,5900,0.85
2015-02-06,0.895,0.895,0.83,0.85,14200,0.85
2015-02-05,0.80,0.9025,0.80,0.88,20400,0.88
2015-02-04,0.83,0.86,0.79,0.79,100100,0.79
2015-02-03,0.85,0.87,0.837,0.845,15100,0.845
2015-02-02,0.85,0.85,0.82,0.85,25000,0.85
2015-01-30,0.85,0.86,0.832,0.86,17400,0.86
2015-01-29,0.85,0.86,0.815,0.84,16400,0.84
2015-01-28,0.865,0.875,0.85,0.87,54500,0.87
2015-01-27,0.815,0.85,0.815,0.85,7000,0.85
2015-01-26,0.85,0.85,0.85,0.85,000,0.85
2015-01-23,0.785,0.85,0.785,0.85,29200,0.85
2015-01-22,0.76,0.76,0.76,0.76,13300,0.76
2015-01-21,0.782,0.805,0.755,0.76,51500,0.76
2015-01-20,0.75,0.80,0.75,0.80,40400,0.80
2015-01-19,0.795,0.817,0.75,0.77,39500,0.77
2015-01-16,0.865,0.865,0.79,0.815,38500,0.815
2015-01-15,0.935,0.935,0.85,0.905,139900,0.905
2015-01-14,0.94,0.94,0.93,0.93,400,0.93
2015-01-13,0.94,0.94,0.94,0.94,000,0.94
2015-01-12,0.94,0.94,0.92,0.94,33900,0.94
2015-01-09,0.88,0.94,0.88,0.92,43700,0.92
2015-01-08,0.88,0.92,0.82,0.835,89100,0.835
2015-01-07,0.795,0.925,0.745,0.88,94200,0.88
2015-01-06,0.75,0.795,0.74,0.795,11700,0.795
2015-01-05,0.76,0.76,0.755,0.755,20500,0.755
2015-01-02,0.75,0.755,0.75,0.755,600,0.755
2015-01-01,0.745,0.745,0.745,0.745,000,0.745
2014-12-31,0.75,0.75,0.745,0.745,3300,0.745
2014-12-30,0.745,0.745,0.745,0.745,300,0.745
2014-12-29,0.735,0.75,0.72,0.74,5200,0.74
2014-12-26,0.735,0.735,0.735,0.735,000,0.735
2014-12-25,0.735,0.735,0.735,0.735,000,0.735
2014-12-24,0.72,0.735,0.72,0.735,5800,0.735
2014-12-23,0.70,0.702,0.685,0.69,39600,0.69
2014-12-22,0.652,0.72,0.652,0.685,59200,0.685
2014-12-19,0.65,0.68,0.60,0.635,264400,0.635
2014-12-18,0.71,0.71,0.66,0.68,132300,0.68
2014-12-17,0.71,0.72,0.705,0.715,55400,0.715
2014-12-16,0.72,0.73,0.72,0.72,23700,0.72
2014-12-15,0.73,0.765,0.715,0.72,54600,0.72
2014-12-12,0.78,0.79,0.745,0.75,95600,0.75
2014-12-11,0.79,0.795,0.75,0.79,66200,0.79
2014-12-10,0.81,0.82,0.78,0.795,159600,0.795
2014-12-09,0.85,0.85,0.80,0.81,403400,0.81
2014-12-08,0.89,0.91,0.85,0.85,51200,0.85
2014-12-05,0.89,0.93,0.87,0.90,74200,0.90
2014-12-04,0.91,0.9175,0.89,0.89,87600,0.89
2014-12-03,0.95,0.995,0.91,0.91,162200,0.91
2014-12-02,1.065,1.065,1.00,1.00,93200,1.00
2014-12-01,1.085,1.095,1.06,1.06,34300,1.06
2014-11-28,1.10,1.13,1.10,1.10,48300,1.10
2014-11-27,1.11,1.15,1.105,1.15,58600,1.15
2014-11-26,1.15,1.15,1.105,1.105,98800,1.105
2014-11-25,1.12,1.185,1.12,1.13,59500,1.13
2014-11-24,1.14,1.15,1.11,1.11,71600,1.11
2014-11-21,1.155,1.20,1.10,1.14,32400,1.14
2014-11-20,1.17,1.19,1.115,1.17,37000,1.17
2014-11-19,1.225,1.232,1.17,1.18,45000,1.18
2014-11-18,1.205,1.245,1.205,1.22,49800,1.22
2014-11-17,1.215,1.25,1.195,1.23,12800,1.23
