date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,17.29,17.40,16.85,17.40,511500,17.40
2015-06-29,17.70,17.74,17.00,17.32,492300,17.32
2015-06-26,17.60,18.07,17.54,18.02,371900,18.02
2015-06-25,18.22,18.26,17.98,17.99,177100,17.99
2015-06-24,18.46,18.60,18.22,18.28,301200,18.28
2015-06-23,18.10,18.46,18.07,18.42,387600,18.42
2015-06-22,17.90,18.06,17.54,17.87,350500,17.87
2015-06-19,17.90,18.51,17.76,18.08,514000,18.08
2015-06-18,17.96,17.99,17.41,17.58,640800,17.58
2015-06-17,18.19,18.32,18.01,18.14,427800,18.14
2015-06-16,18.40,18.41,17.91,17.93,610700,17.93
2015-06-15,18.54,18.84,18.38,18.49,441200,18.49
2015-06-12,18.40,18.83,18.35,18.54,414400,18.54
2015-06-11,18.02,18.47,18.00,18.43,526300,18.43
2015-06-10,18.00,18.18,17.85,18.02,314500,18.02
2015-06-09,18.07,18.30,17.90,17.95,853500,17.95
2015-06-08,18.18,18.18,18.18,18.18,000,18.18
2015-06-05,18.26,18.40,18.06,18.18,499600,18.18
2015-06-04,17.85,18.49,17.81,18.25,757500,18.25
2015-06-03,17.87,18.05,17.53,17.79,437500,17.79
2015-06-02,18.75,18.78,18.02,18.04,576700,18.04
2015-06-01,18.60,18.78,18.35,18.75,468100,18.75
2015-05-29,18.60,18.99,18.60,18.69,503900,18.69
2015-05-28,18.76,18.77,18.41,18.60,379200,18.60
2015-05-27,18.64,18.78,18.47,18.62,324500,18.62
2015-05-26,18.80,18.84,18.49,18.67,513800,18.67
2015-05-25,18.82,18.96,18.62,18.79,367400,18.79
2015-05-22,18.86,18.88,18.52,18.61,565800,18.61
2015-05-21,18.85,18.865,18.45,18.70,1120700,18.70
2015-05-20,17.86,18.25,17.60,18.25,867200,18.25
2015-05-19,17.77,17.86,17.33,17.55,618000,17.55
2015-05-18,17.66,18.14,17.50,17.50,563600,17.50
2015-05-15,17.40,17.86,17.35,17.65,1048400,17.65
2015-05-14,17.95,17.96,17.50,17.56,793500,17.56
2015-05-13,18.00,18.09,17.74,17.94,856400,17.94
2015-05-12,18.40,18.40,17.84,18.08,767600,18.08
2015-05-11,19.00,19.11,18.39,18.47,515500,18.47
2015-05-08,18.48,18.99,18.48,18.61,446500,18.61
2015-05-07,18.48,18.87,18.29,18.56,712600,18.56
2015-05-06,19.20,19.20,17.81,18.67,985400,18.67
2015-05-05,20.36,20.59,19.81,19.92,518400,19.92
2015-05-04,20.15,20.55,20.11,20.29,352700,20.29
2015-05-01,19.81,20.09,19.76,19.97,331900,19.97
2015-04-30,20.00,20.05,19.59,19.96,471300,19.96
2015-04-29,21.00,21.00,20.05,20.08,395900,20.08
2015-04-28,21.43,21.55,21.06,21.11,234000,21.11
2015-04-27,21.11,21.68,21.10,21.56,435500,21.56
2015-04-24,20.70,21.10,20.70,20.99,488600,20.99
2015-04-23,20.50,20.66,20.36,20.58,252700,20.58
2015-04-22,20.73,20.97,20.36,20.50,315000,20.50
2015-04-21,20.78,20.91,20.68,20.72,219200,20.72
2015-04-20,20.82,20.825,20.42,20.59,439900,20.59
2015-04-17,21.04,21.24,20.97,21.01,502700,21.01
2015-04-16,20.86,21.15,20.81,21.12,490800,21.12
2015-04-15,21.23,21.23,20.645,20.72,550000,20.72
2015-04-14,21.12,21.25,21.05,21.24,332200,21.24
2015-04-13,21.10,21.25,21.00,21.21,409800,21.21
2015-04-10,20.82,21.04,20.70,21.00,476700,21.00
2015-04-09,20.66,20.89,20.66,20.81,705600,20.81
2015-04-08,20.10,20.54,20.08,20.53,576800,20.53
2015-04-07,20.10,20.35,19.96,20.07,406100,20.07
2015-04-06,20.10,20.10,20.10,20.10,000,20.10
2015-04-03,20.10,20.10,20.10,20.10,000,20.10
2015-04-02,19.95,20.23,19.88,20.10,303500,20.10
2015-04-01,19.52,19.99,19.39,19.98,630400,19.98
2015-03-31,19.41,19.79,19.41,19.64,381600,19.64
2015-03-30,19.36,19.53,18.97,19.23,450100,19.23
2015-03-27,19.26,19.61,19.26,19.36,283800,19.36
2015-03-26,19.60,19.65,19.26,19.30,460100,19.30
2015-03-25,20.00,20.18,19.78,19.83,404700,19.83
2015-03-24,19.83,20.04,19.71,20.00,388400,20.00
2015-03-23,20.20,20.27,19.89,19.95,398200,19.95
2015-03-20,20.22,20.28,19.78,20.00,2965200,20.00
2015-03-19,19.98,20.29,19.87,20.20,880600,20.20
2015-03-18,19.57,19.95,19.565,19.93,525900,19.93
2015-03-17,19.80,19.89,19.53,19.56,518400,19.56
2015-03-16,19.87,19.98,19.58,19.66,406600,19.66
2015-03-13,19.72,19.87,19.56,19.84,415400,19.84
2015-03-12,19.18,19.75,18.925,19.58,590400,19.58
2015-03-11,19.00,19.25,18.91,19.18,378900,19.18
2015-03-10,18.97,19.24,18.86,19.22,364900,19.22
2015-03-09,19.20,19.215,18.74,18.90,362900,18.90
2015-03-06,19.19,19.39,18.60,19.30,732600,19.30
2015-03-05,19.41,19.57,19.07,19.19,417400,19.19
2015-03-04,19.81,20.01,19.42,19.43,423400,19.43
2015-03-03,20.00,20.13,19.71,19.88,676000,19.88
2015-03-02,19.92,20.00,19.64,19.80,443500,19.80
2015-02-27,19.70,19.95,19.48,19.87,438100,19.87
2015-02-26,19.97,20.00,19.28,19.51,726900,19.51
2015-02-25,20.30,20.48,19.87,19.97,351800,19.97
2015-02-24,20.06,20.21,19.86,20.05,719900,19.52
2015-02-23,19.75,20.02,19.21,19.97,874400,19.44211
2015-02-20,20.48,20.51,19.53,19.56,745500,19.04295
2015-02-19,20.50,20.53,20.25,20.25,425900,19.71471
2015-02-18,20.50,20.61,20.30,20.48,571100,19.93863
2015-02-17,20.31,20.39,19.90,20.18,295300,19.64656
2015-02-16,20.36,20.45,19.91,20.35,364800,19.81207
2015-02-13,21.00,21.00,20.06,20.23,653600,19.69524
2015-02-12,20.70,21.02,20.64,21.02,461600,20.46436
2015-02-11,20.40,20.86,20.33,20.56,238600,20.01652
2015-02-10,20.09,20.33,20.00,20.25,437500,19.71471
2015-02-09,19.95,20.20,19.91,20.13,417600,19.59789
2015-02-06,19.91,20.03,19.82,19.96,468800,19.43238
2015-02-05,20.22,20.33,19.73,19.79,819000,19.26687
2015-02-04,20.00,20.64,19.97,20.29,858300,19.75366
2015-02-03,19.59,20.00,19.53,19.91,427500,19.3837
2015-02-02,19.12,19.63,19.06,19.50,384100,18.98454
2015-01-30,19.40,19.47,19.10,19.13,396600,18.62432
2015-01-29,18.87,19.05,18.59,19.00,744800,18.49776
2015-01-28,18.90,19.27,18.45,19.15,443100,18.64379
2015-01-27,18.55,19.095,18.54,19.05,549800,18.54643
2015-01-26,18.37,18.37,18.37,18.37,000,17.88441
2015-01-23,19.00,19.09,18.26,18.37,701100,17.88441
2015-01-22,18.85,18.85,18.55,18.80,961600,18.30304
2015-01-21,18.12,18.90,18.11,18.77,1147500,18.27384
2015-01-20,17.59,18.06,17.50,18.04,441800,17.56313
2015-01-19,17.78,17.81,17.44,17.54,226100,17.07635
2015-01-16,17.78,18.115,17.38,17.58,420700,17.11529
2015-01-15,17.88,17.95,17.46,17.87,686000,17.39763
2015-01-14,17.47,18.13,17.45,18.06,803700,17.5826
2015-01-13,17.23,17.59,17.00,17.45,521800,16.98873
2015-01-12,17.47,17.59,17.28,17.37,443400,16.91084
2015-01-09,17.00,17.60,16.98,17.43,787500,16.96926
2015-01-08,16.79,16.89,16.55,16.82,408800,16.37538
2015-01-07,16.59,16.82,16.41,16.70,521500,16.25855
2015-01-06,16.57,16.73,16.52,16.70,396500,16.25855
2015-01-05,16.64,16.80,16.51,16.77,312800,16.3267
2015-01-02,16.46,16.70,16.40,16.68,149700,16.23908
2015-01-01,16.50,16.50,16.50,16.50,000,16.06384
2014-12-31,16.47,16.55,16.37,16.50,103500,16.06384
2014-12-30,16.83,16.89,16.46,16.50,255900,16.06384
2014-12-29,16.52,16.80,16.43,16.80,370600,16.35591
2014-12-26,16.52,16.52,16.52,16.52,000,16.08331
2014-12-25,16.52,16.52,16.52,16.52,000,16.08331
2014-12-24,16.62,16.62,16.36,16.52,157600,16.08331
2014-12-23,16.88,16.91,16.49,16.57,285200,16.13199
2014-12-22,16.66,16.97,16.66,16.74,466900,16.2975
2014-12-19,16.43,16.70,16.39,16.60,609100,16.1612
2014-12-18,16.30,16.79,16.18,16.25,638400,15.82045
2014-12-17,16.06,16.38,15.97,16.31,435600,15.87886
2014-12-16,15.81,16.08,15.67,16.00,472100,15.57706
2014-12-15,15.45,15.84,15.36,15.81,498800,15.39208
2014-12-12,15.66,15.90,15.44,15.73,522700,15.31419
2014-12-11,15.55,15.61,15.24,15.46,1092200,15.05133
2014-12-10,15.99,16.08,15.72,15.93,381400,15.50891
2014-12-09,15.99,16.31,15.74,16.12,563400,15.69389
2014-12-08,16.01,16.48,16.01,16.35,523600,15.91781
2014-12-05,15.70,16.13,15.68,15.96,584100,15.53812
2014-12-04,15.00,15.85,15.00,15.77,813000,15.35314
2014-12-03,14.52,14.91,14.50,14.78,373600,14.38931
2014-12-02,14.01,14.51,13.91,14.50,405300,14.11671
2014-12-01,14.29,14.61,14.21,14.26,313100,13.88305
2014-11-28,14.63,14.63,14.19,14.34,346300,13.96094
2014-11-27,14.78,14.88,14.58,14.64,367400,14.25301
2014-11-26,14.50,14.94,14.48,14.83,377100,14.43799
2014-11-25,14.49,14.60,14.38,14.47,381400,14.0875
2014-11-24,14.63,14.73,14.42,14.55,283200,14.16539
2014-11-21,13.94,14.53,13.90,14.51,488500,14.12644
