date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,1.805,1.86,1.80,1.85,27413600,1.85
2015-06-29,1.80,1.855,1.79,1.82,17862500,1.82
2015-06-26,1.86,1.87,1.825,1.845,27928300,1.845
2015-06-25,1.945,1.945,1.915,1.935,13773700,1.886
2015-06-24,1.96,1.965,1.925,1.96,16888300,1.91037
2015-06-23,1.95,1.96,1.925,1.96,17538700,1.91037
2015-06-22,1.90,1.94,1.90,1.925,31625900,1.87625
2015-06-19,1.86,1.91,1.86,1.895,35047100,1.84701
2015-06-18,1.88,1.89,1.83,1.845,37349900,1.79828
2015-06-17,1.92,1.92,1.875,1.905,17384800,1.85676
2015-06-16,1.91,1.925,1.882,1.885,12055800,1.83727
2015-06-15,1.89,1.92,1.885,1.92,10041500,1.87138
2015-06-12,1.90,1.9225,1.87,1.91,9389200,1.86163
2015-06-11,1.92,1.925,1.90,1.91,8690700,1.86163
2015-06-10,1.885,1.915,1.855,1.915,16709400,1.86651
2015-06-09,1.89,1.912,1.87,1.89,15962100,1.84214
2015-06-08,1.895,1.895,1.895,1.895,000,1.84701
2015-06-05,1.915,1.93,1.885,1.895,15993400,1.84701
2015-06-04,1.95,1.96,1.915,1.93,16734800,1.88113
2015-06-03,1.96,1.97,1.94,1.96,14478900,1.91037
2015-06-02,2.01,2.02,1.97,1.975,12970500,1.92499
2015-06-01,2.01,2.02,1.975,2.01,9272200,1.9591
2015-05-29,2.00,2.04,1.997,2.01,19989700,1.9591
2015-05-28,2.01,2.02,1.975,2.01,11631600,1.9591
2015-05-27,1.99,2.01,1.975,2.01,13687900,1.9591
2015-05-26,1.96,1.99,1.96,1.99,9475100,1.93961
2015-05-25,1.985,1.9875,1.96,1.97,9833000,1.92011
2015-05-22,1.99,1.99,1.965,1.975,6710500,1.92499
2015-05-21,1.965,1.99,1.96,1.965,9876800,1.91524
2015-05-20,1.95,1.98,1.95,1.97,10451100,1.92011
2015-05-19,1.96,1.97,1.935,1.945,10079500,1.89575
2015-05-18,1.985,1.995,1.965,1.965,15775800,1.91524
2015-05-15,1.995,1.995,1.965,1.985,8922100,1.93473
2015-05-14,1.94,1.96,1.93,1.96,28109500,1.91037
2015-05-13,1.965,1.9925,1.94,1.945,13926500,1.89575
2015-05-12,1.94,1.98,1.93,1.98,11200000,1.92986
2015-05-11,1.965,1.982,1.945,1.945,10690200,1.89575
2015-05-08,1.96,1.98,1.945,1.95,8915400,1.90062
2015-05-07,1.945,1.965,1.93,1.94,10658600,1.89087
2015-05-06,2.01,2.02,1.96,1.97,11169800,1.92011
2015-05-05,2.07,2.08,2.00,2.03,10408600,1.97859
2015-05-04,2.05,2.06,2.02,2.04,4338900,1.98834
2015-05-01,2.02,2.055,2.01,2.03,9782900,1.97859
2015-04-30,2.02,2.04,1.99,2.01,11263200,1.9591
2015-04-29,2.06,2.08,2.03,2.04,8613400,1.98834
2015-04-28,2.07,2.09,2.06,2.07,8438800,2.01758
2015-04-27,2.08,2.12,2.07,2.07,8511500,2.01758
2015-04-24,2.06,2.10,2.04,2.08,11570700,2.02733
2015-04-23,2.01,2.03,2.00,2.02,9591100,1.96885
2015-04-22,1.98,2.02,1.972,2.00,9743400,1.94935
2015-04-21,2.03,2.03,1.972,1.985,10951800,1.93473
2015-04-20,1.975,2.00,1.95,1.99,6603600,1.93961
2015-04-17,2.05,2.06,1.97,1.995,10349100,1.94448
2015-04-16,2.02,2.06,2.01,2.04,10201800,1.98834
2015-04-15,2.03,2.04,2.00,2.02,15345100,1.96885
2015-04-14,2.02,2.03,2.01,2.03,9895200,1.97859
2015-04-13,2.05,2.06,2.02,2.02,9128400,1.96885
2015-04-10,2.03,2.05,2.02,2.04,12295300,1.98834
2015-04-09,2.02,2.03,2.01,2.02,5324600,1.96885
2015-04-08,2.01,2.03,2.00,2.03,5555500,1.97859
2015-04-07,2.04,2.05,1.995,2.00,11359100,1.94935
2015-04-06,2.02,2.02,2.02,2.02,000,1.96885
2015-04-03,2.02,2.02,2.02,2.02,000,1.96885
2015-04-02,2.01,2.03,2.00,2.02,7831300,1.96885
2015-04-01,2.00,2.04,1.99,1.995,10279100,1.94448
2015-03-31,2.05,2.08,2.01,2.01,20186200,1.9591
2015-03-30,2.03,2.05,2.00,2.03,13247000,1.97859
2015-03-27,2.02,2.03,2.01,2.03,7180200,1.97859
2015-03-26,2.00,2.04,1.99,2.02,15532500,1.96885
2015-03-25,2.05,2.06,2.02,2.04,16565000,1.98834
2015-03-24,2.02,2.04,2.02,2.03,8560700,1.97859
2015-03-23,2.04,2.06,2.01,2.03,6943600,1.97859
2015-03-20,2.01,2.04,2.00,2.04,22639300,1.98834
2015-03-19,2.00,2.04,2.00,2.03,34133200,1.97859
2015-03-18,2.00,2.01,1.955,1.975,14370500,1.92499
2015-03-17,2.01,2.03,2.00,2.00,10492000,1.94935
2015-03-16,2.00,2.01,1.985,1.995,6696200,1.94448
