date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,0.20,0.205,0.195,0.20,3632800,0.20
2015-06-29,0.21,0.215,0.20,0.20,5242800,0.20
2015-06-26,0.22,0.225,0.21,0.21,4803900,0.21
2015-06-25,0.225,0.23,0.22,0.225,1687000,0.225
2015-06-24,0.22,0.2275,0.215,0.22,3517600,0.22
2015-06-23,0.22,0.225,0.22,0.22,1642300,0.22
2015-06-22,0.22,0.23,0.215,0.225,3611200,0.225
2015-06-19,0.205,0.23,0.205,0.22,8541800,0.22
2015-06-18,0.20,0.2075,0.20,0.205,1521600,0.205
2015-06-17,0.205,0.21,0.20,0.205,3192200,0.205
2015-06-16,0.21,0.2125,0.205,0.21,1200100,0.21
2015-06-15,0.205,0.215,0.205,0.21,1862300,0.21
2015-06-12,0.215,0.215,0.205,0.205,1156400,0.205
2015-06-11,0.21,0.215,0.205,0.21,1731300,0.21
2015-06-10,0.21,0.21,0.20,0.21,3314100,0.21
2015-06-09,0.21,0.21,0.20,0.21,1498100,0.21
2015-06-08,0.21,0.21,0.21,0.21,000,0.21
2015-06-05,0.21,0.21,0.205,0.21,2175700,0.21
2015-06-04,0.22,0.22,0.21,0.21,1300500,0.21
2015-06-03,0.215,0.22,0.21,0.22,2258000,0.22
2015-06-02,0.21,0.215,0.207,0.21,2630700,0.21
2015-06-01,0.22,0.22,0.21,0.21,1466600,0.21
2015-05-29,0.225,0.23,0.215,0.215,22218600,0.215
2015-05-28,0.225,0.235,0.225,0.23,2694900,0.23
2015-05-27,0.23,0.23,0.22,0.23,2665900,0.23
2015-05-26,0.235,0.2375,0.225,0.23,2676400,0.23
2015-05-25,0.24,0.24,0.225,0.235,2697900,0.235
2015-05-22,0.235,0.24,0.23,0.235,3177900,0.235
2015-05-21,0.235,0.237,0.225,0.235,4600700,0.235
2015-05-20,0.235,0.245,0.23,0.24,2005000,0.24
2015-05-19,0.235,0.24,0.23,0.235,3203000,0.235
2015-05-18,0.245,0.25,0.235,0.235,1659200,0.235
2015-05-15,0.25,0.26,0.235,0.24,6712100,0.24
2015-05-14,0.25,0.255,0.24,0.25,4523800,0.25
2015-05-13,0.24,0.255,0.235,0.25,6752900,0.25
2015-05-12,0.22,0.24,0.22,0.24,13378900,0.24
2015-05-11,0.22,0.225,0.215,0.215,2607600,0.215
2015-05-08,0.22,0.22,0.21,0.215,2243000,0.215
2015-05-07,0.225,0.225,0.22,0.225,1519200,0.225
2015-05-06,0.225,0.225,0.22,0.22,3327500,0.22
2015-05-05,0.22,0.235,0.22,0.22,5680000,0.22
2015-05-04,0.215,0.235,0.21,0.22,10446700,0.22
2015-05-01,0.205,0.215,0.205,0.215,2312000,0.215
2015-04-30,0.205,0.21,0.205,0.205,2322300,0.205
2015-04-29,0.21,0.22,0.21,0.21,2131200,0.21
2015-04-28,0.215,0.22,0.205,0.21,11240100,0.21
2015-04-27,0.22,0.225,0.21,0.21,7263100,0.21
2015-04-24,0.21,0.225,0.205,0.21,12694300,0.21
2015-04-23,0.185,0.195,0.185,0.195,6290600,0.195
2015-04-22,0.185,0.185,0.175,0.18,3554400,0.18
2015-04-21,0.185,0.19,0.18,0.185,2370700,0.185
2015-04-20,0.19,0.19,0.18,0.18,2386500,0.18
2015-04-17,0.19,0.19,0.182,0.185,2721000,0.185
2015-04-16,0.185,0.19,0.18,0.185,2263500,0.185
2015-04-15,0.195,0.195,0.18,0.18,3113200,0.18
2015-04-14,0.19,0.1975,0.19,0.195,2044100,0.195
2015-04-13,0.185,0.20,0.177,0.195,6217700,0.195
2015-04-10,0.195,0.195,0.18,0.185,4040000,0.185
2015-04-09,0.19,0.20,0.19,0.19,1989200,0.19
2015-04-08,0.205,0.205,0.19,0.195,6377600,0.195
2015-04-07,0.21,0.21,0.192,0.195,7044300,0.195
2015-04-06,0.21,0.21,0.21,0.21,000,0.21
2015-04-03,0.21,0.21,0.21,0.21,000,0.21
2015-04-02,0.21,0.215,0.21,0.21,2687500,0.21
2015-04-01,0.22,0.22,0.21,0.21,2396900,0.21
2015-03-31,0.215,0.22,0.215,0.22,1653400,0.22
2015-03-30,0.22,0.22,0.212,0.215,4622600,0.215
2015-03-27,0.22,0.22,0.215,0.22,1109000,0.22
2015-03-26,0.215,0.22,0.215,0.215,2178800,0.215
2015-03-25,0.225,0.225,0.215,0.215,2673600,0.215
2015-03-24,0.225,0.225,0.22,0.22,924500,0.22
2015-03-23,0.215,0.225,0.215,0.225,4253400,0.225
2015-03-20,0.215,0.22,0.21,0.215,19998600,0.215
2015-03-19,0.22,0.225,0.215,0.22,5110200,0.22
2015-03-18,0.22,0.23,0.22,0.225,3293900,0.225
2015-03-17,0.22,0.23,0.215,0.23,3591600,0.23
2015-03-16,0.215,0.225,0.215,0.215,4061200,0.215
2015-03-13,0.215,0.22,0.215,0.22,2150500,0.22
2015-03-12,0.215,0.22,0.21,0.215,4988100,0.215
2015-03-11,0.22,0.225,0.21,0.22,4383700,0.22
2015-03-10,0.225,0.225,0.215,0.215,3832000,0.215
2015-03-09,0.225,0.23,0.22,0.225,3589300,0.225
2015-03-06,0.225,0.23,0.225,0.225,3834000,0.225
2015-03-05,0.225,0.235,0.225,0.23,1915400,0.23
2015-03-04,0.23,0.235,0.225,0.23,4648400,0.23
2015-03-03,0.24,0.245,0.225,0.235,4120800,0.235
2015-03-02,0.245,0.2475,0.24,0.24,2267200,0.24
2015-02-27,0.25,0.25,0.24,0.25,6342000,0.25
2015-02-26,0.245,0.25,0.24,0.245,6053200,0.245
2015-02-25,0.24,0.25,0.232,0.25,4300200,0.25
2015-02-24,0.24,0.245,0.23,0.235,4420800,0.235
2015-02-23,0.24,0.245,0.235,0.245,5169500,0.245
2015-02-20,0.225,0.24,0.225,0.24,7358300,0.24
2015-02-19,0.23,0.235,0.225,0.23,3961400,0.23
2015-02-18,0.225,0.23,0.22,0.23,7565700,0.23
2015-02-17,0.235,0.235,0.225,0.225,4816400,0.225
2015-02-16,0.23,0.24,0.227,0.24,4146200,0.24
2015-02-13,0.22,0.235,0.22,0.225,6243500,0.225
2015-02-12,0.22,0.22,0.215,0.22,5299300,0.22
2015-02-11,0.22,0.22,0.215,0.22,2989000,0.22
2015-02-10,0.22,0.22,0.21,0.22,6008900,0.22
2015-02-09,0.215,0.22,0.21,0.215,3109200,0.215
2015-02-06,0.22,0.225,0.215,0.22,5369200,0.22
2015-02-05,0.22,0.225,0.21,0.22,11320100,0.22
2015-02-04,0.22,0.23,0.217,0.22,11742800,0.22
2015-02-03,0.215,0.225,0.21,0.215,8080300,0.215
2015-02-02,0.21,0.215,0.207,0.21,2680500,0.21
2015-01-30,0.22,0.225,0.21,0.215,4695500,0.215
2015-01-29,0.225,0.23,0.21,0.215,8532300,0.215
2015-01-28,0.225,0.235,0.22,0.23,7246700,0.23
2015-01-27,0.21,0.235,0.20,0.23,10247100,0.23
2015-01-26,0.21,0.21,0.21,0.21,000,0.21
2015-01-23,0.22,0.22,0.21,0.21,5440800,0.21
2015-01-22,0.225,0.23,0.21,0.215,15941100,0.215
2015-01-21,0.23,0.235,0.225,0.225,4611700,0.225
2015-01-20,0.23,0.235,0.225,0.225,7578000,0.225
2015-01-19,0.245,0.245,0.225,0.23,10190200,0.23
2015-01-16,0.24,0.25,0.237,0.24,3730800,0.24
2015-01-15,0.24,0.25,0.235,0.245,4028300,0.245
2015-01-14,0.23,0.25,0.22,0.245,8500300,0.245
2015-01-13,0.265,0.265,0.235,0.235,12631100,0.235
2015-01-12,0.27,0.275,0.262,0.265,4358700,0.265
2015-01-09,0.27,0.285,0.255,0.275,12936500,0.275
2015-01-08,0.28,0.28,0.26,0.26,7939700,0.26
2015-01-07,0.275,0.29,0.275,0.275,8842700,0.275
2015-01-06,0.265,0.285,0.26,0.275,7328000,0.275
2015-01-05,0.28,0.285,0.265,0.275,9199800,0.275
2015-01-02,0.25,0.29,0.25,0.28,7288200,0.28
2015-01-01,0.245,0.245,0.245,0.245,000,0.245
2014-12-31,0.245,0.26,0.245,0.245,7068500,0.245
2014-12-30,0.245,0.245,0.235,0.245,1409000,0.245
2014-12-29,0.24,0.245,0.235,0.245,1958600,0.245
2014-12-26,0.24,0.24,0.24,0.24,000,0.24
2014-12-25,0.24,0.24,0.24,0.24,000,0.24
2014-12-24,0.24,0.245,0.23,0.24,1161500,0.24
2014-12-23,0.245,0.245,0.23,0.245,3581800,0.245
2014-12-22,0.245,0.25,0.23,0.245,5635800,0.245
2014-12-19,0.255,0.26,0.24,0.25,8150100,0.25
2014-12-18,0.22,0.25,0.217,0.24,10227100,0.24
2014-12-17,0.205,0.22,0.20,0.22,5410700,0.22
2014-12-16,0.21,0.22,0.205,0.21,7127400,0.21
2014-12-15,0.21,0.217,0.195,0.21,9737900,0.21
2014-12-12,0.215,0.225,0.21,0.22,8287700,0.22
2014-12-11,0.21,0.225,0.205,0.215,13318600,0.215
2014-12-10,0.19,0.21,0.187,0.21,13342300,0.21
2014-12-09,0.19,0.2025,0.182,0.19,20478700,0.19
2014-12-08,0.225,0.227,0.19,0.195,44962300,0.195
